[138815] ['(3-3i)', '5', '(7-4i)', '(8-8i)'] -> ((3-3i) * ((5 + (7-4i)) - (8-8i)))
[138821] ['(3-3i)', '5', '(7-4i)', '(9+7i)'] -> (((3-3i) + 5) + ((7-4i) + (9+7i)))
[138831] ['(3-3i)', '5', '(7-3i)', '(8-7i)'] -> (-4i * ((5-i) - ((2-4i) + (3-3i))))
[138844] ['(3-3i)', '5', '(7-3i)', '(9+6i)'] -> (((3-3i) + 5) + ((7-3i) + (9+6i)))
[138850] ['(3-3i)', '5', '(7-2i)', '(8-7i)'] -> (((4-i) * ((3-6i) + (4+9i))) - (7+5i))
[138852] ['(3-3i)', '5', '(7-2i)', '(8-6i)'] -> ((3-3i) * ((5 + (7-2i)) - (8-6i)))
[138860] ['(3-3i)', '5', '(7-2i)', '(9+5i)'] -> (((3-3i) + 5) + ((7-2i) + (9+5i)))
[138864] ['(3-3i)', '5', '(7-i)', '(8-5i)'] -> (((3+2i) * ((1-4i) + (6-i))) - (7-i))
[138866] ['(3-3i)', '5', '(7-i)', '(8-2i)'] -> ((5 * (7-i)) - ((3-3i) + (8-2i)))
[138877] ['(3-3i)', '5', '(7-i)', '(9+4i)'] -> (((3-3i) + 5) + ((7-i) + (9+4i)))
[138881] ['(3-3i)', '5', '7', '(8-4i)'] -> ((3-3i) * ((5 + 7) - (8-4i)))
[138884] ['(3-3i)', '5', '7', '(8+3i)'] -> (((7-7i) + (7+9i)) / ((4-3i) / (6-6i)))
[138886] ['(3-3i)', '5', '7', '(8+8i)'] -> (((1-4i) + (5+4i)) * ((4-7i) - -7i))
[138898] ['(3-3i)', '5', '(7+i)', '(8+8i)'] -> ((5 * (7+i)) - ((3-3i) + (8+8i)))
[138901] ['(3-3i)', '5', '(7+i)', '(9+2i)'] -> (((3-3i) + 5) + ((7+i) + (9+2i)))
[138907] ['(3-3i)', '5', '(7+2i)', '(8-2i)'] -> ((3-3i) * ((5 + (7+2i)) - (8-2i)))
[138912] ['(3-3i)', '5', '(7+2i)', '(9+i)'] -> (((3-3i) + 5) + ((7+2i) + (9+i)))
[138916] ['(3-3i)', '5', '(7+3i)', '(8-i)'] -> (((7-4i) + (7+6i)) / ((4-3i) / (6-6i)))
[138924] ['(3-3i)', '5', '(7+3i)', '9'] -> (((3-3i) + 5) + ((7+3i) + 9))
[138932] ['(3-3i)', '5', '(7+4i)', '8'] -> ((3-3i) * ((5 + (7+4i)) - 8))
[138945] ['(3-3i)', '5', '(7+4i)', '(9-i)'] -> (((3-3i) + 5) + ((7+4i) + (9-i)))
[138959] ['(3-3i)', '5', '(7+5i)', '(8+i)'] -> ((3-3i) * ((5 + (7+5i)) - (8+i)))
[138962] ['(3-3i)', '5', '(7+5i)', '(9-2i)'] -> (((3-3i) + 5) + ((7+5i) + (9-2i)))
[138974] ['(3-3i)', '5', '(7+6i)', '(8+2i)'] -> ((3-3i) * ((5 + (7+6i)) - (8+2i)))
[138979] ['(3-3i)', '5', '(7+6i)', '(9-3i)'] -> (((3-3i) + 5) + ((7+6i) + (9-3i)))
[138992] ['(3-3i)', '5', '(7+7i)', '(8+3i)'] -> ((3-3i) * ((5 + (7+7i)) - (8+3i)))
[138998] ['(3-3i)', '5', '(7+7i)', '(9-4i)'] -> (((3-3i) + 5) + ((7+7i) + (9-4i)))
[139019] ['(3-3i)', '5', '(7+8i)', '(8+4i)'] -> (3 * ((7-7i) - ((2-8i) - (3-i))))
[139024] ['(3-3i)', '5', '(7+8i)', '(9-5i)'] -> (((3-3i) + 5) + ((7+8i) + (9-5i)))
[139043] ['(3-3i)', '5', '(7+9i)', '(8+5i)'] -> ((3-3i) * ((5 + (7+9i)) - (8+5i)))
[139048] ['(3-3i)', '5', '(7+9i)', '(9-6i)'] -> (((3-3i) + 5) + ((7+9i) + (9-6i)))
[139086] ['(3-3i)', '5', '(8-6i)', '(8+9i)'] -> (((1-i) * (6+4i)) + ((5-3i) + (9+5i)))
[139097] ['(3-3i)', '5', '(8-5i)', '(8+8i)'] -> (((3-3i) + 5) + ((8-5i) + (8+8i)))
[139098] ['(3-3i)', '5', '(8-5i)', '(9-9i)'] -> ((3-3i) * ((5 + (8-5i)) - (9-9i)))
[139103] ['(3-3i)', '5', '(8-4i)', '(8+7i)'] -> (((3-3i) + 5) + ((8-4i) + (8+7i)))
[139104] ['(3-3i)', '5', '(8-4i)', '(9-8i)'] -> ((3-3i) * ((5 + (8-4i)) - (9-8i)))
