[226207] ['-i', '(3+5i)', '8', '(9-9i)'] -> ((9-9i) / (-i + ((3+5i) / 8)))
[226529] ['-i', '(3+6i)', '(4-5i)', '(6-6i)'] -> ((6-6i) * ((-i * (3+6i)) - (4-5i)))
[226531] ['-i', '(3+6i)', '(4-5i)', '(6+6i)'] -> (((8-4i) * ((4-8i) - (1-9i))) - (4-4i))
[226556] ['-i', '(3+6i)', '(4-4i)', '(6+8i)'] -> ((4-4i) * ((6+8i) - (-i + (3+6i))))
[226570] ['-i', '(3+6i)', '(4-4i)', '(8+8i)'] -> (((4-4i) * (-i + (3+6i))) - (8+8i))
[226573] ['-i', '(3+6i)', '(4-4i)', '(9-6i)'] -> ((4-4i) * (((9-6i) / -i) - (3+6i)))
[226584] ['-i', '(3+6i)', '(4-3i)', '(6+9i)'] -> ((-i + (4-3i)) * ((6+9i) - (3+6i)))
[226611] ['-i', '(3+6i)', '(4-2i)', '(6+3i)'] -> (((6+3i) * ((4-2i) - -i)) - (3+6i))
[226635] ['-i', '(3+6i)', '(4-i)', '(6+2i)'] -> (((4-i) * ((6+2i) - -i)) - (3+6i))
[226637] ['-i', '(3+6i)', '(4-i)', '(6+4i)'] -> (((4-i) * (-i + (6+4i))) - (3+6i))
[226638] ['-i', '(3+6i)', '(4-i)', '(6+6i)'] -> ((6+6i) * ((-i * (3+6i)) - (4-i)))
[226652] ['-i', '(3+6i)', '4', '(6-9i)'] -> (4 * (((6-9i) / -i) - (3+6i)))
[226675] ['-i', '(3+6i)', '4', '(9+5i)'] -> (4 * ((9+5i) - (-i + (3+6i))))
[226676] ['-i', '(3+6i)', '4', '(9+7i)'] -> (4 * ((9+7i) + (-i - (3+6i))))
[226710] ['-i', '(3+6i)', '(4+i)', '(9+6i)'] -> ((-i + (4+i)) * ((9+6i) - (3+6i)))
[226722] ['-i', '(3+6i)', '(4+2i)', '6'] -> (((4+2i) * (-i * (3+6i))) - 6)
[226745] ['-i', '(3+6i)', '(4+3i)', '(6-9i)'] -> (-i * ((6-9i) + ((3+6i) * (4+3i))))
[226760] ['-i', '(3+6i)', '(4+3i)', '(9+6i)'] -> (((1-3i) * (1 + (3+9i))) - (7-3i))
[226771] ['-i', '(3+6i)', '(4+4i)', '(6+2i)'] -> ((4+4i) * ((6+2i) - (-i + (3+6i))))
[226772] ['-i', '(3+6i)', '(4+4i)', '(6+4i)'] -> ((4+4i) * ((6+4i) + (-i - (3+6i))))
[226788] ['-i', '(3+6i)', '(4+5i)', '(6+3i)'] -> ((-i + (4+5i)) * ((6+3i) - (3+6i)))
[226937] ['-i', '(3+6i)', '(5-5i)', '8'] -> (8 / (-i - ((5-5i) / (3+6i))))
[227017] ['-i', '(3+6i)', '(5-i)', '(5+2i)'] -> (((5-i) * (5+2i)) - (-i + (3+6i)))
[227056] ['-i', '(3+6i)', '5', '(8+8i)'] -> ((8+8i) / ((5 / (3+6i)) - -i))
[227080] ['-i', '(3+6i)', '(5+i)', '(9-9i)'] -> (((5+i) * (-i * (3+6i))) - (9-9i))
[227110] ['-i', '(3+6i)', '(5+3i)', '(6+6i)'] -> (((4-2i) - (4+4i)) / ((2-2i) / (8+8i)))
[227131] ['-i', '(3+6i)', '(5+4i)', '(6+7i)'] -> ((-i + (6+7i)) * ((5+4i) - (3+6i)))
[227152] ['-i', '(3+6i)', '(5+5i)', '(6+6i)'] -> ((6+6i) * ((5+5i) + (-i - (3+6i))))
[227193] ['-i', '(3+6i)', '(5+7i)', '(6-6i)'] -> ((6-6i) * ((5+7i) - (-i + (3+6i))))
[227215] ['-i', '(3+6i)', '(5+8i)', '(6-5i)'] -> ((-i + (6-5i)) * ((5+8i) - (3+6i)))
[227235] ['-i', '(3+6i)', '(5+9i)', '(6-6i)'] -> ((6-6i) * ((5+9i) + (-i - (3+6i))))
[227292] ['-i', '(3+6i)', '(6-7i)', '6'] -> (6 * (((6-7i) / -i) - (3+6i)))
[227319] ['-i', '(3+6i)', '(6-6i)', '(8-5i)'] -> ((6-6i) * (((8-5i) / -i) - (3+6i)))
[227321] ['-i', '(3+6i)', '(6-6i)', '8'] -> (8 * (((6-6i) / -i) - (3+6i)))
[227402] ['-i', '(3+6i)', '6', '(7+5i)'] -> (6 * ((7+5i) - (-i + (3+6i))))
[227404] ['-i', '(3+6i)', '6', '(7+7i)'] -> (((3-2i) * (9+6i)) - ((6+6i) + (9-6i)))
[227420] ['-i', '(3+6i)', '(6+i)', '(7+6i)'] -> ((-i + (6+i)) * ((7+6i) - (3+6i)))
[227471] ['-i', '(3+6i)', '(6+5i)', '8'] -> (8 * ((6+5i) - (-i + (3+6i))))
[227477] ['-i', '(3+6i)', '(6+6i)', '(8+i)'] -> ((-i + (8+i)) * ((6+6i) - (3+6i)))
[227488] ['-i', '(3+6i)', '(6+7i)', '8'] -> (8 * ((6+7i) + (-i - (3+6i))))
[227499] ['-i', '(3+6i)', '(6+7i)', '(9+9i)'] -> ((9+9i) * (-i + ((6+7i) / (3+6i))))
[227566] ['-i', '(3+6i)', '(7-6i)', '(8+8i)'] -> ((8+8i) / (-i - ((7-6i) / (3+6i))))
[227584] ['-i', '(3+6i)', '(7-5i)', '(8+8i)'] -> ((3+6i) / (((7-5i) / (8+8i)) - -i))
[227633] ['-i', '(3+6i)', '(7-i)', '8'] -> (8 / (((7-i) / (3+6i)) - -i))
[227733] ['-i', '(3+6i)', '(8-8i)', '(9-2i)'] -> ((8-8i) / (((9-2i) / (3+6i)) - -i))
[227735] ['-i', '(3+6i)', '(8-8i)', '9'] -> ((8-8i) / (-i + ((3+6i) / 9)))
[227782] ['-i', '(3+6i)', '8', '(9-6i)'] -> ((9-6i) / (-i + ((3+6i) / 8)))
[227953] ['-i', '(3+7i)', '(4-6i)', '(4-4i)'] -> ((4-4i) * ((-i * (3+7i)) - (4-6i)))
[227957] ['-i', '(3+7i)', '(4-6i)', '(4+4i)'] -> ((4+4i) * (((4-6i) / -i) - (3+7i)))
[228006] ['-i', '(3+7i)', '(4-4i)', '(6+9i)'] -> ((4-4i) * ((6+9i) - (-i + (3+7i))))
[228034] ['-i', '(3+7i)', '(4-3i)', '8'] -> (8 * ((-i * (3+7i)) - (4-3i)))
[228068] ['-i', '(3+7i)', '(4-i)', '(6+3i)'] -> (((4-i) * (6+3i)) - (-i + (3+7i)))
[228081] ['-i', '(3+7i)', '4', '(4+4i)'] -> ((4+4i) * ((-i * (3+7i)) - 4))
[228094] ['-i', '(3+7i)', '4', '(7-9i)'] -> (4 * (((7-9i) / -i) - (3+7i)))
[228109] ['-i', '(3+7i)', '4', '(9+6i)'] -> (4 * ((9+6i) - (-i + (3+7i))))
