[112518] ['-4i', '(1+7i)', '(2-4i)', '(6+6i)'] -> ((-4i - (6+6i)) + ((1+7i) * (2-4i)))
[112535] ['-4i', '(1+7i)', '(2-4i)', '(9-i)'] -> ((9-i) - ((1+7i) + (-4i * (2-4i))))
[112538] ['-4i', '(1+7i)', '(2-3i)', '(2-i)'] -> ((-4i * (1+7i)) - ((2-3i) + (2-i)))
[112541] ['-4i', '(1+7i)', '(2-3i)', '(3-2i)'] -> (-4i * (((1+7i) + (2-3i)) - (3-2i)))
[112556] ['-4i', '(1+7i)', '(2-3i)', '(5-i)'] -> (-4i * ((1+7i) - ((5-i) / (2-3i))))
[112564] ['-4i', '(1+7i)', '(2-3i)', '(6-7i)'] -> ((-4i * (1+7i)) + ((2-3i) - (6-7i)))
[112580] ['-4i', '(1+7i)', '(2-3i)', '8'] -> (8 * ((2-3i) + (-4i + (1+7i))))
[112588] ['-4i', '(1+7i)', '(2-2i)', '(2-2i)'] -> (6i - (3 * (-7i - (8-9i))))
[112590] ['-4i', '(1+7i)', '(2-2i)', '2'] -> ((-4i * (1+7i)) - ((2-2i) * 2))
[112600] ['-4i', '(1+7i)', '(2-2i)', '(3-i)'] -> (((4-i) * (5-i)) - ((3-3i) - (8+6i)))
[112602] ['-4i', '(1+7i)', '(2-2i)', '(3+2i)'] -> ((-4i * (3+2i)) + ((1+7i) * (2-2i)))
[112614] ['-4i', '(1+7i)', '(2-2i)', '(5-5i)'] -> ((2-2i) * ((5-5i) - (-4i - (1+7i))))
[112616] ['-4i', '(1+7i)', '(2-2i)', '(5+3i)'] -> ((2-2i) * ((5+3i) + (-4i + (1+7i))))
[112618] ['-4i', '(1+7i)', '(2-2i)', '(6-6i)'] -> ((-4i * (1+7i)) + ((2-2i) - (6-6i)))
[112620] ['-4i', '(1+7i)', '(2-2i)', '(6-2i)'] -> (((2-2i) * ((1+7i) + (6-2i))) - -4i)
[112631] ['-4i', '(1+7i)', '(2-2i)', '(7+9i)'] -> ((2-2i) * ((7+9i) - (-4i + (1+7i))))
[112632] ['-4i', '(1+7i)', '(2-2i)', '(8-8i)'] -> ((3-i) - ((1-4i) * ((3-9i) - (4-4i))))
[112653] ['-4i', '(1+7i)', '(2-i)', '3'] -> (-4i * (((1+7i) + (2-i)) - 3))
[112654] ['-4i', '(1+7i)', '(2-i)', '(3+i)'] -> (-4i * ((1+7i) - ((3+i) / (2-i))))
[112676] ['-4i', '(1+7i)', '(2-i)', '(5+5i)'] -> ((-4i / (2-i)) * ((1+7i) + (5+5i)))
[112680] ['-4i', '(1+7i)', '(2-i)', '(6-5i)'] -> ((-4i * (1+7i)) + ((2-i) - (6-5i)))
[112694] ['-4i', '(1+7i)', '(2-i)', '(8+4i)'] -> ((-4i * ((1+7i) - (2-i))) - (8+4i))
[112706] ['-4i', '(1+7i)', '(2-i)', '(9+7i)'] -> (-4i * (((1+7i) * (2-i)) - (9+7i)))
