[278998] ['(1-3i)', '(3-5i)', '(3+4i)', '(6+8i)'] -> ((6+8i) * ((1-3i) - ((3-5i) / (3+4i))))
[279007] ['(1-3i)', '(3-5i)', '(3+5i)', '(5-3i)'] -> (((3-5i) + (3+5i)) * ((5-3i) - (1-3i)))
[279021] ['(1-3i)', '(3-5i)', '(3+5i)', '(8+9i)'] -> (((3-5i) - ((3+5i) * (8+9i))) / (1-3i))
[279022] ['(1-3i)', '(3-5i)', '(3+5i)', '(9-i)'] -> (((1-3i) * (3+5i)) - ((3-5i) - (9-i)))
[279023] ['(1-3i)', '(3-5i)', '(3+5i)', '(9+3i)'] -> (((3-5i) * (3+5i)) - ((1-3i) + (9+3i)))
[279030] ['(1-3i)', '(3-5i)', '(3+6i)', '(4+6i)'] -> ((3+6i) * ((3-5i) + ((4+6i) / (1-3i))))
[279035] ['(1-3i)', '(3-5i)', '(3+6i)', '(6-2i)'] -> (((1-3i) * (3+6i)) - ((3-5i) - (6-2i)))
[279039] ['(1-3i)', '(3-5i)', '(3+6i)', '(7-6i)'] -> ((3+6i) * ((1-3i) + ((3-5i) / (7-6i))))
[279058] ['(1-3i)', '(3-5i)', '(3+7i)', '(6-8i)'] -> ((-7i + (8+7i)) * ((7+7i) - (4+7i)))
[279060] ['(1-3i)', '(3-5i)', '(3+7i)', '(6+2i)'] -> (((3-5i) - (3+7i)) / ((1-3i) / (6+2i)))
[279061] ['(1-3i)', '(3-5i)', '(3+7i)', '(6+6i)'] -> (((3-3i) * (4-4i)) / ((1-8i) - (1-7i)))
[279068] ['(1-3i)', '(3-5i)', '(3+7i)', '(7-6i)'] -> ((1-3i) * ((3+7i) - ((3-5i) / (7-6i))))
[279069] ['(1-3i)', '(3-5i)', '(3+7i)', '(7+6i)'] -> (((3-5i) - ((3+7i) * (7+6i))) / (1-3i))
[279070] ['(1-3i)', '(3-5i)', '(3+7i)', '(8-8i)'] -> (((3-5i) * ((1-3i) + (3+7i))) - (8-8i))
[279089] ['(1-3i)', '(3-5i)', '(3+8i)', '(6-6i)'] -> ((6-6i) + (6 * ((1-6i) + (2+7i))))
[279128] ['(1-3i)', '(3-5i)', '(3+9i)', '(9-5i)'] -> (((1-3i) * (3+9i)) + ((3-5i) - (9-5i)))
[279131] ['(1-3i)', '(3-5i)', '(3+9i)', '(9+2i)'] -> ((3+9i) * ((1-3i) - ((3-5i) / (9+2i))))
[279151] ['(1-3i)', '(3-5i)', '(4-9i)', '(8-5i)'] -> (((4-9i) + (8-5i)) - ((1-3i) * (3-5i)))
[279168] ['(1-3i)', '(3-5i)', '(4-8i)', '(7+8i)'] -> (((1-3i) * (7+8i)) - ((3-5i) + (4-8i)))
[279170] ['(1-3i)', '(3-5i)', '(4-8i)', '(8-6i)'] -> (((4-8i) + (8-6i)) - ((1-3i) * (3-5i)))
[279176] ['(1-3i)', '(3-5i)', '(4-8i)', '(9+5i)'] -> (((9+5i) * ((3-5i) - (1-3i))) - (4-8i))
[279191] ['(1-3i)', '(3-5i)', '(4-7i)', '(8-7i)'] -> (((4-7i) + (8-7i)) - ((1-3i) * (3-5i)))
[279209] ['(1-3i)', '(3-5i)', '(4-6i)', '(8-8i)'] -> (((4-6i) + (8-8i)) - ((1-3i) * (3-5i)))
[279222] ['(1-3i)', '(3-5i)', '(4-5i)', '(7+3i)'] -> (((7+3i) * ((4-5i) - (1-3i))) - (3-5i))
[279225] ['(1-3i)', '(3-5i)', '(4-5i)', '(8-9i)'] -> ((3 * (7-i)) - ((2-3i) - 5))
[279233] ['(1-3i)', '(3-5i)', '(4-4i)', '(5+i)'] -> ((4-4i) * ((5+i) + ((1-3i) - (3-5i))))
[279237] ['(1-3i)', '(3-5i)', '(4-4i)', '(6+6i)'] -> ((6+6i) * ((4-4i) + ((1-3i) - (3-5i))))
[279238] ['(1-3i)', '(3-5i)', '(4-4i)', '(7-5i)'] -> ((4-4i) * ((7-5i) - ((1-3i) + (3-5i))))
