[428981] ['-8i', '(1+7i)', '(7+i)', '(8+5i)'] -> (-8i * (((1+7i) + (7+i)) - (8+5i)))
[428984] ['-8i', '(1+7i)', '(7+i)', '(9+8i)'] -> ((7+i) + ((9+8i) * (-8i + (1+7i))))
[428985] ['-8i', '(1+7i)', '(7+2i)', '8'] -> ((-8i * (7+2i)) + ((1+7i) * 8))
[428986] ['-8i', '(1+7i)', '(7+2i)', '(8+6i)'] -> (-8i * (((1+7i) + (7+2i)) - (8+6i)))
[428991] ['-8i', '(1+7i)', '(7+3i)', '(8+7i)'] -> (-8i * (((1+7i) + (7+3i)) - (8+7i)))
[428999] ['-8i', '(1+7i)', '(7+4i)', '(8+8i)'] -> (-8i * (((1+7i) + (7+4i)) - (8+8i)))
[429003] ['-8i', '(1+7i)', '(7+5i)', '(8+9i)'] -> (-8i * (((1+7i) + (7+5i)) - (8+9i)))
[429021] ['-8i', '(1+7i)', '(7+8i)', '(9-i)'] -> ((9-i) + ((7+8i) * (-8i + (1+7i))))
[429023] ['-8i', '(1+7i)', '(7+9i)', '(8-2i)'] -> ((8-2i) + ((7+9i) * (-8i + (1+7i))))
[429031] ['-8i', '(1+7i)', '(8-9i)', '(9-5i)'] -> (-8i * (((1+7i) + (8-9i)) - (9-5i)))
[429032] ['-8i', '(1+7i)', '(8-9i)', '(9+i)'] -> (-8i * ((9+i) - ((1+7i) + (8-9i))))
[429037] ['-8i', '(1+7i)', '(8-8i)', '(9-4i)'] -> (-8i * (((1+7i) + (8-8i)) - (9-4i)))
[429038] ['-8i', '(1+7i)', '(8-8i)', '(9+2i)'] -> (-8i * ((9+2i) - ((1+7i) + (8-8i))))
[429046] ['-8i', '(1+7i)', '(8-7i)', '(9-3i)'] -> (-8i * (((1+7i) + (8-7i)) - (9-3i)))
[429047] ['-8i', '(1+7i)', '(8-7i)', '(9+3i)'] -> ((9-3i) + (3 * ((1-5i) + (4+6i))))
[429055] ['-8i', '(1+7i)', '(8-6i)', '(9-2i)'] -> (-8i * (((1+7i) + (8-6i)) - (9-2i)))
[429058] ['-8i', '(1+7i)', '(8-6i)', '(9+4i)'] -> (-8i * ((9+4i) - ((1+7i) + (8-6i))))
[429067] ['-8i', '(1+7i)', '(8-5i)', '(9-i)'] -> (-8i * (((1+7i) + (8-5i)) - (9-i)))
[429070] ['-8i', '(1+7i)', '(8-5i)', '(9+5i)'] -> (-8i * ((9+5i) - ((1+7i) + (8-5i))))
[429074] ['-8i', '(1+7i)', '(8-4i)', '9'] -> (-8i * (((1+7i) + (8-4i)) - 9))
[429076] ['-8i', '(1+7i)', '(8-4i)', '(9+6i)'] -> (-8i * ((9+6i) - ((1+7i) + (8-4i))))
[429079] ['-8i', '(1+7i)', '(8-3i)', '(9+i)'] -> (-8i * (((1+7i) + (8-3i)) - (9+i)))
[429081] ['-8i', '(1+7i)', '(8-3i)', '(9+7i)'] -> (-8i * ((9+7i) - ((1+7i) + (8-3i))))
[429087] ['-8i', '(1+7i)', '(8-2i)', '(9+2i)'] -> (-8i * (((1+7i) + (8-2i)) - (9+2i)))
[429088] ['-8i', '(1+7i)', '(8-2i)', '(9+8i)'] -> (-8i * ((9+8i) - ((1+7i) + (8-2i))))
[429090] ['-8i', '(1+7i)', '(8-i)', '(9+3i)'] -> (-8i * (((1+7i) + (8-i)) - (9+3i)))
[429092] ['-8i', '(1+7i)', '(8-i)', '(9+9i)'] -> (-8i * ((9+9i) - ((1+7i) + (8-i))))
[429093] ['-8i', '(1+7i)', '8', '(8+8i)'] -> (8 + ((8+8i) * (-8i + (1+7i))))
[429094] ['-8i', '(1+7i)', '8', '(9+4i)'] -> (-8i * (((1+7i) + 8) - (9+4i)))
[429099] ['-8i', '(1+7i)', '(8+i)', '(9+5i)'] -> (-8i * (((1+7i) + (8+i)) - (9+5i)))
[429101] ['-8i', '(1+7i)', '(8+2i)', '(9+6i)'] -> (-8i * (((1+7i) + (8+2i)) - (9+6i)))
[429102] ['-8i', '(1+7i)', '(8+2i)', '(9+7i)'] -> ((8+2i) + ((9+7i) * (-8i + (1+7i))))
[429104] ['-8i', '(1+7i)', '(8+3i)', '(9+7i)'] -> (-8i * (((1+7i) + (8+3i)) - (9+7i)))
[429106] ['-8i', '(1+7i)', '(8+4i)', '(9+8i)'] -> (-8i * (((1+7i) + (8+4i)) - (9+8i)))
[429110] ['-8i', '(1+7i)', '(8+5i)', '(9+9i)'] -> (-8i * (((1+7i) + (8+5i)) - (9+9i)))
[429113] ['-8i', '(1+7i)', '(8+7i)', '(9+i)'] -> ((9+i) + ((8+7i) * (-8i + (1+7i))))
[429115] ['-8i', '(1+7i)', '(8+8i)', '(8+9i)'] -> ((-8i * (8+9i)) + ((1+7i) * (8+8i)))
[429119] ['-8i', '(1+7i)', '(8+8i)', '(9+3i)'] -> (((8+8i) - -8i) / ((1+7i) / (9+3i)))
[429130] ['-8i', '(1+7i)', '(9+3i)', '(9+6i)'] -> ((9+3i) + ((9+6i) * (-8i + (1+7i))))
[429167] ['-8i', '(1+8i)', '(2-9i)', '(3-4i)'] -> (-8i * (((1+8i) + (2-9i)) - (3-4i)))
[429168] ['-8i', '(1+8i)', '(2-9i)', '(3+2i)'] -> (-8i * ((3+2i) - ((1+8i) + (2-9i))))
[429170] ['-8i', '(1+8i)', '(2-9i)', '(3+9i)'] -> ((-8i * (3+9i)) / ((1+8i) + (2-9i)))
[429180] ['-8i', '(1+8i)', '(2-9i)', '8'] -> ((8 * ((1+8i) + (2-9i))) - -8i)
[429189] ['-8i', '(1+8i)', '(2-8i)', '(3-3i)'] -> (-8i * (((1+8i) + (2-8i)) - (3-3i)))
[429191] ['-8i', '(1+8i)', '(2-8i)', '(3+3i)'] -> (-6i * ((9-i) - ((3-5i) + 6)))
[429205] ['-8i', '(1+8i)', '(2-8i)', '(8-8i)'] -> (((1+8i) + (2-8i)) * ((8-8i) - -8i))
[429207] ['-8i', '(1+8i)', '(2-8i)', '(8+8i)'] -> ((-8i + (8+8i)) * ((1+8i) + (2-8i)))
[429217] ['-8i', '(1+8i)', '(2-7i)', '(3-2i)'] -> (-8i * (((1+8i) + (2-7i)) - (3-2i)))
[429219] ['-8i', '(1+8i)', '(2-7i)', '(3+4i)'] -> (-8i * ((3+4i) - ((1+8i) + (2-7i))))
[429237] ['-8i', '(1+8i)', '(2-7i)', '8'] -> (-8i + (8 * ((1+8i) + (2-7i))))
[429248] ['-8i', '(1+8i)', '(2-6i)', '(3-i)'] -> (-8i * (((1+8i) + (2-6i)) - (3-i)))
[429250] ['-8i', '(1+8i)', '(2-6i)', '(3+5i)'] -> (-8i * ((3+5i) - ((1+8i) + (2-6i))))
[429277] ['-8i', '(1+8i)', '(2-5i)', '3'] -> (-8i * (((1+8i) + (2-5i)) - 3))
[429278] ['-8i', '(1+8i)', '(2-5i)', '(3+6i)'] -> (-8i * ((3+6i) - ((1+8i) + (2-5i))))
[429281] ['-8i', '(1+8i)', '(2-5i)', '(4+4i)'] -> ((-8i + (4+4i)) * ((1+8i) + (2-5i)))
[429297] ['-8i', '(1+8i)', '(2-4i)', '(3-4i)'] -> (((2-4i) * ((1+8i) + (3-4i))) - -8i)
[429298] ['-8i', '(1+8i)', '(2-4i)', '(3+i)'] -> (-8i * (((1+8i) + (2-4i)) - (3+i)))
[429299] ['-8i', '(1+8i)', '(2-4i)', '(3+7i)'] -> (-8i * ((3+7i) - ((1+8i) + (2-4i))))
[429300] ['-8i', '(1+8i)', '(2-3i)', '(2-i)'] -> (((2-3i) * ((2-i) - -8i)) - (1+8i))
[429302] ['-8i', '(1+8i)', '(2-3i)', '(2+5i)'] -> ((-8i - (2+5i)) + ((1+8i) * (2-3i)))
[429304] ['-8i', '(1+8i)', '(2-3i)', '(3+2i)'] -> (-8i * (((1+8i) + (2-3i)) - (3+2i)))
[429306] ['-8i', '(1+8i)', '(2-3i)', '(3+8i)'] -> (-8i * ((3+8i) - ((1+8i) + (2-3i))))
[429307] ['-8i', '(1+8i)', '(2-3i)', '(4+4i)'] -> ((4+4i) * ((2-3i) + (-8i + (1+8i))))
[429311] ['-8i', '(1+8i)', '(2-3i)', '(8-2i)'] -> ((-8i / (2-3i)) * ((1+8i) + (8-2i)))
[429312] ['-8i', '(1+8i)', '(2-3i)', '(8+8i)'] -> ((-8i * (1+8i)) - ((2-3i) * (8+8i)))
[429316] ['-8i', '(1+8i)', '(2-2i)', '(2-i)'] -> ((-8i / (2-i)) * ((1+8i) + (2-2i)))
[429318] ['-8i', '(1+8i)', '(2-2i)', '(2+3i)'] -> (-8i * (((1+8i) / (2+3i)) - (2-2i)))
[429322] ['-8i', '(1+8i)', '(2-2i)', '3'] -> (-8i + ((2-2i) * ((1+8i) + 3)))
[429323] ['-8i', '(1+8i)', '(2-2i)', '(3+3i)'] -> (-8i * (((1+8i) + (2-2i)) - (3+3i)))
[429324] ['-8i', '(1+8i)', '(2-2i)', '(3+9i)'] -> (-8i * ((3+9i) - ((1+8i) + (2-2i))))
[429328] ['-8i', '(1+8i)', '(2-2i)', '(5-2i)'] -> ((-8i / (2-2i)) * ((1+8i) + (5-2i)))
[429331] ['-8i', '(1+8i)', '(2-2i)', '(5+6i)'] -> ((2-2i) * ((5+6i) + (-8i + (1+8i))))
[429333] ['-8i', '(1+8i)', '(2-2i)', '(6-6i)'] -> ((-8i + (6-6i)) + ((1+8i) * (2-2i)))
[429337] ['-8i', '(1+8i)', '(2-2i)', '(7-4i)'] -> (((2-2i) * ((1+8i) + (7-4i))) - -8i)
