[283911] ['(1-6i)', '(3-9i)', '(5-3i)', '8'] -> (8 * ((5-3i) + ((1-6i) - (3-9i))))
[283948] ['(1-6i)', '(3-9i)', '5', '(5+6i)'] -> (-3i * (((2+9i) / (2+9i)) - (1-8i)))
[284041] ['(1-6i)', '(3-9i)', '(5+6i)', '(7-9i)'] -> (((1-6i) + (5+6i)) * ((7-9i) - (3-9i)))
[284063] ['(1-6i)', '(3-9i)', '(5+7i)', '(7-i)'] -> (((5+7i) * ((3-9i) - (1-6i))) - (7-i))
[284115] ['(1-6i)', '(3-9i)', '(6-9i)', '(7+6i)'] -> (((1-6i) + (7+6i)) * ((6-9i) - (3-9i)))
[284121] ['(1-6i)', '(3-9i)', '(6-9i)', '8'] -> (((3-4i) - (3-i)) - (-3i * (1-8i)))
[284158] ['(1-6i)', '(3-9i)', '(6-6i)', '(6+6i)'] -> (((6+6i) * ((3-9i) - (1-6i))) - (6-6i))
[284188] ['(1-6i)', '(3-9i)', '(6-3i)', '6'] -> (6 * ((6-3i) + ((1-6i) - (3-9i))))
[284336] ['(1-6i)', '(3-9i)', '(6+7i)', '(9-4i)'] -> (((6+7i) * ((3-9i) - (1-6i))) - (9-4i))
[284393] ['(1-6i)', '(3-9i)', '(7-5i)', '(9-3i)'] -> (((3-9i) + (9-3i)) / ((1-6i) / (7-5i)))
[284469] ['(1-6i)', '(3-9i)', '(7+6i)', '(8-9i)'] -> (((7+6i) * ((3-9i) - (1-6i))) - (8-9i))
[284675] ['(1-6i)', '(3-8i)', '(3-6i)', '(9+8i)'] -> (((3-8i) + (9+8i)) * ((3-6i) - (1-6i)))
[284692] ['(1-6i)', '(3-8i)', '(3-4i)', '(3+2i)'] -> (((3-8i) + (3+2i)) * ((3-4i) - (1-6i)))
[284725] ['(1-6i)', '(3-8i)', '(3-3i)', '(3+9i)'] -> (((1-3i) * ((6+9i) - (3+i))) - (3-i))
[284738] ['(1-6i)', '(3-8i)', '(3-3i)', '(6-7i)'] -> (((3-8i) * ((3-3i) - (1-6i))) - (6-7i))
[284741] ['(1-6i)', '(3-8i)', '(3-3i)', '(6+2i)'] -> ((3-3i) * ((6+2i) + ((1-6i) - (3-8i))))
[284742] ['(1-6i)', '(3-8i)', '(3-3i)', '(6+5i)'] -> (((1-6i) * ((3-3i) - (3-8i))) - (6+5i))
[284750] ['(1-6i)', '(3-8i)', '(3-2i)', '(3+8i)'] -> (((3-8i) - (1-6i)) * ((3-2i) + (3+8i)))
[284756] ['(1-6i)', '(3-8i)', '(3-2i)', '(5+7i)'] -> ((5+7i) * ((3-2i) - ((3-8i) / (1-6i))))
[284772] ['(1-6i)', '(3-8i)', '(3-i)', '(3+7i)'] -> (((3-8i) - (1-6i)) * ((3-i) + (3+7i)))
[284790] ['(1-6i)', '(3-8i)', '(3-i)', '(8+2i)'] -> (((1-6i) - (3-8i)) + ((3-i) * (8+2i)))
[284795] ['(1-6i)', '(3-8i)', '3', '(3+6i)'] -> (((3-8i) - (1-6i)) * (3 + (3+6i)))
[284811] ['(1-6i)', '(3-8i)', '3', '(6+2i)'] -> (3 * ((6+2i) - ((1-6i) - (3-8i))))
[284827] ['(1-6i)', '(3-8i)', '(3+i)', '(3+5i)'] -> (((3-8i) - (1-6i)) * ((3+i) + (3+5i)))
[284837] ['(1-6i)', '(3-8i)', '(3+i)', '(7-7i)'] -> (((2-i) * (7+3i)) + ((3-i) + (4+2i)))
[284854] ['(1-6i)', '(3-8i)', '(3+2i)', '(3+4i)'] -> (((3-8i) - (1-6i)) * ((3+2i) + (3+4i)))
[284859] ['(1-6i)', '(3-8i)', '(3+2i)', '4'] -> (((3+2i) * ((1-6i) + 4)) - (3-8i))
[284867] ['(1-6i)', '(3-8i)', '(3+2i)', '(6-5i)'] -> (((1-6i) + (3+2i)) * ((6-5i) - (3-8i)))
[284882] ['(1-6i)', '(3-8i)', '(3+3i)', '(3+3i)'] -> (((3-8i) - (1-6i)) * ((3+3i) + (3+3i)))
[284894] ['(1-6i)', '(3-8i)', '(3+3i)', '(6-6i)'] -> ((3+3i) * ((6-6i) + ((1-6i) - (3-8i))))
[284896] ['(1-6i)', '(3-8i)', '(3+3i)', '(6+7i)'] -> (((1-6i) * (3+3i)) - ((3-8i) - (6+7i)))
[284901] ['(1-6i)', '(3-8i)', '(3+3i)', '(8-9i)'] -> (((3-8i) * (3+3i)) - ((1-6i) + (8-9i)))
[284932] ['(1-6i)', '(3-8i)', '(3+5i)', '(6-5i)'] -> (((1-6i) * (3+5i)) - ((3-8i) + (6-5i)))
