[36330] ['(4-9i)', '(5+2i)', '6', '(9+7i)'] -> (((3-3i) - (3+9i)) / ((1-i) / (2+2i)))
[36358] ['(4-9i)', '(5+2i)', '(6+i)', '(8+8i)'] -> (((4-9i) - (8+8i)) + ((5+2i) * (6+i)))
[36364] ['(4-9i)', '(5+2i)', '(6+i)', '(9+6i)'] -> (((4-2i) + (8-7i)) / ((7+i) / (8+8i)))
[36387] ['(4-9i)', '(5+2i)', '(6+2i)', '(9+5i)'] -> (((4-9i) + (5+2i)) + ((6+2i) + (9+5i)))
[36395] ['(4-9i)', '(5+2i)', '(6+3i)', '(8-3i)'] -> (((4-9i) + (8-3i)) * ((6+3i) - (5+2i)))
[36401] ['(4-9i)', '(5+2i)', '(6+3i)', '(9+4i)'] -> (((4-9i) + (5+2i)) + ((6+3i) + (9+4i)))
[36427] ['(4-9i)', '(5+2i)', '(6+4i)', '(9+3i)'] -> ((2+2i) * ((3-i) + ((1-i) * (4-i))))
[36436] ['(4-9i)', '(5+2i)', '(6+5i)', '(7+3i)'] -> (((4-9i) * ((6+5i) - (5+2i))) - (7+3i))
[36443] ['(4-9i)', '(5+2i)', '(6+5i)', '(9+2i)'] -> (((4-9i) + (5+2i)) + ((6+5i) + (9+2i)))
[36450] ['(4-9i)', '(5+2i)', '(6+6i)', '(7-5i)'] -> (((8-3i) * ((1-i) + (2+2i))) - (3-i))
[36471] ['(4-9i)', '(5+2i)', '(6+6i)', '(9+i)'] -> (6 * ((9-3i) + ((4-5i) - (9-8i))))
[36504] ['(4-9i)', '(5+2i)', '(6+7i)', '9'] -> (((4-9i) + (5+2i)) + ((6+7i) + 9))
[36533] ['(4-9i)', '(5+2i)', '(6+8i)', '(9-i)'] -> (3 * ((9+3i) + ((1-i) - (2+2i))))
[36563] ['(4-9i)', '(5+2i)', '(6+9i)', '(9-2i)'] -> (((4-9i) + (5+2i)) + ((6+9i) + (9-2i)))
[36618] ['(4-9i)', '(5+2i)', '(7-7i)', '(7-4i)'] -> (((7-4i) * ((7-7i) - (4-9i))) - (5+2i))
[36716] ['(4-9i)', '(5+2i)', '(7-2i)', '(8+9i)'] -> (((4-9i) + (5+2i)) + ((7-2i) + (8+9i)))
[36733] ['(4-9i)', '(5+2i)', '(7-i)', '(8+8i)'] -> (((4-9i) + (5+2i)) + ((7-i) + (8+8i)))
[36750] ['(4-9i)', '(5+2i)', '7', '(8+7i)'] -> (((4-5i) + (6+i)) + ((6+9i) + (8-5i)))
[36766] ['(4-9i)', '(5+2i)', '(7+i)', '(8+6i)'] -> (((4-9i) + (5+2i)) + ((7+i) + (8+6i)))
[36781] ['(4-9i)', '(5+2i)', '(7+2i)', '(8+5i)'] -> (((6-6i) - (6+2i)) * ((8-i) - (8-4i)))
[36784] ['(4-9i)', '(5+2i)', '(7+2i)', '(8+9i)'] -> ((2+2i) * ((8+i) + ((1-i) - (3+6i))))
[36795] ['(4-9i)', '(5+2i)', '(7+3i)', '(8+4i)'] -> ((2+2i) * ((4-i) - ((3+7i) / (1-i))))
[36800] ['(4-9i)', '(5+2i)', '(7+4i)', '(8+3i)'] -> (((4-9i) + (5+2i)) + ((7+4i) + (8+3i)))
[36809] ['(4-9i)', '(5+2i)', '(7+5i)', '(8+2i)'] -> ((4-6i) - ((1-i) * ((1-4i) - (8+9i))))
[36820] ['(4-9i)', '(5+2i)', '(7+6i)', '(8+i)'] -> (((4-9i) + (5+2i)) + ((7+6i) + (8+i)))
[36826] ['(4-9i)', '(5+2i)', '(7+7i)', '8'] -> (((4-9i) + (5+2i)) + ((7+7i) + 8))
[36838] ['(4-9i)', '(5+2i)', '(7+8i)', '(8-i)'] -> (((4-9i) + (5+2i)) + ((7+8i) + (8-i)))
[36852] ['(4-9i)', '(5+2i)', '(7+9i)', '(8-2i)'] -> (((4-9i) + (5+2i)) + ((7+9i) + (8-2i)))
[37227] ['(4-9i)', '(5+3i)', '(6-9i)', '(7-3i)'] -> (((5+3i) + (7-3i)) * ((6-9i) - (4-9i)))
[37311] ['(4-9i)', '(5+3i)', '(6-6i)', '(7-8i)'] -> (-4i * ((8+9i) + (i - (8+4i))))
[37321] ['(4-9i)', '(5+3i)', '(6-6i)', '8'] -> (((4-5i) + (6+2i)) + ((6+6i) + (8-3i)))
[37326] ['(4-9i)', '(5+3i)', '(6-6i)', '(8+7i)'] -> ((3-3i) * ((5+9i) + ((2-5i) - 3)))
[37423] ['(4-9i)', '(5+3i)', '(6-3i)', '(9+9i)'] -> (-4i * ((9+9i) - (i + (9+2i))))
[37444] ['(4-9i)', '(5+3i)', '(6-2i)', '(9+8i)'] -> ((-4i * 2i) * (2i + (3-2i)))
[37480] ['(4-9i)', '(5+3i)', '(6-i)', '(9+7i)'] -> (((4-9i) + (5+3i)) + ((6-i) + (9+7i)))
[37509] ['(4-9i)', '(5+3i)', '6', '(9+6i)'] -> ((-4i * 3i) * (2i + (2-2i)))
[37525] ['(4-9i)', '(5+3i)', '(6+i)', '(9+5i)'] -> ((3-3i) * ((9+3i) - ((2-5i) + (3+4i))))
[37554] ['(4-9i)', '(5+3i)', '(6+2i)', '(9+4i)'] -> (((4-9i) + (5+3i)) + ((6+2i) + (9+4i)))
[37572] ['(4-9i)', '(5+3i)', '(6+3i)', '(9+3i)'] -> (((4-9i) + (5+3i)) + ((6+3i) + (9+3i)))
[37582] ['(4-9i)', '(5+3i)', '(6+4i)', '(8-3i)'] -> (((4-9i) + (8-3i)) * ((6+4i) - (5+3i)))
[37587] ['(4-9i)', '(5+3i)', '(6+4i)', '(9+2i)'] -> ((2i * (1-9i)) - (-4i - (6-6i)))
[37601] ['(4-9i)', '(5+3i)', '(6+5i)', '(9+i)'] -> (((4-9i) + (5+3i)) + ((6+5i) + (9+i)))
[37610] ['(4-9i)', '(5+3i)', '(6+6i)', '(7-4i)'] -> ((6+6i) * (((4-9i) + (5+3i)) - (7-4i)))
[37612] ['(4-9i)', '(5+3i)', '(6+6i)', '(7+3i)'] -> (((5-7i) - (5+5i)) / ((1-i) / (2+2i)))
[37621] ['(4-9i)', '(5+3i)', '(6+6i)', '9'] -> (((4-9i) + (5+3i)) + ((6+6i) + 9))
[37636] ['(4-9i)', '(5+3i)', '(6+7i)', '(9-i)'] -> ((3-3i) * ((9+6i) - ((2-5i) + (3+7i))))
[37650] ['(4-9i)', '(5+3i)', '(6+8i)', '(9-2i)'] -> (((4-9i) + (5+3i)) + ((6+8i) + (9-2i)))
[37673] ['(4-9i)', '(5+3i)', '(6+9i)', '(9-3i)'] -> (((4-9i) + (5+3i)) + ((6+9i) + (9-3i)))
[37705] ['(4-9i)', '(5+3i)', '(7-8i)', '(9-2i)'] -> (((9-2i) * ((7-8i) - (4-9i))) - (5+3i))
[37789] ['(4-9i)', '(5+3i)', '(7-3i)', '(8+9i)'] -> ((2i * (6-6i)) * ((1-5i) - -4i))
[37801] ['(4-9i)', '(5+3i)', '(7-2i)', '(8+8i)'] -> (((8+8i) / 2i) - (-4i * (1-5i)))
[37810] ['(4-9i)', '(5+3i)', '(7-i)', '(8-8i)'] -> (((7-i) * ((8-8i) - (4-9i))) - (5+3i))
[37815] ['(4-9i)', '(5+3i)', '(7-i)', '(8+7i)'] -> ((7+6i) - ((8+i) * ((3-i) - (5-2i))))
[37831] ['(4-9i)', '(5+3i)', '7', '(8+6i)'] -> (((4-9i) + (5+3i)) + (7 + (8+6i)))
[37839] ['(4-9i)', '(5+3i)', '(7+i)', '(8+5i)'] -> ((9+i) - ((7-8i) * ((3-9i) - (4-8i))))
[37852] ['(4-9i)', '(5+3i)', '(7+2i)', '(8+4i)'] -> ((-4i - 2i) * ((1+i) - (1-3i)))
[37865] ['(4-9i)', '(5+3i)', '(7+3i)', '(8-8i)'] -> (((7+3i) - (4-9i)) / ((5+3i) / (8-8i)))
