[10040] ['(3-i)', '(4-4i)', '(8+2i)', '(8+6i)'] -> ((4-4i) * ((8+6i) + ((3-i) - (8+2i))))
[10045] ['(3-i)', '(4-4i)', '(8+2i)', '(9+3i)'] -> (((3-i) + (4-4i)) + ((8+2i) + (9+3i)))
[10048] ['(3-i)', '(4-4i)', '(8+3i)', '(8+7i)'] -> (((4-2i) * (8+2i)) - ((5-2i) + (7-6i)))
[10054] ['(3-i)', '(4-4i)', '(8+3i)', '(9+2i)'] -> ((4-5i) + ((7+6i) * ((3-9i) / (3-3i))))
[10060] ['(3-i)', '(4-4i)', '(8+4i)', '(8+8i)'] -> ((4-4i) * ((8+8i) + ((3-i) - (8+4i))))
[10063] ['(3-i)', '(4-4i)', '(8+4i)', '(9+i)'] -> ((2+2i) * (5 - ((1-i) - (2-7i))))
[10065] ['(3-i)', '(4-4i)', '(8+4i)', '(9+2i)'] -> ((9-9i) - ((3-3i) * ((3-9i) - (4-5i))))
[10068] ['(3-i)', '(4-4i)', '(8+5i)', '(8+9i)'] -> ((4-4i) * ((8+9i) + ((3-i) - (8+5i))))
[10072] ['(3-i)', '(4-4i)', '(8+5i)', '9'] -> (((3-9i) * (4-4i)) / ((3-3i) - (4-i)))
[10074] ['(3-i)', '(4-4i)', '(8+5i)', '(9+3i)'] -> (((3-9i) - (3-3i)) * (4 - (4-4i)))
[10078] ['(3-i)', '(4-4i)', '(8+6i)', '(9-i)'] -> (((3-i) + (4-4i)) + ((8+6i) + (9-i)))
[10082] ['(3-i)', '(4-4i)', '(8+7i)', '(8+9i)'] -> (((3-i) * (4-4i)) + ((8+7i) + (8+9i)))
[10084] ['(3-i)', '(4-4i)', '(8+7i)', '(9-2i)'] -> (((3-i) + (4-4i)) + ((8+7i) + (9-2i)))
[10088] ['(3-i)', '(4-4i)', '(8+8i)', '(8+8i)'] -> (((3-i) * (4-4i)) + ((8+8i) + (8+8i)))
[10090] ['(3-i)', '(4-4i)', '(8+8i)', '(9-3i)'] -> (((3-i) + (4-4i)) + ((8+8i) + (9-3i)))
[10093] ['(3-i)', '(4-4i)', '(8+9i)', '(9-4i)'] -> (((3-i) + (4-4i)) + ((8+9i) + (9-4i)))
[10102] ['(3-i)', '(4-4i)', '(9-9i)', '(9-5i)'] -> ((4-4i) * ((9-5i) + ((3-i) - (9-9i))))
[10107] ['(3-i)', '(4-4i)', '(9-8i)', '(9-4i)'] -> ((4-4i) * ((9-4i) + ((3-i) - (9-8i))))
[10113] ['(3-i)', '(4-4i)', '(9-7i)', '(9-3i)'] -> ((4-4i) * ((9-3i) + ((3-i) - (9-7i))))
[10116] ['(3-i)', '(4-4i)', '(9-7i)', '(9+2i)'] -> (((4-2i) + (5-2i)) + ((7-2i) + (8+6i)))
[10123] ['(3-i)', '(4-4i)', '(9-6i)', '(9-2i)'] -> ((4-4i) * ((9-2i) + ((3-i) - (9-6i))))
[10124] ['(3-i)', '(4-4i)', '(9-5i)', '(9-i)'] -> ((3+3i) * ((7-9i) + ((3-4i) - (6-9i))))
[10128] ['(3-i)', '(4-4i)', '(9-4i)', '9'] -> ((4-4i) * (9 + ((3-i) - (9-4i))))
[10133] ['(3-i)', '(4-4i)', '(9-3i)', '(9+i)'] -> ((4-4i) * ((9+i) + ((3-i) - (9-3i))))
[10134] ['(3-i)', '(4-4i)', '(9-3i)', '(9+9i)'] -> (((3-i) * (4-4i)) / ((9-3i) / (9+9i)))
[10135] ['(3-i)', '(4-4i)', '(9-2i)', '(9+2i)'] -> ((4-4i) * ((9+2i) + ((3-i) - (9-2i))))
[10138] ['(3-i)', '(4-4i)', '(9-i)', '(9+3i)'] -> ((4-4i) * ((9+3i) + ((3-i) - (9-i))))
[10141] ['(3-i)', '(4-4i)', '9', '(9+4i)'] -> ((3+3i) * ((6-4i) - ((6-8i) / (3-4i))))
[10144] ['(3-i)', '(4-4i)', '(9+i)', '(9+5i)'] -> ((4-4i) * ((9+5i) + ((3-i) - (9+i))))
[10147] ['(3-i)', '(4-4i)', '(9+2i)', '(9+6i)'] -> ((4-4i) * ((9+6i) + ((3-i) - (9+2i))))
[10150] ['(3-i)', '(4-4i)', '(9+3i)', '(9+7i)'] -> ((4-4i) * ((9+7i) + ((3-i) - (9+3i))))
[10151] ['(3-i)', '(4-4i)', '(9+4i)', '(9+8i)'] -> ((4-4i) * ((9+8i) + ((3-i) - (9+4i))))
[10154] ['(3-i)', '(4-4i)', '(9+5i)', '(9+9i)'] -> ((4-4i) * ((9+9i) + ((3-i) - (9+5i))))
[10199] ['(3-i)', '(4-3i)', '(4-2i)', '8'] -> ((3+3i) * ((3-4i) + ((6-5i) / (6-5i))))
[10209] ['(3-i)', '(4-3i)', '(4-i)', '(4+3i)'] -> (((4-2i) + (5-2i)) + ((7+6i) + (8-2i)))
[10212] ['(3-i)', '(4-3i)', '(4-i)', '(4+4i)'] -> ((4+4i) * (((3-i) + (4-3i)) - (4-i)))
[10218] ['(3-i)', '(4-3i)', '(4-i)', '(6+i)'] -> (((3-i) - (4-3i)) + ((4-i) * (6+i)))
[10224] ['(3-i)', '(4-3i)', '(4-i)', '(7+3i)'] -> (((3-i) * (7+3i)) + ((4-3i) - (4-i)))
[10239] ['(3-i)', '(4-3i)', '4', '(5+2i)'] -> (4 * ((5+2i) - ((3-i) - (4-3i))))
[10245] ['(3-i)', '(4-3i)', '4', '(7-2i)'] -> (((1-i) + (5+i)) * ((2-7i) + (2+7i)))
[10247] ['(3-i)', '(4-3i)', '4', '(8-9i)'] -> (((4-3i) + (8-9i)) * (4 - (3-i)))
[10253] ['(3-i)', '(4-3i)', '4', '(8+7i)'] -> (((3-i) * 4) + ((4-3i) + (8+7i)))
[10256] ['(3-i)', '(4-3i)', '4', '(9-3i)'] -> (((3-i) / (4-3i)) * (4 * (9-3i)))
[10257] ['(3-i)', '(4-3i)', '4', '(9+7i)'] -> (4 * ((4-3i) + ((9+7i) / (3-i))))
[10265] ['(3-i)', '(4-3i)', '(4+i)', '(7-5i)'] -> (((1-7i) - (1-4i)) * ((6+3i) - (6-5i)))
[10266] ['(3-i)', '(4-3i)', '(4+i)', '(7+4i)'] -> (((3-i) * (4+i)) + ((4-3i) + (7+4i)))
[10268] ['(3-i)', '(4-3i)', '(4+i)', '(8-9i)'] -> (((4+i) * ((3-i) + (4-3i))) - (8-9i))
[10272] ['(3-i)', '(4-3i)', '(4+i)', '(8+7i)'] -> (((4-3i) * (4+i)) - ((3-i) - (8+7i)))
[10278] ['(3-i)', '(4-3i)', '(4+2i)', '(5+3i)'] -> (((9-3i) * (9+8i)) - ((7-2i) * (9+9i)))
[10281] ['(3-i)', '(4-3i)', '(4+2i)', '(6-6i)'] -> (((9-4i) * (9 - (6-i))) - (7-3i))
[10283] ['(3-i)', '(4-3i)', '(4+2i)', '(6+i)'] -> (((3-i) * (4+2i)) + ((4-3i) + (6+i)))
[10288] ['(3-i)', '(4-3i)', '(4+2i)', '(8-9i)'] -> (((4-3i) + (8-9i)) / ((3-i) / (4+2i)))
[10299] ['(3-i)', '(4-3i)', '(4+3i)', '(5-2i)'] -> (((3-i) * (4+3i)) + ((4-3i) + (5-2i)))
[10302] ['(3-i)', '(4-3i)', '(4+3i)', '(6-i)'] -> ((3+3i) * ((3-4i) + ((6+2i) / (6+2i))))
[10312] ['(3-i)', '(4-3i)', '(4+3i)', '(9-3i)'] -> (((4-3i) + (4+3i)) / ((3-i) / (9-3i)))
[10317] ['(3-i)', '(4-3i)', '(4+4i)', '(4+7i)'] -> ((7-i) - ((8+9i) * ((6-i) - (7-2i))))
[10323] ['(3-i)', '(4-3i)', '(4+4i)', '(6+8i)'] -> ((4+4i) * ((3-i) - ((6+8i) / (4-3i))))
[10333] ['(3-i)', '(4-3i)', '(4+5i)', '(4+9i)'] -> (((4-3i) * (4+5i)) - ((3-i) + (4+9i)))
[10334] ['(3-i)', '(4-3i)', '(4+5i)', '(5+i)'] -> (((3-i) * (5+i)) + ((4-3i) + (4+5i)))
[10341] ['(3-i)', '(4-3i)', '(4+5i)', '8'] -> (((3-i) * 8) - ((4-3i) - (4+5i)))
[10365] ['(3-i)', '(4-3i)', '(4+7i)', '(6-6i)'] -> (((4-3i) + (4+7i)) / ((3-i) / (6-6i)))
[10366] ['(3-i)', '(4-3i)', '(4+7i)', '(7+4i)'] -> ((3-i) * ((7+4i) - ((4+7i) / (4-3i))))
[10382] ['(3-i)', '(4-3i)', '(4+8i)', '(5+7i)'] -> (((3-i) * ((4-3i) + (4+8i))) - (5+7i))
[10400] ['(3-i)', '(4-3i)', '(4+9i)', '(6+6i)'] -> ((((3-7i) * (6+9i)) - (9+9i)) / (3-i))
[10414] ['(3-i)', '(4-3i)', '(4+9i)', '(9+5i)'] -> ((8+2i) - ((9+7i) * ((7-4i) - (8-5i))))
[10431] ['(3-i)', '(4-3i)', '(5-8i)', '(5+2i)'] -> (((3-i) - (5-8i)) + ((4-3i) * (5+2i)))
[10445] ['(3-i)', '(4-3i)', '(5-8i)', '(8+i)'] -> (((3-i) * (8+i)) + ((4-3i) - (5-8i)))
[10469] ['(3-i)', '(4-3i)', '(5-6i)', '(6-6i)'] -> (((1-7i) - (1-4i)) * ((7+2i) - (7-6i)))
[10484] ['(3-i)', '(4-3i)', '(5-5i)', '(6+6i)'] -> ((6+6i) * ((4-3i) - ((5-5i) / (3-i))))
[10497] ['(3-i)', '(4-3i)', '(5-4i)', '(5+6i)'] -> (((5+6i) * ((5-4i) - (3-i))) - (4-3i))
[10514] ['(3-i)', '(4-3i)', '(5-3i)', '(5+5i)'] -> (((3-i) * ((4-3i) + (5+5i))) - (5-3i))
[10518] ['(3-i)', '(4-3i)', '(5-3i)', '(6+i)'] -> (((5-3i) * (6+i)) - ((3-i) * (4-3i)))
[10528] ['(3-i)', '(4-3i)', '(5-3i)', '(8+2i)'] -> (((4-3i) * ((8+2i) - (3-i))) - (5-3i))
[10542] ['(3-i)', '(4-3i)', '(5-2i)', '6'] -> (2 * ((9-6i) - ((2-5i) - (5+i))))
[10544] ['(3-i)', '(4-3i)', '(5-2i)', '(6+6i)'] -> ((6+6i) * (((3-i) + (4-3i)) - (5-2i)))
[10548] ['(3-i)', '(4-3i)', '(5-2i)', '(7+2i)'] -> (((3-i) * (7+2i)) - ((4-3i) - (5-2i)))
[10581] ['(3-i)', '(4-3i)', '(5-i)', '(8+3i)'] -> (((4-3i) + (8+3i)) * ((5-i) - (3-i)))
[10593] ['(3-i)', '(4-3i)', '5', '(5+8i)'] -> (((3-i) * 5) + ((4-3i) + (5+8i)))
[10605] ['(3-i)', '(4-3i)', '5', '8'] -> ((6-i) - ((7+4i) * ((7-i) - (9-2i))))
[10607] ['(3-i)', '(4-3i)', '5', '(8+3i)'] -> ((3-i) * ((8+3i) - (5 / (4-3i))))
[10628] ['(3-i)', '(4-3i)', '(5+i)', '(7-3i)'] -> (((3-i) + (5+i)) * ((7-3i) - (4-3i)))
[10640] ['(3-i)', '(4-3i)', '(5+2i)', '(5+4i)'] -> (((4-3i) * (5+4i)) - ((3-i) + (5+2i)))
[10649] ['(3-i)', '(4-3i)', '(5+2i)', '(7+4i)'] -> (((3-i) * (7+4i)) + ((4-3i) - (5+2i)))
[10663] ['(3-i)', '(4-3i)', '(5+3i)', '(7-9i)'] -> ((3-i) * ((5+3i) + ((7-9i) / (4-3i))))
[10669] ['(3-i)', '(4-3i)', '(5+3i)', '(8-4i)'] -> (((6-i) * (7-i)) - ((8-8i) + (9-5i)))
[10705] ['(3-i)', '(4-3i)', '(5+5i)', '(7+i)'] -> ((3-i) * ((7+i) + ((5+5i) / (4-3i))))
[10712] ['(3-i)', '(4-3i)', '(5+5i)', '(8+6i)'] -> (((4-3i) * (5+5i)) - ((3-i) + (8+6i)))
[10723] ['(3-i)', '(4-3i)', '(5+6i)', '6'] -> (((3-i) * ((4-3i) + (5+6i))) - 6)
[10759] ['(3-i)', '(4-3i)', '(5+7i)', '(7+3i)'] -> (((3-i) * ((4-3i) + (5+7i))) - (7+3i))
[10788] ['(3-i)', '(4-3i)', '(5+8i)', '(8-i)'] -> (((7-8i) - (7-5i)) * ((9-i) - (9-9i)))
[10791] ['(3-i)', '(4-3i)', '(5+8i)', '(8+6i)'] -> (((3-i) * ((4-3i) + (5+8i))) - (8+6i))
[10813] ['(3-i)', '(4-3i)', '(5+9i)', '(9+9i)'] -> (((3-i) * ((4-3i) + (5+9i))) - (9+9i))
[10816] ['(3-i)', '(4-3i)', '(6-9i)', '(6+4i)'] -> (((3-i) * (6+4i)) - ((4-3i) - (6-9i)))
[10835] ['(3-i)', '(4-3i)', '(6-9i)', '(9+9i)'] -> ((6-9i) + ((9+9i) / ((3-i) / (4-3i))))
[10862] ['(3-i)', '(4-3i)', '(6-7i)', '(8+8i)'] -> ((8+8i) * ((4-3i) - ((6-7i) / (3-i))))
[10867] ['(3-i)', '(4-3i)', '(6-7i)', '(9+2i)'] -> ((3-i) * ((9+2i) - ((6-7i) / (4-3i))))
[10870] ['(3-i)', '(4-3i)', '(6-6i)', '(6-2i)'] -> (((6-6i) * (6-2i)) / ((4-3i) - (3-i)))
[10883] ['(3-i)', '(4-3i)', '(6-6i)', '(9-2i)'] -> ((6-6i) * ((9-2i) - ((3-i) + (4-3i))))
[10887] ['(3-i)', '(4-3i)', '(6-5i)', '(6+i)'] -> (((6-5i) * ((6+i) - (3-i))) - (4-3i))
[10889] ['(3-i)', '(4-3i)', '(6-5i)', '(6+3i)'] -> (((4-3i) * (6+3i)) - ((3-i) + (6-5i)))
[10899] ['(3-i)', '(4-3i)', '(6-5i)', '(8+2i)'] -> (((3-i) * (8+2i)) + ((4-3i) - (6-5i)))
[10936] ['(3-i)', '(4-3i)', '(6-3i)', '(9+i)'] -> (((3-3i) * (7+4i)) - ((3-9i) + 6))
[10942] ['(3-i)', '(4-3i)', '(6-2i)', '6'] -> ((6 * (8-4i)) / ((3-9i) / (3-3i)))
[10944] ['(3-i)', '(4-3i)', '(6-2i)', '(6+2i)'] -> ((3-i) * ((6+2i) + ((6-2i) / (4-3i))))
[10957] ['(3-i)', '(4-3i)', '(6-2i)', '(8+3i)'] -> (((4-3i) + (8+3i)) / ((3-i) / (6-2i)))
[10962] ['(3-i)', '(4-3i)', '(6-2i)', '(9+7i)'] -> ((6-2i) * ((3-i) + ((9+7i) / (4-3i))))
[10986] ['(3-i)', '(4-3i)', '6', '(7+i)'] -> (6 * ((3-i) + ((7+i) / (4-3i))))
[10991] ['(3-i)', '(4-3i)', '6', '(8-i)'] -> (((4-3i) + (8-i)) / ((3-i) / 6))
[11003] ['(3-i)', '(4-3i)', '(6+i)', '(7+i)'] -> (((3-i) * (7+i)) - ((4-3i) - (6+i)))
[11015] ['(3-i)', '(4-3i)', '(6+i)', '9'] -> (((3-i) * (6+i)) - ((4-3i) - 9))
[11016] ['(3-i)', '(4-3i)', '(6+i)', '(9+2i)'] -> ((3-i) * ((6+i) + ((9+2i) / (4-3i))))
[11035] ['(3-i)', '(4-3i)', '(6+2i)', '(8-3i)'] -> (((3-i) * (6+2i)) - ((4-3i) - (8-3i)))
[11051] ['(3-i)', '(4-3i)', '(6+3i)', '(7-6i)'] -> ((8 * (9-8i)) - ((7-i) * (8-8i)))
[11072] ['(3-i)', '(4-3i)', '(6+4i)', '(7-7i)'] -> ((5-8i) - ((1+2i) + ((1-7i) * (1-3i))))
[11085] ['(3-i)', '(4-3i)', '(6+4i)', '(9-i)'] -> (((4-3i) * (6+4i)) - ((3-i) + (9-i)))
[11088] ['(3-i)', '(4-3i)', '(6+4i)', '(9+9i)'] -> (((3-i) * (4-3i)) + ((6+4i) + (9+9i)))
[11092] ['(3-i)', '(4-3i)', '(6+5i)', '(7+5i)'] -> (((3-4i) + (3+4i)) * ((9-8i) - (5-8i)))
[11097] ['(3-i)', '(4-3i)', '(6+5i)', '(8-4i)'] -> (((3-i) * ((4-3i) + (6+5i))) - (8-4i))
[11104] ['(3-i)', '(4-3i)', '(6+5i)', '(9+8i)'] -> (((3-i) * (4-3i)) + ((6+5i) + (9+8i)))
[11109] ['(3-i)', '(4-3i)', '(6+6i)', '(7+i)'] -> ((6+6i) * ((3-i) - ((7+i) / (4-3i))))
[11116] ['(3-i)', '(4-3i)', '(6+6i)', '(9-6i)'] -> ((6+6i) * ((9-6i) - ((3-i) + (4-3i))))
[11118] ['(3-i)', '(4-3i)', '(6+6i)', '(9-i)'] -> (((3-i) * ((4-3i) + (6+6i))) - (9-i))
[11121] ['(3-i)', '(4-3i)', '(6+6i)', '(9+7i)'] -> (((3-i) * (4-3i)) + ((6+6i) + (9+7i)))
[11135] ['(3-i)', '(4-3i)', '(6+7i)', '(9+6i)'] -> (((3-i) * (4-3i)) + ((6+7i) + (9+6i)))
[11140] ['(3-i)', '(4-3i)', '(6+8i)', '(7+3i)'] -> (((3-i) * (7+3i)) - ((6+8i) / (4-3i)))
[11154] ['(3-i)', '(4-3i)', '(6+8i)', '(9-i)'] -> ((6+8i) * ((3-i) - ((9-i) / (4-3i))))
[11157] ['(3-i)', '(4-3i)', '(6+8i)', '(9+5i)'] -> (((6-i) * 7) - ((9-4i) + (9-3i)))
[11172] ['(3-i)', '(4-3i)', '(6+9i)', '(9+4i)'] -> ((6-8i) - ((9+4i) * ((7+8i) - (9+8i))))
[11179] ['(3-i)', '(4-3i)', '(7-9i)', '(8+8i)'] -> (((7-8i) - (7-4i)) * ((9+5i) - (9-i)))
[11208] ['(3-i)', '(4-3i)', '(7-6i)', '(9+7i)'] -> ((7-6i) + ((9+7i) / ((3-i) / (4-3i))))
[11235] ['(3-i)', '(4-3i)', '(7-2i)', '(8-3i)'] -> ((9+5i) + ((7+i) * ((3-9i) / (3-3i))))
[11238] ['(3-i)', '(4-3i)', '(7-2i)', '(8+3i)'] -> (((3-i) * (8+3i)) + ((4-3i) - (7-2i)))
[11251] ['(3-i)', '(4-3i)', '(7-i)', '(8+7i)'] -> (((3-4i) * (3+4i)) - ((6-8i) / (6-8i)))
[11257] ['(3-i)', '(4-3i)', '7', '(7+4i)'] -> (((3-i) * 7) - ((4-3i) - (7+4i)))
[11261] ['(3-i)', '(4-3i)', '7', '(8+9i)'] -> ((3-i) * (7 + ((8+9i) / (4-3i))))
[11263] ['(3-i)', '(4-3i)', '(7+i)', '(7+2i)'] -> (((3-i) * (7+2i)) + ((7+i) / (4-3i)))
[11280] ['(3-i)', '(4-3i)', '(7+4i)', '(7+8i)'] -> (((4-3i) * ((7+4i) - (3-i))) - (7+8i))
[11283] ['(3-i)', '(4-3i)', '(7+4i)', '(8+9i)'] -> (((3-4i) * (3+4i)) + ((6-5i) - (7-5i)))
[11293] ['(3-i)', '(4-3i)', '(7+5i)', '(8+8i)'] -> (((3-i) * (4-3i)) + ((7+5i) + (8+8i)))
[11298] ['(3-i)', '(4-3i)', '(7+6i)', '(7+8i)'] -> (4 * ((9+2i) + ((4-9i) - (7-7i))))
[11302] ['(3-i)', '(4-3i)', '(7+6i)', '(8+7i)'] -> (((3-i) * (4-3i)) + ((7+6i) + (8+7i)))
[11314] ['(3-i)', '(4-3i)', '(7+7i)', '(8+6i)'] -> (((3-i) * (4-3i)) + ((7+7i) + (8+6i)))
[11320] ['(3-i)', '(4-3i)', '(7+8i)', '(8+5i)'] -> (((2-7i) + (2-3i)) - ((1-7i) * (1-3i)))
[11334] ['(3-i)', '(4-3i)', '(7+9i)', '(8+4i)'] -> ((9+i) - ((7-8i) * ((7-3i) - (8-2i))))
[11345] ['(3-i)', '(4-3i)', '(8-9i)', '(9+i)'] -> (((3-i) * (9+i)) + ((4-3i) - (8-9i)))
[11350] ['(3-i)', '(4-3i)', '(8-8i)', '(8+8i)'] -> ((8-8i) + ((8+8i) / ((3-i) / (4-3i))))
[11363] ['(3-i)', '(4-3i)', '(8-6i)', '(9+i)'] -> (((3-4i) * (3+4i)) - ((7-8i) / (7-8i)))
[11373] ['(3-i)', '(4-3i)', '(8-5i)', '(9+9i)'] -> (((3-i) + (4-3i)) + ((8-5i) + (9+9i)))
[11379] ['(3-i)', '(4-3i)', '(8-4i)', '(9+8i)'] -> (((3-i) + (4-3i)) + ((8-4i) + (9+8i)))
[11383] ['(3-i)', '(4-3i)', '(8-3i)', '(9+5i)'] -> ((8-3i) + ((9+5i) / ((3-i) / (4-3i))))
[11384] ['(3-i)', '(4-3i)', '(8-3i)', '(9+7i)'] -> (((3-i) + (4-3i)) + ((8-3i) + (9+7i)))
[11391] ['(3-i)', '(4-3i)', '(8-2i)', '(9+6i)'] -> (((3-i) + (4-3i)) + ((8-2i) + (9+6i)))
[11396] ['(3-i)', '(4-3i)', '(8-i)', '(9+5i)'] -> (((4-5i) + (8-7i)) * ((6-7i) - (5-8i)))
[11401] ['(3-i)', '(4-3i)', '8', '(9-8i)'] -> (((3-i) + (9-8i)) / ((4-3i) / 8))
[11404] ['(3-i)', '(4-3i)', '8', '(9+4i)'] -> (((3-i) + (4-3i)) + (8 + (9+4i)))
[11406] ['(3-i)', '(4-3i)', '(8+i)', '(8+3i)'] -> (((4-3i) * ((8+3i) - (3-i))) - (8+i))
[11407] ['(3-i)', '(4-3i)', '(8+i)', '(8+4i)'] -> (((3-i) * (8+4i)) + ((4-3i) - (8+i)))
[11410] ['(3-i)', '(4-3i)', '(8+i)', '(9+3i)'] -> (((3-i) + (4-3i)) + ((8+i) + (9+3i)))
[11418] ['(3-i)', '(4-3i)', '(8+2i)', '(9+2i)'] -> ((2-4i) - ((1-3i) * ((1-7i) - 2)))
[11426] ['(3-i)', '(4-3i)', '(8+3i)', '(9+i)'] -> (((3-i) + (4-3i)) + ((8+3i) + (9+i)))
[11427] ['(3-i)', '(4-3i)', '(8+4i)', '(8+4i)'] -> ((3-i) * ((8+4i) - ((8+4i) / (4-3i))))
[11428] ['(3-i)', '(4-3i)', '(8+4i)', '9'] -> (((3-i) + (4-3i)) + ((8+4i) + 9))
[11433] ['(3-i)', '(4-3i)', '(8+5i)', '(9-i)'] -> (((3-i) + (4-3i)) + ((8+5i) + (9-i)))
[11434] ['(3-i)', '(4-3i)', '(8+5i)', '(9+4i)'] -> (((3-i) * (8+5i)) + ((4-3i) - (9+4i)))
[11438] ['(3-i)', '(4-3i)', '(8+6i)', '(9-5i)'] -> ((9-5i) + ((8+6i) / ((3-i) / (4-3i))))
[11440] ['(3-i)', '(4-3i)', '(8+6i)', '(9-2i)'] -> (((3-i) + (4-3i)) + ((8+6i) + (9-2i)))
[11445] ['(3-i)', '(4-3i)', '(8+7i)', '(9-3i)'] -> (((7-8i) - (7-2i)) * ((7+3i) - (7-i)))
[11449] ['(3-i)', '(4-3i)', '(8+8i)', '(9-4i)'] -> (((3-i) + (4-3i)) + ((8+8i) + (9-4i)))
[11451] ['(3-i)', '(4-3i)', '(8+9i)', '(9-5i)'] -> ((2-7i) + ((5+i) / ((1-i) / (5-4i))))
[11477] ['(3-i)', '(4-3i)', '(9-3i)', '(9-3i)'] -> (((3-i) + (9-3i)) / ((4-3i) / (9-3i)))
[11479] ['(3-i)', '(4-3i)', '(9-3i)', '(9+3i)'] -> ((3-i) * ((9+3i) - ((9-3i) / (4-3i))))
[11486] ['(3-i)', '(4-3i)', '9', '(9+3i)'] -> (9 + ((9+3i) / ((3-i) / (4-3i))))
[11560] ['(3-i)', '(4-2i)', '(4-i)', '8'] -> (8 * ((4-i) + ((3-i) - (4-2i))))
[11565] ['(3-i)', '(4-2i)', '(4-i)', '(9+9i)'] -> (((3-i) * (4-i)) + ((4-2i) + (9+9i)))
[11567] ['(3-i)', '(4-2i)', '4', '(4+4i)'] -> ((4+4i) * (((3-i) + (4-2i)) - 4))
[11571] ['(3-i)', '(4-2i)', '4', '(5+i)'] -> ((2+4i) - ((1-7i) * ((1-3i) - 2)))
[11574] ['(3-i)', '(4-2i)', '4', '(5+9i)'] -> (((3-i) + (5+9i)) + ((4-2i) * 4))
[11575] ['(3-i)', '(4-2i)', '4', '(6-6i)'] -> ((4 * (6-6i)) / ((4-2i) - (3-i)))
[11579] ['(3-i)', '(4-2i)', '4', '(7-i)'] -> (4 * ((7-i) + ((3-i) - (4-2i))))
[11580] ['(3-i)', '(4-2i)', '4', '(7+3i)'] -> (((3-i) * (7+3i)) + ((4-2i) - 4))
[11586] ['(3-i)', '(4-2i)', '4', '(8+4i)'] -> (4 * ((4-2i) + ((8+4i) / (3-i))))
[11587] ['(3-i)', '(4-2i)', '4', '(8+6i)'] -> (((3-i) * 4) + ((4-2i) + (8+6i)))
[11601] ['(3-i)', '(4-2i)', '(4+i)', '(7-5i)'] -> (3 * ((6-4i) - ((3-7i) - (5-3i))))
[11605] ['(3-i)', '(4-2i)', '(4+i)', '(7+3i)'] -> (((3-i) * (4+i)) + ((4-2i) + (7+3i)))
[11612] ['(3-i)', '(4-2i)', '(4+i)', '(9+3i)'] -> (((3-2i) * (8+3i)) - ((3-9i) + (3+2i)))
[11616] ['(3-i)', '(4-2i)', '(4+2i)', '(4+4i)'] -> ((4+4i) * ((4-2i) - ((4+2i) / (3-i))))
[11623] ['(3-i)', '(4-2i)', '(4+2i)', '(6-i)'] -> (((4-2i) + (4+2i)) * ((6-i) - (3-i)))
[11624] ['(3-i)', '(4-2i)', '(4+2i)', '6'] -> ((3+3i) - ((3-9i) * ((3-2i) - 4)))
[11631] ['(3-i)', '(4-2i)', '(4+2i)', '(7-i)'] -> (((4-2i) * (4+2i)) - ((3-i) - (7-i)))
[11641] ['(3-i)', '(4-2i)', '(4+2i)', '(9-3i)'] -> (((4-2i) + (4+2i)) / ((3-i) / (9-3i)))
[11645] ['(3-i)', '(4-2i)', '(4+3i)', '(5-5i)'] -> (((4-2i) * (4+3i)) - ((3-i) - (5-5i)))
[11647] ['(3-i)', '(4-2i)', '(4+3i)', '(5-3i)'] -> (((1-3i) * ((3+i) - (1-7i))) - (2+2i))
[11665] ['(3-i)', '(4-2i)', '(4+3i)', '(8-6i)'] -> ((2+2i) * ((6-2i) + ((1-7i) - (1-3i))))
[11669] ['(3-i)', '(4-2i)', '(4+3i)', '(8+9i)'] -> (((4-2i) - (3-i)) * ((4+3i) + (8+9i)))
[11678] ['(3-i)', '(4-2i)', '(4+4i)', '(4+6i)'] -> ((7-i) - ((8+9i) * ((8-4i) - (9-5i))))
[11679] ['(3-i)', '(4-2i)', '(4+4i)', '(4+8i)'] -> ((4+4i) * ((3-i) - ((4+8i) / (4-2i))))
[11682] ['(3-i)', '(4-2i)', '(4+4i)', '(5+i)'] -> (((3-i) * (5+i)) + ((4-2i) + (4+4i)))
[11688] ['(3-i)', '(4-2i)', '(4+4i)', '(7-7i)'] -> ((4+4i) * (((3-i) * (4-2i)) - (7-7i)))
[11701] ['(3-i)', '(4-2i)', '(4+4i)', '(8+8i)'] -> (((4-2i) - (3-i)) * ((4+4i) + (8+8i)))
[11732] ['(3-i)', '(4-2i)', '(4+5i)', '(8+7i)'] -> (((4-2i) - (3-i)) * ((4+5i) + (8+7i)))
[11740] ['(3-i)', '(4-2i)', '(4+6i)', '(6-6i)'] -> (((4-2i) + (4+6i)) / ((3-i) / (6-6i)))
[11747] ['(3-i)', '(4-2i)', '(4+6i)', '(7+7i)'] -> (((7-8i) - (7-2i)) * ((9+7i) - (9+3i)))
[11749] ['(3-i)', '(4-2i)', '(4+6i)', '8'] -> (((3-i) * 8) - ((4-2i) - (4+6i)))
[11750] ['(3-i)', '(4-2i)', '(4+6i)', '(8+3i)'] -> (((4-2i) * ((8+3i) - (3-i))) - (4+6i))
[11752] ['(3-i)', '(4-2i)', '(4+6i)', '(8+6i)'] -> (((2-5i) - (2+i)) * (3 - (3-4i)))
[11767] ['(3-i)', '(4-2i)', '(4+7i)', '(5+7i)'] -> (((3-i) * ((4-2i) + (4+7i))) - (5+7i))
