[369788] ['-8i', 'i', '4i', '(6+8i)'] -> ((-8i + (6+8i)) / (i / 4i))
[369791] ['-8i', 'i', '4i', '7'] -> (-8i * ((i * 7) - 4i))
[369794] ['-8i', 'i', '4i', '(8-i)'] -> ((-8i * 4i) - (i + (8-i)))
[369795] ['-8i', 'i', '4i', '(8+i)'] -> (((8+i) * ((4-2i) - (1-i))) - (1-5i))
[369798] ['-8i', 'i', '4i', '(8+6i)'] -> (4i * ((-8i * i) - (8+6i)))
[369802] ['-8i', 'i', '4i', '9'] -> ((-8i * 9) / (i - 4i))
[369807] ['-8i', 'i', '5i', '6i'] -> (6i * (5i + (-8i - i)))
[369816] ['-8i', 'i', '5i', '(2+6i)'] -> (((9-4i) + (9-4i)) - ((1-2i) * (2-4i)))
[369820] ['-8i', 'i', '5i', '(3-5i)'] -> ((-8i * i) * (5i + (3-5i)))
[369832] ['-8i', 'i', '5i', '(5-3i)'] -> (4 * ((4+6i) + ((1-5i) + (1-i))))
[369858] ['-8i', 'i', '6i', '(2-i)'] -> ((-8i * 6i) / (i + (2-i)))
[369859] ['-8i', 'i', '6i', '(2+i)'] -> ((-8i * 6i) / ((2+i) - i))
[369863] ['-8i', 'i', '6i', '(3-6i)'] -> ((-8i * i) * (6i + (3-6i)))
[369878] ['-8i', 'i', '6i', '(4+8i)'] -> ((-8i + (4+8i)) / (i / 6i))
[369891] ['-8i', 'i', '6i', '(6-3i)'] -> (-8i * ((6i / i) - (6-3i)))
[369892] ['-8i', 'i', '6i', '6'] -> (6i / (i - (6 / -8i)))
[369907] ['-8i', 'i', '6i', '8'] -> (-8i / (i + (8 / 6i)))
[369910] ['-8i', 'i', '6i', '(8+4i)'] -> ((1+i) * ((8+2i) + (-6i + (4-8i))))
[369915] ['-8i', 'i', '7i', '(1-3i)'] -> (-8i + ((1-3i) * (i + 7i)))
[369919] ['-8i', 'i', '7i', '(1+3i)'] -> ((-8i * (1+3i)) + (i + 7i))
[369924] ['-8i', 'i', '7i', '2'] -> ((-8i / 2) * (7i - i))
[369928] ['-8i', 'i', '7i', '(3-7i)'] -> ((3-6i) + (-3i * ((4+9i) - (6+2i))))
[369944] ['-8i', 'i', '7i', '(7-3i)'] -> (-8i * ((7i / i) - (7-3i)))
