[282059] ['-3i', '(1-9i)', '(5+7i)', '(6+6i)'] -> -3i * (6+6i - (1-9i + 5+7i))
[282074] ['-3i', '(1-9i)', '(5+8i)', '(6-9i)'] -> 8+8i + 2-i * (3-3i + 5+3i)
[282079] ['-3i', '(1-9i)', '(5+8i)', '(6+7i)'] -> (1-8i - 1-6i) * (5+8i - 5-4i)
[282090] ['-3i', '(1-9i)', '(5+9i)', '(6-8i)'] -> (1-8i - 1-6i) * (5+9i - 5-3i)
[282096] ['-3i', '(1-9i)', '(5+9i)', '(6+8i)'] -> -3i * (6+8i - (1-9i + 5+9i))
[282109] ['-3i', '(1-9i)', '(6-9i)', '(9-6i)'] -> 6-9i - 9-6i - -3i * 1-9i
[282120] ['-3i', '(1-9i)', '(6-8i)', '(7-9i)'] -> -3i * (7-9i - (1-9i + 6-8i))
[282124] ['-3i', '(1-9i)', '(6-8i)', '(7-i)'] -> -3i * (6-8i / 7-i - 1-9i)
[282131] ['-3i', '(1-9i)', '(6-8i)', '(9-5i)'] -> 6-8i - 9-5i - -3i * 1-9i
[282136] ['-3i', '(1-9i)', '(6-7i)', '(7-8i)'] -> -3i * (7-8i - (1-9i + 6-7i))
[282141] ['-3i', '(1-9i)', '(6-7i)', '(9-4i)'] -> 6-7i - 9-4i - -3i * 1-9i
[282144] ['-3i', '(1-9i)', '(6-6i)', '6'] -> -3i * (6-6i / 6 - 1-9i)
[282146] ['-3i', '(1-9i)', '(6-6i)', '(7-7i)'] -> -3i * (7-7i - (1-9i + 6-6i))
[282151] ['-3i', '(1-9i)', '(6-6i)', '(9-3i)'] -> 6-6i - 9-3i - -3i * 1-9i
[282157] ['-3i', '(1-9i)', '(6-5i)', '(7-6i)'] -> -3i * (7-6i - (1-9i + 6-5i))
[282160] ['-3i', '(1-9i)', '(6-5i)', '(8-9i)'] -> 1-9i + 8-9i - -3i * 6-5i
[282164] ['-3i', '(1-9i)', '(6-5i)', '(9-2i)'] -> 6-5i - 9-2i - -3i * 1-9i
[282169] ['-3i', '(1-9i)', '(6-4i)', '(7-5i)'] -> -3i * (7-5i - (1-9i + 6-4i))
[282173] ['-3i', '(1-9i)', '(6-4i)', '(9-i)'] -> 6-4i - 9-i - -3i * 1-9i
[282177] ['-3i', '(1-9i)', '(6-3i)', '(7-4i)'] -> -3i * (7-4i - (1-9i + 6-3i))
[282186] ['-3i', '(1-9i)', '(6-3i)', '9'] -> 6-3i - 9 - -3i * 1-9i
[282188] ['-3i', '(1-9i)', '(6-2i)', '6'] -> 6-2i + 6 / (-3i / 1-9i)
[282191] ['-3i', '(1-9i)', '(6-2i)', '(7-3i)'] -> -3i * (7-3i - (1-9i + 6-2i))
[282200] ['-3i', '(1-9i)', '(6-2i)', '(9+i)'] -> (3-3i - 1-3i) * (5-8i + 7+8i)
[282205] ['-3i', '(1-9i)', '(6-i)', '(7-2i)'] -> -3i * (7-2i - (1-9i + 6-i))
[282209] ['-3i', '(1-9i)', '(6-i)', '(9+2i)'] -> 6-i - 9+2i - -3i * 1-9i
[282213] ['-3i', '(1-9i)', '6', '(7-i)'] -> -3i * (7-i - (1-9i + 6))
[282222] ['-3i', '(1-9i)', '6', '(9+3i)'] -> 6 - 9+3i - -3i * 1-9i
[282226] ['-3i', '(1-9i)', '(6+i)', '(7-5i)'] -> -3i * (7-5i / 6+i - 1-9i)
[282227] ['-3i', '(1-9i)', '(6+i)', '7'] -> -3i * (7 - (1-9i + 6+i))
[282234] ['-3i', '(1-9i)', '(6+i)', '(9+4i)'] -> 6+i - 9+4i - -3i * 1-9i
[282239] ['-3i', '(1-9i)', '(6+2i)', '(7+i)'] -> -3i * (7+i - (1-9i + 6+2i))
[282244] ['-3i', '(1-9i)', '(6+2i)', '(8-4i)'] -> -3i * (8-4i / 6+2i - 1-9i)
[282249] ['-3i', '(1-9i)', '(6+2i)', '(9+5i)'] -> 8-8i * 9+6i / (5-8i - -7i)
[282256] ['-3i', '(1-9i)', '(6+3i)', '(7-3i)'] -> -3i * 1-9i + 6+3i * 7-3i
[282257] ['-3i', '(1-9i)', '(6+3i)', '(7+2i)'] -> -3i * (7+2i - (1-9i + 6+3i))
[282266] ['-3i', '(1-9i)', '(6+3i)', '(9-3i)'] -> -3i * (9-3i / 6+3i - 1-9i)
[282268] ['-3i', '(1-9i)', '(6+3i)', '(9+6i)'] -> 8 * (2-i + 6 / 3-3i)
[282273] ['-3i', '(1-9i)', '(6+4i)', '(7+3i)'] -> 3-3i * (8+3i + 1-3i - 5-4i)
[282282] ['-3i', '(1-9i)', '(6+4i)', '(9+7i)'] -> 6+4i - 9+7i - -3i * 1-9i
[282286] ['-3i', '(1-9i)', '(6+5i)', '(7+4i)'] -> -3i * (7+4i - (1-9i + 6+5i))
[282293] ['-3i', '(1-9i)', '(6+5i)', '(9+8i)'] -> 8 * (8-i + -7i - 5-8i)
[282297] ['-3i', '(1-9i)', '(6+6i)', '(7-3i)'] -> (1-9i - 7-3i) / (-3i / 6+6i)
[282299] ['-3i', '(1-9i)', '(6+6i)', '(7+5i)'] -> -3i * (7+5i - (1-9i + 6+6i))
[282301] ['-3i', '(1-9i)', '(6+6i)', '(7+9i)'] -> -3i * 6+6i - (1-9i - 7+9i)
[282308] ['-3i', '(1-9i)', '(6+6i)', '(9+9i)'] -> 3-3i * (8+5i + 1-3i - 5-2i)
[282311] ['-3i', '(1-9i)', '(6+7i)', '(7+6i)'] -> 9+9i - 3-3i * (1-3i - 5-2i)
[282317] ['-3i', '(1-9i)', '(6+8i)', '(7-9i)'] -> -3i * (1-9i + 6+8i - 7-9i)
[282322] ['-3i', '(1-9i)', '(6+8i)', '(7+7i)'] -> -3i * (7+7i - (1-9i + 6+8i))
[282327] ['-3i', '(1-9i)', '(6+9i)', '(7-8i)'] -> -3i * (1-9i + 6+9i - 7-8i)
[282330] ['-3i', '(1-9i)', '(6+9i)', '(7+8i)'] -> -3i * (7+8i - (1-9i + 6+9i))
[282341] ['-3i', '(1-9i)', '(7-9i)', '(8-i)'] -> -3i * (7-9i / 8-i - 1-9i)
[282349] ['-3i', '(1-9i)', '(7-8i)', '(8-9i)'] -> -3i * (8-9i - (1-9i + 7-8i))
[282357] ['-3i', '(1-9i)', '(7-7i)', '7'] -> -3i * (7-7i / 7 - 1-9i)
[282359] ['-3i', '(1-9i)', '(7-7i)', '(8-8i)'] -> -3i * (8-8i - (1-9i + 7-7i))
[282366] ['-3i', '(1-9i)', '(7-6i)', '(8-7i)'] -> 8 * (5-i + 2-7i - 4-8i)
[282376] ['-3i', '(1-9i)', '(7-5i)', '(8-6i)'] -> -9i - 9 + 3-i * 9+6i
[282387] ['-3i', '(1-9i)', '(7-4i)', '(8-5i)'] -> -9i * (3+3i - 3) - 3
[282406] ['-3i', '(1-9i)', '(7-3i)', '(8-4i)'] -> -3i * (8-4i - (1-9i + 7-3i))
[282420] ['-3i', '(1-9i)', '(7-2i)', '(8-3i)'] -> -3i * (8-3i - (1-9i + 7-2i))
[282442] ['-3i', '(1-9i)', '(7-i)', '(8-2i)'] -> -3i * (8-2i - (1-9i + 7-i))
[282447] ['-3i', '(1-9i)', '7', '(7+9i)'] -> (1-9i * 7 - 7+9i) / -3i
[282452] ['-3i', '(1-9i)', '7', '(8-i)'] -> -3i * (8-i - (1-9i + 7))
[282461] ['-3i', '(1-9i)', '(7+i)', '(8-6i)'] -> -3i * (8-6i / 7+i - 1-9i)
[282464] ['-3i', '(1-9i)', '(7+i)', '8'] -> -3i * (8 - (1-9i + 7+i))
[282469] ['-3i', '(1-9i)', '(7+2i)', '(8+i)'] -> -3i * (8+i - (1-9i + 7+2i))
[282472] ['-3i', '(1-9i)', '(7+2i)', '(9-5i)'] -> -3i * (9-5i / 7+2i - 1-9i)
[282483] ['-3i', '(1-9i)', '(7+3i)', '(8+2i)'] -> -3i * (8+2i - (1-9i + 7+3i))
[282498] ['-3i', '(1-9i)', '(7+4i)', '(8+3i)'] -> -3i * (8+3i - (1-9i + 7+4i))
[282512] ['-3i', '(1-9i)', '(7+5i)', '(8+4i)'] -> -3i * (8+4i - (1-9i + 7+5i))
[282524] ['-3i', '(1-9i)', '(7+6i)', '(8+5i)'] -> -3i * (8+5i - (1-9i + 7+6i))
[282531] ['-3i', '(1-9i)', '(7+7i)', '(8+6i)'] -> (3-3i - 1-3i) * (6-7i + 6+7i)
[282538] ['-3i', '(1-9i)', '(7+8i)', '(8-9i)'] -> -3i * (1-9i + 7+8i - 8-9i)
[282540] ['-3i', '(1-9i)', '(7+8i)', '(8+7i)'] -> -3i * (8+7i - (1-9i + 7+8i))
[282546] ['-3i', '(1-9i)', '(7+9i)', '(8-8i)'] -> 3+9i - 3+3i * (2-3i - 4-8i)
[282553] ['-3i', '(1-9i)', '(7+9i)', '(8+8i)'] -> (3-3i - 1-3i) * (6-6i + 6+6i)
[282576] ['-3i', '(1-9i)', '(8-8i)', '8'] -> -3i * (8-8i / 8 - 1-9i)
[282578] ['-3i', '(1-9i)', '(8-8i)', '(9-9i)'] -> -3i * (9-9i - (1-9i + 8-8i))
[282586] ['-3i', '(1-9i)', '(8-7i)', '(9-8i)'] -> 6+9i + 3+6i * -9i / 3
[282595] ['-3i', '(1-9i)', '(8-6i)', '(9-7i)'] -> -3i * (9-7i - (1-9i + 8-6i))
[282601] ['-3i', '(1-9i)', '(8-5i)', '(9-6i)'] -> -3i * (9-6i - (1-9i + 8-5i))
[282609] ['-3i', '(1-9i)', '(8-4i)', '(9-5i)'] -> -3i * (9-5i - (1-9i + 8-4i))
[282612] ['-3i', '(1-9i)', '(8-3i)', '(9-4i)'] -> -3i * (9-4i - (1-9i + 8-3i))
[282614] ['-3i', '(1-9i)', '(8-2i)', '(9-3i)'] -> -3i * (9-3i - (1-9i + 8-2i))
[282617] ['-3i', '(1-9i)', '(8-i)', '(9-2i)'] -> -3i * (9-2i - (1-9i + 8-i))
[282620] ['-3i', '(1-9i)', '8', '8'] -> (1-9i * 8 - 8) / -3i
[282623] ['-3i', '(1-9i)', '8', '(9-i)'] -> -3i * (9-i - (1-9i + 8))
[282625] ['-3i', '(1-9i)', '8', '(9+i)'] -> -3i / 1-9i * 8 * 9+i
[282628] ['-3i', '(1-9i)', '(8+i)', '(9-7i)'] -> -3i * (9-7i / 8+i - 1-9i)
[282629] ['-3i', '(1-9i)', '(8+i)', '9'] -> -3i * (9 - (1-9i + 8+i))
[282635] ['-3i', '(1-9i)', '(8+2i)', '(9+i)'] -> -3i * (9+i - (1-9i + 8+2i))
[282639] ['-3i', '(1-9i)', '(8+3i)', '(9+2i)'] -> -3i * (9+2i - (1-9i + 8+3i))
[282651] ['-3i', '(1-9i)', '(8+4i)', '(9+3i)'] -> -3i * (9+3i - (1-9i + 8+4i))
[282655] ['-3i', '(1-9i)', '(8+5i)', '(9+4i)'] -> -3i * (9+4i - (1-9i + 8+5i))
[282660] ['-3i', '(1-9i)', '(8+6i)', '(9+5i)'] -> -3i * (9+5i - (1-9i + 8+6i))
[282664] ['-3i', '(1-9i)', '(8+7i)', '(9+6i)'] -> -3i * (9+6i - (1-9i + 8+7i))
[282667] ['-3i', '(1-9i)', '(8+8i)', '(9-9i)'] -> -3i * (1-9i + 8+8i - 9-9i)
[282673] ['-3i', '(1-9i)', '(8+8i)', '(9+7i)'] -> -3i * (9+7i - (1-9i + 8+8i))
[282676] ['-3i', '(1-9i)', '(8+9i)', '(9-8i)'] -> -3i * (1-9i + 8+9i - 9-8i)
[282679] ['-3i', '(1-9i)', '(8+9i)', '(9+8i)'] -> -3i * (9+8i - (1-9i + 8+9i))
[282705] ['-3i', '(1-8i)', '(1-8i)', '(1-8i)'] -> 3+3i * 8-8i / (4-3i - 2-3i)
[282707] ['-3i', '(1-8i)', '(1-8i)', '(1-3i)'] -> -3i + 1-8i - 1-8i * 1-3i
[282708] ['-3i', '(1-8i)', '(1-8i)', '(1+3i)'] -> (3-3i - 7+5i) / (1-3i / 6+6i)
[282712] ['-3i', '(1-8i)', '(1-8i)', '(1+8i)'] -> -3i * (1+8i - 1-8i / 1-8i)
[282715] ['-3i', '(1-8i)', '(1-8i)', '(2-8i)'] -> -3i * (2-8i - (1-8i + 1-8i))
[282740] ['-3i', '(1-8i)', '(1-7i)', '(1-7i)'] -> -3i * (1-7i / 1-7i - 1-8i)
[282744] ['-3i', '(1-8i)', '(1-7i)', '(2-7i)'] -> -3i * (2-7i - (1-8i + 1-7i))
[282745] ['-3i', '(1-8i)', '(1-7i)', '(2+5i)'] -> 1-8i + 2+5i - -3i * 1-7i
[282765] ['-3i', '(1-8i)', '(1-7i)', '(9-7i)'] -> -3i * (9-7i / 1-8i - 1-7i)
[282770] ['-3i', '(1-8i)', '(1-6i)', '(1-6i)'] -> -3i * (1-6i / 1-6i - 1-8i)
[282776] ['-3i', '(1-8i)', '(1-6i)', '(2-6i)'] -> -3i * (2-6i - (1-8i + 1-6i))
[282790] ['-3i', '(1-8i)', '(1-6i)', '4'] -> 3+3i * (6 + 2-3i - 4+i)
[282796] ['-3i', '(1-8i)', '(1-6i)', '(5+5i)'] -> 1-8i + 5+5i - -3i * 1-6i
[282817] ['-3i', '(1-8i)', '(1-5i)', '(1-5i)'] -> -3i * (1-5i / 1-5i - 1-8i)
[282818] ['-3i', '(1-8i)', '(1-5i)', '1'] -> 1-8i * (1 - -3i) - 1-5i
[282819] ['-3i', '(1-8i)', '(1-5i)', '(1+6i)'] -> 1-8i * (-3i + 1+6i) - 1-5i
[282821] ['-3i', '(1-8i)', '(1-5i)', '(2-5i)'] -> -3i * (2-5i - (1-8i + 1-5i))
[282852] ['-3i', '(1-8i)', '(1-5i)', '(8+5i)'] -> 1-8i + 8+5i - -3i * 1-5i
