[2788] ['(8-7i)', '(9-i)', '9', '(9+9i)'] -> ((9-i) + ((9+9i) * ((8-7i) / 9)))
[1579] ['(8-8i)', '(8-8i)', '(8-4i)', '(9+3i)'] -> ((((8-8i) + (8-8i)) * (9+3i)) / (8-4i))
[1598] ['(8-8i)', '(8-8i)', '(8-2i)', '(9-9i)'] -> (((8-8i) * (9-9i)) / ((8-8i) - (8-2i)))
[1742] ['(8-8i)', '(8-7i)', '(8-i)', '(9-9i)'] -> (((8-8i) * (9-9i)) / ((8-7i) - (8-i)))
[1757] ['(8-8i)', '(8-7i)', '8', '(9+2i)'] -> (((8-8i) * (9+2i)) - ((8-7i) * 8))
[1882] ['(8-8i)', '(8-6i)', '(8-4i)', '(9-i)'] -> ((3 * (7-i)) - ((3-i) - (6+2i)))
[1915] ['(8-8i)', '(8-6i)', '8', '(9-9i)'] -> (((8-8i) * (9-9i)) / ((8-6i) - 8))
[1936] ['(8-8i)', '(8-6i)', '(8+4i)', '(8+6i)'] -> (((8-7i) - (8-4i)) * ((9+7i) - (9-i)))
[2032] ['(8-8i)', '(8-5i)', '8', '(8+3i)'] -> (((7-6i) - (7+2i)) * ((9+5i) - (9+2i)))
[2040] ['(8-8i)', '(8-5i)', '(8+i)', '(9-9i)'] -> (((8-7i) - (8-3i)) * ((9+8i) - (9+2i)))
[2122] ['(8-8i)', '(8-4i)', '(8-2i)', '(8+2i)'] -> (((8-8i) * (8+2i)) - ((8-4i) * (8-2i)))
[2148] ['(8-8i)', '(8-4i)', '(8+2i)', '(9-9i)'] -> (((8-8i) * (9-9i)) / ((8-4i) - (8+2i)))
[2180] ['(8-8i)', '(8-4i)', '(9-9i)', '(9-6i)'] -> (((8-8i) * (9-6i)) / ((9-9i) - (8-4i)))
[2200] ['(8-8i)', '(8-4i)', '(9-3i)', '(9+9i)'] -> (((6-8i) - (6-4i)) * ((8-i) - (8-7i)))
[2206] ['(8-8i)', '(8-4i)', '(9-2i)', '(9+8i)'] -> (((8-8i) / (8-4i)) * ((9-2i) + (9+8i)))
[2209] ['(8-8i)', '(8-4i)', '(9-i)', '(9+7i)'] -> (((8-8i) / (8-4i)) * ((9-i) + (9+7i)))
[2213] ['(8-8i)', '(8-4i)', '(9+i)', '(9+5i)'] -> (((6-8i) - (6-4i)) * (8 - (8-6i)))
[2217] ['(8-8i)', '(8-4i)', '(9+2i)', '(9+4i)'] -> (((8-8i) / (8-4i)) * ((9+2i) + (9+4i)))
[2218] ['(8-8i)', '(8-4i)', '(9+3i)', '(9+3i)'] -> (((8-8i) / (8-4i)) * ((9+3i) + (9+3i)))
[2268] ['(8-8i)', '(8-3i)', '(8+3i)', '(9-9i)'] -> (((8-8i) * (9-9i)) / ((8-3i) - (8+3i)))
[2293] ['(8-8i)', '(8-3i)', '(9-8i)', '(9-6i)'] -> (((8-8i) * (9-6i)) / ((9-8i) - (8-3i)))
[2348] ['(8-8i)', '(8-2i)', '(8+4i)', '(9-9i)'] -> (((8-8i) * (9-9i)) / ((8-2i) - (8+4i)))
[2367] ['(8-8i)', '(8-2i)', '(8+8i)', '(9+9i)'] -> (((8+8i) * (9+9i)) / ((8-2i) - (8-8i)))
[2376] ['(8-8i)', '(8-2i)', '(9-7i)', '(9-6i)'] -> (((8-8i) * (9-6i)) / ((9-7i) - (8-2i)))
[2407] ['(8-8i)', '(8-i)', '8', '(9+7i)'] -> (((4-2i) + 4) + ((7+6i) + (9-4i)))
[2430] ['(8-8i)', '(8-i)', '(8+5i)', '(9-9i)'] -> (((8-8i) * (9-9i)) / ((8-i) - (8+5i)))
[2465] ['(8-8i)', '(8-i)', '(9-6i)', '(9-6i)'] -> (((8-7i) - (8+5i)) * ((8+6i) - (8+4i)))
[2507] ['(8-8i)', '8', '(8+i)', '(9+6i)'] -> ((((8-8i) + 8) * (9+6i)) / (8+i))
[2511] ['(8-8i)', '8', '(8+2i)', '(9+7i)'] -> ((8+2i) + ((9+7i) * ((8-8i) / 8)))
[2519] ['(8-8i)', '8', '(8+4i)', '(9-4i)'] -> (((8-8i) * (8+4i)) - (8 * (9-4i)))
[2523] ['(8-8i)', '8', '(8+6i)', '(9-9i)'] -> (((8-8i) * (9-9i)) / (8 - (8+6i)))
[2530] ['(8-8i)', '8', '(8+7i)', '(9+i)'] -> ((9+i) + ((8+7i) * ((8-8i) / 8)))
[2541] ['(8-8i)', '8', '(9-6i)', '(9-5i)'] -> (((1-i) * 2) * (1 + (5+6i)))
[2543] ['(8-8i)', '8', '(9-6i)', '(9+3i)'] -> (((8-8i) * (9+3i)) - (8 * (9-6i)))
[2556] ['(8-8i)', '8', '9', '(9+9i)'] -> (8 + ((9+9i) * ((8-8i) / 9)))
[2559] ['(8-8i)', '8', '(9+3i)', '(9+9i)'] -> (((4-2i) - 4) * ((9+5i) - (9-7i)))
[2588] ['(8-8i)', '(8+i)', '(8+7i)', '(9-9i)'] -> (((8-8i) * (9-9i)) / ((8+i) - (8+7i)))
[2606] ['(8-8i)', '(8+i)', '(9-6i)', '(9-4i)'] -> (((8-8i) * (9-6i)) / ((9-4i) - (8+i)))
[2658] ['(8-8i)', '(8+2i)', '(9-6i)', '(9-3i)'] -> (((8-8i) * (9-6i)) / ((9-3i) - (8+2i)))
[2697] ['(8-8i)', '(8+3i)', '(9-6i)', '(9-2i)'] -> (((8-8i) * (9-6i)) / ((9-2i) - (8+3i)))
[2759] ['(8-8i)', '(8+4i)', '(9-6i)', '(9-i)'] -> (((8-8i) * (9-6i)) / ((9-i) - (8+4i)))
[2794] ['(8-8i)', '(8+5i)', '(9-6i)', '9'] -> (((6-8i) - (6-2i)) * ((6+4i) - 6))
[2823] ['(8-8i)', '(8+6i)', '(9-6i)', '(9+i)'] -> (((8-8i) * (9-6i)) / ((9+i) - (8+6i)))
[2845] ['(8-8i)', '(8+7i)', '(9-6i)', '(9+2i)'] -> (((8-8i) * (9-6i)) / ((9+2i) - (8+7i)))
[2883] ['(8-8i)', '(8+8i)', '(9-6i)', '(9+3i)'] -> (((8-8i) * (9-6i)) / ((9+3i) - (8+8i)))
[2892] ['(8-8i)', '(9-9i)', '(9-9i)', '(9-3i)'] -> (((8-8i) * (9-9i)) / ((9-9i) - (9-3i)))
[2896] ['(8-8i)', '(9-9i)', '(9-8i)', '(9-2i)'] -> (((8-8i) * (9-9i)) / ((9-8i) - (9-2i)))
[2899] ['(8-8i)', '(9-9i)', '(9-7i)', '(9-i)'] -> (((1-i) - (7+5i)) * (1 - (3-2i)))
[2903] ['(8-8i)', '(9-9i)', '(9-6i)', '9'] -> (((8-8i) * (9-9i)) / ((9-6i) - 9))
[2906] ['(8-8i)', '(9-9i)', '(9-5i)', '(9+i)'] -> (((8-8i) * (9-9i)) / ((9-5i) - (9+i)))
[2908] ['(8-8i)', '(9-9i)', '(9-4i)', '(9+2i)'] -> (((8-8i) * (9-9i)) / ((9-4i) - (9+2i)))
[2910] ['(8-8i)', '(9-9i)', '(9-3i)', '(9+3i)'] -> (((8-8i) * (9-9i)) / ((9-3i) - (9+3i)))
[2913] ['(8-8i)', '(9-9i)', '(9-2i)', '(9+4i)'] -> (((8-6i) - 8) * ((8-i) - (8-5i)))
[2917] ['(8-8i)', '(9-9i)', '(9-i)', '(9+5i)'] -> (((8-8i) * (9-9i)) / ((9-i) - (9+5i)))
[2918] ['(8-8i)', '(9-9i)', '9', '(9+6i)'] -> (((8-8i) * (9-9i)) / (9 - (9+6i)))
[2920] ['(8-8i)', '(9-9i)', '(9+i)', '(9+7i)'] -> (((8-8i) * (9-9i)) / ((9+i) - (9+7i)))
[2923] ['(8-8i)', '(9-9i)', '(9+2i)', '(9+8i)'] -> (((8-8i) * (9-9i)) / ((9+2i) - (9+8i)))
[2926] ['(8-8i)', '(9-9i)', '(9+3i)', '(9+9i)'] -> (((6-8i) - (6-2i)) * ((7+i) - (7-3i)))
[3039] ['(8-8i)', '(9-3i)', '9', '(9+9i)'] -> (((8-8i) / (9-3i)) * (9 + (9+9i)))
[3042] ['(8-8i)', '(9-3i)', '(9+i)', '(9+8i)'] -> (((8-8i) / (9-3i)) * ((9+i) + (9+8i)))
[3044] ['(8-8i)', '(9-3i)', '(9+2i)', '(9+7i)'] -> (((6-8i) - (6-2i)) * ((8+2i) - (8-2i)))
[3045] ['(8-8i)', '(9-3i)', '(9+3i)', '(9+6i)'] -> (((8-8i) / (9-3i)) * ((9+3i) + (9+6i)))
[3047] ['(8-8i)', '(9-3i)', '(9+4i)', '(9+5i)'] -> (((8-8i) / (9-3i)) * ((9+4i) + (9+5i)))
[3320] ['(8-i)', '(9-6i)', '(9-3i)', '(9+7i)'] -> ((9-3i) + (((9+7i) * (9-6i)) / (8-i)))
[3069] ['(8-6i)', '(8-3i)', '(8+2i)', '(8+5i)'] -> (((8-6i) * (8+5i)) - ((8-3i) * (8+2i)))
[3110] ['(8-6i)', '(8-2i)', '8', '(8+4i)'] -> (((8-6i) * (8+4i)) - ((8-2i) * 8))
[3114] ['(8-6i)', '(8-2i)', '(8+i)', '(9+6i)'] -> ((((8-6i) + (8-2i)) * (9+6i)) / (8+i))
[365] ['(7-6i)', '(7-6i)', '(8+9i)', '(9-3i)'] -> (((7-6i) * ((9-3i) - (7-6i))) - (8+9i))
[547] ['(7-6i)', '(7-5i)', '(8+5i)', '(9+7i)'] -> (((7-6i) * (9+7i)) - ((7-5i) * (8+5i)))
[556] ['(7-6i)', '(7-5i)', '(8+9i)', '(9-2i)'] -> (((7-6i) * ((9-2i) - (7-5i))) - (8+9i))
[746] ['(7-6i)', '(7-4i)', '(8+9i)', '(9-i)'] -> (((7-6i) * ((9-i) - (7-4i))) - (8+9i))
[838] ['(7-6i)', '(7-3i)', '(7+2i)', '(7+5i)'] -> (((7-6i) * (7+5i)) - ((7-3i) * (7+2i)))
[975] ['(7-6i)', '(7-3i)', '(8+9i)', '9'] -> (((7-6i) * (9 - (7-3i))) - (8+9i))
[982] ['(7-6i)', '(7-3i)', '(9-8i)', '(9+7i)'] -> ((7-6i) + (((9+7i) * (9-8i)) / (7-3i)))
[1011] ['(7-6i)', '(7-2i)', '7', '(7+4i)'] -> (((7-6i) * (7+4i)) - ((7-2i) * 7))
[1165] ['(7-6i)', '(7-2i)', '(8+9i)', '(9+i)'] -> (((7-6i) * ((9+i) - (7-2i))) - (8+9i))
[1361] ['(7-6i)', '(7-i)', '(8-i)', '(9-5i)'] -> (((4-9i) + (8-3i)) * ((5-7i) - (4-8i)))
[1390] ['(7-6i)', '(7-i)', '(8+9i)', '(9+2i)'] -> (((7-6i) * ((9+2i) - (7-i))) - (8+9i))
[1410] ['(7-6i)', '(7-i)', '(9-2i)', '(9+3i)'] -> ((((7-6i) + (9-2i)) * (9+3i)) / (7-i))
[1463] ['(7-6i)', '7', '(8-8i)', '(9-9i)'] -> (((8-8i) * (9-9i)) / ((7-6i) - 7))
[1546] ['(7-6i)', '7', '(8+8i)', '(9+9i)'] -> (((8+8i) * (9+9i)) / (7 - (7-6i)))
[1550] ['(7-6i)', '7', '(8+9i)', '(9+3i)'] -> (((7-6i) * ((9+3i) - 7)) - (8+9i))
[1765] ['(7-6i)', '(7+i)', '(8+9i)', '(9+4i)'] -> (((7-6i) * ((9+4i) - (7+i))) - (8+9i))
[2007] ['(7-6i)', '(7+2i)', '(8+9i)', '(9+5i)'] -> (((7-6i) * ((9+5i) - (7+2i))) - (8+9i))
[2113] ['(7-6i)', '(7+3i)', '8', '(8+8i)'] -> ((((7-6i) + 8) * (8+8i)) / (7+3i))
[2165] ['(7-6i)', '(7+3i)', '(8+9i)', '(9+6i)'] -> (((7-6i) * ((9+6i) - (7+3i))) - (8+9i))
[2340] ['(7-6i)', '(7+4i)', '(8+9i)', '(9+7i)'] -> (((7-6i) * ((9+7i) - (7+4i))) - (8+9i))
[2501] ['(7-6i)', '(7+5i)', '(8+9i)', '(9+8i)'] -> (((7-6i) * ((9+8i) - (7+5i))) - (8+9i))
[2539] ['(7-6i)', '(7+6i)', '(8-9i)', '(9-9i)'] -> (((7+6i) * ((9-9i) - (7-6i))) - (8-9i))
[2770] ['(7-6i)', '(8-8i)', '8', '(8+2i)'] -> (((8-8i) * (8+2i)) - ((7-6i) * 8))
[2772] ['(7-6i)', '(8-8i)', '8', '(9-4i)'] -> (((8-8i) * ((9-4i) - (7-6i))) - 8)
[3003] ['(7-6i)', '(8-6i)', '(8+8i)', '(9+i)'] -> (((4-5i) - (6+7i)) + ((4-2i) * (4+5i)))
[3169] ['(7-6i)', '(8-4i)', '(9-8i)', '(9+7i)'] -> (((9+7i) * ((9-8i) - (7-6i))) - (8-4i))
[3234] ['(7-6i)', '(8-3i)', '(8+2i)', '(8+8i)'] -> ((3-9i) - ((3-7i) * ((3-i) - (3+2i))))
[3444] ['(7-6i)', '(8-i)', '(8+8i)', '(9+6i)'] -> (((8+8i) * (9+6i)) / ((8-i) - (7-6i)))
[3511] ['(7-6i)', '8', '(8+8i)', '(9-8i)'] -> (((8+8i) * ((9-8i) - (7-6i))) - 8)
[3615] ['(7-6i)', '(8+i)', '(9-2i)', '(9+6i)'] -> ((((7-6i) + (9-2i)) * (9+6i)) / (8+i))
[3792] ['(7-6i)', '(8+4i)', '(9-7i)', '(9-4i)'] -> (((9-7i) * ((9-4i) - (7-6i))) - (8+4i))
[3972] ['(7-6i)', '(8+8i)', '(9-2i)', '(9+3i)'] -> (((8+8i) * (9+3i)) / ((9-2i) - (7-6i)))
[4161] ['(7-6i)', '(9-3i)', '(9+4i)', '(9+9i)'] -> (((3-4i) + (9-8i)) * (4 - (3-i)))
[4173] ['(7-6i)', '(9-2i)', '(9+3i)', '(9+9i)'] -> ((((7-6i) + (9-2i)) * (9+9i)) / (9+3i))
[3931] ['(8-5i)', '(8-3i)', '(8+i)', '(9+6i)'] -> ((((8-5i) + (8-3i)) * (9+6i)) / (8+i))
[3974] ['(8-5i)', '(8-3i)', '(9+3i)', '(9+9i)'] -> ((((8-5i) + (8-3i)) * (9+9i)) / (9+3i))
