[112528] ['(1-4i)', '(3-9i)', '(3-4i)', '(9-3i)'] -> (((1-4i) * (9-3i)) - ((3-9i) * (3-4i)))
[112532] ['(1-4i)', '(3-9i)', '(3-4i)', '(9+9i)'] -> (((3-9i) + (9+9i)) * ((3-4i) - (1-4i)))
[112534] ['(1-4i)', '(3-9i)', '(3-3i)', '(3-i)'] -> ((5+4i) - ((2-5i) * ((6-6i) - (8-3i))))
[112545] ['(1-4i)', '(3-9i)', '(3-3i)', '(5+7i)'] -> (((3-3i) * ((1-4i) + (5+7i))) - (3-9i))
[112549] ['(1-4i)', '(3-9i)', '(3-3i)', '(6-i)'] -> ((6+6i) * (((3-3i) + (4-i)) - (5-2i)))
[112557] ['(1-4i)', '(3-9i)', '(3-3i)', '(7-i)'] -> (((3-3i) * ((7-i) - (1-4i))) - (3-9i))
[112565] ['(1-4i)', '(3-9i)', '(3-3i)', '(8-9i)'] -> ((3-3i) * ((8-9i) - ((1-4i) + (3-9i))))
[112572] ['(1-4i)', '(3-9i)', '(3-3i)', '(9-9i)'] -> (((9-9i) * ((3-3i) - (1-4i))) - (3-9i))
[112579] ['(1-4i)', '(3-9i)', '(3-2i)', '(3+3i)'] -> (((3-9i) + (3+3i)) * ((3-2i) - (1-4i)))
[112583] ['(1-4i)', '(3-9i)', '(3-2i)', '(4+7i)'] -> (((1-4i) * ((3-2i) - (3-9i))) - (4+7i))
[112666] ['(1-4i)', '(3-9i)', '(3-i)', '(8+4i)'] -> (((3-i) * ((1-4i) + (8+4i))) - (3-9i))
[112669] ['(1-4i)', '(3-9i)', '(3-i)', '(8+8i)'] -> (((1-4i) * ((3-i) - (3-9i))) - (8+8i))
[112670] ['(1-4i)', '(3-9i)', '(3-i)', '(9-9i)'] -> ((5+4i) - ((2-5i) * ((6-i) - (8+2i))))
[112695] ['(1-4i)', '(3-9i)', '3', '(6-6i)'] -> (((1-4i) + 3) * ((6-6i) - (3-9i)))
[112701] ['(1-4i)', '(3-9i)', '3', '(6+5i)'] -> (((3-8i) + (3+2i)) * ((5-5i) - (3-7i)))
[112705] ['(1-4i)', '(3-9i)', '3', '(6+7i)'] -> ((3-9i) + (3 * ((1-4i) + (6+7i))))
