[193333] ['-4i', '(3-i)', '(4+8i)', '(7+i)'] -> (-4i * (((3-i) + (4+8i)) - (7+i)))
[193335] ['-4i', '(3-i)', '(4+8i)', '(8-8i)'] -> ((8-8i) + ((3-i) * (-4i + (4+8i))))
[193354] ['-4i', '(3-i)', '(4+9i)', '(7+2i)'] -> (-4i * (((3-i) + (4+9i)) - (7+2i)))
[193377] ['-4i', '(3-i)', '(5-9i)', '(8-4i)'] -> (-4i * ((8-4i) - ((3-i) + (5-9i))))
[193380] ['-4i', '(3-i)', '(5-9i)', '(8+8i)'] -> ((-4i * ((3-i) - (5-9i))) - (8+8i))
[193394] ['-4i', '(3-i)', '(5-8i)', '(8-3i)'] -> (-4i * ((8-3i) - ((3-i) + (5-8i))))
[193405] ['-4i', '(3-i)', '(5-7i)', '(5+i)'] -> (((5-7i) * ((5+i) - (3-i))) - -4i)
[193406] ['-4i', '(3-i)', '(5-7i)', '(5+8i)'] -> ((5-7i) + ((3-i) * (-4i + (5+8i))))
[193408] ['-4i', '(3-i)', '(5-7i)', '(6-6i)'] -> ((((3-i) + (5-7i)) * (6-6i)) / -4i)
[193410] ['-4i', '(3-i)', '(5-7i)', '(6+6i)'] -> ((3+7i) - (7 * ((2-4i) - (5-5i))))
[193415] ['-4i', '(3-i)', '(5-7i)', '(8-2i)'] -> (-4i * ((8-2i) - ((3-i) + (5-7i))))
[193416] ['-4i', '(3-i)', '(5-7i)', '(8+4i)'] -> ((((8+4i) * (5-7i)) / (3-i)) - -4i)
[193420] ['-4i', '(3-i)', '(5-7i)', '(9+2i)'] -> ((-4i - (5-7i)) + ((3-i) * (9+2i)))
[193427] ['-4i', '(3-i)', '(5-6i)', '(8-i)'] -> (-4i * ((8-i) - ((3-i) + (5-6i))))
[193431] ['-4i', '(3-i)', '(5-6i)', '(9-3i)'] -> (((5-6i) * ((3-i) - -4i)) - (9-3i))
[193438] ['-4i', '(3-i)', '(5-5i)', '6'] -> (((5-5i) * ((3-i) - -4i)) - 6)
[193442] ['-4i', '(3-i)', '(5-5i)', '8'] -> (-4i * (8 - ((3-i) + (5-5i))))
[193458] ['-4i', '(3-i)', '(5-4i)', '(8+i)'] -> (-4i * ((8+i) - ((3-i) + (5-4i))))
[193466] ['-4i', '(3-i)', '(5-3i)', '(5+4i)'] -> ((-4i + (5-3i)) + ((3-i) * (5+4i)))
[193469] ['-4i', '(3-i)', '(5-3i)', '(6-6i)'] -> ((9+5i) - ((1-7i) * ((6-9i) - (7-7i))))
[193473] ['-4i', '(3-i)', '(5-3i)', '(7+5i)'] -> (((7+5i) * ((5-3i) - (3-i))) - -4i)
[193478] ['-4i', '(3-i)', '(5-3i)', '(9-2i)'] -> (((3-i) * ((9-2i) - -4i)) - (5-3i))
[193479] ['-4i', '(3-i)', '(5-3i)', '(9+6i)'] -> (((3-i) * (-4i + (9+6i))) - (5-3i))
[193481] ['-4i', '(3-i)', '(5-2i)', '(5+i)'] -> (((5-2i) * (5+i)) - (-4i + (3-i)))
[193486] ['-4i', '(3-i)', '(5-2i)', '(8-9i)'] -> (((5-5i) - (5+3i)) * ((6+9i) - (6+6i)))
[193489] ['-4i', '(3-i)', '(5-2i)', '(8+3i)'] -> (((5-9i) + 5) + (7 + (7+9i)))
[193500] ['-4i', '(3-i)', '(5-i)', '(6+i)'] -> (((3-i) * (6+i)) - (-4i - (5-i)))
[193504] ['-4i', '(3-i)', '(5-i)', '(8-8i)'] -> (-4i * (((3-i) + (5-i)) - (8-8i)))
[193506] ['-4i', '(3-i)', '(5-i)', '(8-4i)'] -> (((3-i) * (8-4i)) - (-4i * (5-i)))
[193508] ['-4i', '(3-i)', '(5-i)', '(8+4i)'] -> (((5-9i) + 5) + ((7+2i) + (7+7i)))
[193530] ['-4i', '(3-i)', '5', '(8-7i)'] -> (-4i * (((3-i) + 5) - (8-7i)))
[193534] ['-4i', '(3-i)', '5', '(8+5i)'] -> (-4i * ((8+5i) - ((3-i) + 5)))
[193538] ['-4i', '(3-i)', '5', '(9+i)'] -> (((3-i) * 5) - (-4i - (9+i)))
[193539] ['-4i', '(3-i)', '5', '(9+9i)'] -> ((-4i + (9+9i)) + ((3-i) * 5))
[193542] ['-4i', '(3-i)', '(5+i)', '(6-2i)'] -> ((-4i + (6-2i)) * ((5+i) - (3-i)))
[193544] ['-4i', '(3-i)', '(5+i)', '(6+6i)'] -> ((6+6i) * ((5+i) + (-4i - (3-i))))
[193549] ['-4i', '(3-i)', '(5+i)', '(8-6i)'] -> (-4i * (((3-i) + (5+i)) - (8-6i)))
