[249492] ['(2-2i)', '(5+5i)', '(7+8i)', '(8+9i)'] -> ((2-2i) * ((8+9i) + ((5+5i) - (7+8i))))
[249499] ['(2-2i)', '(5+5i)', '(7+9i)', '(8+i)'] -> ((2-2i) * ((5+5i) + ((7+9i) / (8+i))))
[249507] ['(2-2i)', '(5+5i)', '(8-9i)', '(9-8i)'] -> ((2-2i) * ((9-8i) + ((5+5i) - (8-9i))))
[249509] ['(2-2i)', '(5+5i)', '(8-9i)', '(9+6i)'] -> (((2-2i) + (5+5i)) + ((8-9i) + (9+6i)))
[249513] ['(2-2i)', '(5+5i)', '(8-8i)', '(9-7i)'] -> ((2-2i) * ((9-7i) + ((5+5i) - (8-8i))))
[249515] ['(2-2i)', '(5+5i)', '(8-8i)', '(9+5i)'] -> (((2-2i) + (5+5i)) + ((8-8i) + (9+5i)))
[249519] ['(2-2i)', '(5+5i)', '(8-7i)', '(9-6i)'] -> ((2-2i) * ((9-6i) + ((5+5i) - (8-7i))))
[249520] ['(2-2i)', '(5+5i)', '(8-7i)', '(9+4i)'] -> (((2-2i) + (5+5i)) + ((8-7i) + (9+4i)))
[249526] ['(2-2i)', '(5+5i)', '(8-6i)', '(9-5i)'] -> ((2-2i) * ((9-5i) + ((5+5i) - (8-6i))))
[249528] ['(2-2i)', '(5+5i)', '(8-6i)', '(9+3i)'] -> (((2-2i) + (5+5i)) + ((8-6i) + (9+3i)))
[249531] ['(2-2i)', '(5+5i)', '(8-5i)', '(9-4i)'] -> ((2-2i) * ((9-4i) + ((5+5i) - (8-5i))))
[249535] ['(2-2i)', '(5+5i)', '(8-5i)', '(9+2i)'] -> (((2-2i) + (5+5i)) + ((8-5i) + (9+2i)))
[249541] ['(2-2i)', '(5+5i)', '(8-4i)', '(9-3i)'] -> ((2-2i) * ((9-3i) + ((5+5i) - (8-4i))))
[249543] ['(2-2i)', '(5+5i)', '(8-4i)', '(9+i)'] -> (((2-2i) + (5+5i)) + ((8-4i) + (9+i)))
[249550] ['(2-2i)', '(5+5i)', '(8-3i)', '(9-2i)'] -> ((2-2i) * ((9-2i) + ((5+5i) - (8-3i))))
[249551] ['(2-2i)', '(5+5i)', '(8-3i)', '9'] -> (((2-2i) + (5+5i)) + ((8-3i) + 9))
[249559] ['(2-2i)', '(5+5i)', '(8-i)', '(9-2i)'] -> (((2-2i) + (5+5i)) + ((8-i) + (9-2i)))
[249561] ['(2-2i)', '(5+5i)', '(8-i)', '9'] -> ((2-2i) * (9 + ((5+5i) - (8-i))))
[249562] ['(2-2i)', '(5+5i)', '(8-i)', '(9+7i)'] -> ((2-2i) * ((5+5i) + ((9+7i) / (8-i))))
[249566] ['(2-2i)', '(5+5i)', '8', '(8+8i)'] -> ((2-2i) * ((5+5i) + ((8+8i) / 8)))
[249567] ['(2-2i)', '(5+5i)', '8', '(9-3i)'] -> (((2-2i) + (5+5i)) + (8 + (9-3i)))
[249568] ['(2-2i)', '(5+5i)', '8', '(9+i)'] -> ((2-2i) * ((9+i) + ((5+5i) - 8)))
[249571] ['(2-2i)', '(5+5i)', '(8+i)', '(9-4i)'] -> (((2-2i) + (5+5i)) + ((8+i) + (9-4i)))
[249574] ['(2-2i)', '(5+5i)', '(8+i)', '(9+2i)'] -> ((2-2i) * ((9+2i) + ((5+5i) - (8+i))))
[249576] ['(2-2i)', '(5+5i)', '(8+2i)', '(8+4i)'] -> (((8+2i) * ((8+4i) - (5+5i))) - (2-2i))
[249577] ['(2-2i)', '(5+5i)', '(8+2i)', '(9-5i)'] -> (((2-2i) + (5+5i)) + ((8+2i) + (9-5i)))
[249578] ['(2-2i)', '(5+5i)', '(8+2i)', '(9+3i)'] -> ((2-2i) * ((9+3i) + ((5+5i) - (8+2i))))
[249582] ['(2-2i)', '(5+5i)', '(8+3i)', '(9-6i)'] -> (((2-2i) + (5+5i)) + ((8+3i) + (9-6i)))
[249583] ['(2-2i)', '(5+5i)', '(8+3i)', '(9+4i)'] -> ((2-2i) * ((9+4i) + ((5+5i) - (8+3i))))
[249586] ['(2-2i)', '(5+5i)', '(8+4i)', '(9-7i)'] -> (((2-2i) + (5+5i)) + ((8+4i) + (9-7i)))
[249589] ['(2-2i)', '(5+5i)', '(8+4i)', '(9+5i)'] -> ((2-2i) * ((9+5i) + ((5+5i) - (8+4i))))
[249591] ['(2-2i)', '(5+5i)', '(8+5i)', '(9-8i)'] -> (((2-2i) + (5+5i)) + ((8+5i) + (9-8i)))
[249592] ['(2-2i)', '(5+5i)', '(8+5i)', '(9+6i)'] -> ((2-2i) * ((9+6i) + ((5+5i) - (8+5i))))
[249595] ['(2-2i)', '(5+5i)', '(8+6i)', '(9-9i)'] -> (((2-2i) * (6+4i)) - ((1-3i) - (5+i)))
[249598] ['(2-2i)', '(5+5i)', '(8+6i)', '(9+i)'] -> (((2-2i) * (8+6i)) + ((5+5i) - (9+i)))
[249599] ['(2-2i)', '(5+5i)', '(8+6i)', '(9+7i)'] -> ((2-2i) * ((9+7i) + ((5+5i) - (8+6i))))
[249604] ['(2-2i)', '(5+5i)', '(8+7i)', '(9+8i)'] -> ((2-2i) * ((9+8i) + ((5+5i) - (8+7i))))
[249607] ['(2-2i)', '(5+5i)', '(8+8i)', '(9+9i)'] -> ((2-2i) * ((9+9i) + ((5+5i) - (8+8i))))
[249625] ['(2-2i)', '(5+5i)', '(9-3i)', '(9+5i)'] -> (((2-2i) * (9+5i)) + ((5+5i) - (9-3i)))
[249632] ['(2-2i)', '(5+5i)', '9', '(9+9i)'] -> ((2-2i) * ((5+5i) + ((9+9i) / 9)))
[249640] ['(2-2i)', '(5+6i)', '(5+6i)', '(5+6i)'] -> ((2-2i) * ((5+6i) + ((5+6i) / (5+6i))))
[249649] ['(2-2i)', '(5+6i)', '(5+6i)', '(7+6i)'] -> ((2-2i) * ((7+6i) - ((5+6i) / (5+6i))))
[249657] ['(2-2i)', '(5+6i)', '(5+7i)', '(5+7i)'] -> ((2-2i) * ((5+6i) + ((5+7i) / (5+7i))))
[249662] ['(2-2i)', '(5+6i)', '(5+7i)', '(6+5i)'] -> ((2-2i) * ((6+5i) - ((5+6i) - (5+7i))))
[249665] ['(2-2i)', '(5+6i)', '(5+7i)', '(6+7i)'] -> (2 * ((6-2i) - (-9i - (6-7i))))
[249678] ['(2-2i)', '(5+6i)', '(5+8i)', '(5+8i)'] -> ((2-2i) * ((5+6i) + ((5+8i) / (5+8i))))
[249683] ['(2-2i)', '(5+6i)', '(5+8i)', '(6+4i)'] -> ((2-2i) * ((6+4i) - ((5+6i) - (5+8i))))
[249684] ['(2-2i)', '(5+6i)', '(5+8i)', '(6+8i)'] -> ((2-2i) * ((6+8i) + ((5+6i) - (5+8i))))
[249686] ['(2-2i)', '(5+6i)', '(5+8i)', '7'] -> ((-i * (4+7i)) + ((8-i) + (9+5i)))
[249694] ['(2-2i)', '(5+6i)', '(5+9i)', '(5+9i)'] -> ((2-2i) * ((5+6i) + ((5+9i) / (5+9i))))
[249696] ['(2-2i)', '(5+6i)', '(5+9i)', '(6+3i)'] -> ((2-2i) * ((6+3i) - ((5+6i) - (5+9i))))
[249699] ['(2-2i)', '(5+6i)', '(5+9i)', '(6+9i)'] -> ((5+7i) - ((1-3i) * ((2-2i) - (6+3i))))
[249704] ['(2-2i)', '(5+6i)', '(6-9i)', '(6-9i)'] -> ((2-2i) * ((5+6i) + ((6-9i) / (6-9i))))
[249712] ['(2-2i)', '(5+6i)', '(6-9i)', '(7-9i)'] -> ((2-2i) * ((7-9i) + ((5+6i) - (6-9i))))
