[498272] ['-2i', '(4+7i)', '5', '(5+8i)'] -> ((-2i * (4+7i)) + (5 + (5+8i)))
[498276] ['-2i', '(4+7i)', '5', '(9-5i)'] -> (-2i * (((4+7i) + 5) - (9-5i)))
[498277] ['-2i', '(4+7i)', '(5+i)', '(5+7i)'] -> ((-2i * (4+7i)) + ((5+i) + (5+7i)))
[498279] ['-2i', '(4+7i)', '(5+i)', '(7-3i)'] -> (((5+i) * (7-3i)) - (-2i * (4+7i)))
[498280] ['-2i', '(4+7i)', '(5+i)', '(9-4i)'] -> (-2i * (((4+7i) + (5+i)) - (9-4i)))
[498282] ['-2i', '(4+7i)', '(5+2i)', '(5+6i)'] -> ((-2i * (4+7i)) + ((5+2i) + (5+6i)))
[498283] ['-2i', '(4+7i)', '(5+2i)', '(6-5i)'] -> (((6-5i) - ((4+7i) * (5+2i))) / -2i)
[498284] ['-2i', '(4+7i)', '(5+2i)', '(6-4i)'] -> (((5+2i) * (6-4i)) - (-2i * (4+7i)))
[498285] ['-2i', '(4+7i)', '(5+2i)', '(8+5i)'] -> (((5+2i) * ((8+5i) - (4+7i))) - -2i)
[498287] ['-2i', '(4+7i)', '(5+2i)', '(9-3i)'] -> (-2i * (((4+7i) + (5+2i)) - (9-3i)))
[498289] ['-2i', '(4+7i)', '(5+3i)', '(5+5i)'] -> ((-2i * (4+7i)) + ((5+3i) + (5+5i)))
[498291] ['-2i', '(4+7i)', '(5+3i)', '(9-2i)'] -> (-2i * (((4+7i) + (5+3i)) - (9-2i)))
[498292] ['-2i', '(4+7i)', '(5+4i)', '(5+4i)'] -> ((-2i * (4+7i)) + ((5+4i) + (5+4i)))
[498293] ['-2i', '(4+7i)', '(5+4i)', '(9-i)'] -> (-2i * (((4+7i) + (5+4i)) - (9-i)))
[498296] ['-2i', '(4+7i)', '(5+5i)', '9'] -> (-2i * (((4+7i) + (5+5i)) - 9))
[498297] ['-2i', '(4+7i)', '(5+6i)', '(6-6i)'] -> ((-2i * (6-6i)) * ((4+7i) - (5+6i)))
[498298] ['-2i', '(4+7i)', '(5+6i)', '(8+3i)'] -> ((-2i * (5+6i)) + ((4+7i) + (8+3i)))
[498299] ['-2i', '(4+7i)', '(5+6i)', '(9+i)'] -> (-2i * (((4+7i) + (5+6i)) - (9+i)))
[498300] ['-2i', '(4+7i)', '(5+7i)', '(6+3i)'] -> ((-2i * (5+7i)) + ((4+7i) + (6+3i)))
[498301] ['-2i', '(4+7i)', '(5+7i)', '(9+2i)'] -> (-2i * (((4+7i) + (5+7i)) - (9+2i)))
[498302] ['-2i', '(4+7i)', '(5+8i)', '(6+6i)'] -> ((-2i * (6+6i)) * ((5+8i) - (4+7i)))
[498303] ['-2i', '(4+7i)', '(5+8i)', '(9+3i)'] -> (-2i * (((4+7i) + (5+8i)) - (9+3i)))
[498304] ['-2i', '(4+7i)', '(5+9i)', '(9+4i)'] -> (-2i * (((4+7i) + (5+9i)) - (9+4i)))
[498305] ['-2i', '(4+7i)', '(6-9i)', '(6+8i)'] -> ((6-9i) * (((6+8i) / (4+7i)) - -2i))
[498306] ['-2i', '(4+7i)', '(6-9i)', '(8+4i)'] -> ((-2i * ((4+7i) - (6-9i))) - (8+4i))
[498307] ['-2i', '(4+7i)', '(6-8i)', '(6+4i)'] -> ((-2i * ((4+7i) - (6-8i))) - (6+4i))
[498309] ['-2i', '(4+7i)', '(6-6i)', '(6+7i)'] -> ((6-6i) * ((6+7i) - (-2i + (4+7i))))
[498311] ['-2i', '(4+7i)', '(6-6i)', '(8+3i)'] -> ((((8+3i) - (4+7i)) * (6-6i)) / -2i)
[498313] ['-2i', '(4+7i)', '(6-4i)', '(6+9i)'] -> ((-2i + (6-4i)) * ((6+9i) - (4+7i)))
[498319] ['-2i', '(4+7i)', '6', '(8+5i)'] -> (6 * ((8+5i) - (-2i + (4+7i))))
[498320] ['-2i', '(4+7i)', '6', '(8+9i)'] -> (6 * ((8+9i) + (-2i - (4+7i))))
[498321] ['-2i', '(4+7i)', '(6+2i)', '(8+7i)'] -> ((-2i + (6+2i)) * ((8+7i) - (4+7i)))
[498322] ['-2i', '(4+7i)', '(6+3i)', '(6+6i)'] -> ((6+6i) * ((6+3i) - (-2i + (4+7i))))
[498324] ['-2i', '(4+7i)', '(6+5i)', '(6+7i)'] -> ((-2i * (6+7i)) + ((4+7i) + (6+5i)))
[498325] ['-2i', '(4+7i)', '(6+5i)', '(6+8i)'] -> ((-2i + (6+8i)) * ((6+5i) - (4+7i)))
[498328] ['-2i', '(4+7i)', '(6+6i)', '(6+7i)'] -> ((6+6i) * ((6+7i) + (-2i - (4+7i))))
[498329] ['-2i', '(4+7i)', '(6+6i)', '(7-8i)'] -> ((-2i * ((4+7i) - (7-8i))) - (6+6i))
[498331] ['-2i', '(4+7i)', '(6+6i)', '(8+5i)'] -> ((-2i * (6+6i)) + ((4+7i) + (8+5i)))
[498334] ['-2i', '(4+7i)', '(6+7i)', '(7+7i)'] -> ((-2i * (7+7i)) + ((4+7i) + (6+7i)))
[498335] ['-2i', '(4+7i)', '(6+8i)', '(8-8i)'] -> ((-2i * ((4+7i) - (8-8i))) - (6+8i))
[498337] ['-2i', '(4+7i)', '(6+9i)', '(8+7i)'] -> ((-2i * (8+7i)) + ((4+7i) + (6+9i)))
[498338] ['-2i', '(4+7i)', '(7-9i)', '(8+6i)'] -> ((-2i * ((4+7i) - (7-9i))) - (8+6i))
[498344] ['-2i', '(4+7i)', '(7-3i)', '(7+8i)'] -> (((7-3i) * ((7+8i) - (4+7i))) - -2i)
[498346] ['-2i', '(4+7i)', '(7+4i)', '(8-8i)'] -> ((((7+4i) - (4+7i)) * (8-8i)) / -2i)
[498348] ['-2i', '(4+7i)', '(7+5i)', '8'] -> (8 * ((7+5i) - (-2i + (4+7i))))
[498350] ['-2i', '(4+7i)', '(7+6i)', '(8+7i)'] -> ((-2i * (7+6i)) + ((4+7i) + (8+7i)))
[498351] ['-2i', '(4+7i)', '(7+7i)', '(8+2i)'] -> ((-2i + (8+2i)) * ((7+7i) - (4+7i)))
[498352] ['-2i', '(4+7i)', '(7+9i)', '8'] -> (8 * ((7+9i) + (-2i - (4+7i))))
[498353] ['-2i', '(4+7i)', '(8-9i)', '(8+8i)'] -> ((-2i * ((4+7i) - (8-9i))) - (8+8i))
