[339535] ['-3i', '(2-3i)', '(6-3i)', '(8-7i)'] -> 2-3i * 6-3i - -3i * 8-7i
[339538] ['-3i', '(2-3i)', '(6-3i)', '(8+2i)'] -> -3i * (8+2i - (2-3i + 6-3i))
[339540] ['-3i', '(2-3i)', '(6-3i)', '(8+9i)'] -> -3i * 8+9i - 2-3i * 6-3i
[339542] ['-3i', '(2-3i)', '(6-3i)', '(9-3i)'] -> 6-3i + 9-3i - -3i * 2-3i
[339544] ['-3i', '(2-3i)', '(6-2i)', '(6+2i)'] -> (2-3i - -3i) * (6-2i + 6+2i)
[339548] ['-3i', '(2-3i)', '(6-2i)', '(8+3i)'] -> -3i * (8+3i - (2-3i + 6-2i))
[339551] ['-3i', '(2-3i)', '(6-2i)', '(9-4i)'] -> 6-2i + 9-4i - -3i * 2-3i
[339555] ['-3i', '(2-3i)', '(6-i)', '(6+i)'] -> 6i * (3-6i - (-6i + 3+4i))
[339560] ['-3i', '(2-3i)', '(6-i)', '(8+4i)'] -> -3i * (8+4i - (2-3i + 6-i))
[339562] ['-3i', '(2-3i)', '(6-i)', '(9-5i)'] -> 6-i + 9-5i - -3i * 2-3i
[339567] ['-3i', '(2-3i)', '6', '(8-9i)'] -> (-3i + 8-9i) / (2-3i / 6)
[339569] ['-3i', '(2-3i)', '6', '8'] -> 6 * 8 / (2-3i - -3i)
[339571] ['-3i', '(2-3i)', '6', '(8+5i)'] -> -3i * (8+5i - (2-3i + 6))
[339577] ['-3i', '(2-3i)', '(6+i)', '(8+6i)'] -> -3i * (8+6i - (2-3i + 6+i))
[339578] ['-3i', '(2-3i)', '(6+i)', '(9-7i)'] -> 6+i + 9-7i - -3i * 2-3i
[339579] ['-3i', '(2-3i)', '(6+i)', '(9+9i)'] -> (2-3i - 6+i) / (-3i / 9+9i)
[339586] ['-3i', '(2-3i)', '(6+2i)', '(8-9i)'] -> -3i * (2-3i + 6+2i - 8-9i)
[339589] ['-3i', '(2-3i)', '(6+2i)', '(8+7i)'] -> -3i * (8+7i - (2-3i + 6+2i))
[339590] ['-3i', '(2-3i)', '(6+2i)', '(9-8i)'] -> 6+2i + 9-8i - -3i * 2-3i
[339597] ['-3i', '(2-3i)', '(6+3i)', '(8-8i)'] -> -3i * (2-3i + 6+3i - 8-8i)
[339599] ['-3i', '(2-3i)', '(6+3i)', '(8+8i)'] -> -3i * (8+8i - (2-3i + 6+3i))
[339600] ['-3i', '(2-3i)', '(6+3i)', '(9-9i)'] -> 6+3i + 9-9i - -3i * 2-3i
[339607] ['-3i', '(2-3i)', '(6+4i)', '(8-7i)'] -> -3i * (2-3i + 6+4i - 8-7i)
[339611] ['-3i', '(2-3i)', '(6+4i)', '(8+9i)'] -> -3i * (8+9i - (2-3i + 6+4i))
[339612] ['-3i', '(2-3i)', '(6+4i)', '(9-6i)'] -> 6+4i * (-3i + 9-6i / 2-3i)
[339613] ['-3i', '(2-3i)', '(6+4i)', '(9-4i)'] -> 2-3i * (6+4i - -3i) - 9-4i
[339620] ['-3i', '(2-3i)', '(6+5i)', '(8-6i)'] -> -3i * (2-3i + 6+5i - 8-6i)
[339630] ['-3i', '(2-3i)', '(6+6i)', '(7-4i)'] -> 6+6i * (-3i + 7-4i / 2-3i)
[339634] ['-3i', '(2-3i)', '(6+6i)', '(8-5i)'] -> -3i * (2-3i + 6+6i - 8-5i)
[339636] ['-3i', '(2-3i)', '(6+6i)', '(8+3i)'] -> (2-3i - 8+3i) / (-3i / 6+6i)
[339648] ['-3i', '(2-3i)', '(6+7i)', '(8-4i)'] -> -3i * (2-3i + 6+7i - 8-4i)
[339651] ['-3i', '(2-3i)', '(6+7i)', '(9-7i)'] -> -9i + 7+4i + 8+i + 9+4i
[339656] ['-3i', '(2-3i)', '(6+7i)', '(9-i)'] -> 2-3i * 6+7i - (-3i + 9-i)
[339665] ['-3i', '(2-3i)', '(6+8i)', '(8-3i)'] -> -3i * (2-3i + 6+8i - 8-3i)
[339677] ['-3i', '(2-3i)', '(6+9i)', '(8-2i)'] -> -3i * (2-3i + 6+9i - 8-2i)
[339690] ['-3i', '(2-3i)', '(7-9i)', '(8+3i)'] -> 7-9i + 8+3i - -3i * 2-3i
[339691] ['-3i', '(2-3i)', '(7-9i)', '(9-4i)'] -> -3i * (9-4i - (2-3i + 7-9i))
[339697] ['-3i', '(2-3i)', '(7-8i)', '(8+2i)'] -> 7-8i + 8+2i - -3i * 2-3i
[339700] ['-3i', '(2-3i)', '(7-8i)', '(9-3i)'] -> 2-6i + 6+4i / (2 / 6-2i)
[339707] ['-3i', '(2-3i)', '(7-7i)', '(8+i)'] -> 2 * (8-4i - (2-6i - 6-2i))
[339709] ['-3i', '(2-3i)', '(7-7i)', '(9-2i)'] -> -3i * (9-2i - (2-3i + 7-7i))
[339713] ['-3i', '(2-3i)', '(7-6i)', '8'] -> 7-6i + 8 - -3i * 2-3i
[339718] ['-3i', '(2-3i)', '(7-6i)', '(9-i)'] -> -3i * (9-i - (2-3i + 7-6i))
[339722] ['-3i', '(2-3i)', '(7-5i)', '(8-i)'] -> 7-5i + 8-i - -3i * 2-3i
[339726] ['-3i', '(2-3i)', '(7-5i)', '9'] -> -3i * (9 - (2-3i + 7-5i))
[339730] ['-3i', '(2-3i)', '(7-4i)', '(8-2i)'] -> 7-4i + 8-2i - -3i * 2-3i
[339733] ['-3i', '(2-3i)', '(7-4i)', '(9-6i)'] -> 9-6i / (2-3i / 7-4i) - -3i
[339736] ['-3i', '(2-3i)', '(7-4i)', '(9+i)'] -> -3i * (9+i - (2-3i + 7-4i))
[339739] ['-3i', '(2-3i)', '(7-3i)', '(8-3i)'] -> 7-3i + 8-3i - -3i * 2-3i
[339741] ['-3i', '(2-3i)', '(7-3i)', '(9+2i)'] -> 2-i + 7-4i + 7+5i + 8
[339746] ['-3i', '(2-3i)', '(7-2i)', '(8-4i)'] -> 7-2i + 8-4i - -3i * 2-3i
[339750] ['-3i', '(2-3i)', '(7-2i)', '(9+3i)'] -> -3i * (9+3i - (2-3i + 7-2i))
[339757] ['-3i', '(2-3i)', '(7-i)', '(8-5i)'] -> 7-i + 8-5i - -3i * 2-3i
[339763] ['-3i', '(2-3i)', '(7-i)', '(9+4i)'] -> -3i * (9+4i - (2-3i + 7-i))
[339766] ['-3i', '(2-3i)', '7', '(8-6i)'] -> 7 + 8-6i - -3i * 2-3i
[339769] ['-3i', '(2-3i)', '7', '(9+5i)'] -> -3i * (9+5i - (2-3i + 7))
[339774] ['-3i', '(2-3i)', '(7+i)', '(8-7i)'] -> 7+i + 8-7i - -3i * 2-3i
[339780] ['-3i', '(2-3i)', '(7+i)', '(9+3i)'] -> 2-3i * 9+3i - -3i * 7+i
[339781] ['-3i', '(2-3i)', '(7+i)', '(9+6i)'] -> -3i * (9+6i - (2-3i + 7+i))
[339783] ['-3i', '(2-3i)', '(7+2i)', '(8-8i)'] -> 7+2i + 8-8i - -3i * 2-3i
[339785] ['-3i', '(2-3i)', '(7+2i)', '(9-9i)'] -> 9-2i / (2-i / 7-4i) - 8-9i
[339790] ['-3i', '(2-3i)', '(7+2i)', '(9+7i)'] -> -3i * (9+7i - (2-3i + 7+2i))
[339796] ['-3i', '(2-3i)', '(7+3i)', '(9-8i)'] -> -3i * (2-3i + 7+3i - 9-8i)
[339799] ['-3i', '(2-3i)', '(7+3i)', '(9+8i)'] -> -3i * (9+8i - (2-3i + 7+3i))
[339809] ['-3i', '(2-3i)', '(7+4i)', '(9-7i)'] -> -3i * (2-3i + 7+4i - 9-7i)
[339813] ['-3i', '(2-3i)', '(7+4i)', '(9+9i)'] -> -3i * (9+9i - (2-3i + 7+4i))
[339820] ['-3i', '(2-3i)', '(7+5i)', '(9-6i)'] -> -3i * (2-3i + 7+5i - 9-6i)
[339822] ['-3i', '(2-3i)', '(7+6i)', '(8-6i)'] -> 2-3i * 7+6i - (-3i + 8-6i)
[339824] ['-3i', '(2-3i)', '(7+6i)', '(9-5i)'] -> -3i * (2-3i + 7+6i - 9-5i)
[339830] ['-3i', '(2-3i)', '(7+7i)', '(9-4i)'] -> -3i * (2-3i + 7+7i - 9-4i)
[339836] ['-3i', '(2-3i)', '(7+8i)', '(9-3i)'] -> 2-6i + 6+8i + 2 * 8-i
[339838] ['-3i', '(2-3i)', '(7+9i)', '(8-9i)'] -> 2-3i * (-3i + 7+9i) - 8-9i
[339841] ['-3i', '(2-3i)', '(7+9i)', '(9-2i)'] -> -9i + 7+5i + 8+5i + 9-i
[339851] ['-3i', '(2-3i)', '(8-8i)', '(8+5i)'] -> 8-8i / (2-3i + 8+5i / -3i)
[339888] ['-3i', '(2-3i)', '8', '(9-3i)'] -> 8 * (2-3i + 9-3i / -3i)
[339889] ['-3i', '(2-3i)', '8', '(9+5i)'] -> 8 / (2-3i + 9+5i / -3i)
[339934] ['-3i', '(2-3i)', '(9-9i)', '(9+3i)'] -> 9+3i + 9-9i / (-3i / 2-3i)
[339943] ['-3i', '(2-3i)', '(9-2i)', '(9+6i)'] -> 9+6i * (-3i + 9-2i / 2-3i)
[339958] ['-3i', '(2-2i)', '(2-2i)', '(3-2i)'] -> -3i * (2-2i - 2-2i * 3-2i)
[339960] ['-3i', '(2-2i)', '(2-2i)', '3'] -> (2-2i + 2-2i) * (3 - -3i)
[339961] ['-3i', '(2-2i)', '(2-2i)', '(3+6i)'] -> 2-i + 7-3i + 7+6i + 8-2i
[339963] ['-3i', '(2-2i)', '(2-2i)', '(4-4i)'] -> -3i * 2-2i * (2-2i - 4-4i)
[339965] ['-3i', '(2-2i)', '(2-2i)', '(4+4i)'] -> -3i * (4+4i - (2-2i + 2-2i))
[339967] ['-3i', '(2-2i)', '(2-2i)', '(4+5i)'] -> 2-2i * (4+5i - (-3i - 2-2i))
[339968] ['-3i', '(2-2i)', '(2-2i)', '(5+9i)'] -> 2-2i + 2-2i * (-3i + 5+9i)
[339970] ['-3i', '(2-2i)', '(2-2i)', '(6+3i)'] -> 2-2i * 6+3i - -3i * 2-2i
[339973] ['-3i', '(2-2i)', '(2-2i)', '(6+9i)'] -> -3i * 2-2i + 2-2i * 6+9i
[339976] ['-3i', '(2-2i)', '(2-2i)', '(7+3i)'] -> 2-2i * (7+3i - -3i) - 2-2i
[339977] ['-3i', '(2-2i)', '(2-2i)', '(7+9i)'] -> 2-2i * (-3i + 7+9i) - 2-2i
[339979] ['-3i', '(2-2i)', '(2-2i)', '(8+i)'] -> 2-2i * (8+i - (-3i + 2-2i))
[339980] ['-3i', '(2-2i)', '(2-2i)', '(8+7i)'] -> 2-2i * (8+7i + -3i - 2-2i)
[339982] ['-3i', '(2-2i)', '(2-2i)', '(9-9i)'] -> (2-2i + 2-2i) / (-3i / 9-9i)
[339984] ['-3i', '(2-2i)', '(2-2i)', '9'] -> 2-2i * 9 / (-3i / 2-2i)
[339987] ['-3i', '(2-2i)', '(2-i)', '(2+2i)'] -> -3i * (2+2i - 2-2i * 2-i)
[339990] ['-3i', '(2-2i)', '(2-i)', '(3+5i)'] -> 3+5i * (-3i + 2-i) - 2-2i
[339992] ['-3i', '(2-2i)', '(2-i)', '(4-4i)'] -> (2-2i + 4-4i) * (2-i - -3i)
[339993] ['-3i', '(2-2i)', '(2-i)', '(4-3i)'] -> -3i * 2-2i * (2-i - 4-3i)
[339996] ['-3i', '(2-2i)', '(2-i)', '(4+4i)'] -> 2-2i * (4+4i - (-3i - 2-i))
[339997] ['-3i', '(2-2i)', '(2-i)', '(4+5i)'] -> -3i * (4+5i - (2-2i + 2-i))
[340006] ['-3i', '(2-2i)', '(2-i)', '(6-7i)'] -> 6-7i * (2-i - -3i) - 2-2i
[340007] ['-3i', '(2-2i)', '(2-i)', '(6-6i)'] -> 6-6i - 2-i * -3i * 2-2i
[340008] ['-3i', '(2-2i)', '(2-i)', '6'] -> 6 * (2-i - (-3i - 2-2i))
[340009] ['-3i', '(2-2i)', '(2-i)', '(6+5i)'] -> 2-2i * 6+5i - (-3i - 2-i)
[340010] ['-3i', '(2-2i)', '(2-i)', '(6+7i)'] -> 2-i * 8+7i - (7-3i - 8-9i)
[340014] ['-3i', '(2-2i)', '(2-i)', '(7+8i)'] -> -3i + 2-i * (2-2i + 7+8i)
[340016] ['-3i', '(2-2i)', '(2-i)', '(8+2i)'] -> 2-2i * (8+2i - (-3i + 2-i))
[340017] ['-3i', '(2-2i)', '(2-i)', '(8+8i)'] -> 2-2i * (8+8i + -3i - 2-i)
[340022] ['-3i', '(2-2i)', '(2-i)', '(9+4i)'] -> 2-i * 9+4i - (-3i - 2-2i)
[340023] ['-3i', '(2-2i)', '2', '(2+2i)'] -> -3i * 2 * (2+2i - 2-2i)
[340027] ['-3i', '(2-2i)', '2', '3'] -> 2-2i * 2 * (3 - -3i)
[340028] ['-3i', '(2-2i)', '2', '(3+6i)'] -> (-3i + 3+6i) * 2-2i * 2
[340029] ['-3i', '(2-2i)', '2', '(4-2i)'] -> -3i * 2-2i * (2 - 4-2i)
[340030] ['-3i', '(2-2i)', '2', '4'] -> -3i * 4 * (2 - 2-2i)
[340031] ['-3i', '(2-2i)', '2', '(4+3i)'] -> 2-2i * (4+3i - (-3i - 2))
[340032] ['-3i', '(2-2i)', '2', '(4+4i)'] -> -3i * (4+4i - 2-2i * 2)
[340034] ['-3i', '(2-2i)', '2', '(4+6i)'] -> -3i * (4+6i - (2-2i + 2))
[340035] ['-3i', '(2-2i)', '2', '(4+9i)'] -> 2-2i * (4+9i + -3i + 2)
[340038] ['-3i', '(2-2i)', '2', '(6-6i)'] -> (-6i - 6i) * (6-3i - 6-5i)
[340040] ['-3i', '(2-2i)', '2', '6'] -> 2-2i * (6 - -3i * 2)
[340042] ['-3i', '(2-2i)', '2', '(8+3i)'] -> 2-2i * (8+3i - (-3i + 2))
[340043] ['-3i', '(2-2i)', '2', '(8+8i)'] -> -3i / 2-2i * 2 * 8+8i
[340044] ['-3i', '(2-2i)', '2', '(8+9i)'] -> 2-2i * (8+9i + -3i - 2)
[340045] ['-3i', '(2-2i)', '2', '(9-9i)'] -> 2 * 9-9i / (-3i / 2-2i)
[340046] ['-3i', '(2-2i)', '2', '(9-3i)'] -> 2 * 9-3i - -3i * 2-2i
[340047] ['-3i', '(2-2i)', '(2+i)', '(2+2i)'] -> -3i * (2+i * 2+2i - 2-2i)
[340050] ['-3i', '(2-2i)', '(2+i)', '3'] -> 2-2i * (2+i * 3 - -3i)
[340054] ['-3i', '(2-2i)', '(2+i)', '(3+3i)'] -> 2 * 9-2i - (2-6i - 8-2i)
[340055] ['-3i', '(2-2i)', '(2+i)', '(4-9i)'] -> -3i * (2-2i + 2+i - 4-9i)
[340056] ['-3i', '(2-2i)', '(2+i)', '(4-i)'] -> -3i * 2-2i * (2+i - 4-i)
[340057] ['-3i', '(2-2i)', '(2+i)', '(4+2i)'] -> 2-2i * (4+2i - (-3i - 2+i))
[340058] ['-3i', '(2-2i)', '(2+i)', '(4+7i)'] -> -3i * (4+7i - (2-2i + 2+i))
[340064] ['-3i', '(2-2i)', '(2+i)', '(6-6i)'] -> 2+i * 6-6i - -3i * 2-2i
[340067] ['-3i', '(2-2i)', '(2+i)', '(6+6i)'] -> -3i * (6+6i - 2-2i * 2+i)
[340072] ['-3i', '(2-2i)', '(2+i)', '(7-4i)'] -> 2+i * (2-2i + 7-4i) - -3i
[340079] ['-3i', '(2-2i)', '(2+i)', '9'] -> 2-2i * (9 - -3i * 2+i)
[340082] ['-3i', '(2-2i)', '(2+2i)', '(2+3i)'] -> -3i * (2-2i + 2+2i * 2+3i)
[340083] ['-3i', '(2-2i)', '(2+2i)', '(3-6i)'] -> 2+2i * 3-6i - -3i * 2-2i
[340084] ['-3i', '(2-2i)', '(2+2i)', '(3-3i)'] -> 2-2i * 2+2i * (3-3i - -3i)
[340086] ['-3i', '(2-2i)', '(2+2i)', '(3+6i)'] -> -3i * 2+2i + 2-2i * 3+6i
[340088] ['-3i', '(2-2i)', '(2+2i)', '(4-8i)'] -> 6-2i * 9+3i - -6i * 6i
[340090] ['-3i', '(2-2i)', '(2+2i)', '(4-7i)'] -> 2+2i * (4-7i - (-3i - 2-2i))
[340091] ['-3i', '(2-2i)', '(2+2i)', '(4-i)'] -> 2+2i * (4-i + -3i + 2-2i)
[340092] ['-3i', '(2-2i)', '(2+2i)', '(4+i)'] -> 2-2i * (4+i - (-3i - 2+2i))
[340093] ['-3i', '(2-2i)', '(2+2i)', '(4+7i)'] -> 2-2i * (4+7i + -3i + 2+2i)
[340094] ['-3i', '(2-2i)', '(2+2i)', '(4+8i)'] -> -3i * (4+8i - (2-2i + 2+2i))
[340098] ['-3i', '(2-2i)', '(2+2i)', '(6-4i)'] -> 2+2i * (-3i + 6-4i) - 2-2i
[340099] ['-3i', '(2-2i)', '(2+2i)', '(6-3i)'] -> (2-2i + 2+2i) * (6-3i - -3i)
[340100] ['-3i', '(2-2i)', '(2+2i)', '(6-2i)'] -> 2-2i + 2+2i * (-3i + 6-2i)
[340101] ['-3i', '(2-2i)', '(2+2i)', '(6+3i)'] -> (-3i + 6+3i) * (2-2i + 2+2i)
[340102] ['-3i', '(2-2i)', '(2+2i)', '(6+4i)'] -> 2-2i * (6+4i - -3i) - 2+2i
[340105] ['-3i', '(2-2i)', '(2+2i)', '(6+8i)'] -> 2+2i + 2-2i * (-3i + 6+8i)
[340110] ['-3i', '(2-2i)', '(2+2i)', '(8-8i)'] -> -3i * (2-2i * 2+2i - 8-8i)
[340111] ['-3i', '(2-2i)', '(2+2i)', '(8-5i)'] -> 2+2i * (8-5i + -3i - 2-2i)
[340112] ['-3i', '(2-2i)', '(2+2i)', '8'] -> -3i / 2-2i * 2+2i * 8
[340113] ['-3i', '(2-2i)', '(2+2i)', '(8+5i)'] -> 2-2i * (8+5i - (-3i + 2+2i))
[340115] ['-3i', '(2-2i)', '(2+2i)', '(8+8i)'] -> -3i * (8+8i - 2-2i * 2+2i)
[340116] ['-3i', '(2-2i)', '(2+2i)', '(9-9i)'] -> 9-9i * (2+2i - 2-2i / -3i)
[340117] ['-3i', '(2-2i)', '(2+2i)', '(9-6i)'] -> -3i * 2-2i + 2+2i * 9-6i
[340118] ['-3i', '(2-2i)', '(2+2i)', '(9+6i)'] -> 2-2i * 9+6i - -3i * 2+2i
[340120] ['-3i', '(2-2i)', '(2+2i)', '(9+9i)'] -> 9+9i * (2-2i + 2+2i / -3i)
[340123] ['-3i', '(2-2i)', '(2+3i)', '(3-3i)'] -> 3-3i * (2+3i - (-3i - 2-2i))
[340124] ['-3i', '(2-2i)', '(2+3i)', '3'] -> 2-2i * (-3i + 2+3i * 3)
[340125] ['-3i', '(2-2i)', '(2+3i)', '(3+3i)'] -> (-3i + 2+3i) * 2-2i * 3+3i
[340130] ['-3i', '(2-2i)', '(2+3i)', '(4-7i)'] -> -3i * (2-2i + 2+3i - 4-7i)
[340132] ['-3i', '(2-2i)', '(2+3i)', '4'] -> 2-2i * (4 - (-3i - 2+3i))
[340133] ['-3i', '(2-2i)', '(2+3i)', '(4+i)'] -> -3i * 2-2i * (2+3i - 4+i)
