[401467] ['(1-5i)', '2', '(8-4i)', '(9+3i)'] -> 2 * 8-4i - (1-5i - 9+3i)
[401476] ['(1-5i)', '2', '(8-3i)', '(9+i)'] -> 2 * 8-3i - (1-5i - 9+i)
[401477] ['(1-5i)', '2', '(8-3i)', '(9+2i)'] -> 1-5i * (9+2i - 8-3i) - 2
[401482] ['(1-5i)', '2', '(8-2i)', '(9-i)'] -> 2 * 8-2i - (1-5i - 9-i)
[401484] ['(1-5i)', '2', '(8-2i)', '(9+3i)'] -> 1-5i * (9+3i - 8-2i) - 2
[401488] ['(1-5i)', '2', '(8-i)', '(8+8i)'] -> 8+8i * (2 - 8-i / 1-5i)
[401489] ['(1-5i)', '2', '(8-i)', '(9-3i)'] -> 2 * 8-i - (1-5i - 9-3i)
[401490] ['(1-5i)', '2', '(8-i)', '(9+4i)'] -> 1-5i * (9+4i - 8-i) - 2
[401495] ['(1-5i)', '2', '8', '(9+5i)'] -> 1-5i * (9+5i - 8) - 2
[401501] ['(1-5i)', '2', '(8+i)', '(9-7i)'] -> 2 * 8+i - (1-5i - 9-7i)
[401503] ['(1-5i)', '2', '(8+i)', '(9+6i)'] -> 1-5i * (9+6i - 8+i) - 2
[401507] ['(1-5i)', '2', '(8+2i)', '(9-9i)'] -> 2 * 8+2i - (1-5i - 9-9i)
[401508] ['(1-5i)', '2', '(8+2i)', '(9+7i)'] -> 1-5i * (9+7i - 8+2i) - 2
[401517] ['(1-5i)', '2', '(8+3i)', '(9+8i)'] -> 1-5i * (9+8i - 8+3i) - 2
[401523] ['(1-5i)', '2', '(8+4i)', '(9+9i)'] -> 1-5i * (9+9i - 8+4i) - 2
[401532] ['(1-5i)', '2', '(8+8i)', '(8+9i)'] -> (2 - 8+9i) / (1-5i / 8+8i)
[401536] ['(1-5i)', '2', '(8+8i)', '(9+6i)'] -> 8+8i * 9+6i / (2 - 1-5i)
[401588] ['(1-5i)', '(2+i)', '(2+i)', '(7-8i)'] -> 2+i * (2+i + 7-8i) - 1-5i
[401589] ['(1-5i)', '(2+i)', '(2+i)', '(8-7i)'] -> 2+i * 8-7i - (1-5i - 2+i)
[401591] ['(1-5i)', '(2+i)', '(2+i)', '(9-7i)'] -> 2+i * (9-7i - 1-5i / 2+i)
[401594] ['(1-5i)', '(2+i)', '(2+2i)', '(2+3i)'] -> (1-5i + 2+2i) * (2+i + 2+3i)
[401596] ['(1-5i)', '(2+i)', '(2+2i)', '(2+4i)'] -> 1-5i * 2+4i + 2+i * 2+2i
[401599] ['(1-5i)', '(2+i)', '(2+2i)', '(3-2i)'] -> 2+2i * (3-2i + 1-5i + 2+i)
[401608] ['(1-5i)', '(2+i)', '(2+2i)', '(6+5i)'] -> (1-5i + 2+2i) * (6+5i - 2+i)
[401609] ['(1-5i)', '(2+i)', '(2+2i)', '(7-9i)'] -> 2+i * (2+2i + 7-9i) - 1-5i
[401612] ['(1-5i)', '(2+i)', '(2+2i)', '7'] -> 2+2i * (7 + 1-5i - 2+i)
[401616] ['(1-5i)', '(2+i)', '(2+2i)', '(8-4i)'] -> 2+2i * 1-5i * 2+i - 8-4i
[401620] ['(1-5i)', '(2+i)', '(2+2i)', '(9-3i)'] -> 1-5i + 2+2i + 2+i * 9-3i
[401625] ['(1-5i)', '(2+i)', '(2+3i)', '(4-8i)'] -> (2+i + 2+3i) * (4-8i - 1-5i)
[401631] ['(1-5i)', '(2+i)', '(2+3i)', '(5+6i)'] -> 1-5i * 2+3i + 2+i + 5+6i
[401633] ['(1-5i)', '(2+i)', '(2+3i)', '(6-i)'] -> 6-i + 2+3i * (1-5i + 2+i)
[401635] ['(1-5i)', '(2+i)', '(2+3i)', '(8-8i)'] -> 8-8i * (2+i + 2+3i / 1-5i)
[401640] ['(1-5i)', '(2+i)', '(2+3i)', '(9-5i)'] -> 2+i * 9-5i - 1-5i / 2+3i
[401642] ['(1-5i)', '(2+i)', '(2+3i)', '(9+8i)'] -> 1-5i * 2+3i - (2+i - 9+8i)
[401650] ['(1-5i)', '(2+i)', '(2+4i)', '(4+7i)'] -> 1-5i * 2+4i - (2+i - 4+7i)
[401659] ['(1-5i)', '(2+i)', '(2+4i)', '(7-i)'] -> 2+4i + 2+i * (1-5i + 7-i)
[401664] ['(1-5i)', '(2+i)', '(2+5i)', '(2+7i)'] -> 2+5i * (1-5i + 2+i) - 2+7i
[401670] ['(1-5i)', '(2+i)', '(2+5i)', '(5-4i)'] -> 1-5i * 2+5i + 2+i - 5-4i
[401674] ['(1-5i)', '(2+i)', '(2+5i)', '(6-i)'] -> (1-5i + 2+5i) * (2+i + 6-i)
[401699] ['(1-5i)', '(2+i)', '(2+6i)', '(4+4i)'] -> 4+4i * (1-5i + 2+6i / 2+i)
[401700] ['(1-5i)', '(2+i)', '(2+6i)', '(5-i)'] -> (1-5i + 5-i) / (2+i / 2+6i)
[401704] ['(1-5i)', '(2+i)', '(2+6i)', '(6-5i)'] -> 1-5i * 2+6i - (2+i + 6-5i)
[401708] ['(1-5i)', '(2+i)', '(2+6i)', '(7-9i)'] -> 2+i * 7-9i - (1-5i - 2+6i)
[401727] ['(1-5i)', '(2+i)', '(2+7i)', '(6+6i)'] -> 1-5i * (2+7i - 2+i) - 6+6i
[401733] ['(1-5i)', '(2+i)', '(2+7i)', '(8-5i)'] -> 3-3i * (7+5i + 1-2i - 4-i)
[401748] ['(1-5i)', '(2+i)', '(2+8i)', '(6-3i)'] -> (1-5i + 2+8i) * (6-3i - 2+i)
[401781] ['(1-5i)', '(2+i)', '(2+9i)', '(6-3i)'] -> 2+9i + 2+i * (1-5i + 6-3i)
[401793] ['(1-5i)', '(2+i)', '(2+9i)', '(9-5i)'] -> 1-5i * 2+9i - 2+i * 9-5i
[401814] ['(1-5i)', '(2+i)', '(3-9i)', '(6+2i)'] -> 2+i * (3-9i + 6+2i) - 1-5i
[401824] ['(1-5i)', '(2+i)', '(3-9i)', '(8-4i)'] -> (-3i - 4+i) * (6-2i - 9-5i)
[401846] ['(1-5i)', '(2+i)', '(3-8i)', '(6+i)'] -> 2+i * (3-8i + 6+i) - 1-5i
[401859] ['(1-5i)', '(2+i)', '(3-8i)', '(9+4i)'] -> 3-8i + 2+i * (1-5i + 9+4i)
[401865] ['(1-5i)', '(2+i)', '(3-7i)', '(4+5i)'] -> (2+i + 4+5i) * (3-7i - 1-5i)
[401879] ['(1-5i)', '(2+i)', '(3-7i)', '6'] -> 2+i * (3-7i + 6) - 1-5i
[401899] ['(1-5i)', '(2+i)', '(3-6i)', '(3+2i)'] -> 3+2i * (2+i + 3-6i) - 1-5i
[401907] ['(1-5i)', '(2+i)', '(3-6i)', '(6-i)'] -> 2+i * (3-6i + 6-i) - 1-5i
[401908] ['(1-5i)', '(2+i)', '(3-6i)', '6'] -> 6 * (3-6i - (1-5i - 2+i))
[401910] ['(1-5i)', '(2+i)', '(3-6i)', '(7-i)'] -> 3-6i * (7-i / 2+i - 1-5i)
[401916] ['(1-5i)', '(2+i)', '(3-6i)', '(9-4i)'] -> 2+i * 9-4i - (1-5i - 3-6i)
[401918] ['(1-5i)', '(2+i)', '(3-6i)', '(9-3i)'] -> 9-3i - 3-6i * 1-5i / 2+i
[401924] ['(1-5i)', '(2+i)', '(3-5i)', '(3+3i)'] -> 3+3i * (1-5i * 2+i - 3-5i)
[401925] ['(1-5i)', '(2+i)', '(3-5i)', '(3+9i)'] -> 3+9i * (1-5i - 3-5i / 2+i)
[401929] ['(1-5i)', '(2+i)', '(3-5i)', '(4+6i)'] -> 1-5i * (4+6i - 2+i) - 3-5i
[401931] ['(1-5i)', '(2+i)', '(3-5i)', '(6-2i)'] -> 2+i * (3-5i + 6-2i) - 1-5i
[401935] ['(1-5i)', '(2+i)', '(3-5i)', '(8-2i)'] -> 8-2i * (2+i + 1-5i / 3-5i)
[401946] ['(1-5i)', '(2+i)', '(3-4i)', '(6-3i)'] -> 2+i * (3-4i + 6-3i) - 1-5i
[401954] ['(1-5i)', '(2+i)', '(3-4i)', '(9-2i)'] -> 6+9i - -3i * (4+i - 7+7i)
[401955] ['(1-5i)', '(2+i)', '(3-3i)', '(3-2i)'] -> 3-3i * (3-2i - (1-5i - 2+i))
[401956] ['(1-5i)', '(2+i)', '(3-3i)', '(3+3i)'] -> 3-3i * (1-5i + 2+i * 3+3i)
[401958] ['(1-5i)', '(2+i)', '(3-3i)', '(4-7i)'] -> (2+i + 4-7i) * (3-3i - 1-5i)
[401964] ['(1-5i)', '(2+i)', '(3-3i)', '(5+7i)'] -> (5+7i - 1-5i) / (2+i / 3-3i)
[401965] ['(1-5i)', '(2+i)', '(3-3i)', '(6-4i)'] -> 2+i * (3-3i + 6-4i) - 1-5i
[401968] ['(1-5i)', '(2+i)', '(3-3i)', '7'] -> 3-3i * (7 - (1-5i + 2+i))
[401972] ['(1-5i)', '(2+i)', '(3-3i)', '(8+2i)'] -> 3-3i + 2+i * (1-5i + 8+2i)
[401979] ['(1-5i)', '(2+i)', '(3-2i)', '(4+7i)'] -> 4+7i * (3-2i - 2+i) - 1-5i
[401983] ['(1-5i)', '(2+i)', '(3-2i)', '5'] -> 5 * (2+i + 3-2i) - 1-5i
[401986] ['(1-5i)', '(2+i)', '(3-2i)', '(6-5i)'] -> 2+i * (3-2i + 6-5i) - 1-5i
[401994] ['(1-5i)', '(2+i)', '(3-2i)', '8'] -> 8 * (2+i + 1-5i / 3-2i)
[401999] ['(1-5i)', '(2+i)', '(3-i)', '(4-8i)'] -> 4-8i * (2+i - 1-5i / 3-i)
[402008] ['(1-5i)', '(2+i)', '(3-i)', '(5-i)'] -> 5-i * (2+i + 3-i) - 1-5i
[402011] ['(1-5i)', '(2+i)', '(3-i)', '(6-6i)'] -> 2+i * (3-i + 6-6i) - 1-5i
[402014] ['(1-5i)', '(2+i)', '(3-i)', '(6-2i)'] -> 6-2i * (3-i - 1-5i / 2+i)
[402015] ['(1-5i)', '(2+i)', '(3-i)', '6'] -> 3-i * (2+i + 6) - 1-5i
[402018] ['(1-5i)', '(2+i)', '(3-i)', '(7+9i)'] -> 7+9i * (3-i - 2+i) - 1-5i
[402020] ['(1-5i)', '(2+i)', '(3-i)', '(8-6i)'] -> 2+i * 8-6i - (1-5i - 3-i)
[402032] ['(1-5i)', '(2+i)', '3', '(5+4i)'] -> 3 * (5+4i + 1-5i + 2+i)
[402033] ['(1-5i)', '(2+i)', '3', '(6-7i)'] -> 2+i * (3 + 6-7i) - 1-5i
[402037] ['(1-5i)', '(2+i)', '3', '(7-6i)'] -> 3 * (7-6i - (1-5i - 2+i))
[402044] ['(1-5i)', '(2+i)', '3', '(9-2i)'] -> (5-2i + 7-2i) / (1-2i / 3-3i)
[402046] ['(1-5i)', '(2+i)', '3', '(9+6i)'] -> 3 * (9+6i + 1-5i - 2+i)
[402050] ['(1-5i)', '(2+i)', '(3+i)', '(3+9i)'] -> (1-5i + 3+i) / (2+i / 3+9i)
[402054] ['(1-5i)', '(2+i)', '(3+i)', '4'] -> 4 * (1-5i + 2+i * 3+i)
[402056] ['(1-5i)', '(2+i)', '(3+i)', '(5-5i)'] -> 3+i * (2+i + 5-5i) - 1-5i
[402057] ['(1-5i)', '(2+i)', '(3+i)', '(5+4i)'] -> (1-5i + 3+i) * (5+4i - 2+i)
[402059] ['(1-5i)', '(2+i)', '(3+i)', '(6-8i)'] -> 2+i * (3+i + 6-8i) - 1-5i
[402060] ['(1-5i)', '(2+i)', '(3+i)', '(6-6i)'] -> (3+i - 1-5i) / (2+i / 6-6i)
[402064] ['(1-5i)', '(2+i)', '(3+i)', '(6+i)'] -> 1-5i * 2+i + 3+i * 6+i
[402073] ['(1-5i)', '(2+i)', '(3+i)', '(8+4i)'] -> 8+4i * (3+i + 1-5i / 2+i)
[402075] ['(1-5i)', '(2+i)', '(3+i)', '(9-3i)'] -> 3+i * (9-3i - 2+i) - 1-5i
[402085] ['(1-5i)', '(2+i)', '(3+2i)', '(6-9i)'] -> 2+i * (3+2i + 6-9i) - 1-5i
[402090] ['(1-5i)', '(2+i)', '(3+2i)', '(7-4i)'] -> 3+2i * (7-4i - 2+i) - 1-5i
[402091] ['(1-5i)', '(2+i)', '(3+2i)', '7'] -> 3+2i + 2+i * (1-5i + 7)
[402092] ['(1-5i)', '(2+i)', '(3+2i)', '(7+3i)'] -> 1-5i * 3+2i + 2+i * 7+3i
[402095] ['(1-5i)', '(2+i)', '(3+2i)', '(7+6i)'] -> 7+6i + 3+2i * (1-5i + 2+i)
[402102] ['(1-5i)', '(2+i)', '(3+3i)', '(3+3i)'] -> 1-2i * 6+8i - (3-3i - 5+i)
[402109] ['(1-5i)', '(2+i)', '(3+3i)', '(5+2i)'] -> 3+3i * (5+2i + 1-5i - 2+i)
[402110] ['(1-5i)', '(2+i)', '(3+3i)', '(5+5i)'] -> 3+3i * (1-5i + 5+5i / 2+i)
[402113] ['(1-5i)', '(2+i)', '(3+3i)', '(7-8i)'] -> 3+3i * (7-8i - (1-5i + 2+i))
[402121] ['(1-5i)', '(2+i)', '(3+3i)', '(9-3i)'] -> 9-3i * (3+3i + 1-5i / 2+i)
[402127] ['(1-5i)', '(2+i)', '(3+4i)', '4'] -> 4 * (3+4i + 1-5i + 2+i)
[402131] ['(1-5i)', '(2+i)', '(3+4i)', '(6+6i)'] -> 6+6i * (3+4i + 1-5i - 2+i)
[402133] ['(1-5i)', '(2+i)', '(3+4i)', '(7-8i)'] -> -6i * (8+8i - (2-3i + 6+7i))
[402141] ['(1-5i)', '(2+i)', '(3+4i)', '(9-7i)'] -> 9-7i / (2+i / 3+4i) - 1-5i
[402146] ['(1-5i)', '(2+i)', '(3+5i)', '(4-i)'] -> (1-5i + 3+5i) * (2+i + 4-i)
[402149] ['(1-5i)', '(2+i)', '(3+5i)', '(5+3i)'] -> 2-6i * 6+6i / (7-5i - 5-4i)
[402152] ['(1-5i)', '(2+i)', '(3+5i)', '(6-9i)'] -> (5+5i + 7-9i) / (1-2i / 3-3i)
[402164] ['(1-5i)', '(2+i)', '(3+5i)', '(8-4i)'] -> 1-5i + 3+5i + 2+i * 8-4i
[402165] ['(1-5i)', '(2+i)', '(3+5i)', '(8+i)'] -> (1-5i + 3+5i) * (8+i - 2+i)
[402184] ['(1-5i)', '(2+i)', '(3+6i)', '(9+6i)'] -> 3+6i * (1-5i + 2+i) - 9+6i
[402188] ['(1-5i)', '(2+i)', '(3+7i)', '(4-6i)'] -> 1-5i * 3+7i - 2+i * 4-6i
[402197] ['(1-5i)', '(2+i)', '(3+7i)', '(6-2i)'] -> 3+7i + 2+i * (1-5i + 6-2i)
[402200] ['(1-5i)', '(2+i)', '(3+7i)', '(7+i)'] -> 1-5i * (3+7i - 2+i) - 7+i
[402208] ['(1-5i)', '(2+i)', '(3+8i)', '(6-6i)'] -> 6-6i * (3+8i + 1-5i - 2+i)
[402222] ['(1-5i)', '(2+i)', '(3+9i)', '(5-9i)'] -> (5-9i - 1-5i) / (2+i / 3+9i)
[402224] ['(1-5i)', '(2+i)', '(3+9i)', '(5-2i)'] -> -8i * (1-5i + 5+i - 6-7i)
[402244] ['(1-5i)', '(2+i)', '(3+9i)', '(9-3i)'] -> (1-5i + 3+9i) / (2+i / 9-3i)
[402254] ['(1-5i)', '(2+i)', '(4-9i)', '(5+2i)'] -> 2+i * (4-9i + 5+2i) - 1-5i
[402257] ['(1-5i)', '(2+i)', '(4-9i)', '(7-5i)'] -> (7-5i - 1-5i * 4-9i) / 2+i
[402261] ['(1-5i)', '(2+i)', '(4-9i)', '8'] -> 8 * (1-5i * 2+i - 4-9i)
[402264] ['(1-5i)', '(2+i)', '(4-9i)', '(8+9i)'] -> 2+i * 4-9i - (1-5i - 8+9i)
[402271] ['(1-5i)', '(2+i)', '(4-8i)', '(4-4i)'] -> 4-4i - 4-8i * 1-5i / 2+i
[402275] ['(1-5i)', '(2+i)', '(4-8i)', '(5+i)'] -> 2+i * (4-8i + 5+i) - 1-5i
[402280] ['(1-5i)', '(2+i)', '(4-8i)', '(7-3i)'] -> 4-8i * (7-3i / 2+i - 1-5i)
[402291] ['(1-5i)', '(2+i)', '(4-8i)', '(9-3i)'] -> 2+i * 9-3i - (1-5i - 4-8i)
[402295] ['(1-5i)', '(2+i)', '(4-8i)', '(9+7i)'] -> 4+4i * (7+2i + -3i - 4+2i)
[402303] ['(1-5i)', '(2+i)', '(4-7i)', '5'] -> 2+i * (4-7i + 5) - 1-5i
[402312] ['(1-5i)', '(2+i)', '(4-6i)', '(4+4i)'] -> 4+4i * (1-5i * 2+i - 4-6i)
[402316] ['(1-5i)', '(2+i)', '(4-6i)', '(5-i)'] -> 2+i * (4-6i + 5-i) - 1-5i
[402323] ['(1-5i)', '(2+i)', '(4-6i)', '(9-3i)'] -> 2+i * (1-5i + 9-3i) - 4-6i
[402329] ['(1-5i)', '(2+i)', '(4-5i)', '(5-2i)'] -> 2+i * (4-5i + 5-2i) - 1-5i
[402337] ['(1-5i)', '(2+i)', '(4-5i)', '(6-i)'] -> (2+i + 6-i) * (4-5i - 1-5i)
[402343] ['(1-5i)', '(2+i)', '(4-5i)', '(8+3i)'] -> 4-5i + 2+i * (1-5i + 8+3i)
[402348] ['(1-5i)', '(2+i)', '(4-4i)', '(4+9i)'] -> 6+i - 1-2i * (3-3i - 7+4i)
[402349] ['(1-5i)', '(2+i)', '(4-4i)', '(5-3i)'] -> 2+i * (4-4i + 5-3i) - 1-5i
[402351] ['(1-5i)', '(2+i)', '(4-4i)', '(6-i)'] -> 4-4i * (6-i - (1-5i + 2+i))
[402358] ['(1-5i)', '(2+i)', '(4-3i)', '(5-4i)'] -> 2+i * (4-3i + 5-4i) - 1-5i
[402360] ['(1-5i)', '(2+i)', '(4-3i)', '(7+9i)'] -> 7+9i / (2+i / 4-3i) - 1-5i
[402361] ['(1-5i)', '(2+i)', '(4-3i)', '(8-5i)'] -> 2+i * 8-5i - (1-5i - 4-3i)
[402365] ['(1-5i)', '(2+i)', '(4-2i)', '(5-5i)'] -> 2+i * (4-2i + 5-5i) - 1-5i
[402368] ['(1-5i)', '(2+i)', '(4-2i)', '(5+5i)'] -> 5+5i * (4-2i - 2+i) - 1-5i
[402371] ['(1-5i)', '(2+i)', '(4-2i)', '(7+9i)'] -> 7+9i + 2+i * (1-5i + 4-2i)
[402372] ['(1-5i)', '(2+i)', '(4-2i)', '(9-i)'] -> 1-5i + 4-2i + 2+i * 9-i
[402374] ['(1-5i)', '(2+i)', '(4-i)', '(5-6i)'] -> 2+i * (4-i + 5-6i) - 1-5i
[402375] ['(1-5i)', '(2+i)', '(4-i)', '(5-5i)'] -> (2+i + 4-i) * (5-5i - 1-5i)
[402383] ['(1-5i)', '(2+i)', '(4-i)', '(8+7i)'] -> 8+7i + 2+i * (1-5i + 4-i)
[402385] ['(1-5i)', '(2+i)', '4', '(5-7i)'] -> 2+i * (4 + 5-7i) - 1-5i
[402386] ['(1-5i)', '(2+i)', '4', '(5-6i)'] -> 4 * (5-6i - (1-5i - 2+i))
[402392] ['(1-5i)', '(2+i)', '4', '(7+i)'] -> 4 + 2+i * (1-5i + 7+i)
[402393] ['(1-5i)', '(2+i)', '4', '(7+6i)'] -> 4 * (7+6i + 1-5i - 2+i)
[402396] ['(1-5i)', '(2+i)', '4', '(9-4i)'] -> 4 * (9-4i - (1-5i + 2+i))
[402400] ['(1-5i)', '(2+i)', '4', '(9+5i)'] -> 9+5i + 2+i * (1-5i + 4)
[402402] ['(1-5i)', '(2+i)', '(4+i)', '(5-8i)'] -> 2+i * (4+i + 5-8i) - 1-5i
[402414] ['(1-5i)', '(2+i)', '(4+2i)', '(5-9i)'] -> 2+i * (4+2i + 5-9i) - 1-5i
[402417] ['(1-5i)', '(2+i)', '(4+2i)', '(5+9i)'] -> 4+2i * (1-5i + 5+9i / 2+i)
[402423] ['(1-5i)', '(2+i)', '(4+2i)', '(7-7i)'] -> 2+i * 7-7i - (1-5i - 4+2i)
[402427] ['(1-5i)', '(2+i)', '(4+2i)', '(9-7i)'] -> 9-7i * (4+2i - 2+i) - 1-5i
[402430] ['(1-5i)', '(2+i)', '(4+3i)', '(4+4i)'] -> 4+4i * (4+3i + 1-5i - 2+i)
[402432] ['(1-5i)', '(2+i)', '(4+3i)', '(5-i)'] -> (1-5i + 5-i) * (4+3i - 2+i)
[402442] ['(1-5i)', '(2+i)', '(4+3i)', '(8-3i)'] -> 1-5i + 4+3i + 2+i * 8-3i
[402451] ['(1-5i)', '(2+i)', '(4+4i)', '(6-7i)'] -> 4+4i * (6-7i - (1-5i + 2+i))
[402461] ['(1-5i)', '(2+i)', '(4+4i)', '(8+2i)'] -> (1-5i + 8+2i) / (2+i / 4+4i)
[402472] ['(1-5i)', '(2+i)', '(4+5i)', '(6-i)'] -> 4+5i + 2+i * (1-5i + 6-i)
[402479] ['(1-5i)', '(2+i)', '(4+5i)', '(8-i)'] -> 4+5i * (1-5i + 2+i) - 8-i
[402511] ['(1-5i)', '(2+i)', '(4+7i)', '(5-5i)'] -> 5-5i / (2+i / 4+7i) - 1-5i
[402516] ['(1-5i)', '(2+i)', '(4+7i)', '(6-9i)'] -> 2+i * 6-9i - (1-5i - 4+7i)
[402521] ['(1-5i)', '(2+i)', '(4+7i)', '(8-4i)'] -> 1-5i * (4+7i - 2+i) - 8-4i
