[1613] ['11', '16', '25', '28', '30'] -> (((25 / (30 - 28)) - 11) * 16)
[1615] ['11', '16', '22', '29', '29'] -> (((11 / 22) + (29 / 29)) * 16)
[1623] ['11', '18', '21', '28', '28'] -> (28 / ((11 / 21) + (18 / 28)))
[1624] ['11', '19', '20', '25', '25'] -> (((11 / 25) + (19 / 25)) * 20)
[1635] ['11', '18', '25', '27', '27'] -> (((11 / 27) + (25 / 27)) * 18)
[1679] ['12', '13', '21', '21', '29'] -> (((13 / 21) + (29 / 21)) * 12)
[1680] ['12', '13', '13', '18', '27'] -> (12 / ((27 / 18) - (13 / 13)))
[1691] ['12', '14', '19', '25', '25'] -> (14 / ((19 / 12) - (25 / 25)))
[1692] ['12', '14', '19', '20', '20'] -> (14 / ((19 / 12) - (20 / 20)))
[1700] ['12', '16', '19', '19', '22'] -> (((16 / 19) + (22 / 19)) * 12)
[1705] ['12', '17', '20', '20', '23'] -> (((17 / 20) + (23 / 20)) * 12)
[1706] ['12', '18', '18', '18', '28'] -> (((28 / 12) - (18 / 18)) * 18)
[1707] ['12', '18', '19', '19', '27'] -> (12 / ((27 / 18) - (19 / 19)))
[1708] ['12', '17', '22', '22', '27'] -> (((17 / 22) + (27 / 22)) * 12)
[1709] ['12', '17', '17', '20', '30'] -> (12 / ((30 / 20) - (17 / 17)))
[1713] ['12', '18', '23', '23', '27'] -> (12 / ((27 / 18) - (23 / 23)))
[1716] ['12', '20', '21', '22', '28'] -> (22 / ((20 / 12) - (21 / 28)))
[1720] ['12', '18', '25', '25', '27'] -> (12 / ((27 / 18) - (25 / 25)))
[1721] ['12', '18', '25', '25', '28'] -> (((28 / 12) - (25 / 25)) * 18)
[1722] ['12', '18', '27', '29', '29'] -> (12 / ((27 / 18) - (29 / 29)))
[1727] ['12', '19', '23', '23', '27'] -> (((19 / 23) + (27 / 23)) * 12)
[1729] ['12', '20', '29', '29', '30'] -> (12 / ((30 / 20) - (29 / 29)))
[1730] ['12', '20', '30', '30', '30'] -> (12 / ((30 / 20) - (30 / 30)))
[1738] ['12', '21', '25', '25', '29'] -> (((21 / 25) + (29 / 25)) * 12)
[1748] ['12', '23', '28', '28', '30'] -> (30 / ((12 / 28) + (23 / 28)))
[1766] ['12', '25', '27', '27', '29'] -> (((25 / 27) + (29 / 27)) * 12)
[1769] ['13', '13', '16', '18', '30'] -> (16 / ((30 / 18) - (13 / 13)))
[1770] ['13', '13', '17', '26', '29'] -> (((29 / 13) - (17 / 13)) * 26)
[1773] ['13', '13', '16', '26', '26'] -> (((26 / 13) - (13 / 26)) * 16)
[1774] ['13', '13', '16', '26', '28'] -> (((28 / 13) - (16 / 13)) * 26)
[1790] ['13', '15', '15', '22', '30'] -> (((13 / 15) + (22 / 30)) * 15)
[1804] ['13', '18', '23', '27', '27'] -> (((13 / 27) + (23 / 27)) * 18)
[1840] ['14', '14', '19', '19', '28'] -> (((28 / 14) - (14 / 19)) * 19)
[1846] ['14', '15', '15', '16', '28'] -> (((14 / 28) + (15 / 15)) * 16)
[1849] ['14', '16', '16', '20', '21'] -> (16 / ((20 / 14) - (16 / 21)))
[1851] ['14', '16', '18', '19', '30'] -> (19 / ((30 / 18) - (14 / 16)))
[1858] ['14', '16', '28', '29', '29'] -> (((14 / 28) + (29 / 29)) * 16)
[1862] ['14', '18', '26', '30', '30'] -> (((14 / 30) + (26 / 30)) * 18)
[1867] ['14', '20', '20', '20', '28'] -> (((20 / 20) + (20 / 28)) * 14)
[1868] ['14', '20', '27', '27', '28'] -> (((20 / 28) + (27 / 27)) * 14)
[1870] ['14', '21', '21', '28', '28'] -> (14 / ((28 / 21) - (21 / 28)))
[1886] ['15', '15', '16', '28', '30'] -> (((28 / 15) - (16 / 15)) * 30)
[1913] ['15', '16', '27', '28', '28'] -> (((15 / 28) + (27 / 28)) * 16)
[1926] ['15', '21', '25', '25', '27'] -> (((27 / 15) - (21 / 25)) * 25)
[1939] ['16', '16', '17', '18', '29'] -> (18 / ((29 / 16) - (17 / 16)))
[1944] ['16', '16', '21', '21', '30'] -> (16 / ((30 / 21) - (16 / 21)))
[1947] ['16', '16', '17', '22', '22'] -> (((16 / 22) + (17 / 22)) * 16)
[1953] ['16', '16', '29', '30', '30'] -> (((16 / 30) + (29 / 30)) * 16)
[1954] ['16', '17', '17', '18', '30'] -> (16 / ((30 / 18) - (17 / 17)))
[1955] ['16', '17', '21', '28', '28'] -> (((28 / 16) - (17 / 28)) * 21)
[1959] ['16', '18', '29', '29', '30'] -> (16 / ((30 / 18) - (29 / 29)))
[1960] ['16', '18', '30', '30', '30'] -> (16 / ((30 / 18) - (30 / 30)))
[1961] ['16', '19', '23', '28', '28'] -> (((19 / 28) + (23 / 28)) * 16)
[1964] ['16', '21', '21', '28', '28'] -> (((21 / 28) + (21 / 28)) * 16)
[1986] ['18', '18', '27', '28', '28'] -> (((27 / 18) - (18 / 28)) * 28)
[1991] ['18', '26', '30', '30', '30'] -> (((30 / 18) - (26 / 30)) * 30)
