[312] ['1', '15', '17', '23', '28'] -> (((23 / 15) - 1) * (17 + 28))
[314] ['1', '15', '25', '29', '30'] -> ((15 + 29) / ((25 / 30) + 1))
[317] ['1', '16', '21', '21', '21'] -> (((21 / (21 + 21)) + 1) * 16)
[318] ['1', '16', '22', '22', '22'] -> (((22 / (22 + 22)) + 1) * 16)
[321] ['1', '16', '17', '22', '29'] -> (16 / (1 - (17 / (22 + 29))))
[323] ['1', '16', '17', '23', '29'] -> (((23 / (17 + 29)) + 1) * 16)
[325] ['1', '16', '17', '27', '27'] -> (16 / ((1 / 27) + (17 / 27)))
[326] ['1', '16', '25', '25', '30'] -> (16 / (((25 + 25) / 30) - 1))
[327] ['1', '16', '26', '26', '26'] -> (((26 / (26 + 26)) + 1) * 16)
[328] ['1', '16', '27', '27', '27'] -> (((27 / (27 + 27)) + 1) * 16)
[331] ['1', '16', '29', '29', '29'] -> (((29 / (29 + 29)) + 1) * 16)
[332] ['1', '16', '30', '30', '30'] -> (((30 / (30 + 30)) + 1) * 16)
[335] ['1', '17', '18', '25', '30'] -> (30 / ((18 / (25 - 17)) - 1))
[338] ['1', '17', '17', '26', '27'] -> (((17 / (26 - 17)) - 1) * 27)
[347] ['1', '17', '25', '25', '26'] -> (((25 / 17) - 1) * (25 + 26))
[354] ['1', '20', '20', '20', '30'] -> ((20 + 20) / ((20 / 30) + 1))
[360] ['1', '20', '30', '30', '30'] -> ((30 + 30) / ((30 / 20) + 1))
[364] ['1', '21', '28', '30', '30'] -> ((((30 + 30) / 28) - 1) * 21)
[380] ['2', '9', '9', '17', '18'] -> (((17 - (9 / 18)) * 2) - 9)
[381] ['2', '9', '9', '23', '30'] -> ((23 + 9) / ((30 / 9) - 2))
[394] ['2', '13', '26', '26', '29'] -> ((((13 / 26) + 26) * 2) - 29)
[409] ['2', '18', '25', '25', '27'] -> (((25 / 25) - (2 / 18)) * 27)
[411] ['3', '3', '13', '16', '16'] -> ((16 + 16) / ((13 / 3) - 3))
[420] ['3', '6', '17', '23', '23'] -> ((17 + 23) / ((23 / 3) - 6))
[421] ['3', '7', '26', '26', '30'] -> ((((26 / 3) - 7) * 30) - 26)
[422] ['3', '7', '18', '20', '20'] -> (((7 / 3) - (20 / 20)) * 18)
[423] ['3', '7', '18', '22', '22'] -> (((7 / 3) - (22 / 22)) * 18)
[430] ['3', '10', '14', '14', '15'] -> (((15 / 10) + (3 / 14)) * 14)
[436] ['3', '11', '16', '16', '30'] -> ((11 + 16) / (3 - (30 / 16)))
[438] ['3', '10', '23', '27', '29'] -> ((27 + 29) / (10 - (23 / 3)))
[442] ['3', '11', '17', '20', '23'] -> (20 / ((23 / (17 - 11)) - 3))
[446] ['3', '12', '17', '19', '19'] -> ((19 + 19) / (3 - (17 / 12)))
[459] ['3', '16', '16', '23', '26'] -> ((3 - ((16 + 23) / 26)) * 16)
[464] ['3', '16', '19', '20', '30'] -> (30 / (3 - ((16 + 19) / 20)))
[480] ['3', '25', '25', '30', '30'] -> ((3 - ((25 + 30) / 25)) * 30)
[491] ['4', '4', '15', '21', '25'] -> (4 / ((25 / (21 - 15)) - 4))
[497] ['4', '4', '21', '27', '28'] -> (((27 / 4) - (21 / 28)) * 4)
[500] ['4', '6', '6', '11', '15'] -> (6 / ((11 / 4) - (15 / 6)))
[513] ['4', '7', '18', '29', '29'] -> (18 / ((7 / 4) - (29 / 29)))
[514] ['4', '8', '10', '25', '25'] -> (((4 / 25) + (8 / 10)) * 25)
[516] ['4', '8', '17', '25', '25'] -> ((17 + 25) / (8 - (25 / 4)))
[522] ['4', '11', '11', '16', '30'] -> (30 / ((11 / 11) + (4 / 16)))
[528] ['4', '12', '13', '13', '30'] -> (((30 / 13) - (4 / 13)) * 12)
[534] ['4', '12', '14', '25', '25'] -> (4 / ((14 / 12) - (25 / 25)))
[538] ['4', '13', '17', '30', '30'] -> (30 / (13 - ((17 + 30) / 4)))
[541] ['4', '14', '14', '14', '25'] -> (((14 / 4) - (25 / 14)) * 14)
[545] ['4', '15', '18', '25', '25'] -> (4 / ((25 / 25) - (15 / 18)))
[547] ['4', '16', '19', '19', '30'] -> (30 / ((19 / 19) + (4 / 16)))
