[118] ['6', '8', '9'] -> (9 - 6) * 8
[119] ['6', '8', '24'] -> (6 * 8) - 24
[120] ['6', '8', '48'] -> 48 / (8 - 6)
[121] ['6', '8', '72'] -> 72 - (6 * 8)
[122] ['6', '8', '96'] -> (96 / 6) + 8
[123] ['6', '9', '13'] -> (13 - 9) * 6
[124] ['6', '9', '30'] -> (6 * 9) - 30
[125] ['6', '9', '72'] -> 72 / (9 - 6)
[126] ['6', '9', '78'] -> 78 - (6 * 9)
[127] ['6', '9', '90'] -> (90 / 6) + 9
[128] ['6', '10', '14'] -> (14 - 10) * 6
[129] ['6', '10', '36'] -> (10 * 6) - 36
[130] ['6', '10', '96'] -> 96 / (10 - 6)
[131] ['6', '11', '15'] -> (15 - 11) * 6
[132] ['6', '11', '42'] -> (11 * 6) - 42
[133] ['6', '11', '90'] -> 90 - (11 * 6)
[134] ['6', '11', '78'] -> (78 / 6) + 11
[135] ['6', '12', '16'] -> (16 - 12) * 6
[136] ['6', '12', '22'] -> (12 / 6) + 22
[137] ['6', '12', '26'] -> 26 - (12 / 6)
[138] ['6', '12', '72'] -> (72 / 6) + 12
[139] ['6', '12', '96'] -> 96 - (12 * 6)
[140] ['6', '13', '54'] -> (13 * 6) - 54
[141] ['6', '13', '66'] -> (66 / 6) + 13
[142] ['6', '14', '18'] -> (18 - 14) * 6
[143] ['6', '15', '19'] -> (19 - 15) * 6
[144] ['6', '15', '66'] -> (15 * 6) - 66
[145] ['6', '15', '54'] -> (54 / 6) + 15
[146] ['6', '16', '20'] -> (20 - 16) * 6
[147] ['6', '16', '48'] -> (48 / 6) + 16
[148] ['6', '16', '72'] -> (16 * 6) - 72
[149] ['1', '3', '9'] -> (9 - 1) * 3
[150] ['6', '17', '42'] -> (42 / 6) + 17
[151] ['6', '17', '21'] -> (21 - 17) * 6
[152] ['6', '17', '78'] -> (17 * 6) - 78
[153] ['6', '18', '84'] -> (18 * 6) - 84
[154] ['6', '18', '21'] -> (18 / 6) + 21
[155] ['6', '18', '22'] -> (22 - 18) * 6
[156] ['6', '18', '27'] -> 27 - (18 / 6)
[157] ['6', '19', '23'] -> (23 - 19) * 6
[158] ['6', '19', '90'] -> (19 * 6) - 90
[159] ['6', '19', '30'] -> (30 / 6) + 19
[160] ['6', '20', '96'] -> (20 * 6) - 96
[161] ['6', '21', '25'] -> (25 - 21) * 6
[162] ['6', '22', '26'] -> (26 - 22) * 6
[163] ['6', '23', '27'] -> (27 - 23) * 6
[164] ['6', '25', '29'] -> (29 - 25) * 6
[165] ['6', '26', '30'] -> (30 - 26) * 6
[166] ['6', '27', '31'] -> (31 - 27) * 6
[167] ['6', '28', '32'] -> (32 - 28) * 6
[168] ['6', '29', '30'] -> 29 - (30 / 6)
[169] ['6', '29', '33'] -> (33 - 29) * 6
[170] ['6', '30', '34'] -> (34 - 30) * 6
[171] ['6', '30', '36'] -> 30 - (36 / 6)
[172] ['6', '31', '35'] -> (35 - 31) * 6
[173] ['6', '31', '42'] -> 31 - (42 / 6)
[174] ['6', '32', '36'] -> (36 - 32) * 6
[175] ['6', '32', '48'] -> 32 - (48 / 6)
[176] ['6', '33', '54'] -> 33 - (54 / 6)
[177] ['6', '33', '37'] -> (37 - 33) * 6
[178] ['6', '34', '60'] -> 34 - (60 / 6)
[179] ['6', '34', '38'] -> (38 - 34) * 6
[180] ['6', '35', '66'] -> 35 - (66 / 6)
[181] ['6', '35', '39'] -> (39 - 35) * 6
[182] ['6', '36', '40'] -> (40 - 36) * 6
[183] ['6', '36', '72'] -> 36 - (72 / 6)
[184] ['6', '37', '78'] -> 37 - (78 / 6)
[185] ['6', '37', '41'] -> (41 - 37) * 6
[186] ['6', '38', '84'] -> 38 - (84 / 6)
[187] ['6', '38', '42'] -> (42 - 38) * 6
[188] ['6', '39', '90'] -> 39 - (90 / 6)
[189] ['6', '39', '43'] -> (43 - 39) * 6
[190] ['6', '40', '44'] -> (44 - 40) * 6
[191] ['6', '40', '96'] -> 40 - (96 / 6)
[192] ['6', '41', '45'] -> (45 - 41) * 6
[193] ['6', '42', '46'] -> (46 - 42) * 6
[194] ['6', '43', '47'] -> (47 - 43) * 6
[195] ['6', '44', '48'] -> (48 - 44) * 6
[196] ['6', '45', '99'] -> (45 + 99) / 6
[197] ['6', '45', '49'] -> (49 - 45) * 6
[198] ['6', '46', '50'] -> (50 - 46) * 6
[199] ['6', '46', '98'] -> (46 + 98) / 6
[200] ['6', '47', '51'] -> (51 - 47) * 6
[201] ['6', '47', '97'] -> (47 + 97) / 6
[202] ['6', '48', '52'] -> (52 - 48) * 6
[203] ['6', '48', '96'] -> (48 + 96) / 6
[204] ['6', '49', '53'] -> (53 - 49) * 6
[205] ['6', '49', '95'] -> (49 + 95) / 6
[206] ['6', '50', '54'] -> (54 - 50) * 6
[207] ['6', '50', '94'] -> (50 + 94) / 6
[208] ['6', '51', '55'] -> (55 - 51) * 6
[209] ['6', '51', '93'] -> (51 + 93) / 6
[210] ['6', '52', '56'] -> (56 - 52) * 6
[211] ['6', '52', '92'] -> (52 + 92) / 6
[212] ['6', '53', '57'] -> (57 - 53) * 6
[213] ['6', '53', '91'] -> (53 + 91) / 6
[214] ['6', '54', '58'] -> (58 - 54) * 6
[215] ['6', '54', '90'] -> (54 + 90) / 6
[216] ['6', '55', '59'] -> (59 - 55) * 6
[217] ['6', '55', '89'] -> (55 + 89) / 6
[218] ['6', '56', '60'] -> (60 - 56) * 6
[219] ['6', '56', '88'] -> (56 + 88) / 6
[220] ['6', '57', '61'] -> (61 - 57) * 6
[221] ['6', '58', '62'] -> (62 - 58) * 6
[222] ['6', '58', '86'] -> (58 + 86) / 6
[223] ['6', '59', '85'] -> (59 + 85) / 6
[224] ['6', '59', '63'] -> (63 - 59) * 6
[225] ['6', '60', '64'] -> (64 - 60) * 6
[226] ['6', '60', '84'] -> (60 + 84) / 6
[227] ['6', '61', '65'] -> (65 - 61) * 6
[228] ['6', '61', '83'] -> (61 + 83) / 6
[229] ['6', '62', '82'] -> (62 + 82) / 6
[230] ['6', '62', '66'] -> (66 - 62) * 6
[231] ['6', '63', '67'] -> (67 - 63) * 6
[232] ['6', '64', '68'] -> (68 - 64) * 6
[233] ['6', '64', '80'] -> (64 + 80) / 6
[234] ['6', '65', '69'] -> (69 - 65) * 6
[235] ['6', '65', '79'] -> (65 + 79) / 6
[236] ['6', '66', '70'] -> (70 - 66) * 6
[237] ['6', '66', '78'] -> (66 + 78) / 6
[238] ['6', '67', '71'] -> (71 - 67) * 6
[239] ['6', '67', '77'] -> (67 + 77) / 6
[240] ['6', '68', '72'] -> (72 - 68) * 6
[241] ['6', '68', '76'] -> (68 + 76) / 6
[242] ['6', '69', '73'] -> (73 - 69) * 6
[243] ['6', '69', '75'] -> (69 + 75) / 6
[244] ['6', '71', '73'] -> (71 + 73) / 6
[245] ['6', '71', '75'] -> (75 - 71) * 6
[246] ['6', '72', '76'] -> (76 - 72) * 6
[247] ['6', '72', '72'] -> (72 + 72) / 6
[248] ['6', '73', '77'] -> (77 - 73) * 6
[249] ['6', '74', '78'] -> (78 - 74) * 6
[250] ['6', '75', '79'] -> (79 - 75) * 6
[251] ['6', '76', '80'] -> (80 - 76) * 6
[252] ['6', '77', '81'] -> (81 - 77) * 6
[253] ['6', '78', '82'] -> (82 - 78) * 6
[254] ['6', '79', '83'] -> (83 - 79) * 6
[255] ['6', '80', '84'] -> (84 - 80) * 6
[256] ['6', '81', '85'] -> (85 - 81) * 6
[257] ['6', '82', '86'] -> (86 - 82) * 6
[258] ['6', '83', '87'] -> (87 - 83) * 6
[259] ['6', '84', '88'] -> (88 - 84) * 6
[260] ['6', '85', '89'] -> (89 - 85) * 6
[261] ['6', '86', '90'] -> (90 - 86) * 6
[262] ['6', '87', '91'] -> (91 - 87) * 6
[263] ['6', '88', '92'] -> (92 - 88) * 6
[264] ['6', '89', '93'] -> (93 - 89) * 6
[265] ['6', '90', '94'] -> (94 - 90) * 6
[266] ['6', '91', '95'] -> (95 - 91) * 6
[267] ['6', '92', '96'] -> (96 - 92) * 6
[268] ['6', '93', '97'] -> (97 - 93) * 6
[269] ['6', '94', '98'] -> (98 - 94) * 6
[270] ['6', '95', '99'] -> (99 - 95) * 6
[271] ['1', '3', '12'] -> (3 - 1) * 12
[272] ['1', '3', '69'] -> (69 / 3) + 1
[273] ['7', '7', '23'] -> (7 / 7) + 23
[274] ['7', '7', '73'] -> 73 - (7 * 7)
[275] ['7', '8', '10'] -> (10 - 7) * 8
[276] ['7', '8', '32'] -> (7 * 8) - 32
[277] ['7', '8', '80'] -> 80 - (7 * 8)
[278] ['7', '9', '12'] -> (9 - 7) * 12
[279] ['7', '9', '87'] -> 87 - (7 * 9)
[280] ['7', '9', '39'] -> (7 * 9) - 39
[281] ['7', '9', '48'] -> 48 / (9 - 7)
[282] ['7', '10', '94'] -> 94 - (10 * 7)
[283] ['7', '10', '98'] -> (98 / 7) + 10
[284] ['7', '10', '72'] -> 72 / (10 - 7)
[285] ['7', '10', '46'] -> (10 * 7) - 46
[286] ['7', '11', '53'] -> (11 * 7) - 53
[287] ['7', '11', '91'] -> (91 / 7) + 11
[288] ['7', '11', '96'] -> 96 / (11 - 7)
[289] ['7', '12', '60'] -> (12 * 7) - 60
[290] ['7', '12', '84'] -> (84 / 7) + 12
[291] ['7', '13', '67'] -> (13 * 7) - 67
[292] ['7', '13', '77'] -> (77 / 7) + 13
[293] ['7', '14', '22'] -> (14 / 7) + 22
[294] ['7', '14', '26'] -> 26 - (14 / 7)
[295] ['7', '14', '70'] -> (70 / 7) + 14
[296] ['7', '14', '74'] -> (14 * 7) - 74
[297] ['7', '15', '63'] -> (63 / 7) + 15
[298] ['7', '15', '81'] -> (15 * 7) - 81
[299] ['7', '16', '56'] -> (56 / 7) + 16
[300] ['7', '16', '88'] -> (16 * 7) - 88
[301] ['7', '17', '95'] -> (17 * 7) - 95
[302] ['7', '17', '49'] -> (49 / 7) + 17
[303] ['7', '18', '42'] -> (42 / 7) + 18
[304] ['7', '19', '35'] -> (35 / 7) + 19
[305] ['7', '20', '28'] -> (28 / 7) + 20
[306] ['7', '21', '27'] -> 27 - (21 / 7)
[307] ['7', '21', '21'] -> (21 / 7) + 21
[308] ['7', '28', '28'] -> 28 - (28 / 7)
[309] ['7', '29', '35'] -> 29 - (35 / 7)
[310] ['7', '30', '42'] -> 30 - (42 / 7)
[311] ['7', '31', '49'] -> 31 - (49 / 7)
[312] ['7', '32', '56'] -> 32 - (56 / 7)
[313] ['7', '33', '63'] -> 33 - (63 / 7)
[314] ['7', '34', '70'] -> 34 - (70 / 7)
[315] ['7', '35', '77'] -> 35 - (77 / 7)
[316] ['7', '36', '84'] -> 36 - (84 / 7)
[317] ['7', '37', '91'] -> 37 - (91 / 7)
[318] ['7', '38', '98'] -> 38 - (98 / 7)
[319] ['1', '3', '71'] -> (1 + 71) / 3
[320] ['7', '69', '99'] -> (69 + 99) / 7
[321] ['7', '70', '98'] -> (70 + 98) / 7
[322] ['7', '71', '97'] -> (71 + 97) / 7
[323] ['7', '72', '96'] -> (72 + 96) / 7
[324] ['7', '73', '95'] -> (73 + 95) / 7
[325] ['7', '74', '94'] -> (74 + 94) / 7
[326] ['7', '75', '93'] -> (75 + 93) / 7
[327] ['7', '76', '92'] -> (76 + 92) / 7
[328] ['7', '77', '91'] -> (77 + 91) / 7
[329] ['7', '78', '90'] -> (78 + 90) / 7
[330] ['7', '79', '89'] -> (79 + 89) / 7
[331] ['7', '80', '88'] -> (80 + 88) / 7
[332] ['7', '81', '87'] -> (81 + 87) / 7
[333] ['7', '82', '86'] -> (82 + 86) / 7
[334] ['7', '83', '85'] -> (83 + 85) / 7
[335] ['7', '84', '84'] -> (84 + 84) / 7
[336] ['1', '3', '73'] -> (73 - 1) / 3
[337] ['8', '8', '23'] -> (8 / 8) + 23
[338] ['8', '8', '25'] -> 25 - (8 / 8)
[339] ['8', '8', '8'] -> 8 + 8 + 8
[340] ['8', '8', '11'] -> (11 - 8) * 8
[341] ['8', '8', '88'] -> 88 - (8 * 8)
[342] ['8', '9', '48'] -> (8 * 9) - 48
[343] ['8', '9', '96'] -> 96 - (8 * 9)
[344] ['8', '9', '12'] -> (12 - 9) * 8
[345] ['8', '10', '56'] -> (10 * 8) - 56
[346] ['8', '10', '48'] -> 48 / (10 - 8)
[347] ['8', '10', '12'] -> (10 - 8) * 12
[348] ['8', '10', '13'] -> (13 - 10) * 8
[349] ['8', '11', '14'] -> (14 - 11) * 8
[350] ['8', '11', '64'] -> (11 * 8) - 64
[351] ['8', '11', '72'] -> 72 / (11 - 8)
[352] ['8', '12', '72'] -> (12 * 8) - 72
[353] ['8', '12', '15'] -> (15 - 12) * 8
[354] ['8', '13', '80'] -> (13 * 8) - 80
