[101] ['1', '9', '45'] -> (1 / 45) - 9 mod 53
[102] ['1', '9', '46'] -> 9 + (1 / 46) mod 53
[103] ['1', '9', '49'] -> (1 + 9) / 49 mod 53
[104] ['1', '9', '51'] -> 1 / (51 - 9) mod 53
[105] ['1', '10', '11'] -> (10 / 11) - 1 mod 53
[106] ['1', '10', '12'] -> 10 * (1 + 12) mod 53
[107] ['1', '10', '19'] -> 10 + (1 / 19) mod 53
[108] ['1', '10', '21'] -> 1 / (10 - 21) mod 53
[109] ['1', '10', '26'] -> (1 - 26) / 10 mod 53
[110] ['1', '10', '27'] -> (1 + 27) / 10 mod 53
[111] ['1', '10', '32'] -> 1 / (10 + 32) mod 53
[112] ['1', '10', '41'] -> 10 * (1 - 41) mod 53
[113] ['1', '10', '45'] -> (1 / 10) - 45 mod 53
[114] ['1', '10', '46'] -> (1 - 10) / 46 mod 53
[115] ['1', '10', '48'] -> 10 / (1 + 48) mod 53
[116] ['1', '11', '16'] -> 11 / (1 - 16) mod 53
[117] ['1', '11', '23'] -> 23 / (1 + 11) mod 53
[118] ['1', '11', '25'] -> 25 / (1 - 11) mod 53
[119] ['1', '11', '27'] -> (1 + 11) / 27 mod 53
[120] ['1', '11', '37'] -> 11 / (1 + 37) mod 53
[121] ['1', '11', '47'] -> 11 * (1 - 47) mod 53
[122] ['1', '11', '48'] -> 48 + (1 / 11) mod 53
[123] ['1', '11', '50'] -> (1 / 50) - 11 mod 53
[124] ['1', '11', '51'] -> (1 + 51) / 11 mod 53
[125] ['1', '12', '15'] -> (1 - 12) / 15 mod 53
[126] ['1', '12', '16'] -> (1 + 12) / 16 mod 53
[127] ['1', '12', '26'] -> 12 / (1 + 26) mod 53
[128] ['1', '12', '29'] -> 1 - (12 * 29) mod 53
[129] ['1', '12', '33'] -> (12 * 33) - 1 mod 53
[130] ['1', '12', '38'] -> (12 - 1) / 38 mod 53
[131] ['1', '12', '45'] -> (12 / 45) - 1 mod 53
[132] ['1', '12', '47'] -> 47 / (1 + 12) mod 53
[133] ['1', '13', '14'] -> 1 + (13 * 14) mod 53
[134] ['1', '13', '15'] -> 13 / (1 + 15) mod 53
[135] ['1', '13', '18'] -> 18 / (1 + 13) mod 53
[136] ['1', '13', '20'] -> 20 - (1 / 13) mod 53
[137] ['1', '13', '23'] -> 23 / (13 - 1) mod 53
[138] ['1', '13', '25'] -> (1 / 13) - 25 mod 53
[139] ['1', '13', '26'] -> (1 - 13) / 26 mod 53
[140] ['1', '13', '27'] -> (13 - 1) / 27 mod 53
[141] ['1', '13', '28'] -> 28 + (1 / 13) mod 53
[142] ['1', '13', '30'] -> 30 / (1 - 13) mod 53
[143] ['1', '13', '32'] -> 32 * (1 + 13) mod 53
[144] ['1', '13', '39'] -> 1 - (13 * 39) mod 53
[145] ['1', '13', '46'] -> (1 + 46) / 13 mod 53
[146] ['1', '13', '48'] -> (48 - 1) / 13 mod 53
[147] ['1', '13', '51'] -> 51 * (1 - 13) mod 53
[148] ['1', '14', '17'] -> (1 + 17) / 14 mod 53
[149] ['1', '14', '19'] -> (19 - 1) / 14 mod 53
[150] ['1', '14', '22'] -> 14 * (1 - 22) mod 53
[151] ['1', '14', '25'] -> 1 / (14 - 25) mod 53
[152] ['1', '14', '26'] -> (14 / 26) - 1 mod 53
[153] ['1', '14', '28'] -> 1 / (14 + 28) mod 53
[154] ['1', '14', '31'] -> 14 * (1 + 31) mod 53
[155] ['1', '14', '33'] -> 14 * (33 - 1) mod 53
[156] ['1', '14', '36'] -> (1 - 36) / 14 mod 53
[157] ['1', '14', '40'] -> 1 - (14 * 40) mod 53
[158] ['1', '14', '48'] -> (1 / 14) - 48 mod 53
[159] ['1', '14', '51'] -> (14 * 51) - 1 mod 53
[160] ['1', '15', '17'] -> 17 - (1 / 15) mod 53
[161] ['1', '15', '18'] -> 18 / (15 - 1) mod 53
[162] ['1', '15', '21'] -> 21 * (1 - 15) mod 53
[163] ['1', '15', '22'] -> (1 / 15) - 22 mod 53
[164] ['1', '15', '28'] -> 28 * (1 + 15) mod 53
[165] ['1', '15', '31'] -> 31 + (1 / 15) mod 53
[166] ['1', '15', '32'] -> 32 * (15 - 1) mod 53
[167] ['1', '15', '34'] -> (1 / 34) - 15 mod 53
[168] ['1', '15', '35'] -> 35 / (1 - 15) mod 53
[169] ['1', '15', '36'] -> (1 + 15) / 36 mod 53
[170] ['1', '15', '37'] -> (15 * 37) - 1 mod 53
[171] ['1', '15', '41'] -> (1 + 41) / 15 mod 53
[172] ['1', '15', '46'] -> 15 / (1 + 46) mod 53
[173] ['1', '15', '51'] -> 1 + (15 * 51) mod 53
[174] ['1', '16', '17'] -> 17 * (1 + 16) mod 53
[175] ['1', '16', '20'] -> 16 + (1 / 20) mod 53
[176] ['1', '16', '25'] -> (1 + 16) / 25 mod 53
[177] ['1', '16', '33'] -> 16 - (1 / 33) mod 53
[178] ['1', '16', '34'] -> 34 - (1 / 16) mod 53
[179] ['1', '16', '38'] -> (16 * 38) - 1 mod 53
[180] ['1', '16', '42'] -> 42 / (16 - 1) mod 53
[181] ['1', '16', '47'] -> (16 - 1) / 47 mod 53
[182] ['1', '17', '18'] -> 17 * (18 - 1) mod 53
[183] ['1', '17', '19'] -> 19 * (1 + 17) mod 53
[184] ['1', '17', '22'] -> (1 / 22) - 17 mod 53
[185] ['1', '17', '26'] -> 17 / (26 - 1) mod 53
[186] ['1', '17', '29'] -> 17 / (1 - 29) mod 53
[187] ['1', '17', '49'] -> 49 - (1 / 17) mod 53
[188] ['1', '17', '52'] -> 52 + (1 / 17) mod 53
[189] ['1', '18', '18'] -> 18 * (1 + 18) mod 53
[190] ['1', '18', '21'] -> 21 + (1 / 18) mod 53
[191] ['1', '18', '22'] -> (18 * 22) - 1 mod 53
[192] ['1', '18', '25'] -> (18 - 1) / 25 mod 53
[193] ['1', '18', '26'] -> (26 / 18) - 1 mod 53
[194] ['1', '18', '27'] -> 27 - (1 / 18) mod 53
[195] ['1', '18', '28'] -> (1 - 18) / 28 mod 53
[196] ['1', '18', '29'] -> 1 / (18 - 29) mod 53
[197] ['1', '18', '35'] -> 18 * (1 - 35) mod 53
[198] ['1', '18', '36'] -> 36 * (1 - 18) mod 53
[199] ['1', '18', '40'] -> 18 / (1 - 40) mod 53
[200] ['1', '18', '44'] -> 18 - (1 / 44) mod 53
[201] ['1', '19', '19'] -> 19 * (19 - 1) mod 53
[202] ['1', '19', '21'] -> 19 - (1 / 21) mod 53
[203] ['1', '19', '22'] -> (1 - 22) / 19 mod 53
[204] ['1', '19', '23'] -> 1 / (19 + 23) mod 53
[205] ['1', '19', '30'] -> 1 / (19 - 30) mod 53
