[101] ['1', '20', '21'] -> (1 / 20) - 21 mod 31
[102] ['1', '20', '22'] -> 22 / (20 - 1) mod 31
[103] ['1', '20', '23'] -> 20 - (1 / 23) mod 31
[104] ['1', '20', '25'] -> 20 * (1 + 25) mod 31
[105] ['1', '21', '21'] -> 21 + (1 / 21) mod 31
[106] ['1', '21', '25'] -> (1 - 21) / 25 mod 31
[107] ['1', '21', '26'] -> 26 * (21 - 1) mod 31
[108] ['1', '21', '30'] -> 1 / (21 - 30) mod 31
[109] ['1', '22', '26'] -> 1 - (22 / 26) mod 31
[110] ['1', '23', '26'] -> (26 - 1) / 23 mod 31
[111] ['1', '23', '27'] -> 23 * (1 + 27) mod 31
[112] ['1', '25', '26'] -> 25 * (1 + 26) mod 31
[113] ['1', '26', '26'] -> (26 * 26) - 1 mod 31
[114] ['2', '2', '8'] -> (2 / 2) - 8 mod 31
[115] ['2', '2', '10'] -> 2 * (2 + 10) mod 31
[116] ['2', '2', '12'] -> (2 / 12) - 2 mod 31
[117] ['2', '2', '16'] -> (2 - 16) / 2 mod 31
[118] ['2', '2', '17'] -> 2 + (2 / 17) mod 31
[119] ['2', '2', '18'] -> 2 - (18 / 2) mod 31
[120] ['2', '2', '19'] -> (19 - 2) / 2 mod 31
[121] ['2', '2', '23'] -> 23 + (2 / 2) mod 31
[122] ['2', '2', '25'] -> 25 - (2 / 2) mod 31
[123] ['2', '3', '3'] -> 2 - (3 * 3) mod 31
[124] ['2', '3', '14'] -> (3 + 14) / 2 mod 31
[125] ['2', '3', '26'] -> 3 + (2 * 26) mod 31
[126] ['2', '3', '28'] -> 2 + (3 * 28) mod 31
[127] ['2', '3', '30'] -> 30 - (2 * 3) mod 31
[128] ['2', '4', '4'] -> 4 * (2 + 4) mod 31
[129] ['2', '4', '7'] -> 4 / (2 - 7) mod 31
[130] ['2', '4', '15'] -> (2 * 4) - 15 mod 31
[131] ['2', '4', '19'] -> 19 * (2 - 4) mod 31
[132] ['2', '4', '25'] -> (25 / 2) - 4 mod 31
[133] ['2', '4', '27'] -> 4 * (2 - 27) mod 31
[134] ['2', '5', '5'] -> 5 + (2 / 5) mod 31
[135] ['2', '5', '9'] -> 5 * (2 + 9) mod 31
[136] ['2', '5', '11'] -> 11 - (5 / 2) mod 31
[137] ['2', '5', '16'] -> 5 / (2 - 16) mod 31
[138] ['2', '5', '18'] -> 2 / (18 - 5) mod 31
[139] ['2', '6', '12'] -> 12 + (2 * 6) mod 31
[140] ['2', '6', '13'] -> (2 - 13) / 6 mod 31
[141] ['2', '6', '17'] -> 2 - (6 * 17) mod 31
[142] ['2', '6', '27'] -> 27 - (6 / 2) mod 31
[143] ['2', '7', '7'] -> 7 - (2 * 7) mod 31
[144] ['2', '7', '9'] -> 7 - (2 / 9) mod 31
[145] ['2', '7', '14'] -> (2 - 7) / 14 mod 31
[146] ['2', '7', '18'] -> 2 - (7 / 18) mod 31
[147] ['2', '8', '10'] -> 2 - (10 / 8) mod 31
[148] ['2', '8', '15'] -> (2 / 8) - 15 mod 31
[149] ['2', '8', '19'] -> 8 / (2 + 19) mod 31
[150] ['2', '8', '28'] -> 28 - (8 / 2) mod 31
[151] ['2', '9', '12'] -> 2 + (12 / 9) mod 31
[152] ['2', '9', '16'] -> 16 / (2 + 9) mod 31
[153] ['2', '9', '19'] -> 2 - (19 / 9) mod 31
[154] ['2', '9', '20'] -> 9 * (2 - 20) mod 31
[155] ['2', '10', '10'] -> (2 - 10) / 10 mod 31
[156] ['2', '10', '13'] -> 13 - (2 * 10) mod 31
[157] ['2', '10', '18'] -> 18 - (2 / 10) mod 31
[158] ['2', '11', '12'] -> (11 - 2) / 12 mod 31
[159] ['2', '11', '13'] -> 13 * (11 - 2) mod 31
[160] ['2', '11', '17'] -> (2 - 17) / 11 mod 31
[161] ['2', '11', '21'] -> 21 + (2 / 11) mod 31
[162] ['2', '11', '22'] -> 11 + (2 * 22) mod 31
[163] ['2', '11', '26'] -> 11 + (26 / 2) mod 31
[164] ['2', '12', '13'] -> (12 / 2) - 13 mod 31
[165] ['2', '12', '16'] -> 2 + (16 / 12) mod 31
[166] ['2', '12', '22'] -> 2 - (12 / 22) mod 31
[167] ['2', '12', '23'] -> 23 / (12 - 2) mod 31
[168] ['2', '13', '17'] -> 17 - (2 / 13) mod 31
[169] ['2', '14', '14'] -> (14 / 2) - 14 mod 31
[170] ['2', '14', '20'] -> 14 + (20 / 2) mod 31
[171] ['2', '15', '21'] -> (21 - 2) / 15 mod 31
[172] ['2', '15', '23'] -> 23 - (2 * 15) mod 31
[173] ['2', '15', '27'] -> 2 * (27 - 15) mod 31
[174] ['2', '15', '30'] -> (15 / 2) - 30 mod 31
[175] ['2', '16', '30'] -> (16 - 30) / 2 mod 31
[176] ['2', '17', '21'] -> 21 + (2 * 17) mod 31
[177] ['2', '17', '28'] -> (2 - 28) / 17 mod 31
[178] ['2', '17', '30'] -> 2 / (30 - 17) mod 31
[179] ['2', '18', '25'] -> 2 * (18 + 25) mod 31
[180] ['2', '18', '28'] -> 18 - (2 * 28) mod 31
[181] ['2', '19', '19'] -> 19 + (2 / 19) mod 31
[182] ['2', '19', '20'] -> (2 + 20) / 19 mod 31
[183] ['2', '19', '22'] -> 2 + (19 / 22) mod 31
[184] ['2', '19', '25'] -> 2 / (19 + 25) mod 31
[185] ['2', '20', '26'] -> (26 / 2) - 20 mod 31
[186] ['2', '22', '22'] -> 2 / (22 + 22) mod 31
[187] ['2', '22', '23'] -> (2 * 23) - 22 mod 31
[188] ['2', '22', '24'] -> (2 / 22) - 24 mod 31
[189] ['2', '26', '29'] -> (2 - 29) / 26 mod 31
[190] ['2', '27', '27'] -> 27 * (27 - 2) mod 31
[191] ['2', '28', '28'] -> 2 - (28 * 28) mod 31
[192] ['2', '28', '30'] -> 30 + (2 * 28) mod 31
[193] ['3', '3', '4'] -> 4 * (3 + 3) mod 31
[194] ['3', '3', '5'] -> 3 * (3 + 5) mod 31
[195] ['3', '3', '11'] -> 3 * (11 - 3) mod 31
[196] ['3', '3', '15'] -> 15 + (3 * 3) mod 31
[197] ['3', '3', '16'] -> (3 * 3) - 16 mod 31
[198] ['3', '3', '19'] -> (19 / 3) - 3 mod 31
[199] ['3', '3', '20'] -> 20 / (3 + 3) mod 31
[200] ['3', '3', '23'] -> 23 + (3 / 3) mod 31
[201] ['3', '3', '25'] -> 25 - (3 / 3) mod 31
[202] ['3', '3', '26'] -> 3 * (3 - 26) mod 31
[203] ['3', '4', '4'] -> 3 * (4 + 4) mod 31
[204] ['3', '4', '5'] -> 5 - (3 * 4) mod 31
[205] ['3', '4', '11'] -> 4 + (3 / 11) mod 31
[206] ['3', '4', '20'] -> 4 - (3 / 20) mod 31
[207] ['3', '4', '27'] -> 3 * (4 - 27) mod 31
[208] ['3', '4', '28'] -> 4 * (3 - 28) mod 31
[209] ['3', '5', '18'] -> (3 - 5) / 18 mod 31
[210] ['3', '5', '21'] -> (3 + 5) / 21 mod 31
[211] ['3', '5', '25'] -> (25 / 3) - 5 mod 31
[212] ['3', '5', '27'] -> 5 + (3 * 27) mod 31
[213] ['3', '5', '28'] -> 3 * (5 - 28) mod 31
[214] ['3', '5', '29'] -> 3 + (5 * 29) mod 31
[215] ['3', '6', '6'] -> 6 + (3 * 6) mod 31
[216] ['3', '6', '18'] -> 3 + (6 / 18) mod 31
[217] ['3', '6', '19'] -> 3 + (6 * 19) mod 31
[218] ['3', '6', '20'] -> (6 * 20) - 3 mod 31
[219] ['3', '7', '29'] -> 7 - (3 / 29) mod 31
[220] ['3', '8', '15'] -> (8 * 15) - 3 mod 31
[221] ['3', '8', '21'] -> (3 * 21) - 8 mod 31
[222] ['3', '8', '22'] -> 3 + (8 * 22) mod 31
[223] ['3', '8', '26'] -> 8 + (3 * 26) mod 31
[224] ['3', '8', '28'] -> (3 - 28) / 8 mod 31
[225] ['3', '8', '30'] -> (30 / 8) - 3 mod 31
[226] ['3', '9', '9'] -> 9 / (3 + 9) mod 31
[227] ['3', '9', '15'] -> 9 / (15 - 3) mod 31
[228] ['3', '9', '22'] -> 9 / (3 - 22) mod 31
[229] ['3', '10', '12'] -> (10 * 12) - 3 mod 31
[230] ['3', '10', '16'] -> 10 - (3 * 16) mod 31
[231] ['3', '10', '22'] -> (22 / 10) - 3 mod 31
[232] ['3', '10', '23'] -> 23 - (3 * 10) mod 31
[233] ['3', '10', '26'] -> (26 - 3) / 10 mod 31
[234] ['3', '11', '14'] -> 3 + (14 / 11) mod 31
