[101] ['1', '6', '59'] -> 1 / (6 - 59) mod 67
[102] ['1', '6', '60'] -> (6 * 60) - 1 mod 67
[103] ['1', '6', '63'] -> 1 - (63 / 6) mod 67
[104] ['1', '7', '7'] -> 1 / (7 + 7) mod 67
[105] ['1', '7', '10'] -> 10 / (7 - 1) mod 67
[106] ['1', '7', '11'] -> (7 / 11) - 1 mod 67
[107] ['1', '7', '12'] -> 7 * (1 + 12) mod 67
[108] ['1', '7', '14'] -> 7 * (14 - 1) mod 67
[109] ['1', '7', '21'] -> 1 / (21 - 7) mod 67
[110] ['1', '7', '23'] -> 1 - (7 / 23) mod 67
[111] ['1', '7', '24'] -> (1 / 7) - 24 mod 67
[112] ['1', '7', '27'] -> 1 + (27 / 7) mod 67
[113] ['1', '7', '33'] -> (1 + 33) / 7 mod 67
[114] ['1', '7', '40'] -> 1 - (40 / 7) mod 67
[115] ['1', '7', '41'] -> (41 / 7) - 1 mod 67
[116] ['1', '7', '43'] -> 43 + (1 / 7) mod 67
[117] ['1', '7', '44'] -> 1 + (7 / 44) mod 67
[118] ['1', '7', '45'] -> (1 + 7) / 45 mod 67
[119] ['1', '7', '55'] -> 7 * (1 - 55) mod 67
[120] ['1', '7', '57'] -> 57 / (1 - 7) mod 67
[121] ['1', '7', '58'] -> 58 / (1 + 7) mod 67
[122] ['1', '7', '60'] -> 1 / (7 - 60) mod 67
[123] ['1', '7', '61'] -> (7 * 61) - 1 mod 67
[124] ['1', '8', '10'] -> (1 - 10) / 8 mod 67
[125] ['1', '8', '12'] -> 1 + (8 / 12) mod 67
[126] ['1', '8', '13'] -> 13 * (8 - 1) mod 67
[127] ['1', '8', '18'] -> (1 / 8) - 18 mod 67
[128] ['1', '8', '21'] -> 8 + (1 / 21) mod 67
[129] ['1', '8', '22'] -> 1 / (22 - 8) mod 67
[130] ['1', '8', '23'] -> 8 / (1 - 23) mod 67
[131] ['1', '8', '25'] -> 25 * (1 + 8) mod 67
[132] ['1', '8', '28'] -> 1 + (8 * 28) mod 67
[133] ['1', '8', '34'] -> 34 / (8 - 1) mod 67
[134] ['1', '8', '39'] -> 1 - (8 * 39) mod 67
[135] ['1', '8', '49'] -> 49 + (1 / 8) mod 67
[136] ['1', '8', '54'] -> 54 * (1 - 8) mod 67
[137] ['1', '8', '55'] -> 1 - (8 / 55) mod 67
[138] ['1', '8', '57'] -> (1 + 57) / 8 mod 67
[139] ['1', '8', '61'] -> 1 / (8 - 61) mod 67
[140] ['1', '8', '65'] -> 8 * (1 - 65) mod 67
[141] ['1', '9', '10'] -> 1 + (9 * 10) mod 67
[142] ['1', '9', '20'] -> 1 - (9 / 20) mod 67
[143] ['1', '9', '22'] -> (1 - 9) / 22 mod 67
[144] ['1', '9', '23'] -> 1 / (23 - 9) mod 67
[145] ['1', '9', '26'] -> 9 * (26 - 1) mod 67
[146] ['1', '9', '40'] -> (9 * 40) - 1 mod 67
[147] ['1', '9', '43'] -> 9 * (1 - 43) mod 67
[148] ['1', '9', '45'] -> (9 - 1) / 45 mod 67
[149] ['1', '9', '47'] -> 1 + (9 / 47) mod 67
[150] ['1', '9', '56'] -> 56 * (1 + 9) mod 67
[151] ['1', '9', '57'] -> 1 - (9 * 57) mod 67
[152] ['1', '9', '60'] -> 9 / (60 - 1) mod 67
[153] ['1', '9', '61'] -> 1 - (61 / 9) mod 67
[154] ['1', '9', '64'] -> 64 * (1 - 9) mod 67
[155] ['1', '9', '65'] -> (1 / 65) - 9 mod 67
[156] ['1', '10', '12'] -> 10 * (1 - 12) mod 67
[157] ['1', '10', '20'] -> (1 + 10) / 20 mod 67
[158] ['1', '10', '23'] -> (1 / 10) - 23 mod 67
[159] ['1', '10', '25'] -> 25 * (10 - 1) mod 67
[160] ['1', '10', '36'] -> (10 * 36) - 1 mod 67
[161] ['1', '10', '40'] -> (40 - 1) / 10 mod 67
[162] ['1', '10', '42'] -> 42 * (1 - 10) mod 67
[163] ['1', '10', '43'] -> 10 - (1 / 43) mod 67
[164] ['1', '10', '44'] -> 44 + (1 / 10) mod 67
[165] ['1', '10', '49'] -> (49 / 10) - 1 mod 67
[166] ['1', '10', '58'] -> 1 - (10 * 58) mod 67
[167] ['1', '10', '59'] -> (10 - 1) / 59 mod 67
[168] ['1', '10', '62'] -> 10 / (1 - 62) mod 67
[169] ['1', '11', '11'] -> 11 * (1 - 11) mod 67
[170] ['1', '11', '15'] -> 1 - (15 / 11) mod 67
[171] ['1', '11', '17'] -> 1 - (11 / 17) mod 67
[172] ['1', '11', '18'] -> 18 - (1 / 11) mod 67
[173] ['1', '11', '19'] -> 11 / (1 + 19) mod 67
[174] ['1', '11', '21'] -> 11 / (21 - 1) mod 67
[175] ['1', '11', '23'] -> (1 / 23) - 11 mod 67
[176] ['1', '11', '25'] -> 1 / (25 - 11) mod 67
[177] ['1', '11', '28'] -> 28 / (1 - 11) mod 67
[178] ['1', '11', '30'] -> 30 + (1 / 11) mod 67
[179] ['1', '11', '31'] -> 11 + (1 / 31) mod 67
[180] ['1', '11', '37'] -> (1 / 11) - 37 mod 67
[181] ['1', '11', '39'] -> 39 / (11 - 1) mod 67
[182] ['1', '11', '46'] -> (11 / 46) - 1 mod 67
[183] ['1', '11', '48'] -> 11 / (1 - 48) mod 67
[184] ['1', '11', '51'] -> (11 * 51) - 1 mod 67
[185] ['1', '11', '52'] -> 1 + (52 / 11) mod 67
[186] ['1', '11', '58'] -> 11 * (58 - 1) mod 67
