[1] ['1', '1', '3'] -> (1 / 3) - 1 mod 37
[2] ['1', '2', '4'] -> 2 / (1 - 4) mod 37
[3] ['1', '13', '15'] -> (1 + 15) / 13 mod 37
[4] ['8', '19', '25'] -> (19 + 25) / 8 mod 37
[5] ['8', '19', '27'] -> (19 * 27) - 8 mod 37
[6] ['8', '20', '20'] -> (20 + 20) * 8 mod 37
[7] ['8', '20', '22'] -> (20 + 8) * 22 mod 37
[8] ['8', '20', '27'] -> (27 - 20) / 8 mod 37
[9] ['8', '20', '28'] -> (28 + 8) / 20 mod 37
[10] ['8', '20', '31'] -> (8 / 20) + 31 mod 37
[11] ['8', '20', '34'] -> (20 / 8) - 34 mod 37
[12] ['8', '21', '21'] -> 21 / (8 - 21) mod 37
[13] ['8', '21', '23'] -> (21 + 23) / 8 mod 37
[14] ['1', '13', '17'] -> (17 - 1) / 13 mod 37
[15] ['8', '21', '27'] -> (27 / 8) - 21 mod 37
[16] ['8', '21', '30'] -> 30 / (21 + 8) mod 37
[17] ['8', '21', '35'] -> (21 * 35) - 8 mod 37
[18] ['8', '22', '28'] -> (28 * 8) + 22 mod 37
[19] ['8', '22', '30'] -> (8 - 22) * 30 mod 37
[20] ['8', '23', '27'] -> 27 / (23 - 8) mod 37
[21] ['8', '23', '34'] -> 34 - (8 / 23) mod 37
[22] ['8', '25', '31'] -> (25 + 8) * 31 mod 37
[23] ['8', '25', '36'] -> 36 / (8 - 25) mod 37
[24] ['8', '26', '26'] -> (26 - 8) * 26 mod 37
[25] ['1', '13', '18'] -> (1 - 13) / 18 mod 37
[26] ['8', '27', '28'] -> (27 * 28) + 8 mod 37
[27] ['8', '27', '35'] -> 8 / (27 + 35) mod 37
[28] ['8', '28', '29'] -> (8 / 28) + 29 mod 37
[29] ['8', '28', '31'] -> (31 - 28) * 8 mod 37
[30] ['8', '28', '32'] -> 28 - (32 / 8) mod 37
[31] ['8', '28', '36'] -> 36 / (28 - 8) mod 37
[32] ['8', '29', '35'] -> (29 * 35) + 8 mod 37
[33] ['8', '29', '36'] -> (36 - 29) / 8 mod 37
[34] ['8', '30', '32'] -> 8 / (30 + 32) mod 37
[35] ['8', '30', '34'] -> 8 - (30 * 34) mod 37
[36] ['1', '13', '21'] -> 1 - (13 * 21) mod 37
[37] ['8', '31', '31'] -> 8 / (31 + 31) mod 37
[38] ['8', '32', '33'] -> (8 / 32) + 33 mod 37
[39] ['8', '32', '34'] -> 32 / (34 - 8) mod 37
[40] ['8', '33', '33'] -> (33 * 33) + 8 mod 37
[41] ['8', '36', '36'] -> (36 / 8) - 36 mod 37
[42] ['9', '9', '10'] -> (9 + 9) / 10 mod 37
[43] ['9', '9', '15'] -> (9 - 15) / 9 mod 37
[44] ['9', '9', '16'] -> (16 * 9) - 9 mod 37
[45] ['9', '9', '22'] -> (22 + 9) / 9 mod 37
[46] ['9', '9', '26'] -> (9 + 9) * 26 mod 37
[47] ['1', '13', '22'] -> (1 - 22) / 13 mod 37
[48] ['9', '9', '29'] -> 9 - (9 / 29) mod 37
[49] ['9', '9', '33'] -> 9 / (33 + 9) mod 37
[50] ['9', '10', '10'] -> (10 / 9) - 10 mod 37
[51] ['9', '10', '11'] -> (10 + 9) * 11 mod 37
[52] ['9', '10', '18'] -> (18 * 9) + 10 mod 37
[53] ['9', '10', '22'] -> 10 - (22 / 9) mod 37
[54] ['9', '10', '28'] -> (9 - 28) / 10 mod 37
[55] ['9', '10', '31'] -> 10 / (31 - 9) mod 37
[56] ['9', '10', '36'] -> 36 - (9 / 10) mod 37
[57] ['9', '11', '27'] -> (9 - 27) * 11 mod 37
[58] ['1', '13', '34'] -> 1 - (34 / 13) mod 37
[59] ['9', '11', '28'] -> (28 - 9) * 11 mod 37
[60] ['9', '11', '32'] -> (9 / 32) + 11 mod 37
[61] ['9', '12', '12'] -> (12 * 12) - 9 mod 37
[62] ['9', '12', '13'] -> 13 - (12 / 9) mod 37
[63] ['9', '12', '19'] -> (12 + 19) / 9 mod 37
[64] ['9', '12', '20'] -> (20 + 9) / 12 mod 37
[65] ['9', '12', '24'] -> (12 + 9) / 24 mod 37
[66] ['9', '13', '15'] -> 15 / (9 - 13) mod 37
[67] ['9', '13', '16'] -> 13 - (9 / 16) mod 37
[68] ['9', '13', '21'] -> (9 / 21) + 13 mod 37
[69] ['1', '14', '22'] -> 14 / (1 - 22) mod 37
[70] ['9', '14', '15'] -> (14 / 15) - 9 mod 37
[71] ['9', '14', '17'] -> (14 + 17) / 9 mod 37
[72] ['9', '14', '20'] -> (14 - 20) / 9 mod 37
[73] ['9', '14', '22'] -> 22 - (9 / 14) mod 37
[74] ['9', '14', '35'] -> (35 + 9) * 14 mod 37
[75] ['9', '15', '17'] -> (15 * 17) - 9 mod 37
[76] ['9', '15', '20'] -> 9 / (20 - 15) mod 37
[77] ['9', '15', '23'] -> (9 / 23) - 15 mod 37
[78] ['9', '15', '28'] -> (15 - 9) / 28 mod 37
[79] ['9', '15', '29'] -> (29 * 9) - 15 mod 37
[80] ['1', '14', '32'] -> 32 - (1 / 14) mod 37
[81] ['9', '15', '32'] -> 32 - (9 / 15) mod 37
[82] ['9', '15', '34'] -> 9 - (34 / 15) mod 37
[83] ['9', '16', '19'] -> 9 - (19 / 16) mod 37
[84] ['9', '16', '21'] -> 9 / (21 - 16) mod 37
[85] ['9', '16', '25'] -> (25 * 9) - 16 mod 37
[86] ['9', '16', '27'] -> (27 / 9) - 16 mod 37
[87] ['9', '16', '28'] -> (16 * 9) + 28 mod 37
[88] ['9', '16', '34'] -> 34 - (16 / 9) mod 37
[89] ['9', '17', '22'] -> 9 / (22 - 17) mod 37
[90] ['9', '17', '23'] -> (17 - 23) / 9 mod 37
[91] ['1', '14', '33'] -> (1 + 14) / 33 mod 37
[92] ['9', '17', '34'] -> (9 - 17) * 34 mod 37
[93] ['9', '17', '36'] -> (36 / 9) - 17 mod 37
[94] ['9', '18', '23'] -> 9 / (23 - 18) mod 37
[95] ['9', '18', '30'] -> 9 - (18 * 30) mod 37
[96] ['9', '18', '31'] -> 31 / (18 - 9) mod 37
[97] ['9', '18', '35'] -> (35 - 9) * 18 mod 37
[98] ['9', '18', '36'] -> 18 / (9 - 36) mod 37
[99] ['9', '19', '19'] -> 19 / (9 - 19) mod 37
[100] ['9', '19', '31'] -> (9 / 19) - 31 mod 37
[101] ['9', '20', '21'] -> (21 * 9) + 20 mod 37
[102] ['1', '14', '34'] -> 1 / (14 - 34) mod 37
[103] ['9', '20', '29'] -> (20 * 9) + 29 mod 37
[104] ['9', '20', '31'] -> (31 / 20) - 9 mod 37
[105] ['9', '20', '34'] -> (20 + 9) * 34 mod 37
[106] ['9', '20', '36'] -> (36 / 9) + 20 mod 37
[107] ['9', '21', '21'] -> 9 / (21 + 21) mod 37
[108] ['9', '21', '24'] -> (9 / 21) - 24 mod 37
[109] ['9', '21', '32'] -> (32 - 9) / 21 mod 37
[110] ['9', '21', '33'] -> 21 / (33 - 9) mod 37
[111] ['9', '22', '27'] -> 9 / (27 - 22) mod 37
[112] ['9', '22', '28'] -> (22 - 28) / 9 mod 37
[113] ['1', '2', '7'] -> 1 - (2 * 7) mod 37
[114] ['1', '14', '35'] -> (1 - 35) / 14 mod 37
[115] ['9', '22', '29'] -> (29 * 9) + 22 mod 37
[116] ['9', '22', '33'] -> (22 + 9) * 33 mod 37
[117] ['9', '23', '35'] -> (23 * 9) - 35 mod 37
[118] ['9', '25', '25'] -> (25 * 25) - 9 mod 37
[119] ['9', '25', '30'] -> 9 / (30 - 25) mod 37
[120] ['9', '25', '31'] -> (25 - 31) / 9 mod 37
[121] ['9', '25', '32'] -> 9 - (32 / 25) mod 37
[122] ['9', '25', '33'] -> 25 - (33 * 9) mod 37
[123] ['9', '25', '36'] -> (36 + 9) / 25 mod 37
[124] ['9', '26', '27'] -> (27 - 9) * 26 mod 37
[125] ['1', '15', '16'] -> (15 - 1) / 16 mod 37
[126] ['9', '26', '28'] -> (9 - 28) * 26 mod 37
[127] ['9', '26', '34'] -> (26 * 34) - 9 mod 37
[128] ['9', '26', '35'] -> 9 - (26 * 35) mod 37
[129] ['9', '27', '28'] -> (28 - 9) / 27 mod 37
[130] ['9', '27', '30'] -> (27 * 30) - 9 mod 37
[131] ['9', '27', '36'] -> (9 / 27) + 36 mod 37
[132] ['9', '28', '33'] -> 9 / (33 - 28) mod 37
[133] ['9', '29', '29'] -> (29 / 9) + 29 mod 37
[134] ['9', '29', '32'] -> (32 / 29) - 9 mod 37
[135] ['9', '29', '36'] -> 36 / (29 - 9) mod 37
[136] ['1', '15', '18'] -> (1 / 15) - 18 mod 37
[137] ['9', '30', '33'] -> (30 / 9) + 33 mod 37
[138] ['9', '30', '36'] -> (30 - 36) / 9 mod 37
[139] ['9', '31', '32'] -> (32 + 9) / 31 mod 37
[140] ['9', '32', '32'] -> (32 * 9) + 32 mod 37
[141] ['9', '32', '33'] -> (32 / 9) - 33 mod 37
[142] ['9', '33', '34'] -> 33 / (34 + 9) mod 37
[143] ['9', '33', '35'] -> (33 + 35) / 9 mod 37
[144] ['9', '34', '35'] -> (34 - 9) * 35 mod 37
[145] ['10', '10', '12'] -> 10 / (10 + 12) mod 37
[146] ['10', '10', '14'] -> (10 / 10) - 14 mod 37
[147] ['1', '15', '20'] -> (1 + 15) * 20 mod 37
[148] ['10', '10', '15'] -> (10 - 15) * 10 mod 37
[149] ['10', '10', '16'] -> (10 + 10) * 16 mod 37
[150] ['10', '10', '22'] -> (10 + 22) * 10 mod 37
[151] ['10', '10', '23'] -> (10 / 10) + 23 mod 37
[152] ['10', '10', '28'] -> (28 - 10) / 10 mod 37
[153] ['10', '10', '36'] -> 36 / (10 + 10) mod 37
[154] ['10', '11', '11'] -> 10 / (11 + 11) mod 37
[155] ['10', '11', '16'] -> (11 - 16) * 10 mod 37
[156] ['10', '11', '18'] -> 11 - (18 / 10) mod 37
[157] ['10', '11', '26'] -> 10 / (11 - 26) mod 37
[158] ['1', '15', '21'] -> (1 - 15) / 21 mod 37
[159] ['10', '11', '28'] -> (10 - 28) * 11 mod 37
[160] ['10', '11', '31'] -> 10 - (31 / 11) mod 37
[161] ['10', '11', '33'] -> 10 / (33 - 11) mod 37
[162] ['10', '11', '35'] -> 35 - (10 / 11) mod 37
[163] ['10', '12', '12'] -> (12 - 10) * 12 mod 37
[164] ['10', '12', '16'] -> (10 * 16) + 12 mod 37
[165] ['10', '12', '18'] -> (10 - 18) / 12 mod 37
[166] ['10', '12', '19'] -> (10 + 19) / 12 mod 37
[167] ['10', '12', '21'] -> 12 - (10 * 21) mod 37
[168] ['10', '12', '25'] -> (10 - 12) * 25 mod 37
[169] ['1', '15', '25'] -> 1 - (25 / 15) mod 37
[170] ['10', '12', '32'] -> (12 * 32) + 10 mod 37
[171] ['10', '13', '23'] -> (10 - 13) / 23 mod 37
[172] ['10', '14', '15'] -> 15 / (10 - 14) mod 37
[173] ['10', '14', '16'] -> 16 - (10 * 14) mod 37
[174] ['10', '14', '21'] -> 21 / (10 + 14) mod 37
[175] ['10', '14', '22'] -> 22 / (14 - 10) mod 37
[176] ['10', '14', '29'] -> 10 / (14 - 29) mod 37
[177] ['10', '15', '15'] -> (10 * 15) - 15 mod 37
[178] ['10', '15', '21'] -> 15 - (21 / 10) mod 37
[179] ['10', '15', '23'] -> 15 / (10 + 23) mod 37
[180] ['1', '15', '26'] -> (1 + 26) / 15 mod 37
[181] ['10', '15', '27'] -> (15 - 10) * 27 mod 37
[182] ['10', '15', '30'] -> 10 / (15 - 30) mod 37
[183] ['10', '15', '32'] -> (15 / 32) - 10 mod 37
[184] ['10', '15', '35'] -> (10 + 15) * 35 mod 37
[185] ['10', '16', '17'] -> (16 / 17) + 10 mod 37
[186] ['10', '16', '21'] -> (16 - 21) * 10 mod 37
[187] ['10', '16', '22'] -> (16 / 10) - 22 mod 37
[188] ['10', '16', '25'] -> (10 * 16) - 25 mod 37
[189] ['10', '16', '26'] -> (26 / 16) - 10 mod 37
[190] ['10', '16', '27'] -> (10 - 27) * 16 mod 37
[191] ['1', '15', '30'] -> (1 - 15) * 30 mod 37
[192] ['10', '16', '32'] -> 32 / (10 + 16) mod 37
[193] ['10', '16', '36'] -> 36 - (10 * 16) mod 37
[194] ['10', '17', '29'] -> (10 - 17) / 29 mod 37
[195] ['10', '17', '30'] -> (10 * 30) - 17 mod 37
[196] ['10', '17', '32'] -> 10 / (17 - 32) mod 37
[197] ['10', '17', '33'] -> (33 / 10) + 17 mod 37
[198] ['10', '17', '36'] -> (17 - 36) / 10 mod 37
[199] ['10', '18', '25'] -> (18 - 10) / 25 mod 37
[200] ['10', '18', '31'] -> (18 / 31) - 10 mod 37
[201] ['10', '18', '34'] -> (10 - 18) * 34 mod 37
[202] ['1', '15', '35'] -> 1 / (15 - 35) mod 37
[203] ['10', '18', '35'] -> (35 - 10) / 18 mod 37
[204] ['10', '19', '19'] -> (10 * 19) + 19 mod 37
[205] ['10', '19', '20'] -> 19 / (10 - 20) mod 37
[206] ['10', '19', '21'] -> (21 - 10) * 19 mod 37
[207] ['10', '19', '23'] -> (23 / 10) - 19 mod 37
[208] ['10', '19', '26'] -> (19 / 10) - 26 mod 37
[209] ['10', '19', '28'] -> (19 * 28) + 10 mod 37
[210] ['10', '19', '29'] -> 29 - (10 * 19) mod 37
[211] ['10', '20', '28'] -> (10 * 20) - 28 mod 37
[212] ['10', '20', '29'] -> (10 + 20) / 29 mod 37
[213] ['1', '16', '18'] -> (1 - 18) * 16 mod 37
[214] ['10', '20', '30'] -> (10 * 30) + 20 mod 37
[215] ['10', '21', '21'] -> (21 * 21) - 10 mod 37
[216] ['10', '21', '26'] -> (21 - 26) * 10 mod 37
[217] ['10', '21', '27'] -> (27 - 10) * 21 mod 37
[218] ['10', '21', '29'] -> (10 / 29) - 21 mod 37
[219] ['10', '22', '22'] -> 22 - (10 * 22) mod 37
[220] ['10', '22', '27'] -> (22 - 27) * 10 mod 37
[221] ['10', '22', '31'] -> 22 / (10 + 31) mod 37
[222] ['10', '22', '32'] -> 22 - (10 / 32) mod 37
[223] ['10', '22', '34'] -> (10 / 34) - 22 mod 37
[224] ['1', '2', '8'] -> (1 + 2) * 8 mod 37
[225] ['1', '16', '19'] -> (1 + 19) * 16 mod 37
[226] ['10', '22', '35'] -> (10 - 22) * 35 mod 37
