[101] ['1', '5', '77'] -> 77 * (1 - 5) mod 83
[102] ['1', '6', '20'] -> 6 / (1 + 20) mod 83
[103] ['1', '6', '22'] -> 6 / (22 - 1) mod 83
[104] ['1', '6', '24'] -> (1 - 6) / 24 mod 83
[105] ['1', '6', '25'] -> 1 - (6 / 25) mod 83
[106] ['1', '6', '28'] -> 1 - (28 / 6) mod 83
[107] ['1', '6', '36'] -> (1 / 36) - 6 mod 83
[108] ['1', '6', '37'] -> 37 / (6 - 1) mod 83
[109] ['1', '6', '44'] -> 1 / (6 - 44) mod 83
[110] ['1', '6', '45'] -> 45 * (1 - 6) mod 83
[111] ['1', '6', '46'] -> 46 / (1 - 6) mod 83
[112] ['1', '6', '51'] -> 1 / (51 - 6) mod 83
[113] ['1', '6', '55'] -> 1 + (55 / 6) mod 83
[114] ['1', '6', '58'] -> 1 + (6 / 58) mod 83
[115] ['1', '6', '59'] -> (6 - 1) / 59 mod 83
[116] ['1', '6', '62'] -> (62 - 1) / 6 mod 83
[117] ['1', '6', '63'] -> 6 / (1 - 63) mod 83
[118] ['1', '6', '67'] -> (67 / 6) - 1 mod 83
[119] ['1', '6', '80'] -> 6 * (1 - 80) mod 83
[120] ['1', '7', '9'] -> (9 / 7) - 1 mod 83
[121] ['1', '7', '12'] -> 12 + (1 / 7) mod 83
[122] ['1', '7', '21'] -> (7 - 1) / 21 mod 83
[123] ['1', '7', '22'] -> 22 / (1 - 7) mod 83
[124] ['1', '7', '26'] -> 26 / (1 + 7) mod 83
[125] ['1', '7', '27'] -> 1 + (7 * 27) mod 83
[126] ['1', '7', '28'] -> (1 + 7) / 28 mod 83
[127] ['1', '7', '36'] -> 36 - (1 / 7) mod 83
[128] ['1', '7', '43'] -> 1 - (7 / 43) mod 83
[129] ['1', '7', '44'] -> 7 + (1 / 44) mod 83
[130] ['1', '7', '51'] -> (7 * 51) - 1 mod 83
[131] ['1', '7', '52'] -> 1 / (52 - 7) mod 83
[132] ['1', '7', '56'] -> 1 - (7 * 56) mod 83
[133] ['1', '7', '61'] -> 61 / (7 - 1) mod 83
[134] ['1', '7', '62'] -> (1 - 7) / 62 mod 83
[135] ['1', '7', '70'] -> (7 / 70) - 1 mod 83
[136] ['1', '7', '71'] -> (1 / 7) - 71 mod 83
[137] ['1', '7', '75'] -> (1 / 75) - 7 mod 83
