[101] ['1', '5', '23'] -> (1 - 5) * 23 mod 29
[102] ['3', '13', '28'] -> (13 - 28) / 3 mod 29
[103] ['3', '14', '14'] -> (14 + 3) / 14 mod 29
[104] ['3', '14', '15'] -> (3 - 15) / 14 mod 29
[105] ['3', '14', '19'] -> 19 - (14 / 3) mod 29
[106] ['3', '14', '21'] -> (14 - 3) / 21 mod 29
[107] ['3', '15', '15'] -> (15 - 3) / 15 mod 29
[108] ['3', '15', '18'] -> (3 / 15) + 18 mod 29
[109] ['3', '15', '21'] -> (15 * 3) - 21 mod 29
[110] ['3', '16', '16'] -> (3 - 16) * 16 mod 29
[111] ['3', '17', '18'] -> 17 / (3 - 18) mod 29
[112] ['1', '1', '17'] -> (1 + 1) / 17 mod 29
[113] ['1', '5', '24'] -> (1 - 5) / 24 mod 29
[114] ['3', '17', '21'] -> (21 / 3) + 17 mod 29
[115] ['3', '17', '22'] -> (3 / 22) - 17 mod 29
[116] ['3', '17', '27'] -> (17 * 3) - 27 mod 29
[117] ['3', '18', '18'] -> (18 / 3) + 18 mod 29
[118] ['3', '18', '21'] -> (3 - 21) * 18 mod 29
[119] ['3', '18', '25'] -> (18 + 25) / 3 mod 29
[120] ['3', '19', '28'] -> 19 / (28 + 3) mod 29
[121] ['3', '20', '20'] -> 3 / (20 + 20) mod 29
[122] ['3', '20', '23'] -> (20 + 23) / 3 mod 29
[123] ['3', '20', '24'] -> (3 / 20) - 24 mod 29
[124] ['1', '5', '25'] -> 1 - (5 / 25) mod 29
[125] ['3', '21', '21'] -> (3 - 21) / 21 mod 29
[126] ['3', '21', '25'] -> 25 / (21 + 3) mod 29
[127] ['3', '21', '26'] -> 26 / (21 - 3) mod 29
[128] ['3', '22', '22'] -> (22 / 3) - 22 mod 29
[129] ['3', '22', '25'] -> (25 * 3) - 22 mod 29
[130] ['3', '23', '28'] -> (28 - 3) * 23 mod 29
[131] ['4', '4', '8'] -> (4 * 4) + 8 mod 29
[132] ['4', '4', '9'] -> 4 / (9 - 4) mod 29
[133] ['4', '4', '11'] -> 11 - (4 * 4) mod 29
[134] ['4', '4', '18'] -> 18 / (4 + 4) mod 29
[135] ['1', '6', '7'] -> 1 - (7 / 6) mod 29
[136] ['4', '4', '21'] -> (4 * 4) - 21 mod 29
[137] ['4', '4', '22'] -> (22 / 4) + 4 mod 29
[138] ['4', '4', '27'] -> (4 - 27) * 4 mod 29
[139] ['4', '4', '28'] -> 4 / (4 - 28) mod 29
