[1] ['1', '1', '8'] -> (1 / 8) + 1 mod 61
[2512] ['5', '9', '39'] -> (9 / 39) + 5 mod 61
[2513] ['5', '9', '47'] -> 9 - (47 / 5) mod 61
[2514] ['5', '9', '49'] -> (49 / 9) + 5 mod 61
[2515] ['5', '9', '50'] -> (50 + 9) / 5 mod 61
[2516] ['5', '9', '52'] -> 5 / (9 - 52) mod 61
[2517] ['5', '9', '53'] -> (9 - 53) * 5 mod 61
[2518] ['5', '10', '13'] -> 13 - (10 * 5) mod 61
[2519] ['5', '10', '15'] -> (15 * 5) + 10 mod 61
[2520] ['5', '10', '17'] -> (10 - 5) * 17 mod 61
[2521] ['1', '16', '59'] -> 1 - (59 / 16) mod 61
[2522] ['5', '10', '18'] -> (10 - 5) / 18 mod 61
[2523] ['5', '10', '22'] -> (10 / 5) + 22 mod 61
[2524] ['5', '10', '23'] -> (10 / 23) + 5 mod 61
[2525] ['5', '10', '28'] -> 5 / (28 - 10) mod 61
[2526] ['5', '10', '30'] -> 10 / (5 - 30) mod 61
[2527] ['5', '10', '31'] -> 10 / (31 + 5) mod 61
[2528] ['5', '10', '35'] -> (10 * 5) + 35 mod 61
[2529] ['5', '10', '38'] -> 5 - (10 / 38) mod 61
[2530] ['5', '10', '43'] -> (5 - 10) / 43 mod 61
[2531] ['5', '10', '45'] -> (5 / 45) - 10 mod 61
[2532] ['1', '17', '18'] -> 18 / (17 - 1) mod 61
[2533] ['5', '10', '49'] -> (10 + 49) / 5 mod 61
[2534] ['5', '10', '57'] -> (5 / 57) + 10 mod 61
[2535] ['5', '10', '59'] -> 59 / (10 - 5) mod 61
[2536] ['5', '11', '21'] -> (11 + 5) / 21 mod 61
[2537] ['5', '11', '28'] -> (28 - 11) * 5 mod 61
[2538] ['5', '11', '29'] -> 5 / (29 - 11) mod 61
[2539] ['5', '11', '32'] -> (11 + 5) * 32 mod 61
[2540] ['5', '11', '36'] -> (36 + 5) * 11 mod 61
[2541] ['5', '11', '47'] -> (11 * 47) - 5 mod 61
[2542] ['5', '11', '48'] -> (11 + 48) / 5 mod 61
[2543] ['1', '2', '44'] -> (2 / 44) - 1 mod 61
[2544] ['1', '17', '20'] -> (1 - 20) / 17 mod 61
[2545] ['5', '11', '52'] -> (5 / 52) + 11 mod 61
[2546] ['5', '11', '55'] -> (11 - 55) * 5 mod 61
[2547] ['5', '11', '59'] -> 11 / (5 + 59) mod 61
[2548] ['5', '12', '12'] -> (5 / 12) - 12 mod 61
[2549] ['5', '12', '13'] -> (12 - 5) / 13 mod 61
[2550] ['5', '12', '16'] -> 5 - (16 / 12) mod 61
[2551] ['5', '12', '23'] -> 23 - (12 * 5) mod 61
[2552] ['5', '12', '26'] -> 12 / (26 + 5) mod 61
[2553] ['5', '12', '27'] -> (12 * 27) + 5 mod 61
[2554] ['5', '12', '29'] -> (29 - 12) * 5 mod 61
[2555] ['1', '17', '23'] -> (17 * 23) - 1 mod 61
[2556] ['5', '12', '34'] -> 5 - (12 * 34) mod 61
[2557] ['5', '12', '35'] -> 12 / (5 - 35) mod 61
[2558] ['5', '12', '38'] -> (12 * 38) - 5 mod 61
[2559] ['5', '12', '42'] -> 42 / (12 + 5) mod 61
[2560] ['5', '12', '43'] -> (43 / 12) - 5 mod 61
[2561] ['5', '12', '45'] -> (45 / 12) + 5 mod 61
[2562] ['5', '12', '48'] -> (5 - 12) / 48 mod 61
[2563] ['5', '12', '52'] -> (12 / 52) + 5 mod 61
[2564] ['5', '12', '53'] -> (12 / 53) - 5 mod 61
[2565] ['5', '13', '21'] -> (13 * 21) - 5 mod 61
[2566] ['1', '17', '25'] -> (25 / 17) + 1 mod 61
[2567] ['5', '13', '22'] -> 5 - (13 * 22) mod 61
[2568] ['5', '13', '30'] -> (30 - 13) * 5 mod 61
[2569] ['5', '13', '31'] -> 5 / (31 - 13) mod 61
[2570] ['5', '13', '33'] -> (5 / 13) + 33 mod 61
[2571] ['5', '13', '39'] -> (13 * 39) + 5 mod 61
[2572] ['5', '13', '43'] -> (5 / 43) - 13 mod 61
[2573] ['5', '13', '44'] -> (44 * 5) - 13 mod 61
[2574] ['5', '13', '46'] -> (13 + 46) / 5 mod 61
[2575] ['5', '13', '52'] -> 52 / (5 - 13) mod 61
[2576] ['5', '13', '54'] -> 13 / (5 + 54) mod 61
[2577] ['1', '17', '26'] -> 17 - (1 / 26) mod 61
[2578] ['5', '13', '56'] -> 5 / (13 - 56) mod 61
[2579] ['5', '13', '57'] -> (13 - 57) * 5 mod 61
[2580] ['5', '13', '59'] -> (5 - 59) / 13 mod 61
[2581] ['5', '14', '16'] -> (14 - 16) / 5 mod 61
[2582] ['5', '14', '22'] -> (22 / 14) + 5 mod 61
[2583] ['5', '14', '29'] -> 29 / (14 + 5) mod 61
[2584] ['5', '14', '30'] -> 14 - (5 / 30) mod 61
[2585] ['5', '14', '35'] -> (5 - 35) / 14 mod 61
[2586] ['5', '14', '36'] -> (36 - 5) / 14 mod 61
[2587] ['5', '14', '38'] -> (5 - 14) * 38 mod 61
[2588] ['1', '17', '29'] -> (1 - 17) * 29 mod 61
[2589] ['5', '14', '41'] -> 5 - (14 / 41) mod 61
[2590] ['5', '14', '44'] -> (14 + 5) / 44 mod 61
[2591] ['5', '14', '45'] -> (14 + 45) / 5 mod 61
[2592] ['5', '14', '49'] -> (49 + 5) * 14 mod 61
[2593] ['5', '14', '52'] -> (14 / 5) - 52 mod 61
[2594] ['5', '14', '53'] -> (5 - 14) / 53 mod 61
[2595] ['5', '14', '57'] -> 5 / (14 - 57) mod 61
[2596] ['5', '15', '15'] -> 5 - (15 * 15) mod 61
[2597] ['5', '15', '16'] -> 15 - (16 / 5) mod 61
[2598] ['5', '15', '22'] -> (5 - 15) * 22 mod 61
[2599] ['1', '17', '32'] -> (17 - 1) * 32 mod 61
[2600] ['5', '15', '25'] -> (5 - 15) / 25 mod 61
[2601] ['5', '15', '32'] -> (32 - 15) * 5 mod 61
[2602] ['5', '15', '33'] -> 5 / (33 - 15) mod 61
[2603] ['5', '15', '36'] -> (15 - 5) / 36 mod 61
[2604] ['5', '15', '38'] -> 38 - (15 * 5) mod 61
[2605] ['5', '15', '39'] -> (15 - 5) * 39 mod 61
[2606] ['5', '15', '41'] -> (41 / 15) + 5 mod 61
[2607] ['5', '15', '45'] -> (45 / 5) + 15 mod 61
[2608] ['5', '15', '46'] -> (15 * 46) + 5 mod 61
[2609] ['5', '15', '48'] -> (5 / 48) + 15 mod 61
[2610] ['1', '17', '35'] -> (1 / 35) + 17 mod 61
[2611] ['5', '15', '49'] -> 15 / (49 + 5) mod 61
[2612] ['5', '15', '53'] -> 53 / (15 + 5) mod 61
[2613] ['5', '15', '60'] -> (60 - 5) / 15 mod 61
[2614] ['5', '16', '16'] -> 16 / (16 + 5) mod 61
[2615] ['5', '16', '17'] -> (17 / 5) - 16 mod 61
[2616] ['5', '16', '18'] -> (16 - 18) / 5 mod 61
[2617] ['5', '16', '21'] -> 16 - (21 / 5) mod 61
[2618] ['5', '16', '27'] -> (27 + 5) * 16 mod 61
[2619] ['5', '16', '30'] -> (16 / 30) - 5 mod 61
[2620] ['5', '16', '36'] -> (16 + 5) * 36 mod 61
[2621] ['1', '17', '36'] -> 1 - (36 / 17) mod 61
[2622] ['5', '16', '39'] -> (16 + 5) / 39 mod 61
[2623] ['5', '16', '40'] -> (40 / 5) + 16 mod 61
[2624] ['5', '16', '49'] -> (16 / 49) + 5 mod 61
[2625] ['5', '16', '51'] -> 51 - (5 / 16) mod 61
[2626] ['5', '16', '54'] -> (5 / 54) + 16 mod 61
[2627] ['5', '17', '17'] -> 17 / (5 - 17) mod 61
[2628] ['5', '17', '18'] -> (18 / 17) + 5 mod 61
[2629] ['5', '17', '23'] -> 17 - (23 * 5) mod 61
[2630] ['5', '17', '26'] -> 17 - (26 / 5) mod 61
[2631] ['5', '17', '28'] -> 5 - (17 / 28) mod 61
[2632] ['1', '17', '45'] -> 1 / (45 - 17) mod 61
[2633] ['5', '17', '30'] -> (5 - 17) / 30 mod 61
[2634] ['5', '17', '31'] -> (17 - 5) / 31 mod 61
[2635] ['5', '17', '33'] -> (17 / 33) + 5 mod 61
[2636] ['5', '17', '38'] -> (38 * 5) + 17 mod 61
[2637] ['5', '17', '40'] -> 40 / (17 + 5) mod 61
[2638] ['5', '17', '42'] -> (17 + 42) / 5 mod 61
[2639] ['5', '17', '43'] -> 5 - (43 / 17) mod 61
[2640] ['5', '17', '47'] -> (47 - 5) / 17 mod 61
[2641] ['5', '17', '48'] -> 48 - (17 * 5) mod 61
[2642] ['5', '17', '51'] -> (17 + 5) * 51 mod 61
[2643] ['1', '17', '47'] -> 1 - (17 / 47) mod 61
[2644] ['5', '17', '54'] -> 17 / (54 - 5) mod 61
[2645] ['5', '17', '56'] -> (5 / 17) + 56 mod 61
[2646] ['5', '17', '57'] -> (5 * 57) - 17 mod 61
[2647] ['5', '17', '60'] -> 5 / (17 - 60) mod 61
[2648] ['5', '18', '18'] -> (18 * 18) + 5 mod 61
[2649] ['5', '18', '20'] -> (18 - 20) / 5 mod 61
[2650] ['5', '18', '21'] -> 18 / (21 - 5) mod 61
[2651] ['5', '18', '35'] -> (35 - 18) * 5 mod 61
[2652] ['5', '18', '36'] -> 5 / (36 - 18) mod 61
[2653] ['5', '18', '41'] -> (18 + 41) / 5 mod 61
[2654] ['1', '2', '45'] -> 1 - (2 / 45) mod 61
[2655] ['1', '17', '57'] -> (1 - 57) * 17 mod 61
[2656] ['5', '18', '43'] -> 5 - (18 * 43) mod 61
[2657] ['5', '18', '44'] -> 5 - (18 / 44) mod 61
[2658] ['5', '18', '48'] -> 48 - (5 / 18) mod 61
[2659] ['5', '18', '49'] -> (18 / 49) - 5 mod 61
[2660] ['5', '18', '53'] -> 53 - (18 * 5) mod 61
[2661] ['5', '18', '54'] -> 54 / (5 - 18) mod 61
[2662] ['5', '18', '56'] -> (18 * 5) + 56 mod 61
[2663] ['5', '18', '57'] -> (18 / 5) + 57 mod 61
[2664] ['5', '18', '59'] -> (18 - 5) / 59 mod 61
[2665] ['5', '19', '22'] -> 19 / (5 - 22) mod 61
[2666] ['1', '17', '59'] -> (59 / 17) - 1 mod 61
[2667] ['5', '19', '25'] -> (25 / 5) + 19 mod 61
[2668] ['5', '19', '26'] -> (19 - 5) / 26 mod 61
[2669] ['5', '19', '27'] -> 27 / (19 + 5) mod 61
[2670] ['5', '19', '28'] -> (19 / 28) - 5 mod 61
[2671] ['5', '19', '30'] -> 30 / (5 - 19) mod 61
[2672] ['5', '19', '31'] -> 31 / (19 - 5) mod 61
[2673] ['5', '19', '34'] -> (34 - 5) / 19 mod 61
[2674] ['5', '19', '35'] -> (5 - 19) / 35 mod 61
[2675] ['5', '19', '39'] -> 19 / (39 + 5) mod 61
[2676] ['5', '19', '43'] -> (5 / 19) + 43 mod 61
[2677] ['1', '18', '19'] -> 19 / (1 - 18) mod 61
[2678] ['5', '19', '49'] -> 19 / (49 - 5) mod 61
[2679] ['5', '19', '53'] -> (19 / 5) - 53 mod 61
[2680] ['5', '19', '54'] -> (19 - 5) * 54 mod 61
[2681] ['5', '19', '56'] -> (56 / 19) + 5 mod 61
[2682] ['5', '19', '58'] -> 58 - (19 * 5) mod 61
[2683] ['5', '19', '59'] -> (19 + 59) * 5 mod 61
[2684] ['5', '20', '20'] -> (20 / 5) + 20 mod 61
[2685] ['5', '20', '26'] -> (20 - 5) * 26 mod 61
[2686] ['5', '20', '28'] -> 28 - (20 / 5) mod 61
[2687] ['5', '20', '29'] -> (20 + 5) / 29 mod 61
[2688] ['1', '18', '22'] -> (18 / 22) + 1 mod 61
[2689] ['5', '20', '31'] -> (31 / 20) - 5 mod 61
[2690] ['5', '20', '32'] -> (5 / 32) - 20 mod 61
[2691] ['5', '20', '38'] -> 5 / (38 - 20) mod 61
[2692] ['5', '20', '40'] -> (20 + 5) * 40 mod 61
[2693] ['5', '20', '45'] -> (45 + 5) * 20 mod 61
[2694] ['5', '20', '54'] -> (20 - 5) / 54 mod 61
[2695] ['5', '20', '57'] -> 5 - (20 * 57) mod 61
[2696] ['5', '20', '59'] -> 5 / (20 + 59) mod 61
[2697] ['5', '21', '22'] -> (5 / 22) + 21 mod 61
[2698] ['5', '21', '23'] -> (21 - 23) / 5 mod 61
[2699] ['1', '18', '23'] -> (23 / 18) - 1 mod 61
[2700] ['5', '21', '25'] -> (25 * 5) + 21 mod 61
[2701] ['5', '21', '28'] -> 5 - (28 / 21) mod 61
[2702] ['5', '21', '33'] -> (33 / 21) + 5 mod 61
[2703] ['5', '21', '36'] -> 21 - (36 * 5) mod 61
[2704] ['5', '21', '42'] -> (42 / 5) - 21 mod 61
[2705] ['5', '21', '43'] -> 43 / (5 - 21) mod 61
[2706] ['5', '21', '44'] -> 21 / (44 - 5) mod 61
[2707] ['5', '21', '46'] -> 21 - (46 / 5) mod 61
[2708] ['5', '21', '60'] -> (60 / 21) - 5 mod 61
[2709] ['5', '22', '25'] -> (22 * 5) - 25 mod 61
[2710] ['1', '18', '25'] -> (18 * 25) + 1 mod 61
[2711] ['5', '22', '27'] -> 27 - (5 / 22) mod 61
[2712] ['5', '22', '33'] -> (5 / 33) + 22 mod 61
[2713] ['5', '22', '35'] -> (35 + 5) / 22 mod 61
[2714] ['5', '22', '36'] -> (22 * 5) + 36 mod 61
[2715] ['5', '22', '38'] -> 38 / (22 + 5) mod 61
[2716] ['5', '22', '39'] -> (39 - 22) * 5 mod 61
[2717] ['5', '22', '42'] -> 42 / (22 - 5) mod 61
[2718] ['5', '22', '44'] -> (22 / 5) + 44 mod 61
[2719] ['5', '22', '45'] -> (45 - 5) / 22 mod 61
[2720] ['5', '22', '46'] -> (46 + 5) * 22 mod 61
[2721] ['1', '18', '29'] -> 29 / (1 + 18) mod 61
[2722] ['5', '22', '48'] -> (22 * 48) + 5 mod 61
[2723] ['5', '22', '49'] -> (22 - 5) / 49 mod 61
[2724] ['5', '22', '52'] -> (52 / 22) + 5 mod 61
[2725] ['5', '22', '57'] -> 5 / (22 + 57) mod 61
[2726] ['5', '22', '60'] -> 22 / (5 - 60) mod 61
[2727] ['5', '23', '27'] -> (23 + 5) * 27 mod 61
[2728] ['5', '23', '29'] -> 23 / (29 + 5) mod 61
[2729] ['5', '23', '32'] -> 23 / (5 - 32) mod 61
[2730] ['5', '23', '36'] -> (23 + 36) / 5 mod 61
[2731] ['5', '23', '39'] -> 23 / (39 - 5) mod 61
[2732] ['1', '18', '30'] -> (18 / 30) - 1 mod 61
[2733] ['5', '23', '40'] -> (40 - 23) * 5 mod 61
[2734] ['5', '23', '41'] -> 5 / (41 - 23) mod 61
[2735] ['5', '23', '46'] -> (46 * 5) - 23 mod 61
[2736] ['5', '23', '51'] -> 5 - (51 / 23) mod 61
[2737] ['5', '23', '53'] -> 53 - (23 / 5) mod 61
[2738] ['5', '24', '34'] -> (34 * 5) - 24 mod 61
[2739] ['5', '24', '39'] -> (5 - 39) / 24 mod 61
[2740] ['5', '25', '25'] -> (5 / 25) - 25 mod 61
[2741] ['5', '25', '26'] -> (5 - 26) * 25 mod 61
[2742] ['5', '25', '28'] -> (25 * 28) - 5 mod 61
[2743] ['1', '18', '36'] -> 1 - (18 * 36) mod 61
[2744] ['5', '25', '29'] -> 29 - (25 / 5) mod 61
[2745] ['5', '25', '35'] -> (35 + 5) * 25 mod 61
[2746] ['5', '25', '36'] -> (5 / 25) + 36 mod 61
[2747] ['5', '25', '37'] -> 25 / (5 - 37) mod 61
[2748] ['5', '25', '40'] -> (25 * 5) - 40 mod 61
[2749] ['5', '25', '43'] -> 5 / (43 - 25) mod 61
[2750] ['5', '25', '45'] -> (45 - 5) * 25 mod 61
[2751] ['5', '25', '46'] -> (46 + 5) / 25 mod 61
[2752] ['5', '25', '47'] -> (25 + 5) / 47 mod 61
[2753] ['5', '25', '48'] -> (48 / 25) + 5 mod 61
[2754] ['1', '18', '39'] -> 1 - (18 / 39) mod 61
[2755] ['5', '25', '52'] -> (25 * 52) + 5 mod 61
[2756] ['5', '26', '30'] -> (26 / 5) - 30 mod 61
[2757] ['5', '26', '31'] -> (26 / 5) + 31 mod 61
[2758] ['5', '26', '32'] -> 32 - (26 * 5) mod 61
[2759] ['5', '26', '36'] -> (26 - 5) * 36 mod 61
[2760] ['5', '26', '37'] -> 26 - (37 * 5) mod 61
[2761] ['5', '26', '39'] -> (26 - 5) / 39 mod 61
[2762] ['5', '26', '43'] -> (43 - 26) * 5 mod 61
[2763] ['5', '26', '44'] -> 5 / (44 - 26) mod 61
[2764] ['5', '26', '53'] -> 5 / (26 + 53) mod 61
[2765] ['1', '2', '46'] -> (46 / 2) + 1 mod 61
[2766] ['1', '18', '44'] -> (1 + 18) / 44 mod 61
[2767] ['5', '26', '59'] -> (5 / 26) + 59 mod 61
[2768] ['5', '27', '28'] -> (5 - 28) / 27 mod 61
[2769] ['5', '27', '37'] -> 37 - (27 * 5) mod 61
[2770] ['5', '27', '38'] -> (5 - 38) * 27 mod 61
[2771] ['5', '27', '39'] -> (5 / 39) + 27 mod 61
[2772] ['5', '27', '45'] -> 5 / (45 - 27) mod 61
[2773] ['5', '27', '49'] -> 5 - (27 * 49) mod 61
[2774] ['5', '27', '50'] -> (27 * 5) - 50 mod 61
[2775] ['5', '27', '52'] -> 5 / (27 + 52) mod 61
[2776] ['5', '27', '55'] -> (5 - 27) / 55 mod 61
[2777] ['1', '18', '48'] -> (48 / 18) + 1 mod 61
[2778] ['5', '28', '29'] -> (28 * 29) + 5 mod 61
[2779] ['5', '28', '30'] -> (28 - 30) / 5 mod 61
[2780] ['5', '28', '31'] -> (28 + 31) / 5 mod 61
[2781] ['5', '28', '35'] -> (5 / 28) - 35 mod 61
[2782] ['5', '28', '39'] -> (5 - 39) * 28 mod 61
[2783] ['5', '28', '40'] -> (28 / 40) + 5 mod 61
[2784] ['5', '28', '41'] -> (41 / 5) + 28 mod 61
[2785] ['5', '28', '44'] -> (44 / 28) + 5 mod 61
[2786] ['5', '28', '45'] -> (45 - 28) * 5 mod 61
[2787] ['5', '28', '46'] -> 5 / (46 - 28) mod 61
[2788] ['1', '18', '57'] -> (1 - 57) / 18 mod 61
[2789] ['5', '28', '48'] -> (48 * 5) + 28 mod 61
[2790] ['5', '28', '50'] -> (28 + 50) * 5 mod 61
[2791] ['5', '28', '51'] -> 5 / (28 + 51) mod 61
[2792] ['5', '28', '54'] -> 54 - (28 / 5) mod 61
[2793] ['5', '28', '58'] -> 58 / (5 - 28) mod 61
[2794] ['5', '29', '31'] -> (29 - 31) / 5 mod 61
[2795] ['5', '29', '35'] -> (35 * 5) - 29 mod 61
[2796] ['5', '29', '36'] -> (36 / 5) + 29 mod 61
[2797] ['5', '29', '40'] -> (40 + 5) * 29 mod 61
[2798] ['5', '29', '46'] -> (46 - 29) * 5 mod 61
[2799] ['1', '18', '59'] -> (18 * 59) - 1 mod 61
[2800] ['5', '29', '54'] -> (5 / 29) - 54 mod 61
[2801] ['5', '29', '55'] -> (29 / 5) - 55 mod 61
[2802] ['5', '29', '59'] -> 5 - (59 / 29) mod 61
[2803] ['5', '30', '30'] -> 30 - (30 / 5) mod 61
[2804] ['5', '30', '31'] -> (31 / 5) + 30 mod 61
[2805] ['5', '30', '34'] -> (5 / 30) + 34 mod 61
[2806] ['5', '30', '38'] -> 5 - (30 * 38) mod 61
[2807] ['5', '30', '41'] -> (30 / 41) - 5 mod 61
[2808] ['5', '30', '42'] -> 30 / (42 + 5) mod 61
[2809] ['5', '30', '43'] -> (30 / 5) - 43 mod 61
[2810] ['1', '19', '21'] -> (1 / 19) - 21 mod 61
[2811] ['5', '30', '44'] -> (44 + 5) / 30 mod 61
[2812] ['5', '30', '51'] -> 51 / (30 - 5) mod 61
[2813] ['5', '30', '54'] -> (54 - 5) / 30 mod 61
[2814] ['5', '30', '57'] -> (30 * 5) + 57 mod 61
[2815] ['5', '31', '31'] -> (31 / 5) - 31 mod 61
[2816] ['5', '31', '32'] -> (31 + 5) / 32 mod 61
[2817] ['5', '31', '33'] -> (31 - 33) / 5 mod 61
[2818] ['5', '31', '35'] -> 31 - (35 / 5) mod 61
[2819] ['5', '31', '40'] -> (40 / 31) + 5 mod 61
[2820] ['5', '31', '43'] -> (43 + 5) * 31 mod 61
[2821] ['1', '19', '27'] -> (19 * 27) - 1 mod 61
[2822] ['5', '31', '45'] -> (45 / 31) - 5 mod 61
[2823] ['5', '31', '46'] -> (5 - 31) * 46 mod 61
[2824] ['5', '31', '54'] -> (5 - 54) / 31 mod 61
[2825] ['5', '31', '58'] -> (31 * 58) - 5 mod 61
[2826] ['5', '32', '35'] -> (35 * 5) + 32 mod 61
[2827] ['5', '32', '36'] -> (36 / 5) - 32 mod 61
[2828] ['5', '32', '38'] -> 38 / (32 - 5) mod 61
[2829] ['5', '32', '40'] -> 32 - (40 / 5) mod 61
[2830] ['5', '32', '42'] -> (32 / 5) + 42 mod 61
[2831] ['5', '32', '46'] -> (32 + 46) * 5 mod 61
[2832] ['1', '19', '28'] -> (1 + 28) / 19 mod 61
[2833] ['5', '32', '49'] -> (49 - 32) * 5 mod 61
[2834] ['5', '32', '54'] -> 32 - (5 / 54) mod 61
[2835] ['5', '32', '59'] -> (59 / 32) + 5 mod 61
[2836] ['5', '33', '34'] -> (5 - 33) * 34 mod 61
[2837] ['5', '33', '35'] -> (33 - 35) / 5 mod 61
[2838] ['5', '33', '36'] -> (33 * 36) - 5 mod 61
[2839] ['5', '33', '40'] -> 5 - (33 / 40) mod 61
[2840] ['5', '33', '41'] -> (41 / 5) - 33 mod 61
[2841] ['5', '33', '44'] -> 5 - (44 / 33) mod 61
[2842] ['5', '33', '46'] -> 5 / (33 + 46) mod 61
[2843] ['1', '19', '31'] -> 1 - (19 / 31) mod 61
[2844] ['5', '33', '50'] -> (50 - 33) * 5 mod 61
[2845] ['5', '33', '51'] -> 5 / (51 - 33) mod 61
[2846] ['5', '33', '54'] -> (33 / 5) + 54 mod 61
[2847] ['5', '33', '58'] -> 58 / (33 + 5) mod 61
[2848] ['5', '33', '60'] -> 60 / (5 - 33) mod 61
[2849] ['5', '34', '37'] -> (34 * 5) + 37 mod 61
[2850] ['5', '34', '38'] -> (38 - 5) * 34 mod 61
[2851] ['5', '34', '39'] -> (5 / 39) - 34 mod 61
[2852] ['5', '34', '49'] -> (34 * 49) + 5 mod 61
[2853] ['5', '34', '50'] -> 34 - (50 / 5) mod 61
[2854] ['1', '19', '33'] -> (1 - 33) / 19 mod 61
[2855] ['5', '34', '51'] -> (51 - 34) * 5 mod 61
[2856] ['5', '34', '52'] -> 5 / (52 - 34) mod 61
[2857] ['5', '34', '55'] -> (34 + 5) / 55 mod 61
[2858] ['5', '34', '59'] -> (5 * 59) + 34 mod 61
[2859] ['5', '35', '37'] -> (35 - 37) / 5 mod 61
[2860] ['5', '35', '39'] -> (39 / 35) - 5 mod 61
[2861] ['5', '35', '41'] -> (41 + 5) * 35 mod 61
[2862] ['5', '35', '42'] -> (42 + 5) / 35 mod 61
[2863] ['5', '35', '43'] -> (35 + 43) * 5 mod 61
[2864] ['5', '35', '48'] -> (5 - 35) * 48 mod 61
[2865] ['1', '19', '47'] -> 1 / (47 - 19) mod 61
[2866] ['5', '35', '49'] -> 49 / (35 - 5) mod 61
[2867] ['5', '35', '53'] -> 5 / (53 - 35) mod 61
[2868] ['5', '35', '59'] -> 59 - (5 / 35) mod 61
[2869] ['5', '35', '60'] -> 35 / (5 + 60) mod 61
[2870] ['5', '36', '36'] -> 36 - (5 / 36) mod 61
[2871] ['5', '36', '39'] -> 36 - (39 * 5) mod 61
[2872] ['5', '36', '42'] -> (36 + 42) * 5 mod 61
[2873] ['5', '36', '45'] -> (5 - 45) * 36 mod 61
[2874] ['5', '36', '47'] -> (5 - 36) / 47 mod 61
[2875] ['5', '36', '52'] -> 5 - (36 * 52) mod 61
[2876] ['1', '2', '47'] -> (1 + 47) / 2 mod 61
[2877] ['1', '19', '48'] -> (48 / 19) - 1 mod 61
[2878] ['5', '36', '60'] -> 36 - (60 / 5) mod 61
[2879] ['5', '37', '44'] -> 5 - (37 * 44) mod 61
[2880] ['5', '37', '52'] -> 37 - (5 / 52) mod 61
[2881] ['5', '37', '54'] -> (54 - 37) * 5 mod 61
[2882] ['5', '37', '57'] -> (57 / 5) + 37 mod 61
[2883] ['5', '38', '41'] -> 5 / (38 + 41) mod 61
[2884] ['5', '38', '44'] -> (38 * 5) - 44 mod 61
[2885] ['5', '38', '49'] -> (49 * 5) - 38 mod 61
[2886] ['5', '38', '51'] -> (51 / 38) + 5 mod 61
[2887] ['5', '38', '55'] -> (55 - 38) * 5 mod 61
[2888] ['1', '19', '49'] -> (1 / 49) + 19 mod 61
[2889] ['5', '38', '58'] -> (5 / 38) - 58 mod 61
[2890] ['5', '38', '59'] -> 5 - (38 / 59) mod 61
[2891] ['5', '38', '60'] -> 60 / (38 - 5) mod 61
[2892] ['5', '39', '39'] -> (39 + 39) * 5 mod 61
[2893] ['5', '39', '40'] -> 5 / (39 + 40) mod 61
[2894] ['5', '39', '45'] -> (5 - 45) / 39 mod 61
[2895] ['5', '39', '48'] -> 5 - (39 * 48) mod 61
[2896] ['5', '39', '49'] -> (39 * 5) - 49 mod 61
[2897] ['5', '39', '52'] -> 5 - (52 / 39) mod 61
[2898] ['5', '39', '60'] -> 39 / (60 - 5) mod 61
[2899] ['1', '19', '50'] -> (1 + 19) * 50 mod 61
[2900] ['5', '40', '43'] -> 43 / (40 + 5) mod 61
[2901] ['5', '40', '44'] -> 40 / (5 - 44) mod 61
[2902] ['5', '40', '45'] -> (40 / 5) - 45 mod 61
[2903] ['5', '40', '46'] -> (40 - 5) * 46 mod 61
[2904] ['5', '40', '48'] -> (40 * 48) - 5 mod 61
[2905] ['5', '40', '52'] -> 40 - (5 * 52) mod 61
[2906] ['5', '40', '54'] -> (40 * 5) - 54 mod 61
[2907] ['5', '40', '58'] -> 5 / (58 - 40) mod 61
[2908] ['5', '40', '60'] -> (5 / 40) - 60 mod 61
[2909] ['5', '41', '43'] -> (41 - 43) / 5 mod 61
[2910] ['1', '19', '51'] -> 1 - (51 / 19) mod 61
[2911] ['5', '41', '45'] -> 41 / (45 + 5) mod 61
[2912] ['5', '41', '52'] -> (5 / 41) - 52 mod 61
[2913] ['5', '41', '57'] -> (41 * 57) + 5 mod 61
[2914] ['5', '42', '49'] -> 42 / (5 - 49) mod 61
[2915] ['5', '42', '51'] -> 51 - (42 * 5) mod 61
[2916] ['5', '42', '58'] -> (42 * 5) + 58 mod 61
[2917] ['5', '43', '43'] -> (43 * 43) + 5 mod 61
[2918] ['5', '43', '44'] -> (43 / 44) + 5 mod 61
[2919] ['5', '43', '48'] -> (5 / 43) + 48 mod 61
[2920] ['5', '43', '51'] -> (5 + 51) / 43 mod 61
[2921] ['1', '19', '53'] -> 53 / (1 + 19) mod 61
[2922] ['5', '43', '53'] -> (43 * 5) + 53 mod 61
[2923] ['5', '43', '54'] -> 54 / (43 + 5) mod 61
[2924] ['5', '43', '57'] -> 57 - (43 / 5) mod 61
[2925] ['5', '43', '58'] -> 58 / (43 - 5) mod 61
[2926] ['5', '44', '45'] -> 45 - (44 / 5) mod 61
[2927] ['5', '44', '47'] -> (5 - 47) / 44 mod 61
[2928] ['5', '44', '48'] -> (44 * 5) + 48 mod 61
[2929] ['5', '44', '52'] -> (44 / 52) - 5 mod 61
[2930] ['5', '44', '54'] -> 44 / (5 - 54) mod 61
[2931] ['5', '44', '55'] -> (44 - 5) / 55 mod 61
[2932] ['1', '19', '59'] -> (19 * 59) + 1 mod 61
[2933] ['5', '44', '57'] -> (5 * 57) + 44 mod 61
[2934] ['5', '44', '58'] -> (44 / 5) - 58 mod 61
