[1] ['1', '1', '8'] -> (1 / 8) + 1 mod 61
[101] ['33', '47', '55'] -> 55 - (47 / 33) mod 61
[102] ['33', '48', '53'] -> 53 / (33 + 48) mod 61
[103] ['2', '48', '53'] -> 2 / (48 - 53) mod 61
[104] ['33', '48', '54'] -> (48 - 33) / 54 mod 61
[105] ['33', '48', '55'] -> 55 / (48 - 33) mod 61
[106] ['33', '48', '56'] -> (56 / 48) + 33 mod 61
[107] ['33', '48', '58'] -> (58 / 33) - 48 mod 61
[108] ['33', '48', '60'] -> 48 - (60 / 33) mod 61
[109] ['33', '49', '51'] -> (33 * 51) + 49 mod 61
[110] ['33', '49', '54'] -> (33 * 49) + 54 mod 61
[111] ['33', '50', '56'] -> (33 - 50) * 56 mod 61
[112] ['33', '51', '56'] -> 56 / (33 - 51) mod 61
[113] ['33', '51', '58'] -> 51 / (58 - 33) mod 61
[114] ['1', '7', '40'] -> 1 / (7 - 40) mod 61
[115] ['2', '48', '54'] -> (2 - 48) / 54 mod 61
[116] ['33', '51', '59'] -> (33 / 59) - 51 mod 61
[117] ['33', '52', '52'] -> (52 / 33) + 52 mod 61
[118] ['33', '52', '53'] -> (52 - 53) / 33 mod 61
[119] ['33', '52', '57'] -> 57 - (52 / 33) mod 61
[120] ['33', '53', '53'] -> 53 / (53 - 33) mod 61
[121] ['33', '53', '54'] -> (53 - 54) / 33 mod 61
[122] ['33', '53', '58'] -> 58 - (33 / 53) mod 61
[123] ['33', '54', '56'] -> 54 - (33 / 56) mod 61
[124] ['33', '54', '57'] -> (33 + 54) / 57 mod 61
[125] ['33', '55', '55'] -> (33 - 55) / 55 mod 61
[126] ['2', '48', '55'] -> 55 / (2 - 48) mod 61
[127] ['33', '55', '60'] -> (33 / 55) + 60 mod 61
[128] ['33', '56', '58'] -> 58 / (33 - 56) mod 61
[129] ['33', '57', '58'] -> (57 - 58) / 33 mod 61
[130] ['33', '58', '59'] -> (58 - 59) / 33 mod 61
[131] ['33', '59', '60'] -> (59 - 60) / 33 mod 61
[132] ['34', '34', '34'] -> (34 * 34) - 34 mod 61
[133] ['34', '34', '35'] -> 34 - (35 / 34) mod 61
[134] ['34', '34', '40'] -> 34 - (34 / 40) mod 61
[135] ['34', '34', '46'] -> 46 / (34 + 34) mod 61
[136] ['34', '34', '47'] -> (34 + 34) * 47 mod 61
[137] ['2', '48', '57'] -> (2 / 48) + 57 mod 61
[138] ['34', '34', '57'] -> (57 - 34) / 34 mod 61
[139] ['34', '34', '58'] -> 34 / (34 - 58) mod 61
[140] ['34', '34', '60'] -> (34 + 60) * 34 mod 61
[141] ['34', '35', '40'] -> (35 * 40) - 34 mod 61
[142] ['34', '35', '41'] -> (34 + 35) / 41 mod 61
[143] ['34', '35', '43'] -> (34 * 43) - 35 mod 61
[144] ['34', '35', '44'] -> (34 / 44) - 35 mod 61
[145] ['34', '35', '47'] -> (35 / 34) - 47 mod 61
[146] ['34', '35', '52'] -> (35 * 52) + 34 mod 61
[147] ['34', '35', '55'] -> 55 - (34 * 35) mod 61
[148] ['2', '48', '60'] -> (60 - 48) * 2 mod 61
[149] ['34', '35', '58'] -> (58 - 35) / 34 mod 61
[150] ['34', '36', '41'] -> (34 * 36) - 41 mod 61
[151] ['34', '36', '42'] -> 36 - (42 / 34) mod 61
[152] ['34', '36', '47'] -> 36 - (34 * 47) mod 61
[153] ['34', '36', '52'] -> (34 * 52) - 36 mod 61
[154] ['34', '36', '58'] -> (36 + 58) * 34 mod 61
[155] ['34', '36', '60'] -> 34 / (36 - 60) mod 61
[156] ['34', '37', '38'] -> (34 - 37) / 38 mod 61
[157] ['34', '37', '46'] -> (46 / 34) + 37 mod 61
[158] ['34', '37', '48'] -> 48 - (34 / 37) mod 61
[159] ['2', '49', '49'] -> (49 * 49) + 2 mod 61
[160] ['34', '37', '49'] -> (34 / 49) + 37 mod 61
[161] ['34', '37', '50'] -> 50 / (34 - 37) mod 61
[162] ['34', '37', '53'] -> (34 - 37) * 53 mod 61
[163] ['34', '37', '56'] -> 37 - (34 * 56) mod 61
[164] ['34', '37', '60'] -> (60 - 37) / 34 mod 61
[165] ['34', '38', '42'] -> 34 - (38 * 42) mod 61
