[1] ['1', '1', '12'] -> (1 + 1) * 12 mod 79
[2] ['1', '2', '18'] -> (1 / 18) + 2 mod 79
[3] ['1', '6', '37'] -> (1 / 6) + 37 mod 79
[4] ['2', '13', '52'] -> 52 / (2 - 13) mod 79
[5] ['13', '29', '30'] -> (13 * 30) + 29 mod 79
[6] ['13', '29', '31'] -> 29 / (13 + 31) mod 79
[7] ['13', '29', '33'] -> (29 - 33) / 13 mod 79
[8] ['13', '29', '37'] -> (13 * 29) - 37 mod 79
[9] ['13', '29', '41'] -> (29 - 13) * 41 mod 79
[10] ['13', '29', '43'] -> (43 - 29) * 13 mod 79
[11] ['13', '29', '48'] -> 29 / (13 - 48) mod 79
[12] ['13', '29', '49'] -> 29 - (13 * 49) mod 79
[13] ['13', '29', '51'] -> (13 + 51) / 29 mod 79
[14] ['13', '29', '60'] -> 60 / (13 + 29) mod 79
[15] ['2', '13', '53'] -> 2 - (13 * 53) mod 79
[16] ['13', '29', '62'] -> 13 - (29 / 62) mod 79
[17] ['13', '29', '64'] -> (29 + 64) * 13 mod 79
[18] ['13', '29', '67'] -> 13 / (29 + 67) mod 79
[19] ['13', '29', '68'] -> 68 / (29 - 13) mod 79
[20] ['13', '29', '75'] -> (13 + 75) * 29 mod 79
[21] ['13', '29', '76'] -> 13 - (76 / 29) mod 79
[22] ['13', '30', '33'] -> (30 / 13) - 33 mod 79
[23] ['13', '30', '37'] -> (13 / 30) - 37 mod 79
[24] ['13', '30', '43'] -> 30 - (13 * 43) mod 79
[25] ['13', '30', '44'] -> (44 - 30) * 13 mod 79
[26] ['2', '13', '58'] -> (2 * 58) - 13 mod 79
[27] ['13', '30', '45'] -> (30 + 45) / 13 mod 79
[28] ['13', '30', '47'] -> 13 / (47 - 30) mod 79
[29] ['13', '30', '50'] -> (13 * 30) - 50 mod 79
[30] ['13', '30', '51'] -> (13 + 51) * 30 mod 79
[31] ['13', '30', '52'] -> (13 + 30) * 52 mod 79
[32] ['13', '30', '53'] -> (30 / 53) + 13 mod 79
[33] ['13', '30', '59'] -> (13 - 30) * 59 mod 79
[34] ['13', '30', '63'] -> (30 + 63) * 13 mod 79
[35] ['13', '30', '65'] -> 13 - (65 / 30) mod 79
[36] ['13', '30', '68'] -> 30 - (13 / 68) mod 79
[37] ['2', '13', '59'] -> 2 / (13 - 59) mod 79
[38] ['13', '30', '69'] -> (13 / 69) - 30 mod 79
[39] ['13', '30', '70'] -> (70 / 13) - 30 mod 79
[40] ['13', '30', '76'] -> 13 - (30 * 76) mod 79
[41] ['13', '30', '77'] -> (77 - 13) * 30 mod 79
[42] ['13', '30', '78'] -> 30 - (78 / 13) mod 79
[43] ['13', '31', '41'] -> (41 / 31) - 13 mod 79
[44] ['13', '31', '44'] -> (31 + 44) / 13 mod 79
[45] ['13', '31', '45'] -> (45 - 31) * 13 mod 79
[46] ['13', '31', '46'] -> (46 - 13) / 31 mod 79
[47] ['13', '31', '47'] -> 31 - (13 / 47) mod 79
[48] ['2', '13', '61'] -> (61 - 13) / 2 mod 79
[49] ['13', '31', '48'] -> 13 / (48 - 31) mod 79
[50] ['13', '31', '55'] -> 55 - (13 / 31) mod 79
[51] ['13', '31', '58'] -> (13 + 31) * 58 mod 79
[52] ['13', '31', '60'] -> (31 - 13) / 60 mod 79
[53] ['13', '31', '63'] -> (13 * 31) - 63 mod 79
[54] ['13', '31', '64'] -> 31 / (13 + 64) mod 79
[55] ['13', '31', '67'] -> (67 / 13) + 31 mod 79
[56] ['13', '31', '69'] -> 13 - (31 / 69) mod 79
[57] ['13', '31', '70'] -> (31 * 70) - 13 mod 79
[58] ['13', '31', '71'] -> 13 - (31 * 71) mod 79
[59] ['2', '13', '63'] -> (13 - 2) / 63 mod 79
[60] ['13', '31', '72'] -> (13 / 31) + 72 mod 79
[61] ['13', '31', '75'] -> 75 - (31 / 13) mod 79
[62] ['13', '32', '32'] -> (13 - 32) * 32 mod 79
[63] ['13', '32', '33'] -> 13 - (32 / 33) mod 79
[64] ['13', '32', '37'] -> (32 - 13) / 37 mod 79
[65] ['13', '32', '38'] -> 32 / (13 - 38) mod 79
[66] ['13', '32', '41'] -> 32 / (13 + 41) mod 79
[67] ['13', '32', '42'] -> (13 - 32) / 42 mod 79
[68] ['13', '32', '44'] -> (13 + 44) / 32 mod 79
[69] ['13', '32', '45'] -> 45 - (13 * 32) mod 79
[70] ['2', '13', '64'] -> 13 / (2 - 64) mod 79
[71] ['13', '32', '49'] -> 13 / (49 - 32) mod 79
[72] ['13', '32', '51'] -> 32 - (13 / 51) mod 79
[73] ['13', '32', '54'] -> (54 / 13) + 32 mod 79
[74] ['13', '32', '59'] -> (13 * 59) - 32 mod 79
[75] ['13', '32', '64'] -> 13 / (32 + 64) mod 79
[76] ['13', '32', '73'] -> (73 - 13) * 32 mod 79
[77] ['13', '32', '75'] -> (13 / 75) - 32 mod 79
[78] ['13', '32', '76'] -> (13 * 32) - 76 mod 79
[79] ['13', '32', '78'] -> (78 / 32) - 13 mod 79
[80] ['13', '33', '36'] -> (36 / 33) - 13 mod 79
[81] ['2', '13', '67'] -> (2 - 67) * 13 mod 79
[82] ['13', '33', '37'] -> (33 - 37) / 13 mod 79
[83] ['13', '33', '42'] -> (33 + 42) / 13 mod 79
[84] ['13', '33', '48'] -> (13 + 33) / 48 mod 79
[85] ['13', '33', '49'] -> (33 * 49) - 13 mod 79
[86] ['13', '33', '54'] -> (13 * 54) + 33 mod 79
[87] ['13', '33', '58'] -> 58 - (13 * 33) mod 79
[88] ['13', '33', '61'] -> 33 / (13 - 61) mod 79
[89] ['13', '33', '62'] -> (13 - 33) * 62 mod 79
[90] ['13', '33', '65'] -> (13 - 33) / 65 mod 79
[91] ['13', '33', '68'] -> (13 + 68) / 33 mod 79
[92] ['2', '13', '72'] -> (2 / 72) + 13 mod 79
[93] ['13', '33', '69'] -> (13 * 33) + 69 mod 79
[94] ['13', '33', '73'] -> 73 / (13 - 33) mod 79
[95] ['13', '33', '76'] -> 13 - (33 / 76) mod 79
[96] ['13', '33', '77'] -> 77 / (13 + 33) mod 79
[97] ['13', '34', '35'] -> (34 - 13) * 35 mod 79
[98] ['13', '34', '36'] -> 36 - (13 / 34) mod 79
[99] ['13', '34', '37'] -> (13 / 37) - 34 mod 79
[100] ['13', '34', '38'] -> (34 - 38) / 13 mod 79
[101] ['13', '34', '41'] -> (34 + 41) / 13 mod 79
[102] ['13', '34', '43'] -> (43 / 13) - 34 mod 79
[103] ['2', '13', '73'] -> (2 + 73) / 13 mod 79
[104] ['13', '34', '44'] -> (13 - 34) * 44 mod 79
[105] ['13', '34', '47'] -> (13 * 47) - 34 mod 79
[106] ['13', '34', '48'] -> (48 - 34) * 13 mod 79
[107] ['13', '34', '49'] -> 49 / (13 - 34) mod 79
[108] ['13', '34', '54'] -> (13 / 54) + 34 mod 79
[109] ['13', '34', '57'] -> 57 - (34 / 13) mod 79
[110] ['13', '34', '58'] -> (58 / 34) + 13 mod 79
[111] ['13', '34', '59'] -> (34 + 59) * 13 mod 79
[112] ['13', '34', '60'] -> (13 * 60) + 34 mod 79
[113] ['13', '34', '62'] -> 13 / (34 + 62) mod 79
[114] ['1', '6', '38'] -> 38 / (1 - 6) mod 79
[115] ['2', '13', '76'] -> (13 / 76) + 2 mod 79
[116] ['13', '34', '66'] -> (13 - 66) / 34 mod 79
[117] ['13', '34', '67'] -> (13 / 34) - 67 mod 79
[118] ['13', '34', '73'] -> (73 / 34) - 13 mod 79
[119] ['13', '34', '74'] -> 34 / (13 + 74) mod 79
[120] ['13', '34', '77'] -> (34 * 77) + 13 mod 79
[121] ['13', '35', '39'] -> (35 - 39) / 13 mod 79
[122] ['13', '35', '41'] -> (13 * 41) - 35 mod 79
[123] ['13', '35', '43'] -> (13 * 35) + 43 mod 79
[124] ['13', '35', '47'] -> (35 - 13) / 47 mod 79
[125] ['13', '35', '49'] -> (49 - 35) * 13 mod 79
[126] ['2', '13', '78'] -> (13 + 78) * 2 mod 79
[127] ['13', '35', '52'] -> 13 / (52 - 35) mod 79
[128] ['13', '35', '54'] -> 54 / (35 - 13) mod 79
[129] ['13', '35', '56'] -> (56 / 13) - 35 mod 79
[130] ['13', '35', '58'] -> (35 + 58) * 13 mod 79
[131] ['13', '35', '59'] -> (35 * 59) + 13 mod 79
[132] ['13', '35', '61'] -> 13 / (35 + 61) mod 79
[133] ['13', '35', '63'] -> (63 - 13) / 35 mod 79
[134] ['13', '35', '64'] -> 35 - (64 / 13) mod 79
[135] ['13', '35', '66'] -> (13 * 66) + 35 mod 79
[136] ['13', '35', '69'] -> (69 / 35) + 13 mod 79
[137] ['2', '14', '16'] -> (2 / 16) + 14 mod 79
[138] ['13', '35', '71'] -> (13 - 71) * 35 mod 79
[139] ['13', '35', '73'] -> 35 - (13 / 73) mod 79
[140] ['13', '35', '75'] -> (35 / 75) + 13 mod 79
[141] ['13', '35', '76'] -> (35 / 13) + 76 mod 79
[142] ['13', '36', '37'] -> 13 - (36 * 37) mod 79
[143] ['13', '36', '42'] -> (36 * 42) + 13 mod 79
[144] ['13', '36', '49'] -> (13 * 36) - 49 mod 79
[145] ['13', '36', '50'] -> (50 - 36) * 13 mod 79
[146] ['13', '36', '51'] -> 36 / (13 - 51) mod 79
[147] ['13', '36', '53'] -> 13 / (53 - 36) mod 79
[148] ['2', '14', '17'] -> (14 / 2) + 17 mod 79
[149] ['13', '36', '55'] -> (13 - 36) / 55 mod 79
[150] ['13', '36', '56'] -> (36 - 13) * 56 mod 79
[151] ['13', '36', '57'] -> (36 + 57) * 13 mod 79
[152] ['13', '36', '58'] -> (13 + 36) / 58 mod 79
[153] ['13', '36', '60'] -> 13 / (36 + 60) mod 79
[154] ['13', '36', '61'] -> (13 + 61) / 36 mod 79
[155] ['13', '36', '65'] -> (13 - 65) * 36 mod 79
[156] ['13', '36', '68'] -> (68 / 36) - 13 mod 79
[157] ['13', '36', '69'] -> (69 / 13) - 36 mod 79
[158] ['13', '36', '72'] -> (13 * 72) + 36 mod 79
[159] ['2', '14', '18'] -> (18 + 2) / 14 mod 79
[160] ['13', '36', '76'] -> (36 / 13) - 76 mod 79
[161] ['13', '36', '77'] -> 36 - (77 / 13) mod 79
[162] ['13', '37', '38'] -> (37 + 38) / 13 mod 79
[163] ['13', '37', '39'] -> 39 - (37 / 13) mod 79
[164] ['13', '37', '41'] -> (37 - 41) / 13 mod 79
[165] ['13', '37', '43'] -> (37 * 43) + 13 mod 79
[166] ['13', '37', '45'] -> (13 / 37) + 45 mod 79
[167] ['13', '37', '51'] -> (51 - 37) * 13 mod 79
[168] ['13', '37', '54'] -> 13 / (54 - 37) mod 79
[169] ['13', '37', '59'] -> 13 / (37 + 59) mod 79
[170] ['2', '14', '20'] -> (20 / 2) + 14 mod 79
[171] ['13', '37', '62'] -> (13 * 37) - 62 mod 79
[172] ['13', '37', '67'] -> 13 - (67 / 37) mod 79
[173] ['13', '37', '73'] -> (13 - 73) / 37 mod 79
[174] ['13', '38', '39'] -> 39 / (13 + 38) mod 79
[175] ['13', '38', '42'] -> (38 - 42) / 13 mod 79
[176] ['13', '38', '44'] -> 44 - (13 * 38) mod 79
[177] ['13', '38', '47'] -> 47 / (38 - 13) mod 79
[178] ['13', '38', '48'] -> (38 / 48) - 13 mod 79
[179] ['13', '38', '50'] -> (13 + 50) * 38 mod 79
[180] ['13', '38', '54'] -> 13 - (38 / 54) mod 79
[181] ['2', '14', '21'] -> 2 - (14 * 21) mod 79
[182] ['13', '38', '57'] -> (38 - 13) / 57 mod 79
[183] ['13', '38', '59'] -> (13 / 38) + 59 mod 79
[184] ['13', '38', '60'] -> 13 - (38 * 60) mod 79
[185] ['13', '38', '64'] -> (38 / 13) - 64 mod 79
[186] ['13', '38', '68'] -> 68 - (13 / 38) mod 79
[187] ['13', '38', '74'] -> 38 - (13 * 74) mod 79
[188] ['13', '38', '76'] -> (76 - 13) * 38 mod 79
[189] ['13', '39', '41'] -> 39 / (13 - 41) mod 79
[190] ['13', '39', '42'] -> (42 / 13) + 39 mod 79
[191] ['13', '39', '44'] -> (44 - 13) * 39 mod 79
[192] ['2', '14', '22'] -> (22 - 2) / 14 mod 79
[193] ['13', '39', '53'] -> (53 - 39) * 13 mod 79
[194] ['13', '39', '56'] -> 13 / (56 - 39) mod 79
[195] ['13', '39', '58'] -> (39 / 13) - 58 mod 79
[196] ['13', '39', '63'] -> 63 / (13 + 39) mod 79
[197] ['13', '39', '64'] -> 39 / (64 - 13) mod 79
[198] ['13', '39', '70'] -> (13 * 39) + 70 mod 79
[199] ['13', '39', '71'] -> 71 / (39 - 13) mod 79
[200] ['13', '40', '41'] -> 40 / (41 - 13) mod 79
[201] ['13', '40', '42'] -> (42 / 13) - 40 mod 79
[202] ['13', '40', '43'] -> (13 - 40) * 43 mod 79
[203] ['2', '14', '25'] -> (2 / 25) - 14 mod 79
[204] ['13', '40', '52'] -> (40 / 13) - 52 mod 79
[205] ['13', '40', '53'] -> (40 + 53) * 13 mod 79
[206] ['13', '40', '54'] -> (54 - 40) * 13 mod 79
[207] ['13', '40', '56'] -> 13 / (40 + 56) mod 79
[208] ['13', '40', '58'] -> (58 / 40) - 13 mod 79
[209] ['13', '40', '62'] -> 40 - (13 * 62) mod 79
[210] ['13', '40', '64'] -> 40 / (13 - 64) mod 79
[211] ['13', '40', '65'] -> 40 - (13 / 65) mod 79
[212] ['13', '40', '68'] -> (13 - 40) / 68 mod 79
[213] ['13', '40', '70'] -> 70 - (13 * 40) mod 79
[214] ['2', '14', '27'] -> (14 + 2) / 27 mod 79
[215] ['13', '40', '72'] -> (13 + 40) * 72 mod 79
[216] ['13', '40', '74'] -> (40 * 74) - 13 mod 79
[217] ['13', '40', '78'] -> (13 + 78) / 40 mod 79
[218] ['13', '41', '44'] -> (13 * 41) + 44 mod 79
[219] ['13', '41', '45'] -> (41 - 45) / 13 mod 79
[220] ['13', '41', '51'] -> (41 * 51) - 13 mod 79
[221] ['13', '41', '54'] -> (41 / 54) + 13 mod 79
[222] ['13', '41', '58'] -> 13 / (58 - 41) mod 79
[223] ['13', '41', '59'] -> 59 - (13 / 41) mod 79
[224] ['13', '41', '60'] -> (41 * 60) + 13 mod 79
[225] ['1', '6', '41'] -> 41 / (6 - 1) mod 79
[226] ['2', '14', '28'] -> 28 / (2 - 14) mod 79
[227] ['13', '41', '63'] -> 41 - (63 / 13) mod 79
[228] ['13', '41', '67'] -> (41 - 13) / 67 mod 79
[229] ['13', '41', '68'] -> (13 / 41) + 68 mod 79
[230] ['13', '41', '71'] -> 41 / (13 + 71) mod 79
[231] ['13', '41', '76'] -> (13 - 76) * 41 mod 79
[232] ['13', '42', '43'] -> 13 - (42 * 43) mod 79
[233] ['13', '42', '45'] -> 45 - (13 / 42) mod 79
[234] ['13', '42', '46'] -> (42 - 46) / 13 mod 79
[235] ['13', '42', '47'] -> (13 + 47) / 42 mod 79
[236] ['13', '42', '49'] -> 42 - (13 / 49) mod 79
[237] ['2', '14', '31'] -> 31 - (14 / 2) mod 79
[238] ['13', '42', '50'] -> 42 - (13 * 50) mod 79
[239] ['13', '42', '51'] -> (42 + 51) * 13 mod 79
[240] ['13', '42', '54'] -> 13 / (42 + 54) mod 79
[241] ['13', '42', '59'] -> 13 / (59 - 42) mod 79
[242] ['13', '42', '64'] -> 64 / (42 - 13) mod 79
[243] ['13', '42', '67'] -> (67 / 42) + 13 mod 79
[244] ['13', '42', '73'] -> (73 - 13) / 42 mod 79
[245] ['13', '43', '46'] -> (43 / 46) - 13 mod 79
[246] ['13', '43', '51'] -> 43 / (51 - 13) mod 79
[247] ['13', '43', '53'] -> 13 / (43 + 53) mod 79
[248] ['2', '14', '34'] -> (14 + 34) / 2 mod 79
[249] ['13', '43', '55'] -> (13 + 43) / 55 mod 79
[250] ['13', '43', '57'] -> (57 - 43) * 13 mod 79
[251] ['13', '43', '58'] -> (13 - 43) / 58 mod 79
[252] ['13', '43', '60'] -> 13 / (60 - 43) mod 79
[253] ['13', '43', '61'] -> (13 * 43) - 61 mod 79
[254] ['13', '43', '64'] -> (43 - 13) * 64 mod 79
[255] ['13', '43', '67'] -> (43 * 67) - 13 mod 79
[256] ['13', '43', '69'] -> (69 / 13) + 43 mod 79
