[1] ['1', '1', '12'] -> (1 + 1) * 12 mod 89
[2] ['1', '2', '8'] -> (1 + 2) * 8 mod 89
[3] ['1', '6', '20'] -> 1 / (20 + 6) mod 89
[4] ['2', '3', '37'] -> (3 * 37) + 2 mod 89
[5] ['10', '42', '88'] -> 88 - (10 * 42) mod 89
[6] ['10', '43', '43'] -> (10 + 43) / 43 mod 89
[7] ['10', '43', '46'] -> (10 - 46) / 43 mod 89
[8] ['10', '43', '49'] -> 43 / (10 - 49) mod 89
[9] ['10', '43', '68'] -> (68 / 43) + 10 mod 89
[10] ['10', '43', '69'] -> (10 * 69) - 43 mod 89
[11] ['10', '43', '70'] -> (43 - 70) / 10 mod 89
[12] ['10', '43', '73'] -> (43 / 73) + 10 mod 89
[13] ['10', '43', '81'] -> (81 - 43) * 10 mod 89
[14] ['10', '43', '83'] -> (83 - 10) * 43 mod 89
[15] ['2', '3', '40'] -> 2 / (3 - 40) mod 89
[16] ['10', '43', '84'] -> (43 + 84) * 10 mod 89
[17] ['10', '43', '88'] -> (10 / 43) - 88 mod 89
[18] ['10', '44', '44'] -> (10 / 44) + 44 mod 89
[19] ['10', '44', '50'] -> 50 / (10 + 44) mod 89
[20] ['10', '44', '57'] -> (57 / 10) - 44 mod 89
[21] ['10', '44', '60'] -> (10 * 44) - 60 mod 89
[22] ['10', '44', '64'] -> 64 - (44 / 10) mod 89
[23] ['10', '44', '66'] -> 44 / (10 + 66) mod 89
[24] ['10', '44', '69'] -> (10 + 44) / 69 mod 89
[25] ['10', '44', '71'] -> (44 - 71) / 10 mod 89
[26] ['2', '3', '41'] -> (2 + 3) / 41 mod 89
[27] ['10', '44', '72'] -> (72 / 44) - 10 mod 89
[28] ['10', '44', '73'] -> (44 / 10) + 73 mod 89
[29] ['10', '44', '86'] -> 44 / (86 - 10) mod 89
[30] ['10', '45', '49'] -> (45 - 10) * 49 mod 89
[31] ['10', '45', '50'] -> 50 / (10 - 45) mod 89
[32] ['10', '45', '51'] -> (10 - 51) * 45 mod 89
[33] ['10', '45', '52'] -> 10 / (45 - 52) mod 89
[34] ['10', '45', '54'] -> 10 - (45 / 54) mod 89
[35] ['10', '45', '57'] -> (57 / 10) + 45 mod 89
[36] ['10', '45', '61'] -> 10 - (45 * 61) mod 89
[37] ['2', '3', '42'] -> (42 / 2) + 3 mod 89
[38] ['10', '45', '64'] -> (45 / 10) + 64 mod 89
[39] ['10', '45', '67'] -> (67 / 10) - 45 mod 89
[40] ['10', '45', '68'] -> (45 * 68) - 10 mod 89
[41] ['10', '45', '69'] -> (10 - 45) / 69 mod 89
[42] ['10', '45', '70'] -> (10 * 45) - 70 mod 89
[43] ['10', '45', '73'] -> 73 - (45 / 10) mod 89
[44] ['10', '45', '74'] -> 74 / (10 + 45) mod 89
[45] ['10', '45', '81'] -> 45 - (10 / 81) mod 89
[46] ['10', '45', '83'] -> (83 - 45) * 10 mod 89
[47] ['10', '45', '85'] -> (10 / 45) - 85 mod 89
[48] ['2', '3', '44'] -> (3 - 44) / 2 mod 89
[49] ['10', '45', '86'] -> 45 / (10 - 86) mod 89
[50] ['10', '46', '46'] -> (46 - 10) / 46 mod 89
[51] ['10', '46', '50'] -> 10 - (46 * 50) mod 89
[52] ['10', '46', '53'] -> 10 / (46 - 53) mod 89
[53] ['10', '46', '64'] -> (10 + 46) * 64 mod 89
[54] ['10', '46', '68'] -> 10 - (68 / 46) mod 89
[55] ['10', '46', '69'] -> (10 * 69) + 46 mod 89
[56] ['10', '46', '81'] -> (46 + 81) * 10 mod 89
[57] ['10', '46', '83'] -> (10 - 83) * 46 mod 89
[58] ['10', '47', '49'] -> 49 - (10 * 47) mod 89
[59] ['2', '3', '45'] -> (3 + 45) / 2 mod 89
[60] ['10', '47', '50'] -> (10 + 50) / 47 mod 89
[61] ['10', '47', '52'] -> 47 - (52 / 10) mod 89
[62] ['10', '47', '53'] -> (10 + 53) * 47 mod 89
[63] ['10', '47', '55'] -> 47 / (10 + 55) mod 89
[64] ['10', '47', '58'] -> (10 + 47) / 58 mod 89
[65] ['10', '47', '59'] -> (47 * 59) + 10 mod 89
[66] ['10', '47', '60'] -> (10 * 60) + 47 mod 89
[67] ['10', '47', '67'] -> (47 * 67) - 10 mod 89
[68] ['10', '47', '68'] -> (47 - 10) * 68 mod 89
[69] ['10', '47', '69'] -> (10 / 47) - 69 mod 89
[70] ['2', '3', '49'] -> 2 / (3 + 49) mod 89
[71] ['10', '47', '70'] -> (70 - 10) / 47 mod 89
[72] ['10', '47', '72'] -> (47 - 10) / 72 mod 89
[73] ['10', '47', '73'] -> (73 - 10) * 47 mod 89
[74] ['10', '47', '74'] -> (47 - 74) / 10 mod 89
[75] ['10', '47', '75'] -> 47 / (75 - 10) mod 89
[76] ['10', '47', '80'] -> (47 + 80) * 10 mod 89
[77] ['10', '47', '86'] -> (47 / 86) + 10 mod 89
[78] ['10', '47', '88'] -> (10 * 47) + 88 mod 89
[79] ['10', '48', '51'] -> (10 * 51) + 48 mod 89
[80] ['10', '48', '52'] -> (48 / 10) - 52 mod 89
[81] ['2', '3', '51'] -> (51 - 3) / 2 mod 89
[82] ['10', '48', '54'] -> (10 - 54) * 48 mod 89
[83] ['10', '48', '65'] -> 65 - (10 / 48) mod 89
[84] ['10', '48', '71'] -> (10 + 48) * 71 mod 89
[85] ['10', '48', '72'] -> (10 / 48) + 72 mod 89
[86] ['10', '48', '74'] -> (10 + 74) / 48 mod 89
[87] ['10', '48', '78'] -> (10 * 48) + 78 mod 89
[88] ['10', '48', '80'] -> (10 - 48) / 80 mod 89
[89] ['10', '48', '81'] -> 48 / (10 + 81) mod 89
[90] ['10', '48', '84'] -> (10 + 48) / 84 mod 89
[91] ['10', '48', '85'] -> 10 - (48 * 85) mod 89
[92] ['2', '3', '52'] -> 2 - (3 * 52) mod 89
[93] ['10', '49', '53'] -> (10 / 53) + 49 mod 89
[94] ['10', '49', '55'] -> (10 / 55) - 49 mod 89
[95] ['10', '49', '56'] -> 10 / (49 - 56) mod 89
[96] ['10', '49', '57'] -> (49 * 57) - 10 mod 89
[97] ['10', '49', '68'] -> (10 * 49) + 68 mod 89
[98] ['10', '49', '69'] -> 69 - (10 * 49) mod 89
[99] ['10', '49', '71'] -> 49 / (10 - 71) mod 89
[100] ['10', '49', '72'] -> 49 - (72 / 10) mod 89
[101] ['10', '49', '78'] -> (49 + 78) * 10 mod 89
[102] ['10', '49', '80'] -> (10 - 80) / 49 mod 89
[103] ['2', '3', '53'] -> (2 / 3) + 53 mod 89
[104] ['10', '49', '81'] -> 81 / (10 + 49) mod 89
[105] ['10', '50', '51'] -> (10 + 51) * 50 mod 89
[106] ['10', '50', '54'] -> (50 - 10) * 54 mod 89
[107] ['10', '50', '57'] -> 10 / (50 - 57) mod 89
[108] ['10', '50', '58'] -> (10 * 50) + 58 mod 89
[109] ['10', '50', '60'] -> 10 - (50 / 60) mod 89
[110] ['10', '50', '61'] -> (50 - 10) / 61 mod 89
[111] ['10', '50', '62'] -> 50 - (10 / 62) mod 89
[112] ['10', '50', '71'] -> (71 - 10) * 50 mod 89
[113] ['10', '50', '80'] -> (50 / 80) - 10 mod 89
[114] ['1', '6', '23'] -> 6 / (1 - 23) mod 89
[115] ['2', '3', '54'] -> (54 / 2) - 3 mod 89
[116] ['10', '50', '82'] -> 50 - (82 / 10) mod 89
[117] ['10', '50', '83'] -> (10 / 50) - 83 mod 89
[118] ['10', '50', '88'] -> (88 - 50) * 10 mod 89
[119] ['10', '51', '57'] -> (10 + 57) / 51 mod 89
[120] ['10', '51', '58'] -> 10 / (51 - 58) mod 89
[121] ['10', '51', '60'] -> (51 * 60) - 10 mod 89
[122] ['10', '51', '63'] -> 51 - (10 / 63) mod 89
[123] ['10', '51', '70'] -> 51 / (10 + 70) mod 89
[124] ['10', '51', '73'] -> (10 + 51) / 73 mod 89
[125] ['10', '51', '76'] -> (51 + 76) * 10 mod 89
[126] ['2', '3', '58'] -> (2 * 58) - 3 mod 89
[127] ['10', '51', '77'] -> (77 - 10) / 51 mod 89
[128] ['10', '51', '80'] -> 10 - (51 * 80) mod 89
[129] ['10', '51', '84'] -> 84 / (10 - 51) mod 89
[130] ['10', '51', '86'] -> (86 / 10) + 51 mod 89
[131] ['10', '52', '52'] -> (52 * 52) - 10 mod 89
[132] ['10', '52', '54'] -> (10 / 54) - 52 mod 89
[133] ['10', '52', '55'] -> 55 - (10 / 52) mod 89
[134] ['10', '52', '59'] -> 10 / (52 - 59) mod 89
