[1] ['1', '1', '5'] -> 5 / (1 + 1) mod 43
[2] ['1', '2', '2'] -> (1 / 2) + 2 mod 43
[3] ['1', '11', '39'] -> (1 - 11) / 39 mod 43
[4] ['5', '14', '17'] -> (14 - 5) * 17 mod 43
[5] ['5', '14', '18'] -> (18 / 5) - 14 mod 43
[6] ['5', '14', '21'] -> 14 - (5 / 21) mod 43
[7] ['5', '14', '22'] -> (5 / 22) + 14 mod 43
[8] ['5', '14', '23'] -> (14 - 23) / 5 mod 43
[9] ['5', '14', '29'] -> (14 * 29) + 5 mod 43
[10] ['5', '14', '30'] -> (30 + 5) / 14 mod 43
[11] ['5', '14', '31'] -> 5 / (14 + 31) mod 43
[12] ['5', '14', '34'] -> (5 - 34) * 14 mod 43
[13] ['5', '14', '41'] -> 14 - (41 * 5) mod 43
[14] ['1', '11', '40'] -> (11 / 40) - 1 mod 43
[15] ['5', '15', '16'] -> 5 - (16 / 15) mod 43
[16] ['5', '15', '17'] -> 5 / (17 - 15) mod 43
[17] ['5', '15', '18'] -> 18 / (5 - 15) mod 43
[18] ['5', '15', '23'] -> (23 / 5) - 15 mod 43
[19] ['5', '15', '35'] -> (15 * 5) + 35 mod 43
[20] ['5', '15', '38'] -> (5 / 15) + 38 mod 43
[21] ['5', '15', '42'] -> 15 / (5 - 42) mod 43
[22] ['5', '16', '17'] -> (16 + 5) / 17 mod 43
[23] ['5', '16', '21'] -> (5 / 16) + 21 mod 43
[24] ['5', '16', '22'] -> (5 / 16) - 22 mod 43
[25] ['1', '11', '41'] -> 1 / (11 + 41) mod 43
[26] ['5', '16', '23'] -> 5 - (16 * 23) mod 43
[27] ['5', '16', '26'] -> (16 * 26) - 5 mod 43
[28] ['5', '16', '31'] -> 31 / (16 + 5) mod 43
[29] ['5', '16', '34'] -> (34 / 16) - 5 mod 43
[30] ['5', '16', '36'] -> (36 * 5) + 16 mod 43
[31] ['5', '17', '17'] -> (17 + 17) / 5 mod 43
[32] ['5', '17', '18'] -> (17 * 5) - 18 mod 43
[33] ['5', '17', '20'] -> (20 / 17) - 5 mod 43
[34] ['5', '17', '23'] -> 23 - (17 * 5) mod 43
[35] ['5', '17', '25'] -> (17 * 5) + 25 mod 43
[36] ['1', '12', '14'] -> (1 - 14) / 12 mod 43
[37] ['5', '17', '28'] -> 5 / (17 + 28) mod 43
[38] ['5', '17', '29'] -> 17 / (29 - 5) mod 43
[39] ['5', '17', '35'] -> (35 / 5) + 17 mod 43
[40] ['5', '17', '37'] -> (5 / 17) - 37 mod 43
[41] ['5', '17', '38'] -> (17 - 38) * 5 mod 43
[42] ['5', '17', '42'] -> 42 - (5 / 17) mod 43
[43] ['5', '18', '18'] -> (5 - 18) * 18 mod 43
[44] ['5', '18', '19'] -> 19 - (18 / 5) mod 43
[45] ['5', '18', '23'] -> (18 * 5) - 23 mod 43
[46] ['5', '18', '29'] -> (18 / 5) + 29 mod 43
[47] ['1', '12', '16'] -> 1 - (12 * 16) mod 43
[48] ['5', '18', '31'] -> (18 - 5) / 31 mod 43
[49] ['5', '18', '33'] -> 5 - (18 / 33) mod 43
[50] ['5', '18', '39'] -> (18 - 39) * 5 mod 43
[51] ['5', '19', '29'] -> (5 - 19) * 29 mod 43
[52] ['5', '19', '41'] -> (41 - 19) * 5 mod 43
[53] ['5', '20', '20'] -> (20 / 5) + 20 mod 43
[54] ['5', '20', '26'] -> (26 * 5) - 20 mod 43
[55] ['5', '20', '28'] -> 28 - (20 / 5) mod 43
[56] ['5', '20', '29'] -> (20 - 29) / 5 mod 43
[57] ['5', '20', '30'] -> (5 / 20) - 30 mod 43
[58] ['1', '12', '20'] -> (12 * 20) - 1 mod 43
[59] ['5', '20', '31'] -> 20 - (5 / 31) mod 43
[60] ['5', '20', '32'] -> (32 - 5) * 20 mod 43
[61] ['5', '20', '33'] -> (20 * 5) - 33 mod 43
[62] ['5', '20', '37'] -> (5 - 20) / 37 mod 43
[63] ['5', '21', '27'] -> 21 - (5 / 27) mod 43
[64] ['5', '21', '30'] -> (21 - 30) / 5 mod 43
[65] ['5', '21', '33'] -> (33 + 5) * 21 mod 43
[66] ['5', '21', '36'] -> (36 - 5) / 21 mod 43
[67] ['5', '21', '37'] -> (21 / 5) + 37 mod 43
[68] ['5', '22', '22'] -> 22 / (5 - 22) mod 43
[69] ['1', '12', '23'] -> 12 / (23 - 1) mod 43
[70] ['5', '22', '26'] -> 5 - (22 / 26) mod 43
[71] ['5', '22', '28'] -> (22 + 5) / 28 mod 43
[72] ['5', '22', '29'] -> (5 / 22) - 29 mod 43
[73] ['5', '22', '32'] -> (22 / 5) - 32 mod 43
[74] ['5', '22', '33'] -> 22 - (33 / 5) mod 43
[75] ['5', '22', '35'] -> (35 * 5) - 22 mod 43
[76] ['5', '22', '37'] -> 37 - (22 / 5) mod 43
[77] ['5', '22', '38'] -> (22 * 38) + 5 mod 43
[78] ['5', '23', '25'] -> 5 / (25 - 23) mod 43
[79] ['5', '23', '28'] -> (23 / 5) + 28 mod 43
[80] ['1', '12', '27'] -> (12 * 27) + 1 mod 43
[81] ['5', '23', '31'] -> (31 + 5) / 23 mod 43
[82] ['5', '23', '36'] -> 5 - (36 / 23) mod 43
[83] ['5', '23', '40'] -> 23 / (40 - 5) mod 43
[84] ['5', '24', '25'] -> (25 / 5) - 24 mod 43
[85] ['5', '24', '31'] -> (5 - 31) / 24 mod 43
[86] ['5', '25', '26'] -> 25 - (26 * 5) mod 43
[87] ['5', '25', '28'] -> (25 * 5) + 28 mod 43
[88] ['5', '25', '29'] -> 29 - (25 / 5) mod 43
[89] ['5', '25', '40'] -> (25 + 40) * 5 mod 43
[90] ['5', '26', '26'] -> (5 - 26) / 26 mod 43
[91] ['1', '12', '28'] -> (12 / 28) - 1 mod 43
[92] ['5', '26', '27'] -> (27 - 5) / 26 mod 43
[93] ['5', '26', '28'] -> 5 / (28 - 26) mod 43
[94] ['5', '26', '31'] -> 31 / (26 - 5) mod 43
[95] ['5', '26', '33'] -> (33 / 5) + 26 mod 43
[96] ['5', '26', '38'] -> (26 - 5) * 38 mod 43
[97] ['5', '26', '42'] -> (5 / 26) + 42 mod 43
[98] ['5', '27', '27'] -> (5 / 27) + 27 mod 43
[99] ['5', '27', '29'] -> 5 / (29 - 27) mod 43
[100] ['5', '27', '31'] -> 31 / (5 - 27) mod 43
[101] ['5', '27', '37'] -> 37 / (27 + 5) mod 43
[102] ['1', '12', '29'] -> (1 + 29) / 12 mod 43
[103] ['5', '28', '31'] -> (5 / 31) + 28 mod 43
[104] ['5', '28', '33'] -> (5 / 28) - 33 mod 43
[105] ['5', '29', '29'] -> 5 - (29 * 29) mod 43
[106] ['5', '29', '31'] -> 5 / (31 - 29) mod 43
[107] ['5', '29', '39'] -> 39 - (5 / 29) mod 43
[108] ['5', '29', '41'] -> 29 / (41 + 5) mod 43
[109] ['5', '30', '33'] -> (5 - 30) / 33 mod 43
[110] ['5', '30', '36'] -> 30 / (5 - 36) mod 43
[111] ['5', '30', '39'] -> (30 - 39) / 5 mod 43
[112] ['5', '30', '41'] -> 41 / (30 - 5) mod 43
[113] ['1', '2', '4'] -> (1 + 4) / 2 mod 43
[114] ['1', '12', '40'] -> 1 / (12 + 40) mod 43
[115] ['5', '31', '39'] -> (39 / 31) - 5 mod 43
[116] ['5', '31', '40'] -> (31 - 40) / 5 mod 43
[117] ['5', '32', '32'] -> (32 + 5) / 32 mod 43
[118] ['5', '32', '38'] -> (38 - 5) * 32 mod 43
[119] ['5', '33', '35'] -> 5 / (35 - 33) mod 43
[120] ['5', '33', '36'] -> (5 - 33) * 36 mod 43
[121] ['5', '33', '40'] -> (5 / 33) - 40 mod 43
[122] ['5', '33', '42'] -> (33 - 42) / 5 mod 43
[123] ['5', '34', '41'] -> (41 * 5) + 34 mod 43
[124] ['5', '34', '42'] -> 5 - (42 / 34) mod 43
[125] ['1', '13', '13'] -> 13 / (1 - 13) mod 43
[126] ['5', '35', '35'] -> (35 + 5) * 35 mod 43
[127] ['5', '35', '40'] -> 5 - (35 * 40) mod 43
[128] ['5', '35', '42'] -> (35 + 42) / 5 mod 43
[129] ['5', '36', '37'] -> (5 / 36) + 37 mod 43
[130] ['5', '37', '38'] -> (38 * 5) - 37 mod 43
[131] ['5', '37', '41'] -> (41 / 37) - 5 mod 43
[132] ['5', '38', '40'] -> 5 / (40 - 38) mod 43
[133] ['5', '38', '42'] -> 42 - (38 * 5) mod 43
[134] ['5', '39', '40'] -> (40 * 5) + 39 mod 43
[135] ['6', '6', '8'] -> (8 / 6) - 6 mod 43
[136] ['1', '13', '15'] -> (13 * 15) + 1 mod 43
[137] ['6', '6', '10'] -> (10 - 6) * 6 mod 43
[138] ['6', '6', '14'] -> 6 - (6 / 14) mod 43
[139] ['6', '6', '20'] -> (6 / 6) - 20 mod 43
[140] ['6', '6', '25'] -> 25 - (6 / 6) mod 43
[141] ['6', '6', '26'] -> (6 / 26) - 6 mod 43
[142] ['6', '6', '29'] -> (6 / 29) + 6 mod 43
[143] ['6', '6', '30'] -> 30 / (6 + 6) mod 43
