[1] ['1', '1', '5'] -> 1 / (1 - 5) mod 97
[2] ['1', '2', '4'] -> (1 - 2) / 4 mod 97
[3] ['1', '6', '46'] -> (1 + 46) / 6 mod 97
[4] ['1', '63', '81'] -> 81 / (1 + 63) mod 97
[5] ['9', '15', '41'] -> (15 * 41) - 9 mod 97
[6] ['9', '15', '44'] -> 44 - (9 / 15) mod 97
[7] ['9', '15', '45'] -> (9 / 45) - 15 mod 97
[8] ['9', '15', '47'] -> 47 / (15 - 9) mod 97
[9] ['9', '15', '51'] -> 9 / (15 - 51) mod 97
[10] ['9', '15', '62'] -> 62 - (15 * 9) mod 97
[11] ['9', '15', '66'] -> 9 - (66 / 15) mod 97
[12] ['9', '15', '71'] -> (15 / 71) - 9 mod 97
[13] ['9', '15', '73'] -> (15 - 9) / 73 mod 97
[14] ['9', '15', '76'] -> 9 / (76 - 15) mod 97
[15] ['1', '63', '82'] -> (63 * 82) - 1 mod 97
[16] ['9', '15', '77'] -> (15 - 77) * 9 mod 97
[17] ['9', '15', '78'] -> (78 - 9) / 15 mod 97
[18] ['9', '15', '81'] -> (81 / 9) + 15 mod 97
[19] ['9', '15', '83'] -> (15 * 9) + 83 mod 97
[20] ['9', '15', '85'] -> (9 - 85) * 15 mod 97
[21] ['9', '15', '87'] -> (15 / 9) + 87 mod 97
[22] ['9', '15', '90'] -> (15 - 90) / 9 mod 97
[23] ['9', '15', '91'] -> 91 / (15 + 9) mod 97
[24] ['9', '16', '18'] -> 18 / (16 + 9) mod 97
[25] ['9', '16', '23'] -> (16 * 9) - 23 mod 97
[26] ['1', '63', '84'] -> (63 / 84) - 1 mod 97
[27] ['9', '16', '25'] -> 16 - (25 / 9) mod 97
[28] ['9', '16', '28'] -> (9 - 16) / 28 mod 97
[29] ['9', '16', '32'] -> (16 + 9) * 32 mod 97
[30] ['9', '16', '33'] -> (16 / 9) + 33 mod 97
[31] ['9', '16', '38'] -> (38 - 16) / 9 mod 97
[32] ['9', '16', '41'] -> (41 + 9) * 16 mod 97
[33] ['9', '16', '42'] -> 16 / (42 - 9) mod 97
[34] ['9', '16', '43'] -> (43 / 16) - 9 mod 97
[35] ['9', '16', '44'] -> (44 * 9) + 16 mod 97
[36] ['9', '16', '46'] -> (46 / 16) + 9 mod 97
[37] ['1', '63', '91'] -> (91 / 63) + 1 mod 97
[38] ['9', '16', '53'] -> 16 - (53 * 9) mod 97
[39] ['9', '16', '59'] -> (59 - 9) * 16 mod 97
[40] ['9', '16', '64'] -> (16 / 9) - 64 mod 97
[41] ['9', '16', '67'] -> 67 - (9 / 16) mod 97
[42] ['9', '16', '72'] -> (72 / 9) + 16 mod 97
[43] ['9', '16', '73'] -> 16 / (9 - 73) mod 97
[44] ['9', '16', '74'] -> (16 * 9) + 74 mod 97
[45] ['9', '16', '77'] -> 9 / (77 - 16) mod 97
[46] ['9', '16', '83'] -> 9 - (16 / 83) mod 97
[47] ['9', '16', '84'] -> (84 + 9) / 16 mod 97
[48] ['1', '63', '92'] -> (1 / 92) + 63 mod 97
[49] ['9', '16', '86'] -> (9 / 86) + 16 mod 97
[50] ['9', '16', '90'] -> 9 - (16 * 90) mod 97
[51] ['9', '16', '91'] -> (16 - 91) / 9 mod 97
[52] ['9', '16', '93'] -> (16 * 93) - 9 mod 97
[53] ['9', '16', '94'] -> (16 + 9) / 94 mod 97
[54] ['9', '17', '19'] -> (9 - 19) * 17 mod 97
[55] ['9', '17', '20'] -> 17 / (20 + 9) mod 97
[56] ['9', '17', '21'] -> (17 / 9) - 21 mod 97
[57] ['9', '17', '27'] -> (17 / 27) + 9 mod 97
[58] ['9', '17', '34'] -> 17 - (34 / 9) mod 97
[59] ['1', '63', '93'] -> (1 - 93) * 63 mod 97
[60] ['9', '17', '36'] -> 9 - (36 / 17) mod 97
[61] ['9', '17', '38'] -> 17 / (38 - 9) mod 97
[62] ['9', '17', '39'] -> (39 - 17) / 9 mod 97
[63] ['9', '17', '44'] -> 9 / (17 + 44) mod 97
[64] ['9', '17', '45'] -> (9 / 17) - 45 mod 97
[65] ['9', '17', '53'] -> 9 / (17 - 53) mod 97
[66] ['9', '17', '57'] -> (9 / 57) - 17 mod 97
[67] ['9', '17', '59'] -> (17 * 59) - 9 mod 97
[68] ['9', '17', '61'] -> (61 / 17) + 9 mod 97
[69] ['9', '17', '63'] -> (63 / 9) + 17 mod 97
[70] ['1', '64', '68'] -> 1 / (64 - 68) mod 97
[71] ['9', '17', '68'] -> 17 - (9 / 68) mod 97
[72] ['9', '17', '69'] -> 69 - (17 / 9) mod 97
[73] ['9', '17', '70'] -> 9 - (17 / 70) mod 97
[74] ['9', '17', '74'] -> (17 / 74) - 9 mod 97
[75] ['9', '17', '77'] -> 17 / (9 - 77) mod 97
[76] ['9', '17', '86'] -> (9 - 86) / 17 mod 97
[77] ['9', '17', '87'] -> (87 * 9) + 17 mod 97
[78] ['9', '17', '90'] -> (17 + 9) / 90 mod 97
[79] ['9', '17', '92'] -> (17 - 92) / 9 mod 97
[80] ['9', '17', '93'] -> 93 - (9 / 17) mod 97
[81] ['1', '64', '71'] -> 71 - (1 / 64) mod 97
[82] ['9', '17', '94'] -> (9 - 17) * 94 mod 97
[83] ['9', '17', '96'] -> (96 - 9) * 17 mod 97
[84] ['9', '18', '18'] -> (18 * 18) - 9 mod 97
[85] ['9', '18', '25'] -> (9 / 18) - 25 mod 97
[86] ['9', '18', '26'] -> 26 - (18 / 9) mod 97
[87] ['9', '18', '27'] -> (18 / 27) - 9 mod 97
[88] ['9', '18', '34'] -> 18 / (34 - 9) mod 97
[89] ['9', '18', '36'] -> (9 - 18) / 36 mod 97
[90] ['9', '18', '37'] -> (37 * 9) - 18 mod 97
[91] ['9', '18', '41'] -> (18 * 9) - 41 mod 97
[92] ['1', '64', '72'] -> (1 + 64) * 72 mod 97
