[1] ['1', '1', '1'] -> 1 / (1 + 1) mod 47
[2] ['1', '2', '6'] -> (1 + 2) / 6 mod 47
[3] ['1', '8', '41'] -> 1 / (41 + 8) mod 47
[4] ['4', '9', '46'] -> 4 / (46 + 9) mod 47
[5] ['4', '10', '11'] -> (4 - 11) * 10 mod 47
[6] ['4', '10', '14'] -> (4 / 10) - 14 mod 47
[7] ['4', '10', '15'] -> 15 - (4 / 10) mod 47
[8] ['4', '10', '23'] -> 4 - (10 / 23) mod 47
[9] ['4', '10', '25'] -> (4 / 25) - 10 mod 47
[10] ['4', '10', '27'] -> (27 * 4) + 10 mod 47
[11] ['4', '10', '28'] -> (10 + 4) / 28 mod 47
[12] ['4', '10', '32'] -> (32 * 4) - 10 mod 47
[13] ['4', '10', '36'] -> (36 + 4) * 10 mod 47
[14] ['1', '8', '43'] -> (43 / 8) + 1 mod 47
[15] ['4', '10', '39'] -> (10 + 39) / 4 mod 47
[16] ['4', '10', '40'] -> 10 - (4 / 40) mod 47
[17] ['4', '10', '46'] -> (4 - 46) / 10 mod 47
[18] ['4', '11', '18'] -> 11 / (18 + 4) mod 47
[19] ['4', '11', '21'] -> 21 - (11 * 4) mod 47
[20] ['4', '11', '37'] -> (11 - 4) * 37 mod 47
[21] ['4', '11', '45'] -> (4 / 11) + 45 mod 47
[22] ['4', '11', '46'] -> (46 / 4) - 11 mod 47
[23] ['4', '12', '23'] -> (12 * 4) + 23 mod 47
[24] ['4', '12', '26'] -> (12 / 4) - 26 mod 47
[25] ['1', '8', '45'] -> (1 - 45) * 8 mod 47
[26] ['4', '12', '28'] -> 12 / (28 - 4) mod 47
[27] ['4', '12', '33'] -> (12 * 33) + 4 mod 47
[28] ['4', '12', '34'] -> (12 / 34) - 4 mod 47
[29] ['4', '12', '41'] -> (12 + 41) * 4 mod 47
[30] ['4', '12', '42'] -> 4 - (42 / 12) mod 47
[31] ['4', '12', '46'] -> 12 - (46 / 4) mod 47
[32] ['4', '13', '16'] -> (13 * 16) + 4 mod 47
[33] ['4', '13', '35'] -> (35 / 13) - 4 mod 47
[34] ['4', '13', '36'] -> (13 + 36) / 4 mod 47
[35] ['4', '13', '39'] -> 39 - (13 / 4) mod 47
[36] ['1', '9', '10'] -> (1 / 10) - 9 mod 47
[37] ['4', '13', '45'] -> (4 / 13) - 45 mod 47
[38] ['4', '13', '46'] -> 46 - (4 / 13) mod 47
[39] ['4', '14', '15'] -> (14 * 4) + 15 mod 47
[40] ['4', '14', '21'] -> 14 - (21 * 4) mod 47
[41] ['4', '14', '22'] -> 4 / (22 - 14) mod 47
[42] ['4', '14', '23'] -> 14 / (4 - 23) mod 47
[43] ['4', '14', '26'] -> (26 * 4) + 14 mod 47
[44] ['4', '14', '30'] -> (4 / 14) - 30 mod 47
[45] ['4', '14', '31'] -> 31 - (4 / 14) mod 47
[46] ['4', '14', '36'] -> (14 + 4) / 36 mod 47
[47] ['1', '9', '11'] -> 1 / (11 - 9) mod 47
