[1] ['1', '1', '2'] -> 1 / (1 + 2) mod 71
[101] ['17', '39', '58'] -> (17 * 58) - 39 mod 71
[102] ['17', '39', '59'] -> 17 / (39 - 59) mod 71
[103] ['2', '21', '22'] -> (21 / 2) - 22 mod 71
[104] ['17', '39', '62'] -> (17 / 39) - 62 mod 71
[105] ['17', '39', '63'] -> 39 / (63 - 17) mod 71
[106] ['17', '39', '67'] -> (17 + 67) / 39 mod 71
[107] ['17', '40', '49'] -> (17 + 40) * 49 mod 71
[108] ['17', '40', '51'] -> (17 - 51) / 40 mod 71
[109] ['17', '40', '55'] -> 55 / (40 - 17) mod 71
[110] ['17', '40', '58'] -> (40 - 58) / 17 mod 71
[111] ['17', '40', '60'] -> 17 / (40 - 60) mod 71
[112] ['17', '40', '65'] -> 65 - (17 * 40) mod 71
[113] ['17', '40', '66'] -> 40 / (66 - 17) mod 71
[114] ['1', '7', '50'] -> 50 / (1 + 7) mod 71
[115] ['2', '21', '23'] -> 21 - (2 / 23) mod 71
[116] ['17', '41', '44'] -> (17 + 44) / 41 mod 71
[117] ['17', '41', '59'] -> (41 - 59) / 17 mod 71
[118] ['17', '41', '61'] -> 17 / (41 - 61) mod 71
[119] ['17', '41', '64'] -> 64 - (41 / 17) mod 71
[120] ['17', '41', '66'] -> (66 / 17) + 41 mod 71
[121] ['17', '41', '68'] -> 17 - (68 / 41) mod 71
[122] ['17', '42', '43'] -> 43 - (17 / 42) mod 71
[123] ['17', '42', '47'] -> 42 - (17 * 47) mod 71
[124] ['17', '42', '48'] -> (48 - 17) * 42 mod 71
[125] ['17', '42', '50'] -> (42 * 50) - 17 mod 71
[126] ['2', '21', '26'] -> 2 - (21 * 26) mod 71
[127] ['17', '42', '51'] -> (17 * 42) - 51 mod 71
[128] ['17', '42', '53'] -> (17 - 42) * 53 mod 71
[129] ['17', '42', '54'] -> (17 * 54) - 42 mod 71
[130] ['17', '42', '59'] -> 17 - (42 * 59) mod 71
[131] ['17', '42', '60'] -> (42 - 60) / 17 mod 71
[132] ['17', '42', '61'] -> 17 - (61 / 42) mod 71
[133] ['17', '42', '65'] -> 17 - (42 / 65) mod 71
[134] ['17', '42', '66'] -> (17 / 42) - 66 mod 71
[135] ['17', '42', '69'] -> (17 + 42) * 69 mod 71
[136] ['17', '43', '43'] -> (17 + 43) * 43 mod 71
[137] ['2', '21', '33'] -> (33 - 21) * 2 mod 71
[138] ['17', '43', '45'] -> 45 - (17 * 43) mod 71
[139] ['17', '43', '55'] -> (55 - 17) / 43 mod 71
[140] ['17', '43', '56'] -> 56 / (43 - 17) mod 71
[141] ['17', '43', '59'] -> (59 / 43) - 17 mod 71
[142] ['17', '43', '64'] -> (17 - 43) / 64 mod 71
[143] ['17', '43', '68'] -> (17 * 43) - 68 mod 71
[144] ['17', '44', '44'] -> 44 / (17 + 44) mod 71
[145] ['17', '44', '45'] -> (17 + 45) / 44 mod 71
[146] ['17', '44', '49'] -> (17 / 44) - 49 mod 71
[147] ['17', '44', '56'] -> 44 - (56 / 17) mod 71
[148] ['2', '21', '34'] -> 21 - (2 * 34) mod 71
[149] ['17', '44', '59'] -> (44 / 17) + 59 mod 71
[150] ['17', '45', '50'] -> (17 * 50) - 45 mod 71
[151] ['17', '45', '63'] -> (45 - 63) / 17 mod 71
[152] ['17', '45', '64'] -> (17 + 64) * 45 mod 71
[153] ['17', '45', '70'] -> (70 / 45) - 17 mod 71
[154] ['17', '46', '47'] -> (17 + 46) / 47 mod 71
[155] ['17', '46', '50'] -> 46 / (17 + 50) mod 71
[156] ['17', '46', '55'] -> (17 - 46) / 55 mod 71
[157] ['17', '46', '56'] -> (56 - 17) / 46 mod 71
[158] ['17', '46', '57'] -> 57 / (46 - 17) mod 71
[159] ['2', '21', '36'] -> (36 / 21) + 2 mod 71
[160] ['17', '46', '58'] -> (46 * 58) - 17 mod 71
[161] ['17', '46', '60'] -> (46 / 60) - 17 mod 71
[162] ['17', '46', '67'] -> (17 / 67) + 46 mod 71
[163] ['17', '46', '68'] -> (17 + 46) * 68 mod 71
[164] ['17', '46', '70'] -> (70 - 17) * 46 mod 71
[165] ['17', '47', '52'] -> (17 - 47) / 52 mod 71
[166] ['17', '47', '64'] -> 47 - (17 * 64) mod 71
[167] ['17', '48', '49'] -> (17 - 48) / 49 mod 71
[168] ['17', '48', '56'] -> 48 / (17 + 56) mod 71
[169] ['17', '48', '60'] -> (17 * 48) + 60 mod 71
[170] ['2', '21', '37'] -> (2 * 37) + 21 mod 71
[171] ['17', '48', '62'] -> (48 + 62) * 17 mod 71
[172] ['17', '48', '66'] -> (48 - 66) / 17 mod 71
[173] ['17', '48', '67'] -> (17 + 48) * 67 mod 71
[174] ['17', '48', '68'] -> 17 / (48 - 68) mod 71
[175] ['17', '48', '69'] -> 69 / (17 + 48) mod 71
[176] ['17', '48', '70'] -> (17 + 70) / 48 mod 71
[177] ['17', '49', '52'] -> (17 + 49) * 52 mod 71
