[1] ['1', '1', '9'] -> 9 / (1 + 1) mod 39
[2] ['1', '3', '7'] -> (1 + 7) * 3 mod 39
[3] ['1', '20', '30'] -> (20 - 1) * 30 mod 39
[4] ['10', '32', '33'] -> (32 - 10) * 33 mod 39
[5] ['10', '32', '34'] -> (10 + 32) * 34 mod 39
[6] ['10', '32', '38'] -> (38 - 32) / 10 mod 39
[7] ['10', '34', '35'] -> (10 * 34) + 35 mod 39
[8] ['10', '34', '36'] -> (10 + 34) * 36 mod 39
[9] ['10', '34', '37'] -> (10 * 37) - 34 mod 39
[10] ['10', '36', '36'] -> (36 / 10) + 36 mod 39
[11] ['10', '37', '37'] -> (37 - 10) * 37 mod 39
[12] ['11', '11', '21'] -> 21 / (11 + 11) mod 39
[13] ['11', '11', '25'] -> 25 - (11 / 11) mod 39
[14] ['1', '21', '21'] -> 21 / (1 + 21) mod 39
[15] ['11', '11', '33'] -> (11 + 11) * 33 mod 39
[16] ['11', '11', '34'] -> (34 / 11) - 11 mod 39
[17] ['11', '11', '38'] -> (38 - 11) * 11 mod 39
[18] ['11', '12', '13'] -> (13 - 11) * 12 mod 39
[19] ['11', '12', '17'] -> (11 + 17) * 12 mod 39
[20] ['11', '12', '26'] -> (26 - 11) * 12 mod 39
[21] ['11', '12', '31'] -> 12 / (31 - 11) mod 39
[22] ['11', '12', '33'] -> (11 * 33) + 12 mod 39
[23] ['11', '13', '30'] -> 30 / (11 - 13) mod 39
[24] ['11', '14', '23'] -> (14 - 23) / 11 mod 39
[25] ['1', '21', '23'] -> 21 / (23 - 1) mod 39
[26] ['11', '14', '32'] -> (32 / 11) + 14 mod 39
[27] ['11', '15', '23'] -> (23 - 11) * 15 mod 39
[28] ['11', '15', '38'] -> (11 - 38) * 15 mod 39
[29] ['11', '16', '16'] -> (11 / 16) + 16 mod 39
[30] ['11', '16', '24'] -> (11 + 16) * 24 mod 39
[31] ['11', '16', '25'] -> (16 - 25) / 11 mod 39
[32] ['11', '16', '28'] -> (16 - 28) * 11 mod 39
[33] ['11', '16', '37'] -> (11 + 16) * 37 mod 39
[34] ['11', '17', '17'] -> (17 - 11) * 17 mod 39
[35] ['11', '17', '23'] -> (17 - 11) / 23 mod 39
[36] ['1', '21', '24'] -> (1 - 24) * 21 mod 39
[37] ['11', '17', '38'] -> (38 / 11) + 17 mod 39
[38] ['11', '18', '18'] -> (11 * 18) - 18 mod 39
[39] ['11', '18', '25'] -> (11 + 25) * 18 mod 39
[40] ['11', '18', '28'] -> 18 / (28 - 11) mod 39
[41] ['11', '18', '36'] -> (11 * 36) + 18 mod 39
[42] ['11', '18', '38'] -> (11 + 38) * 18 mod 39
[43] ['11', '19', '19'] -> (11 + 19) * 19 mod 39
[44] ['11', '19', '20'] -> (11 - 20) * 19 mod 39
[45] ['11', '19', '28'] -> (19 - 28) / 11 mod 39
[46] ['11', '19', '31'] -> (19 - 31) * 11 mod 39
[47] ['1', '21', '27'] -> 27 / (1 - 21) mod 39
[48] ['11', '19', '35'] -> 19 - (11 * 35) mod 39
[49] ['11', '19', '37'] -> (11 + 19) / 37 mod 39
[50] ['11', '20', '20'] -> (20 - 11) * 20 mod 39
[51] ['11', '20', '23'] -> (23 - 11) / 20 mod 39
[52] ['11', '20', '29'] -> (20 - 29) / 11 mod 39
[53] ['11', '20', '36'] -> (11 + 20) * 36 mod 39
[54] ['11', '21', '36'] -> (11 * 36) - 21 mod 39
[55] ['11', '22', '23'] -> (11 * 22) - 23 mod 39
[56] ['11', '22', '27'] -> (22 - 11) * 27 mod 39
[57] ['11', '22', '31'] -> (22 - 31) / 11 mod 39
[58] ['1', '21', '28'] -> (1 + 28) * 21 mod 39
[59] ['11', '22', '34'] -> (22 - 34) * 11 mod 39
[60] ['11', '22', '38'] -> (38 / 11) - 22 mod 39
[61] ['11', '23', '24'] -> (11 - 23) * 24 mod 39
[62] ['11', '23', '25'] -> (25 / 23) - 11 mod 39
[63] ['11', '23', '35'] -> (23 - 35) * 11 mod 39
[64] ['11', '23', '37'] -> (11 - 23) * 37 mod 39
[65] ['11', '24', '38'] -> (38 - 11) * 24 mod 39
[66] ['11', '25', '31'] -> (11 + 25) * 31 mod 39
[67] ['11', '25', '37'] -> (25 - 37) * 11 mod 39
[68] ['11', '27', '35'] -> (35 - 11) * 27 mod 39
[69] ['1', '21', '33'] -> (1 + 21) * 33 mod 39
[70] ['11', '27', '36'] -> (27 - 36) / 11 mod 39
[71] ['11', '28', '28'] -> (11 * 28) + 28 mod 39
[72] ['11', '28', '34'] -> (34 / 11) + 28 mod 39
[73] ['11', '29', '31'] -> 31 - (11 * 29) mod 39
[74] ['11', '29', '38'] -> (29 - 38) / 11 mod 39
[75] ['11', '30', '30'] -> (30 - 11) * 30 mod 39
[76] ['11', '30', '31'] -> (11 - 31) * 30 mod 39
[77] ['11', '30', '33'] -> (11 * 30) - 33 mod 39
[78] ['11', '31', '31'] -> (11 + 31) / 31 mod 39
[79] ['11', '32', '35'] -> (32 - 11) / 35 mod 39
[80] ['1', '22', '28'] -> (1 / 28) - 22 mod 39
[81] ['11', '32', '38'] -> (38 - 11) / 32 mod 39
[82] ['11', '34', '34'] -> (11 / 34) + 34 mod 39
[83] ['11', '34', '35'] -> (34 + 35) / 11 mod 39
[84] ['11', '35', '35'] -> (35 / 11) + 35 mod 39
[85] ['12', '12', '12'] -> 12 - (12 * 12) mod 39
[86] ['12', '12', '22'] -> (12 / 22) - 12 mod 39
[87] ['12', '12', '23'] -> (12 - 23) * 12 mod 39
[88] ['12', '12', '31'] -> 12 / (12 - 31) mod 39
[89] ['12', '12', '34'] -> 12 / (12 + 34) mod 39
[90] ['12', '12', '35'] -> (12 / 35) - 12 mod 39
[91] ['1', '22', '29'] -> (22 - 1) * 29 mod 39
[92] ['12', '13', '20'] -> 12 / (20 - 13) mod 39
[93] ['12', '13', '32'] -> 12 / (13 - 32) mod 39
[94] ['12', '13', '37'] -> (13 - 37) * 12 mod 39
[95] ['12', '14', '14'] -> (14 + 14) * 12 mod 39
[96] ['12', '14', '16'] -> (16 - 14) * 12 mod 39
[97] ['12', '14', '21'] -> 12 / (21 - 14) mod 39
[98] ['12', '14', '25'] -> (14 - 25) * 12 mod 39
[99] ['12', '14', '29'] -> (29 - 14) * 12 mod 39
[100] ['12', '14', '30'] -> 30 / (12 - 14) mod 39
[101] ['12', '14', '32'] -> 12 / (14 + 32) mod 39
[102] ['1', '22', '31'] -> (1 / 22) - 31 mod 39
[103] ['12', '14', '33'] -> 12 / (14 - 33) mod 39
[104] ['12', '14', '34'] -> 12 / (34 - 14) mod 39
[105] ['12', '14', '38'] -> (14 - 38) * 12 mod 39
[106] ['12', '15', '16'] -> 15 - (12 / 16) mod 39
[107] ['12', '15', '20'] -> 12 - (15 * 20) mod 39
[108] ['12', '15', '23'] -> (12 / 23) + 15 mod 39
