[1] ['1', '1', '5'] -> (1 + 1) / 5 mod 59
[2] ['1', '2', '11'] -> (1 + 11) * 2 mod 59
[3] ['1', '7', '22'] -> 1 - (22 * 7) mod 59
[4] ['2', '52', '54'] -> (54 / 52) - 2 mod 59
[5] ['38', '41', '54'] -> 38 / (41 + 54) mod 59
[6] ['38', '41', '56'] -> 41 - (56 / 38) mod 59
[7] ['38', '42', '44'] -> (42 + 44) / 38 mod 59
[8] ['38', '42', '48'] -> 42 - (38 / 48) mod 59
[9] ['38', '42', '49'] -> (38 - 42) / 49 mod 59
[10] ['38', '42', '51'] -> 42 / (38 - 51) mod 59
[11] ['38', '42', '57'] -> 38 - (57 / 42) mod 59
[12] ['38', '42', '58'] -> (42 + 58) * 38 mod 59
[13] ['38', '43', '43'] -> (43 + 43) / 38 mod 59
[14] ['38', '43', '44'] -> (38 + 43) * 44 mod 59
[15] ['2', '52', '55'] -> (52 + 55) / 2 mod 59
[16] ['38', '43', '45'] -> (45 / 38) + 43 mod 59
[17] ['38', '43', '50'] -> (38 + 50) / 43 mod 59
[18] ['38', '43', '53'] -> (38 * 53) - 43 mod 59
[19] ['38', '43', '55'] -> (38 + 43) / 55 mod 59
[20] ['38', '43', '56'] -> 56 / (38 + 43) mod 59
[21] ['38', '44', '46'] -> 44 / (38 - 46) mod 59
[22] ['38', '44', '49'] -> 49 - (38 / 44) mod 59
[23] ['38', '44', '51'] -> 38 / (44 + 51) mod 59
[24] ['38', '44', '52'] -> 44 - (52 / 38) mod 59
[25] ['38', '44', '54'] -> (44 / 54) - 38 mod 59
[26] ['2', '52', '58'] -> (2 / 52) + 58 mod 59
[27] ['38', '44', '57'] -> (44 / 38) + 57 mod 59
[28] ['38', '45', '45'] -> 45 / (38 + 45) mod 59
[29] ['38', '45', '47'] -> (45 - 38) / 47 mod 59
[30] ['38', '45', '51'] -> (38 / 51) - 45 mod 59
[31] ['38', '45', '52'] -> (38 / 45) + 52 mod 59
[32] ['38', '45', '53'] -> (38 + 53) * 45 mod 59
[33] ['38', '45', '54'] -> (45 - 38) * 54 mod 59
[34] ['38', '45', '56'] -> (56 - 38) / 45 mod 59
[35] ['38', '46', '46'] -> (38 * 46) + 46 mod 59
[36] ['38', '46', '50'] -> 46 - (38 / 50) mod 59
[37] ['2', '53', '53'] -> (2 + 53) * 53 mod 59
[38] ['38', '46', '51'] -> (46 * 51) + 38 mod 59
[39] ['38', '46', '55'] -> (38 - 55) / 46 mod 59
[40] ['38', '46', '56'] -> (38 - 46) * 56 mod 59
[41] ['38', '47', '51'] -> (38 * 47) - 51 mod 59
[42] ['38', '47', '53'] -> (47 + 53) * 38 mod 59
[43] ['38', '47', '55'] -> (47 / 55) - 38 mod 59
[44] ['38', '48', '48'] -> (48 * 48) - 38 mod 59
[45] ['38', '48', '53'] -> (38 / 48) - 53 mod 59
[46] ['38', '48', '54'] -> 38 - (48 / 54) mod 59
[47] ['38', '48', '55'] -> 55 / (38 - 48) mod 59
[48] ['2', '53', '54'] -> (53 + 54) / 2 mod 59
[49] ['38', '49', '50'] -> (38 * 49) + 50 mod 59
[50] ['38', '49', '51'] -> (49 + 51) * 38 mod 59
[51] ['38', '49', '54'] -> (38 + 54) * 49 mod 59
[52] ['38', '50', '50'] -> (50 + 50) * 38 mod 59
[53] ['38', '50', '51'] -> 38 - (51 / 50) mod 59
[54] ['38', '50', '58'] -> (58 - 38) / 50 mod 59
[55] ['38', '51', '56'] -> (38 - 51) / 56 mod 59
[56] ['38', '51', '58'] -> 51 / (38 - 58) mod 59
[57] ['38', '52', '53'] -> 53 - (38 * 52) mod 59
[58] ['38', '52', '54'] -> (38 * 52) + 54 mod 59
[59] ['2', '53', '55'] -> 53 - (2 / 55) mod 59
[60] ['38', '52', '56'] -> (56 / 38) - 52 mod 59
[61] ['38', '53', '54'] -> (38 + 54) / 53 mod 59
[62] ['38', '53', '58'] -> 58 - (53 / 38) mod 59
[63] ['38', '54', '55'] -> 54 / (55 - 38) mod 59
[64] ['38', '55', '55'] -> (38 / 55) - 55 mod 59
[65] ['38', '55', '56'] -> (56 / 55) + 38 mod 59
[66] ['38', '55', '57'] -> 55 - (57 / 38) mod 59
[67] ['39', '39', '39'] -> 39 * 39 * 39 mod 59
[68] ['39', '39', '45'] -> (39 * 45) + 39 mod 59
[69] ['39', '39', '48'] -> 39 / (48 - 39) mod 59
[70] ['2', '53', '56'] -> (53 - 2) * 56 mod 59
[71] ['39', '39', '52'] -> (39 - 52) * 39 mod 59
[72] ['39', '40', '52'] -> 39 - (40 * 52) mod 59
[73] ['39', '40', '56'] -> (39 + 56) * 40 mod 59
[74] ['39', '41', '41'] -> (39 * 41) - 41 mod 59
[75] ['39', '41', '47'] -> (39 - 41) * 47 mod 59
[76] ['39', '41', '48'] -> 48 / (41 - 39) mod 59
[77] ['39', '41', '49'] -> (41 - 49) / 39 mod 59
[78] ['39', '41', '51'] -> (39 * 51) + 41 mod 59
[79] ['39', '41', '53'] -> 41 / (53 - 39) mod 59
[80] ['39', '42', '47'] -> (39 / 47) + 42 mod 59
[81] ['2', '54', '54'] -> (2 - 54) * 54 mod 59
[82] ['39', '42', '48'] -> (48 - 39) * 42 mod 59
[83] ['39', '42', '52'] -> 42 / (39 - 52) mod 59
[84] ['39', '42', '53'] -> 42 - (53 / 39) mod 59
[85] ['39', '42', '54'] -> (39 * 54) + 42 mod 59
[86] ['39', '43', '44'] -> (43 * 44) - 39 mod 59
[87] ['39', '43', '48'] -> (39 + 48) * 43 mod 59
[88] ['39', '43', '52'] -> 39 / (52 - 43) mod 59
[89] ['39', '43', '53'] -> (39 - 43) * 53 mod 59
[90] ['39', '43', '56'] -> (43 - 56) * 39 mod 59
[91] ['39', '43', '57'] -> (39 * 57) + 43 mod 59
[92] ['2', '55', '55'] -> (55 - 2) * 55 mod 59
[93] ['39', '44', '46'] -> (46 / 39) + 44 mod 59
[94] ['39', '44', '47'] -> 44 / (39 - 47) mod 59
[95] ['39', '44', '53'] -> 39 / (53 - 44) mod 59
[96] ['39', '45', '54'] -> 39 / (54 - 45) mod 59
[97] ['39', '45', '56'] -> (45 / 56) + 39 mod 59
[98] ['39', '46', '47'] -> (46 - 39) / 47 mod 59
[99] ['39', '46', '48'] -> 48 - (39 * 46) mod 59
[100] ['39', '46', '55'] -> 39 / (55 - 46) mod 59
[101] ['39', '46', '56'] -> (39 - 56) / 46 mod 59
[102] ['39', '47', '47'] -> (47 / 39) + 47 mod 59
[103] ['2', '56', '57'] -> 57 / (56 - 2) mod 59
[104] ['39', '47', '48'] -> (47 / 48) + 39 mod 59
[105] ['39', '47', '53'] -> 47 - (39 / 53) mod 59
