[83] ['3/8', '6', '8', '8'] -> (6 - (3/8 * 8)) * 8
[84] ['3/8', '7', '7', '8'] -> ((7 / 7) + 8) / 3/8
[85] ['3/8', '8', '8', '8'] -> ((8 / 8) + 8) / 3/8
[86] ['2/5', '1', '2', '4'] -> ((2 / 2/5) + 1) * 4
[87] ['2/5', '1', '2', '6'] -> ((2 / 2/5) - 1) * 6
[88] ['2/5', '1', '2', '8'] -> ((2 + 8) / 2/5) - 1
[89] ['2/5', '1', '2', '9'] -> (1 + 9) * (2 + 2/5)
[90] ['2/5', '1', '3', '7'] -> ((3 + 7) / 2/5) - 1
[91] ['2/5', '1', '4', '6'] -> ((4 + 6) / 2/5) - 1
[92] ['2/5', '1', '4', '7'] -> ((1 + 7) / 2/5) + 4
[93] ['2/5', '1', '5', '9'] -> ((1 + 5) / 2/5) + 9
[94] ['2/5', '2', '2', '4'] -> ((4 / 2/5) + 2) * 2
[95] ['2/5', '2', '2', '7'] -> ((2 / 2/5) + 7) * 2
[96] ['2/5', '2', '3', '3'] -> ((2 / 2/5) + 3) * 3
[97] ['2/5', '2', '3', '4'] -> ((4 / 2/5) - 2) * 3
[98] ['2/5', '2', '3', '6'] -> ((6 / 2/5) - 3) * 2
[99] ['2/5', '2', '3', '7'] -> (2 + 2/5) * (3 + 7)
[100] ['2/5', '2', '4', '7'] -> (2 * 7) + (4 / 2/5)
[101] ['2/5', '2', '4', '9'] -> ((2 + 4) / 2/5) + 9
[102] ['2/5', '2', '5', '7'] -> ((2/5 * 7) + 2) * 5
[103] ['2/5', '2', '7', '8'] -> (2 - 2/5) * (7 + 8)
[104] ['2/5', '1', '1', '9'] -> ((1 + 9) / 2/5) - 1
[105] ['2/5', '3', '3', '6'] -> (3 * 3) + (6 / 2/5)
[106] ['2/5', '3', '3', '9'] -> ((3 + 3) / 2/5) + 9
[107] ['2/5', '3', '5', '5'] -> ((2/5 + 5) * 5) - 3
[108] ['2/5', '3', '5', '7'] -> ((2/5 + 3) * 5) + 7
[109] ['2/5', '3', '6', '9'] -> ((3 + 9) / 2/5) - 6
[110] ['2/5', '3', '7', '9'] -> ((7 * 9) - 3) * 2/5
[111] ['2/5', '4', '4', '5'] -> ((2/5 * 5) + 4) * 4
[112] ['2/5', '5', '5', '8'] -> (5 - (2/5 * 5)) * 8
[113] ['2/5', '5', '6', '7'] -> ((5 + 7) / 2/5) - 6
[114] ['2/5', '5', '7', '9'] -> ((7 - 2/5) * 5) - 9
[115] ['2/5', '6', '6', '6'] -> ((6 + 6) / 2/5) - 6
[116] ['2/5', '6', '6', '9'] -> ((6 * 9) + 6) * 2/5
[117] ['2/5', '6', '9', '9'] -> (9 / 2/5) + (9 / 6)
[118] ['3/7', '4', '4', '8'] -> ((4 + 8) / 3/7) - 4
[119] ['3/7', '4', '5', '7'] -> ((5 + 7) / 3/7) - 4
[120] ['3/7', '4', '8', '9'] -> 8 / ((4 / 3/7) - 9)
[121] ['3/7', '6', '7', '7'] -> (7 - (3/7 * 7)) * 6
[122] ['3/7', '6', '7', '8'] -> (6 - (3/7 * 7)) * 8
[123] ['3/7', '6', '8', '8'] -> ((6 * 8) + 8) * 3/7
[124] ['3/7', '7', '7', '7'] -> ((7 * 7) + 7) * 3/7
[125] ['3/7', '7', '7', '9'] -> ((7 * 9) - 7) * 3/7
[126] ['3/7', '7', '9', '9'] -> ((9 / 7) + 9) / 3/7
[127] ['3/7', '8', '8', '8'] -> ((8 * 8) - 8) * 3/7
[128] ['3/7', '2', '2', '6'] -> ((6 / 3/7) - 2) * 2
[129] ['3/7', '2', '2', '9'] -> ((2 / 3/7) - 2) * 9
[130] ['3/7', '2', '3', '7'] -> ((2 + 7) / 3/7) + 3
