[81] ['4', '4', '28', '43'] -> (4 - (43 / 4)) * 28 mod 71
[82] ['4', '4', '51', '51'] -> (4 - (4 * 51)) * 51 mod 71
[83] ['4', '35', '35', '35'] -> 35 / ((35 * 4) - 35) mod 71
[84] ['4', '35', '70', '70'] -> 70 / ((35 * 4) + 70) mod 71
[85] ['4', '36', '36', '36'] -> 36 / ((36 * 4) - 36) mod 71
[86] ['4', '36', '70', '70'] -> 70 / (70 - (36 * 4)) mod 71
[87] ['4', '37', '70', '70'] -> (70 / (37 - 70)) - 4 mod 71
[88] ['5', '5', '5', '11'] -> (5 - (5 * 5)) / 11 mod 71
[89] ['5', '5', '5', '16'] -> 5 / (16 - (5 / 5)) mod 71
[90] ['1', '1', '3', '43'] -> (1 / (1 + 43)) + 3 mod 71
[91] ['5', '5', '5', '31'] -> (5 + 5) * (5 - 31) mod 71
[92] ['5', '5', '5', '34'] -> ((5 / 34) + 5) / 5 mod 71
[93] ['5', '5', '5', '36'] -> 5 / ((5 / 36) + 5) mod 71
[94] ['5', '5', '5', '41'] -> (5 * 5 * 5) + 41 mod 71
[95] ['5', '5', '5', '61'] -> 5 / ((5 * 5) + 61) mod 71
[96] ['5', '5', '5', '63'] -> 5 - ((5 + 5) / 63) mod 71
[97] ['5', '5', '11', '22'] -> ((5 * 5) - 11) * 22 mod 71
[98] ['5', '5', '11', '49'] -> (11 - (5 * 5)) * 49 mod 71
[99] ['5', '5', '12', '19'] -> ((5 / 12) + 19) / 5 mod 71
[100] ['5', '5', '22', '60'] -> ((5 * 5) + 60) * 22 mod 71
[101] ['1', '1', '3', '53'] -> ((1 + 1) * 3) - 53 mod 71
[102] ['5', '5', '54', '59'] -> (5 / 54) + (5 / 59) mod 71
[103] ['5', '7', '7', '26'] -> (5 / 7) + (7 / 26) mod 71
[104] ['5', '11', '11', '11'] -> ((11 + 11) * 11) - 5 mod 71
[105] ['5', '11', '11', '60'] -> ((11 - 60) * 11) - 5 mod 71
[106] ['5', '11', '49', '66'] -> ((5 * 66) + 11) * 49 mod 71
[107] ['5', '11', '60', '60'] -> ((60 - 11) * 60) - 5 mod 71
[108] ['5', '12', '12', '12'] -> (5 - (12 / 12)) / 12 mod 71
[109] ['5', '16', '66', '66'] -> 5 / (16 - (66 / 66)) mod 71
[110] ['5', '22', '60', '66'] -> (60 - (5 * 66)) * 22 mod 71
[111] ['5', '23', '23', '70'] -> ((23 + 70) / 5) - 23 mod 71
[112] ['1', '1', '1', '7'] -> (1 + 1) / (7 - 1) mod 71
[113] ['1', '1', '3', '57'] -> (1 / (57 - 3)) - 1 mod 71
[114] ['5', '29', '29', '70'] -> 70 / (29 - (5 / 29)) mod 71
[115] ['5', '48', '48', '48'] -> ((48 / 48) + 48) / 5 mod 71
[116] ['5', '49', '60', '66'] -> ((5 * 66) - 60) * 49 mod 71
[117] ['5', '52', '52', '66'] -> 66 / (52 - (5 / 52)) mod 71
[118] ['5', '60', '60', '60'] -> ((60 + 60) * 60) - 5 mod 71
[119] ['5', '67', '67', '67'] -> ((67 - 5) / 67) - 67 mod 71
[120] ['5', '70', '70', '70'] -> (70 + 70) / (70 - 5) mod 71
[121] ['6', '6', '6', '11'] -> ((11 - 6) * 6) - 6 mod 71
[122] ['6', '6', '6', '20'] -> (6 / (6 - 20)) - 6 mod 71
[123] ['6', '6', '6', '27'] -> 27 - (6 * 6 * 6) mod 71
[124] ['1', '1', '4', '34'] -> (1 / (34 - 1)) - 4 mod 71
[125] ['6', '6', '6', '28'] -> 6 - ((28 + 6) / 6) mod 71
[126] ['6', '6', '6', '50'] -> (6 * 6 * 6) - 50 mod 71
[127] ['6', '6', '6', '51'] -> (6 / (51 + 6)) - 6 mod 71
[128] ['6', '6', '6', '55'] -> ((6 * 6) + 6) / 55 mod 71
[129] ['6', '6', '6', '64'] -> (6 / 64) - (6 * 6) mod 71
[130] ['6', '6', '18', '31'] -> ((18 / 31) + 6) / 6 mod 71
[131] ['6', '6', '36', '51'] -> (36 * 6) + (6 / 51) mod 71
[132] ['6', '6', '64', '65'] -> (6 * 65) + (6 / 64) mod 71
[133] ['6', '7', '65', '65'] -> (6 * 65) + (65 / 7) mod 71
[134] ['6', '23', '23', '58'] -> 58 / (23 - (6 / 23)) mod 71
[135] ['1', '1', '4', '35'] -> 1 / (1 - (35 * 4)) mod 71
[136] ['6', '23', '47', '47'] -> 23 / (6 - (47 * 47)) mod 71
[137] ['6', '24', '35', '70'] -> ((70 / 35) + 6) / 24 mod 71
[138] ['6', '24', '47', '48'] -> (6 - (48 / 47)) / 24 mod 71
[139] ['6', '25', '53', '70'] -> 53 / ((25 / 6) - 70) mod 71
[140] ['7', '7', '7', '7'] -> 7 / (7 + 7 + 7) mod 71
[141] ['7', '7', '7', '8'] -> (8 / (7 + 7)) - 7 mod 71
[142] ['7', '7', '7', '11'] -> ((11 - 7) / 7) - 7 mod 71
[143] ['7', '7', '7', '20'] -> 7 / ((7 / 7) + 20) mod 71
[144] ['7', '7', '7', '63'] -> (7 + 7 + 7) / 63 mod 71
[145] ['7', '7', '34', '34'] -> ((7 / 7) + 34) / 34 mod 71
[146] ['1', '1', '4', '36'] -> 1 / ((36 * 4) + 1) mod 71
[147] ['7', '7', '44', '44'] -> ((44 * 44) + 7) / 7 mod 71
[148] ['7', '7', '70', '70'] -> 70 / (7 - (70 / 7)) mod 71
[149] ['7', '11', '11', '11'] -> (7 - (11 * 11)) * 11 mod 71
[150] ['7', '12', '12', '12'] -> (12 * 12) + (12 / 7) mod 71
[151] ['7', '12', '59', '59'] -> (12 / 7) + (59 * 59) mod 71
[152] ['7', '33', '33', '33'] -> (33 / 7) - (33 / 33) mod 71
[153] ['7', '49', '49', '49'] -> ((49 + 7) * 49) + 49 mod 71
[154] ['7', '59', '59', '59'] -> (59 * 59) - (59 / 7) mod 71
[155] ['7', '60', '60', '60'] -> ((60 * 60) - 7) * 60 mod 71
[156] ['7', '65', '65', '65'] -> (65 / 7) - (65 * 65) mod 71
[157] ['1', '1', '4', '68'] -> (1 - (1 / 68)) / 4 mod 71
[158] ['8', '8', '8', '8'] -> 8 / (8 + 8 + 8) mod 71
[159] ['8', '8', '42', '42'] -> ((42 / 8) + 8) * 42 mod 71
[160] ['8', '8', '70', '70'] -> 8 - ((70 + 70) * 8) mod 71
[161] ['8', '10', '10', '34'] -> (10 * 8) - (10 * 34) mod 71
[162] ['8', '14', '14', '14'] -> (14 * 14) + (14 * 8) mod 71
[163] ['8', '18', '18', '18'] -> ((18 + 8) * 18) - 18 mod 71
[164] ['8', '60', '60', '60'] -> ((60 * 8) + 60) * 60 mod 71
[165] ['8', '62', '62', '70'] -> ((70 + 8) / 62) - 62 mod 71
