[81] ['4', '4', '4', '47'] -> 47 / ((4 / 4) + 4) mod 73
[82] ['4', '4', '4', '59'] -> 4 - (59 / (4 + 4)) mod 73
[83] ['4', '4', '4', '63'] -> ((4 * 4) + 63) * 4 mod 73
[84] ['4', '4', '4', '68'] -> ((4 / 4) - 68) * 4 mod 73
[85] ['4', '4', '8', '53'] -> ((4 * 8) - 4) * 53 mod 73
[86] ['4', '4', '14', '72'] -> (4 / 14) - (72 / 4) mod 73
[87] ['4', '4', '27', '47'] -> 4 / ((27 * 4) - 47) mod 73
[88] ['4', '14', '69', '72'] -> (4 / 14) + (72 / 69) mod 73
[89] ['4', '35', '72', '72'] -> (35 + 72) * (4 - 72) mod 73
[90] ['1', '1', '4', '36'] -> 1 / ((36 * 4) - 1) mod 73
[91] ['4', '36', '36', '36'] -> 36 / (36 - (36 * 4)) mod 73
[92] ['4', '37', '37', '37'] -> 37 / (37 - (37 * 4)) mod 73
[93] ['4', '37', '72', '72'] -> 72 / ((37 * 4) - 72) mod 73
[94] ['4', '38', '38', '72'] -> 72 / (4 - (38 / 38)) mod 73
[95] ['4', '39', '39', '39'] -> 39 / (39 - (39 * 4)) mod 73
[96] ['4', '49', '49', '72'] -> 72 / (4 - (49 / 49)) mod 73
[97] ['4', '51', '71', '71'] -> ((71 / 71) - 51) / 4 mod 73
[98] ['4', '56', '61', '61'] -> (61 * 61) - (4 / 56) mod 73
[99] ['4', '63', '63', '63'] -> 63 / (63 - (4 * 63)) mod 73
[100] ['5', '5', '5', '5'] -> (5 * 5) - (5 / 5) mod 73
[101] ['1', '1', '4', '39'] -> (1 / (4 - 39)) - 1 mod 73
[102] ['5', '5', '5', '17'] -> ((17 + 5) / 5) + 5 mod 73
[103] ['5', '5', '5', '52'] -> (52 / 5) - (5 / 5) mod 73
[104] ['5', '6', '6', '6'] -> (5 - (6 / 6)) * 6 mod 73
[105] ['5', '12', '12', '12'] -> ((12 / 12) - 5) / 12 mod 73
[106] ['5', '12', '12', '61'] -> (5 - (12 / 12)) / 61 mod 73
[107] ['5', '16', '16', '16'] -> 5 / ((16 / 16) - 16) mod 73
[108] ['5', '16', '16', '57'] -> 5 / ((16 / 16) + 57) mod 73
[109] ['5', '21', '21', '72'] -> ((21 + 21) / 5) - 72 mod 73
[110] ['5', '25', '25', '25'] -> ((25 * 25) - 5) * 25 mod 73
[111] ['5', '43', '56', '56'] -> (56 / (43 + 56)) + 5 mod 73
[112] ['1', '1', '1', '8'] -> (1 + 1 + 1) * 8 mod 73
[113] ['1', '1', '4', '56'] -> (56 / (1 + 1)) - 4 mod 73
[114] ['5', '52', '52', '52'] -> (52 / 5) - (52 / 52) mod 73
[115] ['5', '52', '52', '72'] -> ((5 + 72) / 52) + 52 mod 73
[116] ['5', '57', '57', '57'] -> 5 / ((57 / 57) + 57) mod 73
[117] ['5', '61', '61', '61'] -> (5 - (61 / 61)) / 61 mod 73
[118] ['5', '69', '69', '69'] -> 69 - (5 / (69 + 69)) mod 73
[119] ['6', '6', '6', '20'] -> ((6 * 6) + 6) / 20 mod 73
[120] ['6', '6', '6', '21'] -> 21 - (6 * 6 * 6) mod 73
[121] ['6', '6', '6', '27'] -> (6 * 6 * 6) + 27 mod 73
[122] ['6', '6', '6', '28'] -> ((28 + 6) / 6) - 6 mod 73
[123] ['6', '6', '6', '46'] -> (6 * 6 * 6) - 46 mod 73
[124] ['1', '1', '5', '38'] -> (38 / (1 + 1)) + 5 mod 73
[125] ['6', '6', '6', '47'] -> 47 / (6 - (6 / 6)) mod 73
[126] ['6', '6', '6', '51'] -> ((6 + 6) / 6) - 51 mod 73
[127] ['6', '6', '6', '52'] -> ((6 / 6) + 6) / 52 mod 73
[128] ['6', '6', '6', '57'] -> (6 / 6) - (57 * 6) mod 73
[129] ['6', '6', '11', '18'] -> (18 - (11 / 6)) * 6 mod 73
[130] ['6', '6', '18', '44'] -> ((44 / 6) - 6) * 18 mod 73
[131] ['6', '6', '26', '26'] -> 26 / ((6 / 26) + 6) mod 73
[132] ['6', '6', '29', '55'] -> ((29 / 6) + 6) * 55 mod 73
[133] ['6', '6', '39', '71'] -> (6 + 6) / (39 + 71) mod 73
[134] ['6', '6', '44', '55'] -> (6 - (44 / 6)) * 55 mod 73
[135] ['1', '1', '6', '7'] -> 1 - ((1 + 7) / 6) mod 73
[136] ['6', '6', '59', '59'] -> (6 / 6) - (59 * 59) mod 73
[137] ['6', '6', '63', '63'] -> ((6 / 63) + 63) * 6 mod 73
[138] ['6', '14', '14', '14'] -> ((14 * 14) - 6) / 14 mod 73
[139] ['6', '14', '14', '67'] -> (14 - (67 / 14)) * 6 mod 73
[140] ['6', '15', '15', '15'] -> ((15 / 15) - 6) / 15 mod 73
[141] ['6', '18', '44', '67'] -> ((44 / 6) + 67) * 18 mod 73
[142] ['6', '20', '67', '67'] -> ((67 * 67) + 6) / 20 mod 73
[143] ['6', '22', '22', '22'] -> 22 / ((22 / 22) + 6) mod 73
[144] ['6', '39', '39', '39'] -> ((39 / 39) - 6) * 39 mod 73
[145] ['6', '44', '55', '67'] -> ((44 / 67) + 6) * 55 mod 73
[146] ['1', '1', '7', '25'] -> (1 + 7) / (1 - 25) mod 73
[147] ['6', '48', '49', '49'] -> (6 - (48 / 49)) / 49 mod 73
[148] ['6', '51', '51', '51'] -> ((51 * 51) + 6) * 51 mod 73
[149] ['6', '52', '67', '67'] -> ((67 / 67) + 6) / 52 mod 73
[150] ['6', '53', '67', '67'] -> ((6 * 67) + 67) / 53 mod 73
[151] ['6', '63', '63', '67'] -> (63 - (67 / 63)) * 6 mod 73
[152] ['7', '7', '7', '39'] -> ((39 + 7) / 7) + 7 mod 73
[153] ['7', '7', '7', '40'] -> (40 - 7) * (7 + 7) mod 73
[154] ['7', '7', '7', '44'] -> (44 / 7) + (7 * 7) mod 73
[155] ['7', '7', '7', '61'] -> 61 - (7 / (7 + 7)) mod 73
[156] ['7', '7', '7', '62'] -> (7 - (7 * 7)) * 62 mod 73
[157] ['1', '1', '7', '40'] -> (1 / (1 + 7)) - 40 mod 73
[158] ['7', '7', '29', '51'] -> (51 / 7) - (29 / 7) mod 73
[159] ['7', '11', '11', '11'] -> (11 * 11 * 11) + 7 mod 73
[160] ['7', '13', '13', '13'] -> (13 / 13) + (7 / 13) mod 73
[161] ['7', '35', '35', '35'] -> ((35 * 35) - 35) / 7 mod 73
[162] ['7', '35', '35', '38'] -> ((35 * 35) + 38) / 7 mod 73
[163] ['7', '38', '38', '38'] -> ((38 * 38) + 38) / 7 mod 73
[164] ['7', '62', '62', '62'] -> 7 - (62 * 62 * 62) mod 73
[165] ['7', '69', '69', '69'] -> ((69 / 69) - 7) * 69 mod 73
[166] ['7', '72', '72', '72'] -> (72 + 72) / (7 + 72) mod 73
[167] ['8', '8', '8', '14'] -> ((8 / 14) - 8) * 8 mod 73
[168] ['1', '1', '8', '9'] -> 8 - ((1 + 1) / 9) mod 73
[169] ['8', '8', '8', '20'] -> (8 / 20) - (8 * 8) mod 73
[170] ['8', '8', '8', '21'] -> ((8 / 8) - 8) / 21 mod 73
[171] ['8', '8', '8', '52'] -> (8 - (8 / 8)) / 52 mod 73
[172] ['8', '8', '15', '54'] -> ((15 * 8) + 8) / 54 mod 73
[173] ['8', '8', '20', '65'] -> (65 * 8) + (8 / 20) mod 73
[174] ['8', '8', '21', '65'] -> ((8 / 8) + 65) / 21 mod 73
[175] ['8', '8', '33', '33'] -> (33 / 8) + (8 / 33) mod 73
[176] ['8', '8', '72', '72'] -> 8 - ((72 + 72) * 8) mod 73
[177] ['8', '9', '9', '9'] -> ((9 + 9) * 9) + 8 mod 73
[178] ['8', '9', '9', '72'] -> (8 + 9) * (9 - 72) mod 73
[179] ['1', '1', '9', '10'] -> 1 - (1 / (10 + 9)) mod 73
[180] ['8', '20', '20', '20'] -> (8 / (20 + 20)) - 20 mod 73
[181] ['8', '21', '21', '21'] -> ((21 / 21) - 8) / 21 mod 73
[182] ['8', '29', '49', '49'] -> 49 - (49 / (29 + 8)) mod 73
[183] ['8', '47', '47', '47'] -> (47 - (47 / 47)) / 8 mod 73
[184] ['8', '53', '65', '65'] -> (65 * 8) + (65 / 53) mod 73
[185] ['8', '64', '64', '72'] -> (64 + 72) * (64 - 8) mod 73
[186] ['8', '64', '72', '72'] -> 8 - ((72 + 72) / 64) mod 73
