[81] ['6', '75', '75', '96'] -> ((75 + 75) / 6) + 96 mod 97
[82] ['6', '85', '85', '92'] -> ((85 / 6) - 92) / 85 mod 97
[83] ['7', '7', '7', '13'] -> (7 + 7 + 7) / 13 mod 97
[84] ['7', '7', '7', '21'] -> 7 / (21 - (7 * 7)) mod 97
[85] ['7', '7', '7', '49'] -> ((49 * 7) - 7) * 7 mod 97
[86] ['7', '7', '7', '61'] -> ((61 / 7) - 7) / 7 mod 97
[87] ['7', '7', '7', '76'] -> 76 - (7 * 7 * 7) mod 97
[88] ['7', '7', '10', '70'] -> 70 / ((7 / 7) + 10) mod 97
[89] ['7', '7', '13', '14'] -> ((13 / 7) - 14) / 7 mod 97
[90] ['7', '7', '17', '26'] -> ((7 - 17) * 26) - 7 mod 97
[91] ['1', '1', '20', '62'] -> ((1 / 20) - 1) / 62 mod 97
[92] ['7', '7', '21', '39'] -> (39 - (7 / 21)) / 7 mod 97
[93] ['7', '7', '26', '40'] -> ((26 * 7) - 40) * 7 mod 97
[94] ['7', '7', '27', '57'] -> 7 / ((7 / 27) - 57) mod 97
[95] ['7', '7', '28', '37'] -> 7 - (28 / (37 + 7)) mod 97
[96] ['7', '7', '30', '30'] -> ((7 + 7) / 30) + 30 mod 97
[97] ['7', '7', '32', '69'] -> (7 / 7) - (32 * 69) mod 97
[98] ['7', '7', '35', '35'] -> (35 / (35 + 7)) + 7 mod 97
[99] ['7', '7', '38', '80'] -> (7 - (38 * 80)) / 7 mod 97
[100] ['7', '7', '40', '71'] -> 7 / ((7 * 71) - 40) mod 97
[101] ['7', '7', '46', '46'] -> (7 - (7 / 46)) * 46 mod 97
[102] ['1', '1', '20', '67'] -> (1 + 67) / (20 - 1) mod 97
[103] ['7', '7', '48', '80'] -> ((48 + 7) / 80) - 7 mod 97
[104] ['7', '7', '58', '76'] -> ((7 / 76) - 58) / 7 mod 97
[105] ['7', '7', '67', '67'] -> 67 / (7 - (67 * 7)) mod 97
[106] ['7', '7', '67', '95'] -> ((7 / 95) - 7) * 67 mod 97
[107] ['7', '7', '71', '89'] -> 7 / ((71 / 89) - 7) mod 97
[108] ['7', '7', '74', '80'] -> ((80 / 74) + 7) / 7 mod 97
[109] ['7', '7', '83', '83'] -> 83 / (7 - (7 / 83)) mod 97
[110] ['7', '7', '91', '91'] -> ((7 + 7) / 91) + 91 mod 97
[111] ['7', '8', '8', '8'] -> ((8 + 8) * 8) - 7 mod 97
[112] ['7', '8', '8', '89'] -> ((8 - 89) * 8) - 7 mod 97
[113] ['1', '1', '1', '65'] -> (1 / (1 + 65)) - 1 mod 97
[114] ['1', '1', '20', '84'] -> (1 / (1 + 20)) + 84 mod 97
[115] ['7', '8', '33', '33'] -> ((8 / 33) + 33) * 7 mod 97
[116] ['7', '8', '72', '72'] -> ((7 / 72) + 72) / 8 mod 97
[117] ['7', '8', '74', '74'] -> ((74 / 7) - 8) * 74 mod 97
[118] ['7', '8', '89', '89'] -> ((89 - 8) * 89) - 7 mod 97
[119] ['7', '11', '11', '59'] -> (59 * 7) - (11 / 11) mod 97
[120] ['7', '11', '11', '85'] -> (11 + 85) / (11 - 7) mod 97
[121] ['7', '12', '12', '12'] -> (12 / 7) - (12 * 12) mod 97
[122] ['7', '12', '12', '85'] -> (12 * 85) + (12 / 7) mod 97
[123] ['7', '12', '16', '16'] -> (16 / 12) + (7 / 16) mod 97
[124] ['7', '12', '86', '86'] -> (12 + 86) / (7 + 86) mod 97
[125] ['1', '1', '22', '23'] -> ((1 + 1) * 23) - 22 mod 97
[126] ['7', '13', '13', '13'] -> ((7 / 13) + 13) / 13 mod 97
[127] ['7', '13', '13', '91'] -> ((13 / 91) + 7) / 13 mod 97
[128] ['7', '13', '24', '70'] -> (7 / (13 + 70)) - 24 mod 97
[129] ['7', '13', '72', '72'] -> (72 + 72) / (13 - 7) mod 97
[130] ['7', '13', '90', '96'] -> ((96 / 90) + 7) / 13 mod 97
