[81] ['1', '1', '16', '71'] -> (1 / (16 - 1)) - 71 mod 89
[82] ['1', '1', '17', '33'] -> 1 / ((17 * 33) - 1) mod 89
[83] ['1', '1', '18', '39'] -> (1 / (18 + 39)) - 1 mod 89
[84] ['1', '1', '18', '57'] -> 1 + ((1 + 57) / 18) mod 89
[85] ['1', '1', '18', '73'] -> 18 - (1 / (1 + 73)) mod 89
[86] ['1', '1', '19', '25'] -> (1 / (1 + 19)) - 25 mod 89
[87] ['1', '1', '19', '57'] -> (1 - 19) * (1 + 57) mod 89
[88] ['1', '1', '19', '61'] -> (1 / (1 - 61)) - 19 mod 89
[89] ['1', '1', '19', '64'] -> 64 + (1 / (1 + 19)) mod 89
[90] ['1', '1', '20', '39'] -> (1 - 20) / (1 + 39) mod 89
[91] ['1', '1', '20', '48'] -> (20 - 1) / (1 + 48) mod 89
[92] ['1', '1', '20', '53'] -> (1 + 20) * (53 - 1) mod 89
[93] ['1', '1', '21', '21'] -> (21 * (1 - 21)) - 1 mod 89
[94] ['1', '1', '21', '25'] -> (1 / (21 - 1)) - 25 mod 89
[95] ['1', '1', '22', '22'] -> 1 / (22 - (1 / 22)) mod 89
[96] ['1', '1', '22', '23'] -> (23 * (1 + 1)) - 22 mod 89
[97] ['1', '1', '22', '33'] -> (1 + 22) * (33 - 1) mod 89
[98] ['1', '1', '22', '34'] -> (1 + 1) * (34 - 22) mod 89
[99] ['1', '1', '22', '55'] -> 55 - (1 / (1 + 22)) mod 89
[100] ['1', '1', '22', '57'] -> ((1 + 1) / 22) - 57 mod 89
[101] ['1', '1', '22', '67'] -> 1 / (22 + (1 / 67)) mod 89
[102] ['1', '1', '22', '68'] -> 68 - (22 * (1 + 1)) mod 89
[103] ['1', '1', '22', '71'] -> ((1 / 71) - 1) / 22 mod 89
[104] ['1', '1', '22', '72'] -> (1 - 72) / (1 + 22) mod 89
[105] ['1', '1', '23', '23'] -> 23 * (1 + (1 / 23)) mod 89
[106] ['1', '1', '23', '40'] -> ((1 + 40) / 23) - 1 mod 89
[107] ['1', '1', '23', '67'] -> 67 + (23 * (1 + 1)) mod 89
[108] ['1', '1', '23', '69'] -> (1 / (1 - 23)) - 69 mod 89
[109] ['1', '1', '23', '70'] -> 70 - (23 * (1 + 1)) mod 89
[110] ['1', '1', '25', '46'] -> (1 + 46) / (1 - 25) mod 89
[111] ['1', '1', '25', '69'] -> (69 * (1 + 1)) - 25 mod 89
[112] ['1', '1', '25', '70'] -> (1 / (1 - 70)) - 25 mod 89
[113] ['1', '1', '25', '74'] -> 74 - (25 * (1 + 1)) mod 89
[114] ['1', '1', '25', '77'] -> (1 + 1) / (77 - 25) mod 89
[115] ['1', '1', '26', '29'] -> 26 * ((1 / 29) - 1) mod 89
[116] ['1', '1', '26', '70'] -> 1 - (26 * (1 + 70)) mod 89
[117] ['1', '1', '26', '75'] -> (1 + 1) * (26 + 75) mod 89
[118] ['1', '1', '26', '77'] -> 26 / (1 - (1 / 77)) mod 89
[119] ['1', '1', '27', '34'] -> (27 / (1 + 1)) - 34 mod 89
[120] ['1', '1', '27', '55'] -> 55 + (27 / (1 + 1)) mod 89
[121] ['1', '1', '28', '29'] -> (1 / (28 + 29)) - 1 mod 89
[122] ['1', '1', '28', '34'] -> 1 / ((28 / 34) - 1) mod 89
[123] ['1', '1', '29', '63'] -> 63 * (1 - (1 / 29)) mod 89
[124] ['1', '1', '30', '30'] -> 30 - ((1 + 1) / 30) mod 89
[125] ['1', '1', '30', '46'] -> (1 - 30) / (1 + 46) mod 89
[126] ['1', '1', '30', '59'] -> 30 + ((1 + 1) / 59) mod 89
[127] ['1', '1', '30', '60'] -> (1 / (1 + 60)) - 30 mod 89
[128] ['1', '1', '30', '87'] -> (1 / (87 - 30)) - 1 mod 89
[129] ['1', '1', '31', '37'] -> 31 + (1 / (1 + 37)) mod 89
[130] ['1', '1', '31', '50'] -> 31 - (1 / (1 + 50)) mod 89
[131] ['1', '1', '31', '66'] -> (1 - (1 / 66)) / 31 mod 89
[132] ['1', '1', '31', '77'] -> (31 / (77 - 1)) - 1 mod 89
[133] ['1', '1', '31', '79'] -> (79 - 31) / (1 + 1) mod 89
[134] ['1', '1', '32', '36'] -> ((1 / 32) - 1) / 36 mod 89
[135] ['1', '1', '32', '37'] -> 1 / ((32 * 37) - 1) mod 89
[136] ['1', '1', '32', '43'] -> (32 / (1 + 43)) - 1 mod 89
[137] ['1', '1', '32', '52'] -> (52 * (1 + 32)) - 1 mod 89
[138] ['1', '1', '32', '53'] -> (1 - (1 / 32)) / 53 mod 89
[139] ['1', '1', '32', '70'] -> (1 - 32) * (1 + 70) mod 89
[140] ['1', '1', '32', '75'] -> 1 - (32 / (1 + 75)) mod 89
[141] ['1', '1', '33', '63'] -> 33 * (1 - (1 / 63)) mod 89
[142] ['1', '1', '33', '68'] -> (1 + 1) * (33 + 68) mod 89
[143] ['1', '1', '33', '77'] -> 1 / (1 - (33 / 77)) mod 89
[144] ['1', '1', '34', '43'] -> ((1 + 1) / 43) - 34 mod 89
[145] ['1', '1', '34', '54'] -> 1 / ((34 / 54) - 1) mod 89
[146] ['1', '1', '35', '36'] -> (35 / (1 + 36)) - 1 mod 89
[147] ['1', '1', '35', '43'] -> 43 + (35 * (1 + 1)) mod 89
[148] ['1', '1', '35', '45'] -> (1 + 35) / (1 + 45) mod 89
[149] ['1', '1', '35', '55'] -> 1 / ((55 / 35) - 1) mod 89
[150] ['1', '1', '36', '82'] -> 1 / ((82 / 36) - 1) mod 89
[151] ['1', '1', '37', '57'] -> (37 * (57 - 1)) - 1 mod 89
[152] ['1', '1', '37', '58'] -> (1 / (1 + 37)) - 58 mod 89
[153] ['1', '1', '37', '82'] -> 37 + ((1 + 1) / 82) mod 89
[154] ['1', '1', '37', '83'] -> 1 + (1 / (37 + 83)) mod 89
[155] ['1', '1', '38', '38'] -> 38 + ((1 + 1) / 38) mod 89
[156] ['1', '1', '38', '40'] -> 40 - (1 / (1 + 38)) mod 89
[157] ['1', '1', '38', '53'] -> (1 / (38 - 1)) - 53 mod 89
[158] ['1', '1', '38', '66'] -> (1 / 38) - (1 / 66) mod 89
[159] ['1', '1', '39', '42'] -> 1 / (42 - (1 / 39)) mod 89
[160] ['1', '1', '39', '49'] -> 49 + (39 / (1 + 1)) mod 89
[161] ['1', '1', '39', '58'] -> (1 / (39 - 1)) - 58 mod 89
[162] ['1', '1', '41', '41'] -> (41 / (1 + 1)) - 41 mod 89
[163] ['1', '1', '41', '48'] -> 48 + (41 / (1 + 1)) mod 89
[164] ['1', '1', '41', '76'] -> 1 + (76 / (1 + 41)) mod 89
[165] ['1', '1', '41', '80'] -> ((1 + 41) / 80) - 1 mod 89
[166] ['1', '1', '41', '82'] -> (41 - 82) / (1 + 1) mod 89
[167] ['1', '1', '42', '49'] -> (1 + 42) / (1 + 49) mod 89
[168] ['1', '1', '42', '81'] -> (42 / (81 - 1)) - 1 mod 89
[169] ['1', '1', '42', '82'] -> ((1 + 1) / 42) - 82 mod 89
[170] ['1', '1', '43', '59'] -> (1 + 59) / (1 - 43) mod 89
[171] ['1', '1', '44', '58'] -> ((1 - 58) / 44) - 1 mod 89
[172] ['1', '1', '44', '59'] -> 1 - (44 / (1 + 59)) mod 89
[173] ['1', '1', '44', '80'] -> 44 + ((1 + 1) / 80) mod 89
[174] ['1', '1', '45', '59'] -> 1 + (45 / (1 + 59)) mod 89
[175] ['1', '1', '45', '80'] -> ((1 + 1) / 80) - 45 mod 89
[176] ['1', '1', '45', '81'] -> (1 + (1 / 81)) / 45 mod 89
[177] ['1', '1', '45', '86'] -> (45 - 86) / (1 + 1) mod 89
[178] ['1', '1', '46', '57'] -> (57 / (46 - 1)) - 1 mod 89
[179] ['1', '1', '46', '59'] -> (1 + 59) / (1 + 46) mod 89
[180] ['1', '1', '47', '81'] -> (47 / (1 - 81)) - 1 mod 89
[181] ['1', '1', '47', '86'] -> (1 + (1 / 86)) / 47 mod 89
[182] ['1', '1', '48', '48'] -> 48 - (48 / (1 + 1)) mod 89
[183] ['1', '1', '48', '81'] -> (1 / 48) + (1 / 81) mod 89
[184] ['1', '1', '49', '51'] -> (1 / (51 - 1)) - 49 mod 89
[185] ['1', '1', '51', '53'] -> (51 - 1) / (1 + 53) mod 89
[186] ['1', '1', '52', '52'] -> (1 / 52) + (1 / 52) mod 89
[187] ['1', '1', '52', '58'] -> (1 / (1 - 52)) - 58 mod 89
[188] ['1', '1', '52', '82'] -> ((1 + 1) / 82) - 52 mod 89
[189] ['1', '1', '53', '57'] -> (1 + (1 / 57)) / 53 mod 89
[190] ['1', '1', '53', '82'] -> (53 * (1 + 1)) - 82 mod 89
[191] ['1', '1', '54', '54'] -> 1 / (54 + (1 / 54)) mod 89
[192] ['1', '1', '55', '62'] -> 55 - (62 / (1 + 1)) mod 89
[193] ['1', '1', '56', '67'] -> (1 + 56) * (67 - 1) mod 89
[194] ['1', '1', '56', '72'] -> 1 / ((56 * 72) - 1) mod 89
[195] ['1', '1', '57', '69'] -> (1 + 1) * (69 - 57) mod 89
[196] ['1', '1', '57', '70'] -> (1 + 57) * (1 + 70) mod 89
[197] ['1', '1', '57', '72'] -> (1 + 57) * (72 - 1) mod 89
[198] ['1', '1', '57', '75'] -> 1 + (57 / (1 + 75)) mod 89
[199] ['1', '1', '58', '63'] -> 1 / (1 - (63 / 58)) mod 89
[200] ['1', '1', '58', '77'] -> (58 / (1 - 77)) - 1 mod 89
[201] ['1', '1', '59', '59'] -> ((1 + 1) / 59) - 59 mod 89
[202] ['1', '1', '59', '87'] -> (1 / (59 + 87)) - 1 mod 89
[203] ['1', '1', '60', '63'] -> 63 * (1 + (1 / 60)) mod 89
[204] ['1', '1', '61', '61'] -> 1 / (61 + (1 / 61)) mod 89
[205] ['1', '1', '62', '71'] -> 1 + (71 * (1 + 62)) mod 89
[206] ['1', '1', '62', '76'] -> 62 - (76 / (1 + 1)) mod 89
[207] ['1', '1', '63', '70'] -> 1 + (63 * (1 + 70)) mod 89
[208] ['1', '1', '63', '75'] -> (1 + 1) * (75 - 63) mod 89
[209] ['1', '1', '64', '74'] -> 74 + (64 * (1 + 1)) mod 89
[210] ['1', '1', '64', '77'] -> (1 + 1) / (64 + 77) mod 89
[211] ['1', '1', '64', '85'] -> (1 + (1 / 85)) / 64 mod 89
[212] ['1', '1', '66', '67'] -> 67 - (66 * (1 + 1)) mod 89
[213] ['1', '1', '66', '78'] -> (1 + 1) * (78 - 66) mod 89
[214] ['1', '1', '67', '67'] -> 1 / ((1 / 67) - 67) mod 89
[215] ['1', '1', '71', '86'] -> 71 * ((1 / 86) - 1) mod 89
[216] ['1', '1', '73', '84'] -> (1 + 84) / (1 + 73) mod 89
[217] ['1', '1', '76', '76'] -> 76 + (1 / (1 + 76)) mod 89
[218] ['1', '1', '76', '83'] -> (83 / (1 - 76)) - 1 mod 89
[219] ['1', '1', '77', '82'] -> 1 / (77 + (1 / 82)) mod 89
[220] ['1', '1', '78', '79'] -> 79 / ((1 / 78) - 1) mod 89
[221] ['1', '1', '79', '81'] -> (81 / (79 - 1)) - 1 mod 89
[222] ['1', '1', '80', '81'] -> (1 - 80) / (1 + 81) mod 89
[223] ['1', '1', '80', '84'] -> (1 / (1 - 84)) - 80 mod 89
[224] ['1', '1', '80', '87'] -> (1 + 80) * (87 - 1) mod 89
[225] ['1', '1', '81', '81'] -> 1 / (1 - (81 * 81)) mod 89
[226] ['1', '1', '84', '87'] -> (1 / (1 + 84)) - 87 mod 89
[227] ['1', '1', '86', '87'] -> (1 / (86 - 1)) - 87 mod 89
[228] ['1', '2', '2', '18'] -> 18 + (2 * (1 + 2)) mod 89
[229] ['1', '2', '2', '59'] -> (2 * (59 - 2)) - 1 mod 89
[230] ['1', '2', '2', '74'] -> (74 - 2) / (1 + 2) mod 89
[231] ['1', '2', '49', '49'] -> 49 - ((1 + 49) / 2) mod 89
[232] ['1', '2', '60', '60'] -> (60 + (1 / 2)) / 60 mod 89
[233] ['1', '2', '80', '80'] -> (1 - 80) / (2 + 80) mod 89
[234] ['1', '3', '3', '43'] -> ((1 + 3) / 43) - 3 mod 89
[235] ['1', '3', '20', '20'] -> (20 / (3 - 20)) - 1 mod 89
[236] ['1', '3', '45', '88'] -> (3 + 45) / (1 - 88) mod 89
[237] ['1', '3', '65', '66'] -> (1 - (65 * 66)) / 3 mod 89
[238] ['1', '4', '21', '21'] -> 1 / (21 - (4 * 21)) mod 89
[239] ['1', '4', '21', '68'] -> 1 / (21 + (4 * 68)) mod 89
[240] ['1', '4', '23', '32'] -> (1 / (4 + 32)) - 23 mod 89
[241] ['1', '4', '25', '88'] -> (88 + (1 / 4)) / 25 mod 89
[242] ['1', '4', '64', '88'] -> (1 + (88 / 4)) / 64 mod 89
[243] ['1', '4', '68', '68'] -> 1 / ((4 * 68) - 68) mod 89
[244] ['1', '5', '5', '21'] -> 1 + ((5 + 21) / 5) mod 89
[245] ['1', '5', '25', '25'] -> (1 / (25 - 5)) - 25 mod 89
[246] ['1', '5', '37', '47'] -> (1 - (47 / 37)) / 5 mod 89
[247] ['1', '5', '80', '88'] -> (1 / (5 - 88)) - 80 mod 89
[248] ['1', '5', '87', '88'] -> (88 / (5 - 1)) - 87 mod 89
[249] ['1', '6', '6', '6'] -> (6 * (6 - 1)) - 6 mod 89
[250] ['1', '6', '6', '42'] -> (1 - 6) / (6 + 42) mod 89
[251] ['1', '6', '21', '31'] -> (21 - 31) / (1 + 6) mod 89
[252] ['1', '6', '52', '88'] -> 1 + (88 / (6 + 52)) mod 89
[253] ['1', '6', '57', '57'] -> (6 * (1 + 57)) - 57 mod 89
