[1] ['1', '1', '1', '4'] -> (1 + 1) / (1 + 4) mod 59
[81] ['9', '38', '38', '38'] -> (38 + (38 / 38)) / 9 mod 59
[82] ['9', '58', '58', '58'] -> 58 + (9 / (58 + 58)) mod 59
[83] ['10', '10', '39', '39'] -> 39 * (10 + (10 * 39)) mod 59
[84] ['10', '17', '17', '17'] -> 17 * ((17 / 17) - 10) mod 59
[85] ['10', '50', '50', '50'] -> (50 - 10) / (50 + 50) mod 59
[86] ['10', '52', '52', '52'] -> (10 - (52 / 52)) / 52 mod 59
[87] ['10', '58', '58', '58'] -> (10 - 58) / (58 + 58) mod 59
[88] ['11', '11', '11', '58'] -> 11 / (58 - (11 / 11)) mod 59
[89] ['11', '15', '15', '15'] -> 15 * ((15 * 15) - 11) mod 59
[90] ['11', '18', '18', '18'] -> (11 * (18 + 18)) - 18 mod 59
[91] ['11', '44', '44', '44'] -> 44 * (11 - (44 * 44)) mod 59
[92] ['12', '12', '12', '25'] -> ((12 * 25) - 12) / 12 mod 59
[93] ['12', '12', '12', '34'] -> 12 / ((12 / 34) - 12) mod 59
[94] ['12', '12', '12', '43'] -> 12 * ((12 / 43) - 12) mod 59
[95] ['12', '12', '12', '55'] -> 12 / ((12 * 12) - 55) mod 59
[96] ['12', '12', '12', '58'] -> 12 * ((12 / 12) - 58) mod 59
[97] ['13', '13', '30', '30'] -> ((30 / 13) - 13) / 30 mod 59
[98] ['13', '21', '21', '21'] -> 13 * (21 - (21 / 21)) mod 59
[99] ['13', '58', '58', '58'] -> (13 / (58 + 58)) - 58 mod 59
[100] ['14', '14', '14', '31'] -> 14 / (14 + (14 * 31)) mod 59
[101] ['14', '17', '17', '17'] -> 17 / (14 - (17 / 17)) mod 59
[102] ['14', '29', '29', '29'] -> 29 * ((29 / 14) - 29) mod 59
[103] ['14', '30', '30', '30'] -> 30 * ((30 / 14) - 30) mod 59
[104] ['15', '25', '25', '25'] -> (25 / 25) - (15 / 25) mod 59
[105] ['15', '25', '25', '34'] -> (15 / 34) + (25 / 25) mod 59
[106] ['15', '34', '34', '34'] -> (15 / 34) + (34 / 34) mod 59
[107] ['16', '16', '16', '23'] -> (16 + (16 * 23)) / 16 mod 59
[108] ['16', '16', '17', '58'] -> ((58 / 16) - 16) / 17 mod 59
[109] ['17', '17', '17', '45'] -> (17 + (17 / 17)) / 45 mod 59
[110] ['17', '28', '28', '28'] -> 28 * ((28 / 28) - 17) mod 59
[111] ['17', '43', '43', '43'] -> (17 * 43) + (43 / 43) mod 59
[112] ['18', '26', '58', '58'] -> (18 / (58 + 58)) - 26 mod 59
[113] ['19', '19', '19', '19'] -> 19 / (19 - (19 / 19)) mod 59
[114] ['19', '19', '19', '32'] -> 19 + (19 / (19 + 32)) mod 59
[115] ['19', '19', '19', '58'] -> (58 / 19) - (19 * 19) mod 59
[116] ['19', '29', '58', '58'] -> ((19 + 58) / 29) - 58 mod 59
[117] ['19', '30', '58', '58'] -> (30 - 19) / (58 + 58) mod 59
[118] ['19', '58', '58', '58'] -> 58 / (58 - (58 / 19)) mod 59
[119] ['20', '20', '20', '29'] -> ((29 / 20) - 20) / 20 mod 59
[120] ['20', '31', '31', '31'] -> 20 - (31 * (31 * 31)) mod 59
[121] ['21', '43', '43', '43'] -> 21 / (43 - (43 * 43)) mod 59
[122] ['22', '22', '22', '50'] -> 50 / (22 + (22 + 22)) mod 59
[123] ['23', '23', '23', '23'] -> (23 + (23 * 23)) / 23 mod 59
[124] ['23', '23', '23', '51'] -> (23 * 23) - (51 / 23) mod 59
[125] ['23', '23', '44', '44'] -> 23 * (44 - (44 / 23)) mod 59
[126] ['23', '43', '43', '43'] -> (43 + (23 * 43)) / 43 mod 59
[127] ['25', '25', '25', '38'] -> (25 + (38 / 25)) / 25 mod 59
[128] ['25', '25', '25', '44'] -> (25 / 25) + (44 / 25) mod 59
[129] ['25', '25', '25', '47'] -> (47 * (25 + 25)) - 25 mod 59
[130] ['25', '34', '34', '44'] -> (34 / 34) + (44 / 25) mod 59
[131] ['25', '47', '47', '47'] -> ((25 * 47) - 47) / 47 mod 59
[132] ['25', '55', '58', '58'] -> ((25 - 58) / 55) - 58 mod 59
[133] ['27', '33', '33', '33'] -> 33 - ((33 + 33) / 27) mod 59
[134] ['27', '43', '43', '43'] -> 43 * (27 + (43 / 43)) mod 59
[135] ['28', '28', '28', '29'] -> 29 * (28 - (28 * 28)) mod 59
[136] ['28', '28', '28', '39'] -> (28 * (28 * 28)) - 39 mod 59
[137] ['28', '29', '58', '58'] -> 28 - ((58 + 58) / 29) mod 59
[138] ['28', '30', '58', '58'] -> 28 + ((58 + 58) / 30) mod 59
[139] ['29', '29', '29', '58'] -> 29 / (58 - (29 * 29)) mod 59
[140] ['29', '29', '39', '39'] -> 29 * (39 + (29 / 39)) mod 59
[141] ['29', '29', '46', '46'] -> 46 / ((46 / 29) - 29) mod 59
[142] ['29', '29', '58', '58'] -> 58 / (29 - (58 / 29)) mod 59
[143] ['29', '30', '30', '58'] -> 29 / (58 - (30 * 30)) mod 59
[144] ['29', '30', '58', '58'] -> 58 / (29 + (58 / 30)) mod 59
[145] ['29', '37', '37', '37'] -> (37 + 37) / (37 - 29) mod 59
[146] ['29', '39', '39', '39'] -> ((29 / 39) - 39) / 39 mod 59
[147] ['30', '30', '30', '51'] -> ((30 * 30) - 30) / 51 mod 59
[148] ['30', '30', '30', '58'] -> 30 / ((30 * 30) - 58) mod 59
[149] ['30', '30', '58', '58'] -> 58 / ((58 / 30) - 30) mod 59
[150] ['30', '31', '58', '58'] -> ((58 + 58) / 30) - 31 mod 59
[151] ['30', '34', '34', '34'] -> 34 * (34 - (34 / 30)) mod 59
[152] ['30', '36', '36', '36'] -> 36 / (30 + (36 / 36)) mod 59
[153] ['31', '31', '31', '34'] -> 31 / ((31 / 34) - 31) mod 59
[154] ['31', '31', '58', '58'] -> (31 / (58 - 31)) - 58 mod 59
[155] ['31', '57', '57', '57'] -> 57 / (57 + (31 * 57)) mod 59
[156] ['32', '40', '40', '40'] -> (40 / (40 - 32)) - 40 mod 59
[157] ['32', '41', '58', '58'] -> 58 / (58 - (32 / 41)) mod 59
[158] ['33', '33', '33', '33'] -> 33 / ((33 * 33) - 33) mod 59
[159] ['33', '39', '58', '58'] -> 58 / (58 + (39 / 33)) mod 59
[160] ['33', '41', '58', '58'] -> 33 - (41 / (58 + 58)) mod 59
[161] ['34', '34', '34', '44'] -> (34 / 34) - (44 / 34) mod 59
[162] ['34', '34', '34', '47'] -> 34 - (47 * (34 + 34)) mod 59
[163] ['34', '34', '34', '52'] -> 34 - (34 / (34 + 52)) mod 59
[164] ['34', '41', '58', '58'] -> 41 + (34 / (58 + 58)) mod 59
[165] ['34', '42', '58', '58'] -> 58 / (34 - (58 / 42)) mod 59
[166] ['34', '47', '47', '47'] -> 47 / ((47 / 34) - 47) mod 59
