[1] ['2i', '4i', '8i'] -> (2i - 8i) * 4i
[80] ['6i', '(3+3i)', '(4+2i)'] -> (4+2i - 6i) * 3+3i
[81] ['6i', '(3+3i)', '(4+4i)'] -> (3+3i - 6i) * 4+4i
[82] ['6i', '(2+i)', '(2+5i)'] -> (2+i - 2+5i) * 6i
[83] ['6i', '(2+2i)', '(2+6i)'] -> (2+2i - 2+6i) * 6i
[84] ['6i', '(2+2i)', '6'] -> (6 - 6i) * 2+2i
[85] ['6i', '(2+3i)', '(2+7i)'] -> (2+3i - 2+7i) * 6i
[86] ['6i', '(2+4i)', '(2+8i)'] -> (2+4i - 2+8i) * 6i
[87] ['6i', '(2+4i)', '(6+6i)'] -> (2+4i - 6i) * 6+6i
[88] ['6i', '(2+5i)', '(2+9i)'] -> (2+5i - 2+9i) * 6i
[89] ['6i', '(6+3i)', '(6+7i)'] -> (6+3i - 6+7i) * 6i
[90] ['i', '(4+i)', '6'] -> (4+i - i) * 6
[91] ['6i', '(6+4i)', '(6+8i)'] -> (6+4i - 6+8i) * 6i
[92] ['6i', '(6+5i)', '(6+9i)'] -> (6+5i - 6+9i) * 6i
[93] ['6i', '7', '(7+4i)'] -> (7 - 7+4i) * 6i
[94] ['6i', '(7+i)', '(7+5i)'] -> (7+i - 7+5i) * 6i
[95] ['6i', '(7+2i)', '(7+6i)'] -> (7+2i - 7+6i) * 6i
[96] ['6i', '(7+3i)', '(7+7i)'] -> (7+3i - 7+7i) * 6i
[97] ['6i', '(7+4i)', '(7+8i)'] -> (7+4i - 7+8i) * 6i
[98] ['6i', '(7+5i)', '(7+9i)'] -> (7+5i - 7+9i) * 6i
[99] ['7i', '(1+3i)', '(3+7i)'] -> 3+7i - (1+3i * 7i)
[100] ['6i', '(5+i)', '(5+5i)'] -> (5+i - 5+5i) * 6i
[101] ['i', '3', '(8+i)'] -> (8+i - i) * 3
[102] ['6i', '(5+2i)', '(5+6i)'] -> (5+2i - 5+6i) * 6i
[103] ['6i', '(5+3i)', '(5+7i)'] -> (5+3i - 5+7i) * 6i
[104] ['6i', '(5+4i)', '(5+8i)'] -> (5+4i - 5+8i) * 6i
[105] ['6i', '(5+5i)', '(5+9i)'] -> (5+5i - 5+9i) * 6i
[106] ['6i', '6', '(6+4i)'] -> (6 - 6+4i) * 6i
[107] ['6i', '(6+i)', '(6+5i)'] -> (6+i - 6+5i) * 6i
[108] ['6i', '(6+2i)', '(6+6i)'] -> (6+2i - 6+6i) * 6i
[109] ['7i', '(2+2i)', '(6+i)'] -> (6+i - 7i) * 2+2i
[110] ['7i', '(2+5i)', '(6+6i)'] -> (2+5i - 7i) * 6+6i
[111] ['6i', '(4+2i)', '(4+6i)'] -> (4+2i - 4+6i) * 6i
[112] ['2i', '5i', '8i'] -> (2i - 5i) * 8i
[113] ['i', '(3+i)', '8'] -> (3+i - i) * 8
[114] ['6i', '(4+3i)', '(4+7i)'] -> (4+3i - 4+7i) * 6i
[115] ['6i', '(4+4i)', '(4+8i)'] -> (4+4i - 4+8i) * 6i
[116] ['6i', '(4+5i)', '(4+9i)'] -> (4+5i - 4+9i) * 6i
[117] ['6i', '(4+6i)', '6'] -> (4+6i - 6i) * 6
[118] ['6i', '5', '(5+4i)'] -> (5 - 5+4i) * 6i
[119] ['7i', '3', '(8+7i)'] -> (8+7i - 7i) * 3
[120] ['7i', '(3+3i)', '(4+3i)'] -> (4+3i - 7i) * 3+3i
[121] ['7i', '(3+4i)', '(4+4i)'] -> (3+4i - 7i) * 4+4i
[122] ['7i', '(3+7i)', '8'] -> (3+7i - 7i) * 8
[123] ['7i', '4', '(6+7i)'] -> (6+7i - 7i) * 4
[124] ['2i', '(1+8i)', '(8+2i)'] -> 8+2i - (1+8i * 2i)
[125] ['7i', '(4+7i)', '6'] -> (4+7i - 7i) * 6
[126] ['8i', '8i', '(1+3i)'] -> 8i - (1+3i * 8i)
[127] ['8i', '1', '(1+3i)'] -> (1 - 1+3i) * 8i
[128] ['8i', '(1+i)', '(1+4i)'] -> (1+i - 1+4i) * 8i
[129] ['8i', '(1+2i)', '(1+5i)'] -> (1+2i - 1+5i) * 8i
[130] ['8i', '(1+2i)', '(8+8i)'] -> 8+8i - (1+2i * 8i)
[131] ['8i', '(1+3i)', '(1+6i)'] -> (1+3i - 1+6i) * 8i
[132] ['8i', '(1+4i)', '(1+7i)'] -> (1+4i - 1+7i) * 8i
[133] ['8i', '(1+5i)', '(1+8i)'] -> (1+5i - 1+8i) * 8i
[134] ['8i', '(1+6i)', '(1+9i)'] -> (1+6i - 1+9i) * 8i
[135] ['2i', '8i', '8'] -> 8 - (2i * 8i)
[136] ['8i', '(7+3i)', '(7+6i)'] -> (7+3i - 7+6i) * 8i
[137] ['8i', '(7+4i)', '(7+7i)'] -> (7+4i - 7+7i) * 8i
[138] ['8i', '(7+5i)', '(7+8i)'] -> (7+5i - 7+8i) * 8i
[139] ['8i', '(7+6i)', '(7+9i)'] -> (7+6i - 7+9i) * 8i
[140] ['8i', '8', '(8+3i)'] -> (8 - 8+3i) * 8i
[141] ['8i', '(8+i)', '(8+4i)'] -> (8+i - 8+4i) * 8i
[142] ['8i', '(8+2i)', '(8+5i)'] -> (8+2i - 8+5i) * 8i
[143] ['8i', '(8+3i)', '(8+6i)'] -> (8+3i - 8+6i) * 8i
[144] ['8i', '(8+4i)', '(8+7i)'] -> (8+4i - 8+7i) * 8i
[145] ['8i', '(8+5i)', '(8+8i)'] -> (8+5i - 8+8i) * 8i
[146] ['2i', '9i', '6'] -> 6 - (2i * 9i)
[147] ['8i', '(8+6i)', '(8+9i)'] -> (8+6i - 8+9i) * 8i
[148] ['8i', '9', '(9+3i)'] -> (9 - 9+3i) * 8i
[149] ['8i', '(9+i)', '(9+4i)'] -> (9+i - 9+4i) * 8i
[150] ['8i', '(9+2i)', '(9+5i)'] -> (9+2i - 9+5i) * 8i
[151] ['8i', '(9+3i)', '(9+6i)'] -> (9+3i - 9+6i) * 8i
[152] ['8i', '(9+4i)', '(9+7i)'] -> (9+4i - 9+7i) * 8i
[153] ['8i', '(9+5i)', '(9+8i)'] -> (9+5i - 9+8i) * 8i
[154] ['8i', '(9+6i)', '(9+9i)'] -> (9+6i - 9+9i) * 8i
[155] ['8i', '2', '(2+3i)'] -> (2 - 2+3i) * 8i
[156] ['8i', '(2+i)', '(2+4i)'] -> (2+i - 2+4i) * 8i
[157] ['3i', '3i', '(1+8i)'] -> 3i - (1+8i * 3i)
[158] ['8i', '(2+2i)', '(2+5i)'] -> (2+2i - 2+5i) * 8i
[159] ['8i', '(2+2i)', '(6+2i)'] -> (6+2i - 8i) * 2+2i
[160] ['8i', '(2+3i)', '(2+6i)'] -> (2+3i - 2+6i) * 8i
[161] ['8i', '(2+4i)', '(2+7i)'] -> (2+4i - 2+7i) * 8i
[162] ['8i', '(3+i)', '8'] -> (3+i * 8) - 8i
[163] ['8i', '(3+2i)', '(3+5i)'] -> (3+2i - 3+5i) * 8i
[164] ['8i', '(3+3i)', '(3+6i)'] -> (3+3i - 3+6i) * 8i
[165] ['8i', '(3+3i)', '(4+4i)'] -> (4+4i - 8i) * 3+3i
[166] ['8i', '(3+4i)', '(3+7i)'] -> (3+4i - 3+7i) * 8i
[167] ['8i', '(3+5i)', '(3+8i)'] -> (3+5i - 3+8i) * 8i
[168] ['3i', '4i', '9i'] -> (3i - 9i) * 4i
[169] ['8i', '(3+5i)', '(4+4i)'] -> (3+5i - 8i) * 4+4i
[170] ['8i', '(3+6i)', '(3+9i)'] -> (3+6i - 3+9i) * 8i
[171] ['8i', '(3+8i)', '8'] -> (3+8i - 8i) * 8
[172] ['8i', '(2+5i)', '(2+8i)'] -> (2+5i - 2+8i) * 8i
[173] ['8i', '(2+6i)', '(2+9i)'] -> (2+6i - 2+9i) * 8i
[174] ['8i', '(2+6i)', '(6+6i)'] -> (2+6i - 8i) * 6+6i
[175] ['8i', '3', '(3+3i)'] -> (3 - 3+3i) * 8i
[176] ['8i', '3', '(8+8i)'] -> (8+8i - 8i) * 3
[177] ['8i', '(3+i)', '(3+4i)'] -> (3+i - 3+4i) * 8i
[178] ['8i', '4', '(4+3i)'] -> (4 - 4+3i) * 8i
[179] ['3i', '5i', '9'] -> 9 - (3i * 5i)
[180] ['8i', '4', '(6+2i)'] -> (4 * 6+2i) - 8i
[181] ['8i', '4', '(6+8i)'] -> (6+8i - 8i) * 4
[182] ['8i', '(4+i)', '(4+4i)'] -> (4+i - 4+4i) * 8i
[183] ['8i', '(4+2i)', '(4+5i)'] -> (4+2i - 4+5i) * 8i
[184] ['8i', '(4+3i)', '(4+6i)'] -> (4+3i - 4+6i) * 8i
[185] ['8i', '(4+4i)', '(4+7i)'] -> (4+4i - 4+7i) * 8i
[186] ['8i', '(4+5i)', '(4+8i)'] -> (4+5i - 4+8i) * 8i
[187] ['8i', '(4+6i)', '(4+9i)'] -> (4+6i - 4+9i) * 8i
[188] ['8i', '6', '(6+3i)'] -> (6 - 6+3i) * 8i
[189] ['8i', '(6+i)', '(6+4i)'] -> (6+i - 6+4i) * 8i
[190] ['3i', '6i', '7i'] -> (3i - 7i) * 6i
[191] ['8i', '(6+2i)', '(6+5i)'] -> (6+2i - 6+5i) * 8i
[192] ['8i', '(6+3i)', '(6+6i)'] -> (6+3i - 6+6i) * 8i
[193] ['8i', '(6+4i)', '(6+7i)'] -> (6+4i - 6+7i) * 8i
[194] ['8i', '(6+5i)', '(6+8i)'] -> (6+5i - 6+8i) * 8i
[195] ['8i', '(6+6i)', '(6+9i)'] -> (6+6i - 6+9i) * 8i
[196] ['8i', '7', '(7+3i)'] -> (7 - 7+3i) * 8i
[197] ['8i', '(7+i)', '(7+4i)'] -> (7+i - 7+4i) * 8i
[198] ['8i', '(7+2i)', '(7+5i)'] -> (7+2i - 7+5i) * 8i
[199] ['8i', '(4+8i)', '6'] -> (4+8i - 8i) * 6
[200] ['8i', '5', '(5+3i)'] -> (5 - 5+3i) * 8i
[201] ['3i', '6i', '8i'] -> (3i - 6i) * 8i
[202] ['8i', '(5+i)', '(5+4i)'] -> (5+i - 5+4i) * 8i
[203] ['8i', '(5+2i)', '(5+5i)'] -> (5+2i - 5+5i) * 8i
[204] ['8i', '(5+3i)', '(5+6i)'] -> (5+3i - 5+6i) * 8i
[205] ['8i', '(5+4i)', '(5+7i)'] -> (5+4i - 5+7i) * 8i
[206] ['8i', '(5+5i)', '(5+8i)'] -> (5+5i - 5+8i) * 8i
[207] ['8i', '(5+6i)', '(5+9i)'] -> (5+6i - 5+9i) * 8i
[208] ['9i', '(2+2i)', '(6+3i)'] -> (6+3i - 9i) * 2+2i
[209] ['9i', '(2+7i)', '(6+6i)'] -> (2+7i - 9i) * 6+6i
[210] ['9i', '(3+9i)', '8'] -> (3+9i - 9i) * 8
[211] ['9i', '4', '(6+9i)'] -> (6+9i - 9i) * 4
[212] ['3i', '6i', '(2+8i)'] -> 6i - (2+8i * 3i)
[213] ['9i', '(1+2i)', '(6+9i)'] -> 6+9i - (1+2i * 9i)
[214] ['9i', '3', '(8+3i)'] -> (3 * 8+3i) - 9i
[215] ['9i', '3', '(8+9i)'] -> (8+9i - 9i) * 3
[216] ['9i', '(3+3i)', '(4+5i)'] -> (4+5i - 9i) * 3+3i
[217] ['9i', '(3+6i)', '(4+4i)'] -> (3+6i - 9i) * 4+4i
[218] ['9i', '(4+9i)', '6'] -> (4+9i - 9i) * 6
[219] ['1', '2', '8'] -> (1 + 2) * 8
[220] ['1', '5', '5'] -> (5 * 5) - 1
[221] ['1', '5', '6'] -> (5 - 1) * 6
[222] ['1', '3', '6'] -> (1 + 3) * 6
[223] ['2i', '6i', '6i'] -> (2i - 6i) * 6i
[224] ['3i', '6i', '6'] -> 6 - (3i * 6i)
[225] ['1', '3', '7'] -> (1 + 7) * 3
[226] ['1', '3', '9'] -> (9 - 1) * 3
[227] ['1', '4', '5'] -> (1 + 5) * 4
[228] ['1', '4', '7'] -> (7 - 1) * 4
[229] ['1', '4', '8'] -> (4 - 1) * 8
[230] ['(1+i)', '3', '(9+i)'] -> (9+i - 1+i) * 3
[231] ['(1+i)', '4', '(7+i)'] -> (7+i - 1+i) * 4
[232] ['(1+i)', '(4+i)', '8'] -> (4+i - 1+i) * 8
