[1] ['1', '1', '12'] -> 12 * (1 + 1) base 6
[2] ['1', '1', '52'] -> 52 / (1 + 1) base 6
[3] ['1', '2', '11'] -> 2 * (1 + 11) base 6
[4] ['1', '2', '13'] -> 2 * (13 - 1) base 6
[5] ['1', '2', '50'] -> 1 + (50 / 2) base 6
[6] ['1', '2', '51'] -> (1 + 51) / 2 base 6
[7] ['1', '2', '53'] -> (53 - 1) / 2 base 6
[8] ['1', '2', '54'] -> (54 / 2) - 1 base 6
[9] ['1', '3', '4'] -> 4 * (1 + 3) base 6
[10] ['1', '3', '5'] -> 1 + (3 * 5) base 6
[11] ['1', '3', '12'] -> 12 * (3 - 1) base 6
[12] ['1', '3', '52'] -> 52 / (3 - 1) base 6
[13] ['1', '4', '5'] -> 4 * (5 - 1) base 6
[14] ['2', '2', '10'] -> 2 * (2 + 10) base 6
[15] ['2', '2', '11'] -> 2 + (2 * 11) base 6
[16] ['2', '2', '13'] -> (2 * 13) - 2 base 6
[17] ['2', '2', '14'] -> 2 * (14 - 2) base 6
[18] ['2', '2', '23'] -> 23 + (2 / 2) base 6
[19] ['2', '2', '25'] -> 25 - (2 / 2) base 6
[20] ['2', '2', '44'] -> 2 + (44 / 2) base 6
[21] ['2', '2', '50'] -> (2 + 50) / 2 base 6
[22] ['2', '2', '54'] -> (54 - 2) / 2 base 6
[23] ['2', '3', '5'] -> 2 * (3 + 5) base 6
[24] ['2', '3', '10'] -> (3 * 10) - 2 base 6
[25] ['2', '3', '14'] -> 14 + (2 * 3) base 6
[26] ['2', '3', '34'] -> 34 - (2 * 3) base 6
[27] ['2', '3', '42'] -> 3 + (42 / 2) base 6
[28] ['2', '3', '45'] -> (3 + 45) / 2 base 6
[29] ['2', '3', '55'] -> (55 - 3) / 2 base 6
[30] ['2', '4', '4'] -> 2 * (4 + 4) base 6
[31] ['2', '4', '20'] -> 2 * (20 - 4) base 6
[32] ['2', '4', '44'] -> (4 + 44) / 2 base 6
[33] ['2', '5', '10'] -> 10 + (2 * 5) base 6
[34] ['2', '5', '34'] -> 5 + (34 / 2) base 6
[35] ['2', '5', '42'] -> 42 - (2 * 5) base 6
[36] ['2', '5', '43'] -> (5 + 43) / 2 base 6
[37] ['2', '10', '15'] -> (2 * 15) - 10 base 6
[38] ['2', '10', '21'] -> 21 + (10 / 2) base 6
[39] ['2', '10', '22'] -> 2 * (22 - 10) base 6
[40] ['2', '10', '31'] -> 31 - (10 / 2) base 6
[41] ['2', '10', '42'] -> (10 + 42) / 2 base 6
[42] ['2', '10', '44'] -> 44 - (2 * 10) base 6
[43] ['2', '11', '23'] -> 2 * (23 - 11) base 6
[44] ['2', '11', '30'] -> 11 + (30 / 2) base 6
[45] ['2', '11', '50'] -> 50 - (2 * 11) base 6
[46] ['2', '12', '32'] -> 32 - (12 / 2) base 6
[47] ['2', '12', '40'] -> (12 + 40) / 2 base 6
[48] ['2', '12', '52'] -> 52 - (2 * 12) base 6
[49] ['2', '13', '22'] -> 13 + (22 / 2) base 6
[50] ['2', '13', '25'] -> 2 * (25 - 13) base 6
[51] ['2', '13', '54'] -> 54 - (2 * 13) base 6
[52] ['2', '14', '15'] -> 15 + (14 / 2) base 6
[53] ['2', '14', '20'] -> 14 + (20 / 2) base 6
[54] ['2', '14', '21'] -> (2 * 21) - 14 base 6
[55] ['2', '14', '30'] -> 2 * (30 - 14) base 6
[56] ['2', '14', '33'] -> 33 - (14 / 2) base 6
[57] ['2', '14', '34'] -> (14 + 34) / 2 base 6
[58] ['2', '15', '31'] -> 2 * (31 - 15) base 6
[59] ['2', '15', '33'] -> (15 + 33) / 2 base 6
[60] ['2', '20', '22'] -> (2 * 22) - 20 base 6
[61] ['2', '20', '34'] -> 34 - (20 / 2) base 6
[62] ['2', '21', '31'] -> (21 + 31) / 2 base 6
[63] ['2', '21', '33'] -> 2 * (33 - 21) base 6
[64] ['2', '22', '23'] -> (2 * 23) - 22 base 6
[65] ['2', '22', '30'] -> (22 + 30) / 2 base 6
[66] ['2', '22', '34'] -> 2 * (34 - 22) base 6
[67] ['2', '22', '35'] -> 35 - (22 / 2) base 6
[68] ['2', '23', '25'] -> (23 + 25) / 2 base 6
[69] ['2', '23', '35'] -> 2 * (35 - 23) base 6
[70] ['2', '25', '30'] -> (2 * 25) - 30 base 6
[71] ['2', '25', '41'] -> 2 * (41 - 25) base 6
[72] ['2', '30', '32'] -> (2 * 30) - 32 base 6
[73] ['2', '30', '41'] -> 41 - (30 / 2) base 6
[74] ['2', '30', '42'] -> 2 * (42 - 30) base 6
[75] ['2', '31', '34'] -> (2 * 31) - 34 base 6
[76] ['2', '31', '43'] -> 2 * (43 - 31) base 6
[77] ['2', '32', '40'] -> (2 * 32) - 40 base 6
[78] ['2', '32', '42'] -> 42 - (32 / 2) base 6
[79] ['2', '32', '44'] -> 2 * (44 - 32) base 6
[80] ['2', '33', '42'] -> (2 * 33) - 42 base 6
[81] ['2', '33', '45'] -> 2 * (45 - 33) base 6
[82] ['2', '34', '43'] -> 43 - (34 / 2) base 6
[83] ['2', '34', '44'] -> (2 * 34) - 44 base 6
[84] ['2', '34', '50'] -> 2 * (50 - 34) base 6
[85] ['2', '35', '50'] -> (2 * 35) - 50 base 6
[86] ['2', '35', '51'] -> 2 * (51 - 35) base 6
[87] ['2', '40', '44'] -> 44 - (40 / 2) base 6
[88] ['2', '41', '53'] -> 2 * (53 - 41) base 6
[89] ['2', '41', '54'] -> (2 * 41) - 54 base 6
[90] ['2', '42', '45'] -> 45 - (42 / 2) base 6
[91] ['2', '42', '54'] -> 2 * (54 - 42) base 6
[92] ['2', '43', '55'] -> 2 * (55 - 43) base 6
[93] ['2', '44', '50'] -> 50 - (44 / 2) base 6
[94] ['2', '50', '51'] -> 51 - (50 / 2) base 6
[95] ['2', '52', '52'] -> 52 - (52 / 2) base 6
[96] ['2', '53', '54'] -> 53 - (54 / 2) base 6
[97] ['3', '3', '11'] -> 11 + (3 * 3) base 6
[98] ['3', '3', '23'] -> 23 + (3 / 3) base 6
[99] ['3', '3', '25'] -> 25 - (3 / 3) base 6
[100] ['3', '3', '41'] -> 41 - (3 * 3) base 6
[101] ['3', '4', '4'] -> 4 + (3 * 4) base 6
[102] ['3', '4', '11'] -> 4 * (11 - 3) base 6
[103] ['3', '4', '44'] -> 44 - (3 * 4) base 6
[104] ['3', '5', '11'] -> (3 * 11) - 5 base 6
[105] ['3', '5', '51'] -> 51 - (3 * 5) base 6
[106] ['3', '5', '52'] -> 52 / (5 - 3) base 6
[107] ['3', '5', '53'] -> 5 + (53 / 3) base 6
[108] ['3', '10', '22'] -> 22 + (10 / 3) base 6
[109] ['3', '10', '30'] -> 30 - (10 / 3) base 6
[110] ['3', '10', '50'] -> 10 + (50 / 3) base 6
[111] ['3', '10', '54'] -> 54 - (3 * 10) base 6
[112] ['3', '11', '43'] -> 11 + (43 / 3) base 6
[113] ['3', '12', '12'] -> (3 * 12) - 12 base 6
[114] ['3', '12', '40'] -> 12 + (40 / 3) base 6
[115] ['3', '13', '15'] -> (3 * 13) - 15 base 6
[116] ['3', '13', '21'] -> 21 + (13 / 3) base 6
[117] ['3', '13', '31'] -> 31 - (13 / 3) base 6
[118] ['3', '13', '33'] -> 13 + (33 / 3) base 6
[119] ['3', '14', '22'] -> (3 * 14) - 22 base 6
[120] ['3', '14', '30'] -> 14 + (30 / 3) base 6
