[102] ['2', '8', '28'] -> 28 - (8 / 2) base 12
[103] ['4', '63', '6A'] -> (6A - 63) * 4 base 12
[104] ['4', '64', '6B'] -> (6B - 64) * 4 base 12
[105] ['4', '65', '70'] -> (70 - 65) * 4 base 12
[106] ['4', '66', '71'] -> (71 - 66) * 4 base 12
[107] ['4', '67', '72'] -> (72 - 67) * 4 base 12
[108] ['4', '68', '73'] -> (73 - 68) * 4 base 12
[109] ['4', '69', '74'] -> (74 - 69) * 4 base 12
[110] ['4', '6A', '75'] -> (75 - 6A) * 4 base 12
[111] ['4', '6B', '76'] -> (76 - 6B) * 4 base 12
[112] ['4', '70', '77'] -> (77 - 70) * 4 base 12
[113] ['1', '3', '9'] -> (3 * 9) + 1 base 12
[114] ['2', '8', '34'] -> (34 / 2) + 8 base 12
[115] ['4', '71', '78'] -> (78 - 71) * 4 base 12
[116] ['4', '72', '79'] -> (79 - 72) * 4 base 12
[117] ['4', '73', '7A'] -> (7A - 73) * 4 base 12
[118] ['4', '74', '7B'] -> (7B - 74) * 4 base 12
[119] ['4', '75', '80'] -> (80 - 75) * 4 base 12
[120] ['4', '76', '81'] -> (81 - 76) * 4 base 12
[121] ['4', '77', '82'] -> (82 - 77) * 4 base 12
[122] ['4', '78', '83'] -> (83 - 78) * 4 base 12
[123] ['4', '79', '84'] -> (84 - 79) * 4 base 12
[124] ['4', '7A', '85'] -> (85 - 7A) * 4 base 12
[125] ['2', '8', '38'] -> 38 - (2 * 8) base 12
[126] ['4', '7B', '86'] -> (86 - 7B) * 4 base 12
[127] ['4', '80', '87'] -> (87 - 80) * 4 base 12
[128] ['4', '81', '88'] -> (88 - 81) * 4 base 12
[129] ['4', '82', '89'] -> (89 - 82) * 4 base 12
[130] ['4', '83', '8A'] -> (8A - 83) * 4 base 12
[131] ['4', '84', '8B'] -> (8B - 84) * 4 base 12
[132] ['4', '85', '90'] -> (90 - 85) * 4 base 12
[133] ['4', '86', '91'] -> (91 - 86) * 4 base 12
[134] ['4', '87', '92'] -> (92 - 87) * 4 base 12
[135] ['4', '88', '93'] -> (93 - 88) * 4 base 12
[136] ['2', '8', '40'] -> (40 + 8) / 2 base 12
[137] ['4', '89', '94'] -> (94 - 89) * 4 base 12
[138] ['4', '8A', '95'] -> (95 - 8A) * 4 base 12
[139] ['4', '8B', '96'] -> (96 - 8B) * 4 base 12
[140] ['4', '90', '97'] -> (97 - 90) * 4 base 12
[141] ['4', '91', '98'] -> (98 - 91) * 4 base 12
[142] ['4', '92', '99'] -> (99 - 92) * 4 base 12
[143] ['4', '93', '9A'] -> (9A - 93) * 4 base 12
[144] ['4', '94', '9B'] -> (9B - 94) * 4 base 12
[145] ['4', '95', 'A0'] -> (A0 - 95) * 4 base 12
[146] ['4', '96', 'A1'] -> (A1 - 96) * 4 base 12
[147] ['2', '8', '54'] -> (54 - 8) / 2 base 12
[148] ['4', '97', 'A2'] -> (A2 - 97) * 4 base 12
[149] ['4', '98', 'A3'] -> (A3 - 98) * 4 base 12
[150] ['4', '99', 'A4'] -> (A4 - 99) * 4 base 12
[151] ['4', '9A', 'A5'] -> (A5 - 9A) * 4 base 12
[152] ['4', '9B', 'A6'] -> (A6 - 9B) * 4 base 12
[153] ['4', 'A0', 'A7'] -> (A7 - A0) * 4 base 12
[154] ['4', 'A1', 'A8'] -> (A8 - A1) * 4 base 12
[155] ['4', 'A2', 'A9'] -> (A9 - A2) * 4 base 12
[156] ['4', 'A3', 'AA'] -> (AA - A3) * 4 base 12
[157] ['4', 'A4', 'AB'] -> (AB - A4) * 4 base 12
[158] ['2', '8', '60'] -> (60 / 2) - 8 base 12
[159] ['4', 'A5', 'B0'] -> (B0 - A5) * 4 base 12
[160] ['4', 'A6', 'B1'] -> (B1 - A6) * 4 base 12
[161] ['4', 'A7', 'B2'] -> (B2 - A7) * 4 base 12
[162] ['4', 'A8', 'B3'] -> (B3 - A8) * 4 base 12
[163] ['4', 'A9', 'B4'] -> (B4 - A9) * 4 base 12
[164] ['4', 'AA', 'B5'] -> (B5 - AA) * 4 base 12
[165] ['4', 'AB', 'B6'] -> (B6 - AB) * 4 base 12
[166] ['4', 'B0', 'B7'] -> (B7 - B0) * 4 base 12
[167] ['4', 'B1', 'B8'] -> (B8 - B1) * 4 base 12
[168] ['4', 'B2', 'B9'] -> (B9 - B2) * 4 base 12
[169] ['2', '9', 'A'] -> (2 * 9) + A base 12
[170] ['4', 'B3', 'BA'] -> (BA - B3) * 4 base 12
[171] ['4', 'B4', 'BB'] -> (BB - B4) * 4 base 12
[172] ['5', '5', '23'] -> (5 / 5) + 23 base 12
[173] ['5', '5', '25'] -> 25 - (5 / 5) base 12
[174] ['5', '5', '45'] -> 45 - (5 * 5) base 12
[175] ['5', '5', '97'] -> (97 / 5) + 5 base 12
[176] ['5', '5', 'B3'] -> (5 + B3) / 5 base 12
[177] ['5', '6', '4A'] -> 4A - (5 * 6) base 12
[178] ['5', '6', '92'] -> (92 / 5) + 6 base 12
[179] ['5', '6', 'B2'] -> (6 + B2) / 5 base 12
[180] ['2', '9', '1B'] -> (1B - 9) * 2 base 12
[181] ['5', '6', 'B6'] -> (B6 / 6) + 5 base 12
[182] ['5', '7', '7'] -> (5 * 7) - 7 base 12
[183] ['5', '7', '9'] -> (9 - 5) * 7 base 12
[184] ['5', '7', '12'] -> (7 - 5) * 12 base 12
[185] ['5', '7', '48'] -> 48 / (7 - 5) base 12
[186] ['5', '7', '53'] -> 53 - (5 * 7) base 12
[187] ['5', '7', '89'] -> (89 / 5) + 7 base 12
[188] ['5', '7', 'B1'] -> (7 + B1) / 5 base 12
[189] ['5', '8', '10'] -> (5 * 8) - 10 base 12
[190] ['5', '8', '58'] -> 58 - (5 * 8) base 12
[191] ['2', '9', '32'] -> (32 / 2) + 9 base 12
[192] ['5', '8', '70'] -> 70 / (8 - 5) base 12
[193] ['5', '8', '84'] -> (84 / 5) + 8 base 12
[194] ['5', '8', 'B0'] -> (8 + B0) / 5 base 12
[195] ['5', '9', '15'] -> (5 * 9) - 15 base 12
[196] ['5', '9', '61'] -> 61 - (5 * 9) base 12
[197] ['5', '9', '7B'] -> (7B / 5) + 9 base 12
[198] ['5', '9', '94'] -> 94 / (9 - 5) base 12
[199] ['5', '9', 'AB'] -> (9 + AB) / 5 base 12
[200] ['5', 'A', '1A'] -> (5 * A) - 1A base 12
[201] ['5', 'A', '22'] -> (A / 5) + 22 base 12
[202] ['2', '9', '3A'] -> 3A - (2 * 9) base 12
[203] ['5', 'A', '26'] -> 26 - (A / 5) base 12
[204] ['5', 'A', '66'] -> 66 - (5 * A) base 12
[205] ['5', 'A', '76'] -> (76 / 5) + A base 12
[206] ['5', 'A', 'AA'] -> (A + AA) / 5 base 12
[207] ['5', 'A', 'B8'] -> B8 / (A - 5) base 12
[208] ['5', 'B', '23'] -> (5 * B) - 23 base 12
[209] ['5', 'B', '6B'] -> 6B - (5 * B) base 12
[210] ['5', 'B', '71'] -> (71 / 5) + B base 12
[211] ['5', 'B', 'A9'] -> (A9 + B) / 5 base 12
[212] ['5', '10', '28'] -> (10 * 5) - 28 base 12
[213] ['2', '9', '3B'] -> (3B + 9) / 2 base 12
[214] ['5', '10', '68'] -> (68 / 5) + 10 base 12
[215] ['5', '10', '74'] -> 74 - (10 * 5) base 12
[216] ['5', '10', 'A8'] -> (10 + A8) / 5 base 12
[217] ['5', '11', '31'] -> (11 * 5) - 31 base 12
[218] ['5', '11', '63'] -> (63 / 5) + 11 base 12
[219] ['5', '11', '79'] -> 79 - (11 * 5) base 12
[220] ['5', '11', 'A7'] -> (11 + A7) / 5 base 12
[221] ['5', '12', '36'] -> (12 * 5) - 36 base 12
[222] ['5', '12', '5A'] -> (5A / 5) + 12 base 12
[223] ['5', '12', '82'] -> 82 - (12 * 5) base 12
[224] ['1', '3', '12'] -> (3 - 1) * 12 base 12
[225] ['2', '9', '55'] -> (55 - 9) / 2 base 12
[226] ['5', '12', 'A6'] -> (12 + A6) / 5 base 12
[227] ['5', '13', '21'] -> (13 / 5) + 21 base 12
[228] ['5', '13', '27'] -> 27 - (13 / 5) base 12
[229] ['5', '13', '3B'] -> (13 * 5) - 3B base 12
[230] ['5', '13', '55'] -> (55 / 5) + 13 base 12
[231] ['5', '13', '87'] -> 87 - (13 * 5) base 12
[232] ['5', '13', 'A5'] -> (13 + A5) / 5 base 12
[233] ['5', '14', '44'] -> (14 * 5) - 44 base 12
[234] ['5', '14', '50'] -> (50 / 5) + 14 base 12
[235] ['5', '14', '90'] -> 90 - (14 * 5) base 12
[236] ['2', '9', '62'] -> (62 / 2) - 9 base 12
[237] ['5', '14', 'A4'] -> (14 + A4) / 5 base 12
[238] ['5', '15', '47'] -> (47 / 5) + 15 base 12
[239] ['5', '15', '49'] -> (15 * 5) - 49 base 12
[240] ['5', '15', '95'] -> 95 - (15 * 5) base 12
[241] ['5', '15', 'A3'] -> (15 + A3) / 5 base 12
[242] ['5', '16', '42'] -> (42 / 5) + 16 base 12
[243] ['5', '16', '52'] -> (16 * 5) - 52 base 12
[244] ['5', '16', '9A'] -> 9A - (16 * 5) base 12
[245] ['5', '16', 'A2'] -> (16 + A2) / 5 base 12
[246] ['5', '17', '39'] -> (39 / 5) + 17 base 12
[247] ['2', 'A', '17'] -> (17 * 2) - A base 12
[248] ['5', '17', '57'] -> (17 * 5) - 57 base 12
[249] ['5', '17', 'A1'] -> (17 + A1) / 5 base 12
[250] ['5', '17', 'A3'] -> A3 - (17 * 5) base 12
[251] ['5', '18', '20'] -> (18 / 5) + 20 base 12
[252] ['5', '18', '28'] -> 28 - (18 / 5) base 12
[253] ['5', '18', '34'] -> (34 / 5) + 18 base 12
[254] ['5', '18', '60'] -> (18 * 5) - 60 base 12
[255] ['5', '18', 'A0'] -> (18 + A0) / 5 base 12
[256] ['5', '18', 'A8'] -> A8 - (18 * 5) base 12
[257] ['5', '19', '2B'] -> (2B / 5) + 19 base 12
[258] ['2', 'A', '1B'] -> (A / 2) + 1B base 12
[259] ['5', '19', '65'] -> (19 * 5) - 65 base 12
[260] ['5', '19', '9B'] -> (19 + 9B) / 5 base 12
[261] ['5', '19', 'B1'] -> B1 - (19 * 5) base 12
[262] ['5', '1A', '26'] -> (26 / 5) + 1A base 12
[263] ['5', '1A', '6A'] -> (1A * 5) - 6A base 12
[264] ['5', '1A', '9A'] -> (1A + 9A) / 5 base 12
[265] ['5', '1A', 'B6'] -> B6 - (1A * 5) base 12
[266] ['5', '1B', '21'] -> (21 / 5) + 1B base 12
[267] ['5', '1B', '73'] -> (1B * 5) - 73 base 12
[268] ['5', '1B', '99'] -> (1B + 99) / 5 base 12
[269] ['2', 'A', '20'] -> (20 - A) * 2 base 12
[270] ['5', '1B', 'BB'] -> BB - (1B * 5) base 12
[271] ['5', '20', '78'] -> (20 * 5) - 78 base 12
[272] ['5', '20', '98'] -> (20 + 98) / 5 base 12
[273] ['5', '21', '29'] -> 29 - (21 / 5) base 12
[274] ['5', '21', '81'] -> (21 * 5) - 81 base 12
[275] ['5', '21', '97'] -> (21 + 97) / 5 base 12
[276] ['5', '22', '86'] -> (22 * 5) - 86 base 12
[277] ['5', '22', '96'] -> (22 + 96) / 5 base 12
[278] ['5', '23', '8B'] -> (23 * 5) - 8B base 12
[279] ['5', '23', '95'] -> (23 + 95) / 5 base 12
[280] ['2', 'A', '29'] -> 29 - (A / 2) base 12
[281] ['5', '25', '93'] -> (25 + 93) / 5 base 12
[282] ['5', '25', '99'] -> (25 * 5) - 99 base 12
[283] ['5', '26', '2A'] -> 2A - (26 / 5) base 12
[284] ['5', '26', '92'] -> (26 + 92) / 5 base 12
[285] ['5', '26', 'A2'] -> (26 * 5) - A2 base 12
[286] ['5', '27', '91'] -> (27 + 91) / 5 base 12
[287] ['5', '27', 'A7'] -> (27 * 5) - A7 base 12
[288] ['5', '28', '90'] -> (28 + 90) / 5 base 12
[289] ['5', '28', 'B0'] -> (28 * 5) - B0 base 12
[290] ['5', '29', '8B'] -> (29 + 8B) / 5 base 12
[291] ['2', 'A', '3A'] -> (3A + A) / 2 base 12
[292] ['5', '29', 'B5'] -> (29 * 5) - B5 base 12
[293] ['5', '2A', '8A'] -> (2A + 8A) / 5 base 12
[294] ['5', '2A', 'BA'] -> (2A * 5) - BA base 12
[295] ['5', '2B', '2B'] -> 2B - (2B / 5) base 12
[296] ['5', '2B', '89'] -> (2B + 89) / 5 base 12
[297] ['5', '30', '34'] -> 30 - (34 / 5) base 12
[298] ['5', '30', '88'] -> (30 + 88) / 5 base 12
[299] ['5', '31', '39'] -> 31 - (39 / 5) base 12
[300] ['5', '31', '87'] -> (31 + 87) / 5 base 12
[301] ['5', '32', '42'] -> 32 - (42 / 5) base 12
[302] ['2', 'A', '40'] -> 40 - (2 * A) base 12
[303] ['5', '32', '86'] -> (32 + 86) / 5 base 12
[304] ['5', '33', '47'] -> 33 - (47 / 5) base 12
[305] ['5', '33', '85'] -> (33 + 85) / 5 base 12
[306] ['5', '34', '50'] -> 34 - (50 / 5) base 12
[307] ['5', '34', '84'] -> (34 + 84) / 5 base 12
[308] ['5', '35', '55'] -> 35 - (55 / 5) base 12
[309] ['5', '35', '83'] -> (35 + 83) / 5 base 12
[310] ['5', '36', '5A'] -> 36 - (5A / 5) base 12
[311] ['5', '36', '82'] -> (36 + 82) / 5 base 12
