[1] ['1', '1', '12'] -> (1 + 1) * 12 base 9
[2] ['1', '3', '7'] -> (3 * 7) + 1 base 9
[3] ['2', '12', '36'] -> (12 + 36) / 2 base 9
[4] ['23', '53', '53'] -> (53 / 53) + 23 base 9
[5] ['23', '54', '54'] -> (54 / 54) + 23 base 9
[6] ['23', '55', '55'] -> (55 / 55) + 23 base 9
[7] ['23', '56', '56'] -> (56 / 56) + 23 base 9
[8] ['23', '57', '57'] -> (57 / 57) + 23 base 9
[9] ['23', '58', '58'] -> (58 / 58) + 23 base 9
[10] ['23', '60', '60'] -> (60 / 60) + 23 base 9
[11] ['23', '61', '61'] -> (61 / 61) + 23 base 9
[12] ['23', '62', '62'] -> (62 / 62) + 23 base 9
[13] ['23', '63', '63'] -> (63 / 63) + 23 base 9
[14] ['2', '12', '48'] -> 48 - (12 * 2) base 9
[15] ['23', '64', '64'] -> (64 / 64) + 23 base 9
[16] ['23', '65', '65'] -> (65 / 65) + 23 base 9
[17] ['23', '66', '66'] -> (66 / 66) + 23 base 9
[18] ['23', '67', '67'] -> (67 / 67) + 23 base 9
[19] ['23', '68', '68'] -> (68 / 68) + 23 base 9
[20] ['23', '70', '70'] -> (70 / 70) + 23 base 9
[21] ['23', '71', '71'] -> (71 / 71) + 23 base 9
[22] ['23', '72', '72'] -> (72 / 72) + 23 base 9
[23] ['23', '73', '73'] -> (73 / 73) + 23 base 9
[24] ['23', '74', '74'] -> (74 / 74) + 23 base 9
[25] ['2', '12', '61'] -> (61 - 12) / 2 base 9
[26] ['23', '75', '75'] -> (75 / 75) + 23 base 9
[27] ['23', '76', '76'] -> (76 / 76) + 23 base 9
[28] ['23', '77', '77'] -> (77 / 77) + 23 base 9
[29] ['23', '78', '78'] -> (78 / 78) + 23 base 9
[30] ['23', '80', '80'] -> (80 / 80) + 23 base 9
[31] ['23', '81', '81'] -> (81 / 81) + 23 base 9
[32] ['23', '82', '82'] -> (82 / 82) + 23 base 9
[33] ['23', '83', '83'] -> (83 / 83) + 23 base 9
[34] ['23', '84', '84'] -> (84 / 84) + 23 base 9
[35] ['23', '85', '85'] -> (85 / 85) + 23 base 9
[36] ['2', '12', '73'] -> (73 / 2) - 12 base 9
[37] ['23', '86', '86'] -> (86 / 86) + 23 base 9
[38] ['23', '87', '87'] -> (87 / 87) + 23 base 9
[39] ['23', '88', '88'] -> (88 / 88) + 23 base 9
[40] ['25', '25', '25'] -> 25 - (25 / 25) base 9
[41] ['25', '26', '26'] -> 25 - (26 / 26) base 9
[42] ['25', '26', '51'] -> 26 - (51 / 25) base 9
[43] ['25', '27', '27'] -> 25 - (27 / 27) base 9
[44] ['25', '27', '48'] -> 48 / (27 - 25) base 9
[45] ['25', '27', '76'] -> 27 - (76 / 25) base 9
[46] ['25', '28', '28'] -> 25 - (28 / 28) base 9
[47] ['2', '13', '17'] -> (13 / 2) + 17 base 9
[48] ['25', '28', '73'] -> 73 / (28 - 25) base 9
[49] ['25', '30', '30'] -> 25 - (30 / 30) base 9
[50] ['25', '31', '31'] -> 25 - (31 / 31) base 9
[51] ['25', '32', '32'] -> 25 - (32 / 32) base 9
[52] ['25', '33', '33'] -> 25 - (33 / 33) base 9
[53] ['25', '34', '34'] -> 25 - (34 / 34) base 9
[54] ['25', '35', '35'] -> 25 - (35 / 35) base 9
[55] ['25', '36', '36'] -> 25 - (36 / 36) base 9
[56] ['25', '37', '37'] -> 25 - (37 / 37) base 9
[57] ['25', '38', '38'] -> 25 - (38 / 38) base 9
[58] ['2', '13', '18'] -> (18 * 2) - 13 base 9
[59] ['25', '40', '40'] -> 25 - (40 / 40) base 9
[60] ['25', '41', '41'] -> 25 - (41 / 41) base 9
[61] ['25', '42', '42'] -> 25 - (42 / 42) base 9
[62] ['25', '43', '43'] -> 25 - (43 / 43) base 9
[63] ['25', '44', '44'] -> 25 - (44 / 44) base 9
[64] ['25', '45', '45'] -> 25 - (45 / 45) base 9
[65] ['25', '46', '46'] -> 25 - (46 / 46) base 9
[66] ['25', '47', '47'] -> 25 - (47 / 47) base 9
[67] ['25', '48', '48'] -> 25 - (48 / 48) base 9
[68] ['25', '50', '50'] -> 25 - (50 / 50) base 9
[69] ['2', '13', '22'] -> (22 / 2) + 13 base 9
[70] ['25', '51', '51'] -> 25 - (51 / 51) base 9
[71] ['25', '52', '52'] -> 25 - (52 / 52) base 9
[72] ['25', '53', '53'] -> 25 - (53 / 53) base 9
[73] ['25', '54', '54'] -> 25 - (54 / 54) base 9
[74] ['25', '55', '55'] -> 25 - (55 / 55) base 9
[75] ['25', '56', '56'] -> 25 - (56 / 56) base 9
[76] ['25', '57', '57'] -> 25 - (57 / 57) base 9
[77] ['25', '58', '58'] -> 25 - (58 / 58) base 9
[78] ['25', '60', '60'] -> 25 - (60 / 60) base 9
[79] ['25', '61', '61'] -> 25 - (61 / 61) base 9
[80] ['2', '13', '25'] -> (25 - 13) * 2 base 9
[81] ['25', '62', '62'] -> 25 - (62 / 62) base 9
[82] ['25', '63', '63'] -> 25 - (63 / 63) base 9
[83] ['25', '64', '64'] -> 25 - (64 / 64) base 9
[84] ['25', '65', '65'] -> 25 - (65 / 65) base 9
[85] ['25', '66', '66'] -> 25 - (66 / 66) base 9
[86] ['25', '67', '67'] -> 25 - (67 / 67) base 9
[87] ['25', '68', '68'] -> 25 - (68 / 68) base 9
[88] ['25', '70', '70'] -> 25 - (70 / 70) base 9
[89] ['25', '71', '71'] -> 25 - (71 / 71) base 9
[90] ['25', '72', '72'] -> 25 - (72 / 72) base 9
[91] ['2', '13', '31'] -> 31 - (13 / 2) base 9
[92] ['25', '73', '73'] -> 25 - (73 / 73) base 9
[93] ['25', '74', '74'] -> 25 - (74 / 74) base 9
[94] ['25', '75', '75'] -> 25 - (75 / 75) base 9
[95] ['25', '76', '76'] -> 25 - (76 / 76) base 9
[96] ['25', '77', '77'] -> 25 - (77 / 77) base 9
[97] ['25', '78', '78'] -> 25 - (78 / 78) base 9
[98] ['25', '80', '80'] -> 25 - (80 / 80) base 9
[99] ['25', '81', '81'] -> 25 - (81 / 81) base 9
[100] ['25', '82', '82'] -> 25 - (82 / 82) base 9
[101] ['25', '83', '83'] -> 25 - (83 / 83) base 9
[102] ['2', '13', '51'] -> 51 - (13 * 2) base 9
[103] ['25', '84', '84'] -> 25 - (84 / 84) base 9
[104] ['25', '85', '85'] -> 25 - (85 / 85) base 9
[105] ['25', '86', '86'] -> 25 - (86 / 86) base 9
[106] ['25', '87', '87'] -> 25 - (87 / 87) base 9
[107] ['25', '88', '88'] -> 25 - (88 / 88) base 9
[108] ['26', '26', '53'] -> 26 - (53 / 26) base 9
[109] ['26', '27', '55'] -> 26 - (55 / 27) base 9
[110] ['26', '27', '80'] -> 27 - (80 / 26) base 9
[111] ['26', '28', '48'] -> 48 / (28 - 26) base 9
[112] ['26', '28', '57'] -> 26 - (57 / 28) base 9
[113] ['1', '3', '12'] -> (3 - 1) * 12 base 9
[114] ['2', '13', '62'] -> (62 - 13) / 2 base 9
[115] ['26', '30', '60'] -> 26 - (60 / 30) base 9
[116] ['26', '30', '73'] -> 73 / (30 - 26) base 9
[117] ['26', '31', '62'] -> 26 - (62 / 31) base 9
[118] ['26', '32', '64'] -> 26 - (64 / 32) base 9
[119] ['26', '33', '66'] -> 26 - (66 / 33) base 9
[120] ['26', '34', '68'] -> 26 - (68 / 34) base 9
[121] ['26', '35', '71'] -> 26 - (71 / 35) base 9
[122] ['26', '36', '73'] -> 26 - (73 / 36) base 9
[123] ['26', '37', '75'] -> 26 - (75 / 37) base 9
[124] ['26', '38', '77'] -> 26 - (77 / 38) base 9
[125] ['2', '13', '75'] -> (75 / 2) - 13 base 9
[126] ['26', '40', '80'] -> 26 - (80 / 40) base 9
[127] ['26', '41', '82'] -> 26 - (82 / 41) base 9
[128] ['26', '42', '84'] -> 26 - (84 / 42) base 9
[129] ['26', '43', '86'] -> 26 - (86 / 43) base 9
[130] ['26', '44', '88'] -> 26 - (88 / 44) base 9
[131] ['27', '27', '83'] -> 27 - (83 / 27) base 9
[132] ['27', '28', '86'] -> 27 - (86 / 28) base 9
[133] ['27', '30', '48'] -> 48 / (30 - 27) base 9
[134] ['27', '31', '73'] -> 73 / (31 - 27) base 9
[135] ['28', '31', '48'] -> 48 / (31 - 28) base 9
