[102] ['2', '7', '8'] -> 2 * (7 + 8) base 13
[103] ['2', '7', '13'] -> 13 + (2 * 7) base 13
[104] ['2', '7', '19'] -> 2 * (19 - 7) base 13
[105] ['2', '7', '35'] -> 35 - (2 * 7) base 13
[106] ['2', '7', '37'] -> 7 + (37 / 2) base 13
[107] ['2', '7', '41'] -> (7 + 41) / 2 base 13
[108] ['2', '7', '52'] -> (52 - 7) / 2 base 13
[109] ['2', '7', '59'] -> (59 / 2) - 7 base 13
[110] ['2', '7', 'B7'] -> B7 / (7 - 2) base 13
[111] ['2', '8', 'B'] -> 8 + (2 * B) base 13
[112] ['2', '8', '11'] -> 11 + (2 * 8) base 13
[113] ['2', '8', '16'] -> (2 * 16) - 8 base 13
[114] ['2', '8', '1A'] -> 2 * (1A - 8) base 13
[115] ['2', '8', '20'] -> 20 + (8 / 2) base 13
[116] ['2', '8', '28'] -> 28 - (8 / 2) base 13
[117] ['2', '8', '35'] -> 8 + (35 / 2) base 13
[118] ['2', '8', '37'] -> 37 - (2 * 8) base 13
[119] ['2', '8', '40'] -> (8 + 40) / 2 base 13
[120] ['2', '8', '53'] -> (53 - 8) / 2 base 13
[121] ['2', '8', '5B'] -> (5B / 2) - 8 base 13
[122] ['2', '9', 'C'] -> C + (2 * 9) base 13
[123] ['2', '9', '1B'] -> 2 * (1B - 9) base 13
[124] ['2', '9', '33'] -> 9 + (33 / 2) base 13
[125] ['2', '9', '39'] -> 39 - (2 * 9) base 13
[126] ['2', '9', '3C'] -> (9 + 3C) / 2 base 13
[127] ['2', '9', '54'] -> (54 - 9) / 2 base 13
[128] ['2', '9', '60'] -> (60 / 2) - 9 base 13
[129] ['2', 'A', 'A'] -> A + (2 * A) base 13
[130] ['2', 'A', '17'] -> (2 * 17) - A base 13
[131] ['2', 'A', '29'] -> 29 - (A / 2) base 13
[132] ['2', 'A', '31'] -> A + (31 / 2) base 13
[133] ['2', 'A', '55'] -> (55 - A) / 2 base 13
[134] ['2', 'A', '62'] -> (62 / 2) - A base 13
[135] ['2', 'B', '20'] -> 2 * (20 - B) base 13
[136] ['2', 'B', '2C'] -> B + (2C / 2) base 13
[137] ['2', 'B', '3A'] -> (B + 3A) / 2 base 13
[138] ['2', 'B', '40'] -> 40 - (2 * B) base 13
[139] ['2', 'B', '56'] -> (56 - B) / 2 base 13
[140] ['2', 'B', '64'] -> (64 / 2) - B base 13
[141] ['2', 'C', '18'] -> (2 * 18) - C base 13
[142] ['2', 'C', '1B'] -> 1B + (C / 2) base 13
[143] ['2', 'C', '21'] -> 2 * (21 - C) base 13
[144] ['2', 'C', '39'] -> (C + 39) / 2 base 13
[145] ['2', 'C', '42'] -> 42 - (2 * C) base 13
[146] ['2', 'C', '57'] -> (57 - C) / 2 base 13
[147] ['2', 'C', '66'] -> (66 / 2) - C base 13
[148] ['2', '10', '22'] -> 2 * (22 - 10) base 13
[149] ['2', '10', '28'] -> 10 + (28 / 2) base 13
[150] ['2', '10', '38'] -> (10 + 38) / 2 base 13
[151] ['2', '10', '44'] -> 44 - (2 * 10) base 13
[152] ['2', '10', '58'] -> (58 - 10) / 2 base 13
[153] ['2', '10', '68'] -> (68 / 2) - 10 base 13
[154] ['2', '11', '19'] -> (2 * 19) - 11 base 13
[155] ['2', '11', '1A'] -> 1A + (11 / 2) base 13
[156] ['2', '11', '23'] -> 2 * (23 - 11) base 13
[157] ['2', '11', '26'] -> 11 + (26 / 2) base 13
[158] ['2', '11', '2B'] -> 2B - (11 / 2) base 13
[159] ['2', '11', '46'] -> 46 - (2 * 11) base 13
[160] ['2', '11', '59'] -> (59 - 11) / 2 base 13
[161] ['2', '11', '6A'] -> (6A / 2) - 11 base 13
[162] ['2', '12', '36'] -> (12 + 36) / 2 base 13
[163] ['2', '12', '48'] -> 48 - (2 * 12) base 13
[164] ['2', '12', '5A'] -> (5A - 12) / 2 base 13
[165] ['2', '12', '6C'] -> (6C / 2) - 12 base 13
[166] ['2', '13', '19'] -> 19 + (13 / 2) base 13
[167] ['2', '13', '1A'] -> (2 * 1A) - 13 base 13
[168] ['2', '13', '22'] -> 13 + (22 / 2) base 13
[169] ['2', '13', '25'] -> 2 * (25 - 13) base 13
[170] ['2', '13', '2C'] -> 2C - (13 / 2) base 13
[171] ['2', '13', '4A'] -> 4A - (2 * 13) base 13
[172] ['2', '13', '5B'] -> (5B - 13) / 2 base 13
[173] ['2', '13', '71'] -> (71 / 2) - 13 base 13
[174] ['2', '14', '20'] -> 14 + (20 / 2) base 13
[175] ['2', '14', '26'] -> 2 * (26 - 14) base 13
[176] ['2', '14', '34'] -> (14 + 34) / 2 base 13
[177] ['2', '14', '4C'] -> 4C - (2 * 14) base 13
[178] ['2', '14', '5C'] -> (5C - 14) / 2 base 13
[179] ['2', '14', '73'] -> (73 / 2) - 14 base 13
[180] ['2', '15', '18'] -> 18 + (15 / 2) base 13
[181] ['2', '15', '27'] -> 2 * (27 - 15) base 13
[182] ['2', '15', '30'] -> 30 - (15 / 2) base 13
[183] ['2', '15', '33'] -> (15 + 33) / 2 base 13
[184] ['2', '15', '51'] -> 51 - (2 * 15) base 13
[185] ['2', '15', '60'] -> (60 - 15) / 2 base 13
[186] ['2', '15', '75'] -> (75 / 2) - 15 base 13
[187] ['2', '16', '19'] -> 16 + (19 / 2) base 13
[188] ['2', '16', '28'] -> 2 * (28 - 16) base 13
[189] ['2', '16', '32'] -> (16 + 32) / 2 base 13
[190] ['2', '16', '53'] -> 53 - (2 * 16) base 13
[191] ['2', '16', '61'] -> (61 - 16) / 2 base 13
[192] ['2', '16', '77'] -> (77 / 2) - 16 base 13
[193] ['2', '17', '17'] -> 17 + (17 / 2) base 13
[194] ['2', '17', '1C'] -> (2 * 1C) - 17 base 13
[195] ['2', '17', '29'] -> 2 * (29 - 17) base 13
[196] ['2', '17', '55'] -> 55 - (2 * 17) base 13
[197] ['2', '17', '62'] -> (62 - 17) / 2 base 13
[198] ['2', '17', '79'] -> (79 / 2) - 17 base 13
[199] ['2', '18', '2A'] -> 2 * (2A - 18) base 13
[200] ['2', '18', '30'] -> (18 + 30) / 2 base 13
[201] ['2', '18', '57'] -> 57 - (2 * 18) base 13
[202] ['2', '18', '63'] -> (63 - 18) / 2 base 13
[203] ['2', '18', '7B'] -> (7B / 2) - 18 base 13
[204] ['2', '19', '20'] -> (2 * 20) - 19 base 13
[205] ['2', '19', '2B'] -> 2 * (2B - 19) base 13
[206] ['2', '19', '2C'] -> (19 + 2C) / 2 base 13
[207] ['2', '19', '32'] -> 32 - (19 / 2) base 13
[208] ['2', '19', '59'] -> 59 - (2 * 19) base 13
[209] ['2', '19', '64'] -> (64 - 19) / 2 base 13
[210] ['2', '19', '80'] -> (80 / 2) - 19 base 13
[211] ['2', '1A', '2B'] -> (1A + 2B) / 2 base 13
[212] ['2', '1A', '2C'] -> 2 * (2C - 1A) base 13
[213] ['2', '1A', '5B'] -> 5B - (2 * 1A) base 13
[214] ['2', '1A', '65'] -> (65 - 1A) / 2 base 13
[215] ['2', '1A', '82'] -> (82 / 2) - 1A base 13
[216] ['2', '1B', '21'] -> (2 * 21) - 1B base 13
[217] ['2', '1B', '2A'] -> (1B + 2A) / 2 base 13
[218] ['2', '1B', '30'] -> 2 * (30 - 1B) base 13
[219] ['2', '1B', '33'] -> 33 - (1B / 2) base 13
[220] ['2', '1B', '60'] -> 60 - (2 * 1B) base 13
[221] ['2', '1B', '66'] -> (66 - 1B) / 2 base 13
[222] ['2', '1B', '84'] -> (84 / 2) - 1B base 13
[223] ['2', '1C', '29'] -> (1C + 29) / 2 base 13
[224] ['2', '1C', '31'] -> 2 * (31 - 1C) base 13
[225] ['2', '1C', '62'] -> 62 - (2 * 1C) base 13
[226] ['2', '1C', '67'] -> (67 - 1C) / 2 base 13
[227] ['2', '1C', '86'] -> (86 / 2) - 1C base 13
[228] ['2', '20', '22'] -> (2 * 22) - 20 base 13
[229] ['2', '20', '28'] -> (20 + 28) / 2 base 13
[230] ['2', '20', '32'] -> 2 * (32 - 20) base 13
[231] ['2', '20', '34'] -> 34 - (20 / 2) base 13
[232] ['2', '20', '64'] -> 64 - (2 * 20) base 13
[233] ['2', '20', '68'] -> (68 - 20) / 2 base 13
[234] ['2', '20', '88'] -> (88 / 2) - 20 base 13
[235] ['2', '21', '27'] -> (21 + 27) / 2 base 13
[236] ['2', '21', '33'] -> 2 * (33 - 21) base 13
[237] ['2', '21', '66'] -> 66 - (2 * 21) base 13
[238] ['2', '21', '69'] -> (69 - 21) / 2 base 13
[239] ['2', '21', '8A'] -> (8A / 2) - 21 base 13
[240] ['2', '22', '23'] -> (2 * 23) - 22 base 13
[241] ['2', '22', '26'] -> (22 + 26) / 2 base 13
[242] ['2', '22', '34'] -> 2 * (34 - 22) base 13
[243] ['2', '22', '35'] -> 35 - (22 / 2) base 13
[244] ['2', '22', '68'] -> 68 - (2 * 22) base 13
[245] ['2', '22', '6A'] -> (6A - 22) / 2 base 13
[246] ['2', '22', '8C'] -> (8C / 2) - 22 base 13
[247] ['2', '23', '25'] -> (23 + 25) / 2 base 13
[248] ['2', '23', '35'] -> 2 * (35 - 23) base 13
[249] ['2', '23', '6A'] -> 6A - (2 * 23) base 13
[250] ['2', '23', '6B'] -> (6B - 23) / 2 base 13
[251] ['2', '23', '91'] -> (91 / 2) - 23 base 13
[252] ['2', '24', '93'] -> (93 / 2) - 24 base 13
[253] ['2', '25', '26'] -> (2 * 25) - 26 base 13
[254] ['2', '25', '37'] -> 2 * (37 - 25) base 13
[255] ['2', '25', '70'] -> (70 - 25) / 2 base 13
[256] ['2', '25', '71'] -> 71 - (2 * 25) base 13
[257] ['2', '25', '95'] -> (95 / 2) - 25 base 13
[258] ['2', '26', '28'] -> (2 * 26) - 28 base 13
[259] ['2', '26', '37'] -> 37 - (26 / 2) base 13
[260] ['2', '26', '38'] -> 2 * (38 - 26) base 13
[261] ['2', '26', '71'] -> (71 - 26) / 2 base 13
[262] ['2', '26', '73'] -> 73 - (2 * 26) base 13
[263] ['2', '26', '97'] -> (97 / 2) - 26 base 13
[264] ['2', '27', '2A'] -> (2 * 27) - 2A base 13
[265] ['2', '27', '39'] -> 2 * (39 - 27) base 13
[266] ['2', '27', '72'] -> (72 - 27) / 2 base 13
[267] ['2', '27', '75'] -> 75 - (2 * 27) base 13
[268] ['2', '27', '99'] -> (99 / 2) - 27 base 13
[269] ['2', '28', '2C'] -> (2 * 28) - 2C base 13
[270] ['2', '28', '38'] -> 38 - (28 / 2) base 13
[271] ['2', '28', '3A'] -> 2 * (3A - 28) base 13
[272] ['2', '28', '73'] -> (73 - 28) / 2 base 13
[273] ['2', '28', '77'] -> 77 - (2 * 28) base 13
[274] ['2', '28', '9B'] -> (9B / 2) - 28 base 13
[275] ['2', '29', '31'] -> (2 * 29) - 31 base 13
[276] ['2', '29', '3B'] -> 2 * (3B - 29) base 13
[277] ['2', '29', '74'] -> (74 - 29) / 2 base 13
[278] ['2', '29', '79'] -> 79 - (2 * 29) base 13
[279] ['2', '29', 'A0'] -> (A0 / 2) - 29 base 13
[280] ['2', '2A', '33'] -> (2 * 2A) - 33 base 13
[281] ['2', '2A', '39'] -> 39 - (2A / 2) base 13
[282] ['2', '2A', '3C'] -> 2 * (3C - 2A) base 13
[283] ['2', '2A', '75'] -> (75 - 2A) / 2 base 13
[284] ['2', '2A', '7B'] -> 7B - (2 * 2A) base 13
[285] ['2', '2A', 'A2'] -> (A2 / 2) - 2A base 13
