[1] ['1', '1', '12'] -> (1 + 1) * 12 base 5
[2] ['2', '2', '23'] -> (2 / 2) + 23 base 5
[3] ['4', '13', '44'] -> (44 / 4) + 13 base 5
[4] ['4', '14', '40'] -> (40 / 4) + 14 base 5
[5] ['4', '14', '42'] -> (14 * 4) - 42 base 5
[6] ['4', '20', '31'] -> (31 / 4) + 20 base 5
[7] ['4', '21', '22'] -> (22 / 4) + 21 base 5
[8] ['4', '22', '32'] -> 32 - (22 / 4) base 5
[9] ['4', '31', '33'] -> 33 - (31 / 4) base 5
[10] ['4', '34', '40'] -> 34 - (40 / 4) base 5
[11] ['4', '40', '44'] -> 40 - (44 / 4) base 5
[12] ['10', '10', '21'] -> (10 * 10) - 21 base 5
[13] ['2', '2', '30'] -> 30 - (2 / 2) base 5
[14] ['10', '10', '23'] -> (10 / 10) + 23 base 5
[15] ['10', '10', '30'] -> 30 - (10 / 10) base 5
[16] ['10', '11', '31'] -> (10 * 11) - 31 base 5
[17] ['10', '12', '12'] -> (12 - 10) * 12 base 5
[18] ['10', '12', '41'] -> (10 * 12) - 41 base 5
[19] ['10', '20', '22'] -> (20 / 10) + 22 base 5
[20] ['10', '20', '31'] -> 31 - (20 / 10) base 5
[21] ['10', '20', '40'] -> (40 / 10) + 20 base 5
[22] ['10', '21', '30'] -> (30 / 10) + 21 base 5
[23] ['10', '30', '32'] -> 32 - (30 / 10) base 5
[24] ['2', '2', '44'] -> (44 / 2) + 2 base 5
[25] ['10', '33', '40'] -> 33 - (40 / 10) base 5
[26] ['11', '11', '23'] -> (11 / 11) + 23 base 5
[27] ['11', '11', '30'] -> 30 - (11 / 11) base 5
[28] ['11', '11', '42'] -> (11 * 11) - 42 base 5
[29] ['11', '12', '13'] -> (13 - 11) * 12 base 5
[30] ['11', '20', '44'] -> (44 / 11) + 20 base 5
[31] ['11', '21', '33'] -> (33 / 11) + 21 base 5
[32] ['11', '22', '22'] -> (22 / 11) + 22 base 5
[33] ['11', '22', '31'] -> 31 - (22 / 11) base 5
[34] ['11', '32', '33'] -> 32 - (33 / 11) base 5
[35] ['2', '3', '13'] -> (2 * 3) + 13 base 5
[36] ['11', '33', '44'] -> 33 - (44 / 11) base 5
[37] ['12', '12', '14'] -> (14 - 12) * 12 base 5
[38] ['12', '12', '23'] -> (12 / 12) + 23 base 5
[39] ['12', '12', '30'] -> 30 - (12 / 12) base 5
[40] ['12', '13', '20'] -> (20 - 13) * 12 base 5
[41] ['12', '14', '21'] -> (21 - 14) * 12 base 5
[42] ['12', '20', '22'] -> (22 - 20) * 12 base 5
[43] ['12', '21', '23'] -> (23 - 21) * 12 base 5
[44] ['12', '21', '41'] -> (41 / 12) + 21 base 5
[45] ['12', '23', '30'] -> (30 - 23) * 12 base 5
[46] ['2', '3', '20'] -> (20 - 3) * 2 base 5
[47] ['12', '30', '32'] -> (32 - 30) * 12 base 5
[48] ['12', '31', '33'] -> (33 - 31) * 12 base 5
[49] ['12', '32', '34'] -> (34 - 32) * 12 base 5
[50] ['12', '32', '41'] -> 32 - (41 / 12) base 5
[51] ['12', '33', '40'] -> (40 - 33) * 12 base 5
[52] ['12', '34', '41'] -> (41 - 34) * 12 base 5
[53] ['12', '40', '42'] -> (42 - 40) * 12 base 5
[54] ['12', '41', '43'] -> (43 - 41) * 12 base 5
[55] ['12', '42', '44'] -> (44 - 42) * 12 base 5
[56] ['13', '13', '23'] -> (13 / 13) + 23 base 5
[57] ['2', '3', '40'] -> 40 - (2 * 3) base 5
[58] ['13', '13', '30'] -> 30 - (13 / 13) base 5
[59] ['13', '21', '44'] -> (44 / 13) + 21 base 5
[60] ['13', '22', '31'] -> (31 / 13) + 22 base 5
[61] ['13', '31', '31'] -> 31 - (31 / 13) base 5
[62] ['13', '32', '44'] -> 32 - (44 / 13) base 5
[63] ['14', '14', '23'] -> (14 / 14) + 23 base 5
[64] ['14', '14', '30'] -> 30 - (14 / 14) base 5
[65] ['14', '22', '33'] -> (33 / 14) + 22 base 5
[66] ['14', '31', '33'] -> 31 - (33 / 14) base 5
[67] ['20', '20', '23'] -> (20 / 20) + 23 base 5
[68] ['2', '3', '42'] -> (42 / 2) + 3 base 5
[69] ['20', '20', '30'] -> 30 - (20 / 20) base 5
[70] ['20', '22', '40'] -> (40 / 20) + 22 base 5
[71] ['21', '21', '23'] -> (21 / 21) + 23 base 5
[72] ['21', '21', '30'] -> 30 - (21 / 21) base 5
[73] ['21', '22', '42'] -> (42 / 21) + 22 base 5
[74] ['21', '31', '42'] -> 31 - (42 / 21) base 5
[75] ['22', '22', '23'] -> (22 / 22) + 23 base 5
[76] ['22', '22', '30'] -> 30 - (22 / 22) base 5
[77] ['22', '22', '44'] -> (44 / 22) + 22 base 5
[78] ['22', '31', '44'] -> 31 - (44 / 22) base 5
[79] ['2', '4', '4'] -> (4 * 4) - 2 base 5
[80] ['23', '23', '23'] -> (23 / 23) + 23 base 5
[81] ['23', '23', '30'] -> 30 - (23 / 23) base 5
[82] ['23', '30', '30'] -> (30 / 30) + 23 base 5
[83] ['23', '31', '31'] -> (31 / 31) + 23 base 5
[84] ['23', '32', '32'] -> (32 / 32) + 23 base 5
[85] ['23', '33', '33'] -> (33 / 33) + 23 base 5
[86] ['23', '34', '34'] -> (34 / 34) + 23 base 5
[87] ['23', '40', '40'] -> (40 / 40) + 23 base 5
[88] ['23', '41', '41'] -> (41 / 41) + 23 base 5
[89] ['23', '42', '42'] -> (42 / 42) + 23 base 5
[90] ['2', '4', '10'] -> (10 * 2) + 4 base 5
[91] ['23', '43', '43'] -> (43 / 43) + 23 base 5
[92] ['23', '44', '44'] -> (44 / 44) + 23 base 5
[93] ['30', '30', '30'] -> 30 - (30 / 30) base 5
[94] ['30', '31', '31'] -> 30 - (31 / 31) base 5
[95] ['30', '32', '32'] -> 30 - (32 / 32) base 5
[96] ['30', '33', '33'] -> 30 - (33 / 33) base 5
[97] ['30', '34', '34'] -> 30 - (34 / 34) base 5
[98] ['30', '40', '40'] -> 30 - (40 / 40) base 5
[99] ['30', '41', '41'] -> 30 - (41 / 41) base 5
[100] ['30', '42', '42'] -> 30 - (42 / 42) base 5
[101] ['2', '4', '11'] -> (2 * 4) + 11 base 5
[102] ['30', '43', '43'] -> 30 - (43 / 43) base 5
[103] ['30', '44', '44'] -> 30 - (44 / 44) base 5
[104] ['1', '2', '11'] -> (1 + 11) * 2 base 5
[105] ['2', '4', '14'] -> (14 * 2) - 4 base 5
[106] ['2', '4', '21'] -> (21 - 4) * 2 base 5
[107] ['2', '4', '42'] -> 42 - (2 * 4) base 5
[108] ['2', '4', '44'] -> (4 + 44) / 2 base 5
[109] ['2', '10', '22'] -> (22 - 10) * 2 base 5
[110] ['2', '10', '33'] -> (33 / 2) + 10 base 5
[111] ['2', '10', '43'] -> (10 + 43) / 2 base 5
[112] ['2', '10', '44'] -> 44 - (10 * 2) base 5
