[101] ['2', '6', '12'] -> 12 + (2 * 6) mod 29
[102] ['2', '6', '17'] -> (2 * 6) - 17 mod 29
[103] ['2', '6', '21'] -> 21 + (6 / 2) mod 29
[104] ['2', '6', '22'] -> 6 - (22 / 2) mod 29
[105] ['2', '6', '25'] -> (25 - 6) / 2 mod 29
[106] ['2', '6', '26'] -> (2 + 26) / 6 mod 29
[107] ['2', '7', '16'] -> 16 - (2 / 7) mod 29
[108] ['2', '7', '20'] -> 2 - (20 / 7) mod 29
[109] ['2', '7', '21'] -> (2 + 21) / 7 mod 29
[110] ['2', '8', '10'] -> 2 + (8 * 10) mod 29
[111] ['2', '8', '12'] -> 8 / (12 - 2) mod 29
[112] ['2', '8', '17'] -> 17 - (2 / 8) mod 29
[113] ['2', '8', '19'] -> 2 - (8 * 19) mod 29
[114] ['2', '8', '22'] -> (8 - 2) / 22 mod 29
[115] ['2', '9', '9'] -> 9 * (2 - 9) mod 29
[116] ['2', '9', '10'] -> (9 + 10) / 2 mod 29
[117] ['2', '9', '14'] -> 14 - (9 / 2) mod 29
[118] ['2', '10', '21'] -> 2 - (10 * 21) mod 29
[119] ['2', '10', '23'] -> (2 - 23) / 10 mod 29
[120] ['2', '11', '12'] -> (12 / 2) - 11 mod 29
[121] ['2', '11', '17'] -> 17 - (2 * 11) mod 29
[122] ['2', '11', '26'] -> 11 + (26 / 2) mod 29
[123] ['2', '12', '13'] -> 12 / (2 + 13) mod 29
[124] ['2', '12', '16'] -> 12 / (2 - 16) mod 29
[125] ['2', '12', '23'] -> 12 - (2 * 23) mod 29
[126] ['2', '12', '27'] -> (12 - 2) / 27 mod 29
[127] ['2', '13', '27'] -> 27 + (2 * 13) mod 29
[128] ['2', '13', '28'] -> 2 * (13 + 28) mod 29
[129] ['2', '14', '25'] -> 25 + (2 * 14) mod 29
[130] ['2', '15', '15'] -> 2 + (15 * 15) mod 29
[131] ['2', '15', '16'] -> 16 * (2 - 15) mod 29
[132] ['2', '16', '17'] -> 17 / (16 - 2) mod 29
[133] ['2', '17', '17'] -> 17 / (2 - 17) mod 29
[134] ['2', '17', '22'] -> (17 * 22) - 2 mod 29
[135] ['2', '17', '27'] -> (17 - 27) / 2 mod 29
[136] ['2', '18', '27'] -> 2 + (18 * 27) mod 29
[137] ['2', '19', '21'] -> 2 + (19 * 21) mod 29
[138] ['2', '19', '23'] -> (23 - 2) / 19 mod 29
[139] ['2', '20', '25'] -> 2 - (20 * 25) mod 29
[140] ['2', '20', '28'] -> (20 + 28) / 2 mod 29
[141] ['2', '21', '21'] -> 21 / (21 - 2) mod 29
[142] ['2', '21', '26'] -> 2 + (21 / 26) mod 29
[143] ['2', '22', '22'] -> 22 * (2 - 22) mod 29
[144] ['2', '22', '23'] -> (2 * 23) - 22 mod 29
[145] ['2', '23', '25'] -> (23 + 25) / 2 mod 29
[146] ['2', '25', '25'] -> 25 * (25 - 2) mod 29
[147] ['3', '3', '6'] -> (3 / 3) - 6 mod 29
[148] ['3', '3', '7'] -> 3 + (3 * 7) mod 29
[149] ['3', '3', '8'] -> 3 / (3 + 8) mod 29
[150] ['3', '3', '9'] -> (3 * 9) - 3 mod 29
[151] ['3', '3', '15'] -> 15 + (3 * 3) mod 29
