[101] ['1', '7', '25'] -> 1 / (7 + 25) mod 59
[102] ['1', '7', '26'] -> 26 / (7 - 1) mod 59
[103] ['1', '7', '33'] -> 33 / (1 - 7) mod 59
[104] ['1', '7', '34'] -> 1 / (7 - 34) mod 59
[105] ['1', '7', '37'] -> 1 + (7 * 37) mod 59
[106] ['1', '7', '39'] -> 1 / (39 - 7) mod 59
[107] ['1', '7', '40'] -> (1 / 40) - 7 mod 59
[108] ['1', '7', '44'] -> (1 - 7) / 44 mod 59
[109] ['1', '7', '46'] -> 7 / (1 + 46) mod 59
[110] ['1', '7', '48'] -> 7 / (48 - 1) mod 59
[111] ['1', '7', '49'] -> (1 + 49) / 7 mod 59
[112] ['1', '7', '53'] -> 7 * (1 + 53) mod 59
[113] ['1', '7', '57'] -> (57 / 7) - 1 mod 59
[114] ['1', '8', '9'] -> 9 / (1 - 8) mod 59
[115] ['1', '8', '11'] -> 8 - (1 / 11) mod 59
[116] ['1', '8', '12'] -> (1 - 8) / 12 mod 59
[117] ['1', '8', '13'] -> (1 / 8) - 13 mod 59
[118] ['1', '8', '14'] -> (1 + 14) / 8 mod 59
[119] ['1', '8', '19'] -> 8 / (1 + 19) mod 59
[120] ['1', '8', '21'] -> 8 / (21 - 1) mod 59
[121] ['1', '8', '23'] -> (23 / 8) - 1 mod 59
[122] ['1', '8', '25'] -> 1 + (8 * 25) mod 59
[123] ['1', '8', '26'] -> 1 + (8 / 26) mod 59
[124] ['1', '8', '34'] -> 1 - (8 * 34) mod 59
[125] ['1', '8', '35'] -> 1 / (8 - 35) mod 59
[126] ['1', '8', '39'] -> 39 / (1 + 8) mod 59
[127] ['1', '8', '45'] -> (1 - 45) / 8 mod 59
[128] ['1', '8', '46'] -> 46 + (1 / 8) mod 59
[129] ['1', '8', '47'] -> (8 - 1) / 47 mod 59
[130] ['1', '8', '48'] -> 8 + (1 / 48) mod 59
[131] ['1', '8', '50'] -> 50 / (8 - 1) mod 59
[132] ['1', '8', '54'] -> 54 * (8 - 1) mod 59
[133] ['1', '8', '57'] -> 8 * (1 - 57) mod 59
[134] ['1', '9', '11'] -> 11 - (1 / 9) mod 59
[135] ['1', '9', '18'] -> 9 * (1 - 18) mod 59
[136] ['1', '9', '20'] -> (9 - 1) / 20 mod 59
[137] ['1', '9', '21'] -> (1 - 21) / 9 mod 59
[138] ['1', '9', '22'] -> (1 / 9) - 22 mod 59
[139] ['1', '9', '23'] -> 1 / (9 + 23) mod 59
[140] ['1', '9', '25'] -> (1 + 9) / 25 mod 59
[141] ['1', '9', '26'] -> 26 * (1 + 9) mod 59
[142] ['1', '9', '30'] -> 1 + (30 / 9) mod 59
[143] ['1', '9', '36'] -> 1 / (9 - 36) mod 59
[144] ['1', '9', '37'] -> 37 + (1 / 9) mod 59
[145] ['1', '9', '38'] -> (1 + 38) / 9 mod 59
[146] ['1', '9', '40'] -> (40 - 1) / 9 mod 59
[147] ['1', '9', '48'] -> (48 / 9) - 1 mod 59
[148] ['1', '9', '51'] -> 9 / (1 + 51) mod 59
[149] ['1', '9', '53'] -> 9 / (53 - 1) mod 59
[150] ['1', '9', '57'] -> (9 / 57) - 1 mod 59
[151] ['1', '10', '17'] -> 17 * (1 - 10) mod 59
[152] ['1', '10', '18'] -> 18 + (1 / 10) mod 59
[153] ['1', '10', '21'] -> 10 - (1 / 21) mod 59
[154] ['1', '10', '22'] -> 1 / (10 + 22) mod 59
[155] ['1', '10', '27'] -> 10 * (27 - 1) mod 59
[156] ['1', '10', '28'] -> 28 / (1 + 10) mod 59
[157] ['1', '10', '29'] -> 29 * (1 + 10) mod 59
[158] ['1', '10', '30'] -> 30 - (1 / 10) mod 59
[159] ['1', '10', '32'] -> (10 * 32) - 1 mod 59
[160] ['1', '10', '37'] -> 1 / (10 - 37) mod 59
[161] ['1', '10', '38'] -> 10 + (1 / 38) mod 59
[162] ['1', '10', '41'] -> (1 / 10) - 41 mod 59
[163] ['1', '10', '52'] -> (10 - 1) / 52 mod 59
[164] ['1', '10', '53'] -> 1 + (53 / 10) mod 59
[165] ['1', '10', '57'] -> (1 + 10) / 57 mod 59
[166] ['1', '11', '17'] -> 1 + (17 / 11) mod 59
[167] ['1', '11', '26'] -> 26 * (11 - 1) mod 59
[168] ['1', '11', '31'] -> 11 * (1 - 31) mod 59
[169] ['1', '11', '32'] -> (1 - 32) / 11 mod 59
[170] ['1', '11', '33'] -> 33 * (1 - 11) mod 59
[171] ['1', '11', '39'] -> (39 / 11) - 1 mod 59
[172] ['1', '11', '40'] -> 40 + (1 / 11) mod 59
[173] ['1', '11', '42'] -> 1 - (42 / 11) mod 59
[174] ['1', '11', '43'] -> 1 / (43 - 11) mod 59
[175] ['1', '11', '52'] -> 52 / (1 + 11) mod 59
[176] ['1', '11', '55'] -> 55 / (1 - 11) mod 59
[177] ['1', '11', '56'] -> 11 / (1 + 56) mod 59
[178] ['1', '11', '58'] -> 11 / (58 - 1) mod 59
[179] ['1', '12', '28'] -> 28 / (12 - 1) mod 59
[180] ['1', '12', '41'] -> (1 / 41) - 12 mod 59
[181] ['1', '12', '44'] -> 1 / (44 - 12) mod 59
[182] ['1', '12', '51'] -> (1 + 51) / 12 mod 59
[183] ['1', '12', '53'] -> (53 - 1) / 12 mod 59
[184] ['1', '12', '54'] -> 12 - (1 / 54) mod 59
[185] ['1', '12', '56'] -> 1 + (12 * 56) mod 59
[186] ['1', '12', '57'] -> (12 - 1) / 57 mod 59
[187] ['1', '12', '58'] -> 12 * (1 - 58) mod 59
[188] ['1', '13', '15'] -> 15 - (1 / 13) mod 59
[189] ['1', '13', '18'] -> (18 - 1) / 13 mod 59
[190] ['1', '13', '21'] -> 13 * (21 - 1) mod 59
[191] ['1', '13', '26'] -> (1 / 13) - 26 mod 59
[192] ['1', '13', '27'] -> 27 * (1 + 13) mod 59
[193] ['1', '13', '33'] -> 33 + (1 / 13) mod 59
[194] ['1', '13', '35'] -> (1 + 13) / 35 mod 59
[195] ['1', '13', '41'] -> 41 / (1 + 13) mod 59
[196] ['1', '13', '45'] -> 1 / (45 - 13) mod 59
[197] ['1', '13', '52'] -> 52 / (13 - 1) mod 59
[198] ['1', '13', '55'] -> 1 - (55 / 13) mod 59
[199] ['1', '14', '14'] -> (1 / 14) - 14 mod 59
[200] ['1', '14', '16'] -> 1 + (14 / 16) mod 59
[201] ['1', '14', '17'] -> 17 / (14 - 1) mod 59
[202] ['1', '14', '18'] -> 1 / (14 + 18) mod 59
[203] ['1', '14', '19'] -> (1 - 19) / 14 mod 59
[204] ['1', '14', '20'] -> 20 * (14 - 1) mod 59
[205] ['1', '14', '25'] -> 14 / (1 - 25) mod 59
[206] ['1', '14', '26'] -> 14 * (1 + 26) mod 59
[207] ['1', '14', '28'] -> 14 * (28 - 1) mod 59
[208] ['1', '14', '32'] -> 1 - (32 / 14) mod 59
[209] ['1', '14', '33'] -> 14 * (1 - 33) mod 59
[210] ['1', '14', '34'] -> 14 / (1 + 34) mod 59
[211] ['1', '14', '40'] -> (1 + 40) / 14 mod 59
[212] ['1', '14', '43'] -> 1 - (14 / 43) mod 59
[213] ['1', '14', '45'] -> 45 + (1 / 14) mod 59
[214] ['1', '14', '46'] -> 1 / (46 - 14) mod 59
[215] ['1', '14', '53'] -> 14 - (1 / 53) mod 59
