[101] ['1', '7', '8'] -> 7 * (1 - 8) mod 73
[102] ['1', '7', '13'] -> 1 + (7 / 13) mod 73
[103] ['1', '7', '14'] -> (7 * 14) - 1 mod 73
[104] ['1', '7', '15'] -> 1 + (15 / 7) mod 73
[105] ['1', '7', '21'] -> (1 + 21) / 7 mod 73
[106] ['1', '7', '23'] -> (23 - 1) / 7 mod 73
[107] ['1', '7', '28'] -> 1 - (7 * 28) mod 73
[108] ['1', '7', '29'] -> (29 / 7) - 1 mod 73
[109] ['1', '7', '33'] -> (1 / 33) - 7 mod 73
[110] ['1', '7', '46'] -> 46 / (1 + 7) mod 73
[111] ['1', '7', '47'] -> (7 / 47) - 1 mod 73
[112] ['1', '7', '49'] -> (1 + 7) / 49 mod 73
[113] ['1', '7', '51'] -> 7 / (1 + 51) mod 73
[114] ['1', '7', '53'] -> 7 / (53 - 1) mod 73
[115] ['1', '7', '58'] -> 1 - (58 / 7) mod 73
[116] ['1', '7', '60'] -> 1 - (7 / 60) mod 73
[117] ['1', '7', '63'] -> 1 / (7 + 63) mod 73
[118] ['1', '7', '65'] -> 7 * (1 + 65) mod 73
[119] ['1', '7', '67'] -> 7 * (67 - 1) mod 73
[120] ['1', '7', '69'] -> 69 * (1 - 7) mod 73
[121] ['1', '7', '70'] -> (1 / 7) - 70 mod 73
[122] ['1', '7', '71'] -> 71 / (7 - 1) mod 73
[123] ['1', '8', '11'] -> 1 / (8 - 11) mod 73
[124] ['1', '8', '21'] -> (1 - 8) / 21 mod 73
[125] ['1', '8', '22'] -> 22 / (8 - 1) mod 73
[126] ['1', '8', '25'] -> 8 / (1 - 25) mod 73
[127] ['1', '8', '28'] -> (1 - 28) / 8 mod 73
[128] ['1', '8', '35'] -> 1 - (35 / 8) mod 73
[129] ['1', '8', '38'] -> 1 + (38 / 8) mod 73
[130] ['1', '8', '40'] -> (1 / 8) - 40 mod 73
[131] ['1', '8', '41'] -> 8 - (1 / 41) mod 73
[132] ['1', '8', '45'] -> (1 + 45) / 8 mod 73
[133] ['1', '8', '47'] -> (47 - 1) / 8 mod 73
[134] ['1', '8', '48'] -> 8 / (1 + 48) mod 73
[135] ['1', '8', '50'] -> 8 / (50 - 1) mod 73
[136] ['1', '8', '51'] -> 51 / (1 - 8) mod 73
[137] ['1', '8', '52'] -> (8 - 1) / 52 mod 73
[138] ['1', '8', '54'] -> (54 / 8) - 1 mod 73
[139] ['1', '8', '61'] -> 1 - (8 * 61) mod 73
[140] ['1', '8', '62'] -> 1 / (8 + 62) mod 73
[141] ['1', '8', '66'] -> 66 * (8 - 1) mod 73
[142] ['1', '8', '70'] -> 70 / (1 + 8) mod 73
[143] ['1', '8', '71'] -> 8 * (1 - 71) mod 73
