[75] ['1', '3', '30', '30', '30'] -> 30 - (3 * (1 + (30 / 30)))
[76] ['1', '4', '4', '4', '17'] -> (4 + (4 * 17)) / (4 - 1)
[77] ['1', '4', '10', '23', '23'] -> 4 + (10 * (1 + (23 / 23)))
[78] ['1', '4', '13', '23', '27'] -> 27 * (1 - (4 / (13 + 23)))
[79] ['1', '4', '13', '25', '29'] -> (25 + 29) / ((13 / 4) - 1)
[80] ['1', '4', '17', '28', '28'] -> 28 * ((1 / 4) + (17 / 28))
[81] ['1', '5', '5', '18', '21'] -> (21 * (1 + (5 / 5))) - 18
[82] ['1', '5', '5', '19', '22'] -> 22 + ((1 + 19) / (5 + 5))
[83] ['1', '5', '11', '11', '13'] -> (1 + (11 * 13)) / (11 - 5)
[84] ['1', '5', '11', '17', '28'] -> ((11 * (28 - 17)) - 1) / 5
[85] ['1', '5', '12', '24', '25'] -> (12 * ((25 / 5) - 1)) - 24
[86] ['1', '5', '12', '29', '29'] -> (5 + 29) / ((29 / 12) - 1)
[87] ['1', '5', '13', '13', '14'] -> 14 + (5 * (1 + (13 / 13)))
[88] ['1', '5', '14', '14', '14'] -> 14 + (5 * (1 + (14 / 14)))
[89] ['1', '5', '14', '29', '29'] -> 14 + (5 * (1 + (29 / 29)))
[90] ['1', '5', '15', '19', '19'] -> (1 + (5 * 19)) / (19 - 15)
[91] ['1', '5', '15', '23', '24'] -> ((1 + 5) * (23 - 15)) - 24
[92] ['1', '5', '15', '28', '29'] -> 5 * (1 + ((28 + 29) / 15))
[93] ['1', '5', '18', '19', '26'] -> ((1 + 5) * (26 - 19)) - 18
[94] ['1', '5', '19', '23', '27'] -> (1 + (5 * 19)) / (27 - 23)
[95] ['1', '5', '21', '24', '29'] -> ((1 + 5) * (29 - 21)) - 24
[96] ['1', '5', '22', '30', '30'] -> 22 / (1 - (5 / (30 + 30)))
[97] ['1', '6', '7', '7', '13'] -> ((13 * (6 + 7)) - 1) / 7
[98] ['1', '6', '7', '17', '17'] -> (7 * (1 + 17)) - (6 * 17)
[99] ['1', '6', '8', '23', '30'] -> (30 + (6 * 23)) / (8 - 1)
[100] ['1', '6', '9', '23', '23'] -> 6 + (9 * (1 + (23 / 23)))
[101] ['1', '6', '9', '25', '25'] -> 6 + (9 * (1 + (25 / 25)))
[102] ['1', '6', '9', '28', '28'] -> 6 + (9 * (1 + (28 / 28)))
[103] ['1', '6', '9', '29', '29'] -> 6 + (9 * (1 + (29 / 29)))
[104] ['1', '6', '10', '25', '25'] -> 6 * (((25 + 25) / 10) - 1)
[105] ['1', '6', '12', '17', '17'] -> 12 + (6 * (1 + (17 / 17)))
[106] ['1', '6', '13', '13', '27'] -> 27 - (6 / (1 + (13 / 13)))
[107] ['1', '6', '14', '14', '27'] -> 27 - (6 / (1 + (14 / 14)))
[108] ['1', '6', '15', '15', '22'] -> (6 + (15 * 22)) / (15 - 1)
[109] ['1', '6', '15', '25', '25'] -> (15 * (1 + (25 / 25))) - 6
[110] ['1', '6', '15', '29', '29'] -> (15 * (1 + (29 / 29))) - 6
[111] ['1', '6', '18', '20', '25'] -> (6 + (18 * 25)) / (20 - 1)
[112] ['1', '6', '19', '20', '26'] -> ((6 + (19 * 26)) / 20) - 1
[113] ['1', '6', '20', '20', '27'] -> 27 - (6 / (1 + (20 / 20)))
[114] ['1', '6', '21', '22', '22'] -> 21 + (6 / (1 + (22 / 22)))
[115] ['1', '6', '21', '23', '23'] -> 21 + (6 / (1 + (23 / 23)))
[116] ['1', '6', '21', '29', '29'] -> 21 + (6 / (1 + (29 / 29)))
[117] ['1', '6', '22', '27', '28'] -> 28 - (22 / (1 + (27 / 6)))
[118] ['1', '6', '22', '29', '30'] -> (6 + (30 * (1 + 22))) / 29
[119] ['1', '6', '25', '25', '27'] -> 27 - (6 / (1 + (25 / 25)))
[120] ['1', '6', '26', '26', '27'] -> 27 - (6 / (1 + (26 / 26)))
[121] ['1', '7', '7', '7', '8'] -> 8 * (1 + ((7 + 7) / 7))
[122] ['1', '7', '7', '8', '8'] -> 8 + (8 * (1 + (7 / 7)))
[123] ['1', '7', '7', '11', '18'] -> 18 / ((7 / (11 - 7)) - 1)
[124] ['1', '7', '7', '11', '19'] -> (11 + (7 * 19)) / (7 - 1)
[125] ['1', '7', '7', '13', '20'] -> ((13 * (20 - 7)) - 1) / 7
[126] ['1', '7', '7', '16', '17'] -> (17 * (1 + 7)) - (7 * 16)
[127] ['1', '7', '7', '17', '29'] -> (1 + (7 / 7)) * (29 - 17)
[128] ['1', '7', '7', '18', '18'] -> (18 + (7 * 18)) / (7 - 1)
[129] ['1', '7', '7', '26', '27'] -> 26 - ((1 + 27) / (7 + 7))
[130] ['1', '7', '8', '10', '25'] -> (10 + (7 * (1 + 25))) / 8
[131] ['1', '7', '8', '18', '18'] -> 8 / ((7 / 18) - (1 / 18))
[132] ['1', '7', '8', '27', '27'] -> (27 + (7 * 27)) / (1 + 8)
[133] ['1', '7', '9', '29', '30'] -> 30 / (1 + (9 / (7 + 29)))
[134] ['1', '7', '9', '30', '30'] -> (30 + (7 * 30)) / (1 + 9)
[135] ['1', '7', '10', '10', '14'] -> (14 * (1 + (10 / 7))) - 10
[136] ['1', '7', '10', '25', '25'] -> 10 + (7 * (1 + (25 / 25)))
[137] ['1', '7', '10', '29', '29'] -> 10 + (7 * (1 + (29 / 29)))
[138] ['1', '7', '11', '13', '13'] -> (1 + (11 * 13)) / (13 - 7)
[139] ['1', '7', '11', '19', '30'] -> ((11 * (19 - 1)) - 30) / 7
[140] ['1', '7', '11', '29', '29'] -> 29 - ((11 + 29) / (1 + 7))
[141] ['1', '7', '13', '13', '20'] -> (((13 * 20) - 1) / 7) - 13
[142] ['1', '7', '14', '14', '14'] -> ((14 * (14 - 1)) - 14) / 7
[143] ['1', '7', '14', '15', '23'] -> (1 + (14 / 7)) * (23 - 15)
[144] ['1', '7', '14', '17', '18'] -> 18 * ((7 / (17 - 14)) - 1)
[145] ['1', '7', '14', '19', '19'] -> 14 / ((19 / (19 - 7)) - 1)
[146] ['1', '7', '15', '17', '23'] -> ((17 * 23) - 7) / (1 + 15)
[147] ['1', '7', '15', '23', '30'] -> (1 + (15 / 30)) * (23 - 7)
[148] ['1', '7', '17', '17', '22'] -> (1 + (7 * 17)) / (22 - 17)
[149] ['1', '7', '19', '21', '25'] -> (1 + (21 / 7)) * (25 - 19)
[150] ['1', '7', '22', '29', '30'] -> 1 + ((7 + (22 * 30)) / 29)
[151] ['1', '7', '23', '27', '30'] -> 30 - ((1 + (7 * 23)) / 27)
[152] ['1', '8', '8', '9', '9'] -> 8 + (8 * (1 + (9 / 9)))
[153] ['1', '8', '8', '15', '15'] -> 8 + (8 * (1 + (15 / 15)))
[154] ['1', '8', '8', '17', '17'] -> 8 + (8 * (1 + (17 / 17)))
[155] ['1', '8', '8', '19', '19'] -> 8 + (8 * (1 + (19 / 19)))
[156] ['1', '8', '8', '29', '29'] -> 8 + (8 * (1 + (29 / 29)))
[157] ['1', '8', '8', '30', '30'] -> 8 + (8 * (1 + (30 / 30)))
[158] ['1', '8', '9', '9', '9'] -> 8 * (1 + ((9 + 9) / 9))
[159] ['1', '8', '9', '30', '30'] -> 8 / ((1 / 30) + (9 / 30))
[160] ['1', '8', '11', '30', '30'] -> 8 / ((11 / 30) - (1 / 30))
[161] ['1', '8', '13', '13', '13'] -> 8 * (1 + ((13 + 13) / 13))
[162] ['1', '8', '15', '17', '26'] -> ((26 * (1 + 15)) - 8) / 17
[163] ['1', '8', '17', '17', '28'] -> 28 - (8 / (1 + (17 / 17)))
[164] ['1', '8', '19', '19', '19'] -> 8 * (1 + ((19 + 19) / 19))
[165] ['1', '8', '19', '19', '26'] -> 19 + ((19 + 26) / (1 + 8))
[166] ['1', '8', '19', '19', '28'] -> 28 - (8 / (1 + (19 / 19)))
[167] ['1', '8', '22', '22', '22'] -> 8 * (1 + ((22 + 22) / 22))
[168] ['1', '8', '22', '23', '23'] -> (22 + 23) / ((23 / 8) - 1)
[169] ['1', '8', '22', '28', '29'] -> 8 * ((28 / (29 - 22)) - 1)
[170] ['1', '8', '23', '23', '28'] -> 28 - (8 / (1 + (23 / 23)))
[171] ['1', '8', '23', '28', '30'] -> 8 * ((28 / (30 - 23)) - 1)
[172] ['1', '8', '23', '29', '30'] -> ((1 + 8) * (29 - 23)) - 30
[173] ['1', '8', '25', '25', '26'] -> (25 + 26) / ((25 / 8) - 1)
[174] ['1', '8', '26', '26', '26'] -> 8 * (1 + ((26 + 26) / 26))
[175] ['1', '8', '28', '29', '29'] -> 28 - (8 / (1 + (29 / 29)))
[176] ['1', '8', '29', '29', '29'] -> 8 * (1 + ((29 + 29) / 29))
[177] ['1', '9', '9', '10', '18'] -> 9 + (10 * (1 + (9 / 18)))
[178] ['1', '9', '9', '10', '19'] -> 19 + (10 / (1 + (9 / 9)))
[179] ['1', '9', '9', '10', '28'] -> 10 + (28 / (1 + (9 / 9)))
[180] ['1', '9', '9', '10', '29'] -> 29 - (10 / (1 + (9 / 9)))
[181] ['1', '9', '10', '10', '18'] -> 10 + (9 * (1 + (10 / 18)))
[182] ['1', '9', '10', '23', '26'] -> ((1 + 10) * (26 - 23)) - 9
[183] ['1', '9', '10', '25', '27'] -> (9 + 27) / ((25 / 10) - 1)
[184] ['1', '9', '11', '14', '14'] -> 1 + ((11 + (14 * 14)) / 9)
[185] ['1', '9', '11', '14', '23'] -> ((23 * (11 - 1)) - 14) / 9
[186] ['1', '9', '11', '16', '25'] -> (25 * (9 - 1)) - (11 * 16)
[187] ['1', '9', '11', '20', '20'] -> (20 + (11 * 20)) / (1 + 9)
[188] ['1', '9', '11', '28', '29'] -> 28 - ((11 + 29) / (1 + 9))
[189] ['1', '9', '12', '29', '30'] -> 12 / ((30 / (29 - 9)) - 1)
[190] ['1', '9', '13', '13', '30'] -> 9 + (30 / (1 + (13 / 13)))
[191] ['1', '9', '14', '14', '22'] -> (22 * (1 + 9)) - (14 * 14)
[192] ['1', '9', '14', '14', '30'] -> 9 + (30 / (1 + (14 / 14)))
[193] ['1', '9', '15', '17', '25'] -> (9 + (15 * 25)) / (17 - 1)
[194] ['1', '9', '16', '16', '30'] -> 9 + (30 / (1 + (16 / 16)))
[195] ['1', '9', '17', '17', '30'] -> 9 + (30 / (1 + (17 / 17)))
[196] ['1', '9', '17', '18', '25'] -> (1 + (18 / 9)) * (25 - 17)
[197] ['1', '9', '19', '19', '30'] -> 9 + (30 / (1 + (19 / 19)))
[198] ['1', '9', '19', '25', '25'] -> 19 + ((25 + 25) / (1 + 9))
[199] ['1', '9', '20', '20', '20'] -> 20 + ((20 + 20) / (1 + 9))
[200] ['1', '9', '20', '20', '21'] -> (1 + (20 / 20)) * (21 - 9)
[201] ['1', '9', '21', '21', '30'] -> 9 + (30 / (1 + (21 / 21)))
[202] ['1', '9', '21', '23', '23'] -> (21 - 9) * (1 + (23 / 23))
[203] ['1', '9', '21', '25', '25'] -> (21 - 9) * (1 + (25 / 25))
[204] ['1', '9', '25', '25', '29'] -> 29 - ((25 + 25) / (1 + 9))
[205] ['1', '9', '29', '29', '30'] -> 9 + (30 / (1 + (29 / 29)))
[206] ['1', '10', '10', '10', '17'] -> (17 * (1 + (10 / 10))) - 10
[207] ['1', '10', '10', '10', '19'] -> 19 + (10 / (1 + (10 / 10)))
[208] ['1', '10', '10', '10', '29'] -> 29 - (10 / (1 + (10 / 10)))
[209] ['1', '10', '10', '13', '14'] -> (14 * (1 + 10)) - (10 * 13)
[210] ['1', '10', '11', '11', '17'] -> (17 * (1 + (11 / 11))) - 10
