[101] ['1', '11', '40'] -> (11 / 40) - 1 mod 43
[102] ['1', '11', '41'] -> 1 / (11 + 41) mod 43
[103] ['1', '12', '14'] -> (1 - 14) / 12 mod 43
[104] ['1', '12', '16'] -> 1 - (12 * 16) mod 43
[105] ['1', '12', '20'] -> (12 * 20) - 1 mod 43
[106] ['1', '12', '23'] -> 12 / (23 - 1) mod 43
[107] ['1', '12', '27'] -> 1 + (12 * 27) mod 43
[108] ['1', '12', '28'] -> (12 / 28) - 1 mod 43
[109] ['1', '12', '29'] -> (1 + 29) / 12 mod 43
[110] ['1', '12', '40'] -> 1 / (12 + 40) mod 43
[111] ['1', '13', '13'] -> 13 / (1 - 13) mod 43
[112] ['1', '13', '15'] -> 1 + (13 * 15) mod 43
[113] ['1', '13', '16'] -> (13 / 16) - 1 mod 43
[114] ['1', '13', '19'] -> 13 * (1 - 19) mod 43
[115] ['1', '13', '20'] -> 1 - (13 / 20) mod 43
[116] ['1', '13', '21'] -> (1 - 13) / 21 mod 43
[117] ['1', '13', '23'] -> 1 + (13 / 23) mod 43
[118] ['1', '13', '26'] -> 13 * (26 - 1) mod 43
[119] ['1', '13', '28'] -> 1 - (13 * 28) mod 43
[120] ['1', '13', '29'] -> (1 / 13) - 29 mod 43
[121] ['1', '13', '34'] -> 34 - (1 / 13) mod 43
[122] ['1', '13', '40'] -> (1 + 13) / 40 mod 43
[123] ['1', '14', '15'] -> 14 * (15 - 1) mod 43
[124] ['1', '14', '18'] -> 18 * (1 - 14) mod 43
[125] ['1', '14', '22'] -> 1 - (22 / 14) mod 43
[126] ['1', '14', '23'] -> 1 / (23 - 14) mod 43
[127] ['1', '14', '25'] -> 25 * (14 - 1) mod 43
[128] ['1', '14', '26'] -> 1 - (14 * 26) mod 43
[129] ['1', '14', '27'] -> 27 + (1 / 14) mod 43
[130] ['1', '14', '31'] -> (14 - 1) / 31 mod 43
[131] ['1', '14', '41'] -> 14 / (41 - 1) mod 43
[132] ['1', '15', '15'] -> (1 + 15) / 15 mod 43
[133] ['1', '15', '17'] -> (17 - 1) / 15 mod 43
[134] ['1', '15', '19'] -> 15 - (1 / 19) mod 43
[135] ['1', '15', '23'] -> 23 * (1 + 15) mod 43
[136] ['1', '15', '28'] -> (1 - 28) / 15 mod 43
[137] ['1', '15', '29'] -> 29 * (1 - 15) mod 43
[138] ['1', '15', '30'] -> 1 - (15 * 30) mod 43
[139] ['1', '15', '31'] -> (31 / 15) - 1 mod 43
[140] ['1', '15', '32'] -> (1 / 32) - 15 mod 43
[141] ['1', '16', '18'] -> 1 - (16 / 18) mod 43
[142] ['1', '16', '19'] -> 1 - (19 / 16) mod 43
[143] ['1', '16', '22'] -> 16 * (1 + 22) mod 43
[144] ['1', '16', '29'] -> 16 / (1 - 29) mod 43
[145] ['1', '16', '31'] -> 1 + (16 * 31) mod 43
[146] ['1', '16', '32'] -> 32 + (1 / 16) mod 43
[147] ['1', '16', '37'] -> (1 - 16) / 37 mod 43
[148] ['1', '17', '19'] -> 19 - (1 / 17) mod 43
[149] ['1', '17', '22'] -> (22 - 1) / 17 mod 43
[150] ['1', '17', '25'] -> 17 / (25 - 1) mod 43
[151] ['1', '17', '26'] -> 1 / (26 - 17) mod 43
[152] ['1', '17', '28'] -> (1 - 17) / 28 mod 43
[153] ['1', '17', '30'] -> 30 * (1 + 17) mod 43
[154] ['1', '17', '33'] -> (1 + 17) / 33 mod 43
[155] ['1', '17', '38'] -> (38 / 17) - 1 mod 43
[156] ['1', '17', '39'] -> 1 - (39 / 17) mod 43
[157] ['1', '18', '18'] -> 1 + (18 * 18) mod 43
[158] ['1', '18', '19'] -> (1 - 18) / 19 mod 43
[159] ['1', '18', '20'] -> (20 / 18) - 1 mod 43
[160] ['1', '18', '21'] -> 21 / (18 - 1) mod 43
[161] ['1', '18', '24'] -> (18 - 1) / 24 mod 43
[162] ['1', '18', '25'] -> 1 - (18 * 25) mod 43
[163] ['1', '18', '26'] -> 26 / (1 + 18) mod 43
[164] ['1', '18', '29'] -> 18 * (1 + 29) mod 43
[165] ['1', '18', '32'] -> 18 / (1 + 32) mod 43
[166] ['1', '19', '25'] -> (1 + 25) / 19 mod 43
[167] ['1', '19', '28'] -> 1 / (28 - 19) mod 43
[168] ['1', '19', '35'] -> 1 - (19 * 35) mod 43
[169] ['1', '19', '36'] -> 1 - (36 / 19) mod 43
[170] ['1', '20', '28'] -> 20 * (28 - 1) mod 43
[171] ['1', '20', '29'] -> 1 / (29 - 20) mod 43
[172] ['1', '20', '30'] -> 1 + (30 / 20) mod 43
[173] ['1', '20', '31'] -> 31 / (1 + 20) mod 43
[174] ['1', '20', '36'] -> 20 / (1 - 36) mod 43
[175] ['1', '21', '32'] -> (32 - 1) / 21 mod 43
[176] ['1', '21', '33'] -> 1 - (33 / 21) mod 43
[177] ['1', '21', '35'] -> (1 - 21) / 35 mod 43
[178] ['1', '21', '37'] -> 21 * (1 + 37) mod 43
