Gaussian Integer 3-Nums Unique Solutions (Formatted)
----------------------------------------
[79] ['3i', '(5+i)', '(5+9i)'] -> (((5+i) - (5+9i)) * 3i)
[80] ['4i', '(1+4i)', '(8+4i)'] -> ((8+4i) - ((1+4i) * 4i))
[81] ['4i', '(1+5i)', '(4+4i)'] -> ((4+4i) - ((1+5i) * 4i))
[82] ['4i', '2', '(2+6i)'] -> ((2 - (2+6i)) * 4i)
[83] ['4i', '8', '(8+6i)'] -> ((8 - (8+6i)) * 4i)
[84] ['4i', '(8+i)', '(8+7i)'] -> (((8+i) - (8+7i)) * 4i)
[85] ['4i', '(8+2i)', '(8+8i)'] -> (((8+2i) - (8+8i)) * 4i)
[86] ['4i', '(8+3i)', '(8+9i)'] -> (((8+3i) - (8+9i)) * 4i)
[87] ['4i', '9', '(9+6i)'] -> ((9 - (9+6i)) * 4i)
[88] ['4i', '(9+i)', '(9+7i)'] -> (((9+i) - (9+7i)) * 4i)
[89] ['4i', '(9+2i)', '(9+8i)'] -> (((9+2i) - (9+8i)) * 4i)
[90] ['4i', '(9+3i)', '(9+9i)'] -> (((9+3i) - (9+9i)) * 4i)
[91] ['5i', '6i', '9i'] -> ((5i - 9i) * 6i)
[92] ['5i', '8i', '8i'] -> ((5i - 8i) * 8i)
[93] ['4i', '(2+i)', '(2+7i)'] -> (((2+i) - (2+7i)) * 4i)
[94] ['4i', '(2+2i)', '(2+8i)'] -> (((2+2i) - (2+8i)) * 4i)
[95] ['4i', '(2+2i)', '(6+6i)'] -> (((2+2i) - 4i) * (6+6i))
[96] ['4i', '(2+3i)', '(2+9i)'] -> (((2+3i) - (2+9i)) * 4i)
[97] ['4i', '(2+4i)', '(8+8i)'] -> ((8+8i) - ((2+4i) * 4i))
[98] ['4i', '(2+5i)', '(4+8i)'] -> ((4+8i) - ((2+5i) * 4i))
[99] ['4i', '(5+2i)', '(5+8i)'] -> (((5+2i) - (5+8i)) * 4i)
[100] ['4i', '(5+3i)', '(5+9i)'] -> (((5+3i) - (5+9i)) * 4i)
[101] ['4i', '6', '(6+6i)'] -> ((6 - (6+6i)) * 4i)
[102] ['4i', '(6+i)', '(6+7i)'] -> (((6+i) - (6+7i)) * 4i)
[103] ['4i', '(6+2i)', '(6+8i)'] -> (((6+2i) - (6+8i)) * 4i)
[104] ['5i', '(2+3i)', '(6+6i)'] -> (((2+3i) - 5i) * (6+6i))
[105] ['6i', '6i', '(1+4i)'] -> (6i - ((1+4i) * 6i))
[106] ['6i', '8i', '9i'] -> ((6i - 9i) * 8i)
[107] ['4i', '3', '(3+6i)'] -> ((3 - (3+6i)) * 4i)
[108] ['4i', '3', '(8+4i)'] -> (((8+4i) - 4i) * 3)
[109] ['4i', '(3+i)', '(3+7i)'] -> (((3+i) - (3+7i)) * 4i)
[110] ['4i', '(3+i)', '(4+4i)'] -> (((3+i) - 4i) * (4+4i))
[111] ['4i', '(3+2i)', '(3+8i)'] -> (((3+2i) - (3+8i)) * 4i)
[112] ['4i', '(3+3i)', '(3+9i)'] -> (((3+3i) - (3+9i)) * 4i)
[113] ['4i', '(3+3i)', '4'] -> ((3+3i) * (4 - 4i))
[114] ['4i', '(3+4i)', '8'] -> (((3+4i) - 4i) * 8)
[115] ['4i', '4', '(4+6i)'] -> ((4 - (4+6i)) * 4i)
[116] ['4i', '4', '(6+i)'] -> (((6+i) * 4) - 4i)
[117] ['4i', '4', '(6+4i)'] -> (((6+4i) - 4i) * 4)
[118] ['4i', '(4+i)', '(4+7i)'] -> (((4+i) - (4+7i)) * 4i)
[119] ['5i', '(3+3i)', '(4+i)'] -> (((4+i) - 5i) * (3+3i))
[120] ['5i', '(3+5i)', '8'] -> (((3+5i) - 5i) * 8)
[121] ['5i', '4', '(6+5i)'] -> (((6+5i) - 5i) * 4)
[122] ['5i', '3', '(8+5i)'] -> (((8+5i) - 5i) * 3)
[123] ['5i', '(3+2i)', '(4+4i)'] -> (((3+2i) - 5i) * (4+4i))
[124] ['4i', '(6+3i)', '(6+9i)'] -> (((6+3i) - (6+9i)) * 4i)
[125] ['4i', '7', '(7+6i)'] -> ((7 - (7+6i)) * 4i)
[126] ['4i', '(7+i)', '(7+7i)'] -> (((7+i) - (7+7i)) * 4i)
[127] ['4i', '(7+2i)', '(7+8i)'] -> (((7+2i) - (7+8i)) * 4i)
[128] ['4i', '(7+3i)', '(7+9i)'] -> (((7+3i) - (7+9i)) * 4i)
[129] ['5i', '(4+5i)', '6'] -> (((4+5i) - 5i) * 6)
[130] ['4i', '(4+2i)', '(4+8i)'] -> (((4+2i) - (4+8i)) * 4i)
[131] ['4i', '(4+3i)', '(4+9i)'] -> (((4+3i) - (4+9i)) * 4i)
[132] ['4i', '(4+4i)', '6'] -> (((4+4i) - 4i) * 6)
[133] ['4i', '5', '(5+6i)'] -> ((5 - (5+6i)) * 4i)
[134] ['4i', '(5+i)', '(5+7i)'] -> (((5+i) - (5+7i)) * 4i)
[135] ['5i', '(1+3i)', '(9+5i)'] -> ((9+5i) - ((1+3i) * 5i))
[136] ['5i', '(1+4i)', '(4+5i)'] -> ((4+5i) - ((1+4i) * 5i))
[137] ['6i', '(1+5i)', '(1+9i)'] -> (((1+5i) - (1+9i)) * 6i)
[138] ['6i', '2', '(2+4i)'] -> ((2 - (2+4i)) * 6i)
[139] ['6i', '8', '(8+4i)'] -> ((8 - (8+4i)) * 6i)
[140] ['6i', '(8+i)', '(8+5i)'] -> (((8+i) - (8+5i)) * 6i)
[141] ['6i', '(8+2i)', '(8+6i)'] -> (((8+2i) - (8+6i)) * 6i)
[142] ['6i', '(8+3i)', '(8+7i)'] -> (((8+3i) - (8+7i)) * 6i)
[143] ['6i', '(8+4i)', '(8+8i)'] -> (((8+4i) - (8+8i)) * 6i)
[144] ['6i', '(8+5i)', '(8+9i)'] -> (((8+5i) - (8+9i)) * 6i)
[145] ['6i', '9', '(9+4i)'] -> ((9 - (9+4i)) * 6i)
[146] ['6i', '(9+i)', '(9+5i)'] -> (((9+i) - (9+5i)) * 6i)
[147] ['6i', '(9+2i)', '(9+6i)'] -> (((9+2i) - (9+6i)) * 6i)
[148] ['6i', '(9+3i)', '(9+7i)'] -> (((9+3i) - (9+7i)) * 6i)
[149] ['6i', '(9+4i)', '(9+8i)'] -> (((9+4i) - (9+8i)) * 6i)
[150] ['6i', '(9+5i)', '(9+9i)'] -> (((9+5i) - (9+9i)) * 6i)
[151] ['6i', '(3+4i)', '(3+8i)'] -> (((3+4i) - (3+8i)) * 6i)
[152] ['6i', '(3+5i)', '(3+9i)'] -> (((3+5i) - (3+9i)) * 6i)
[153] ['6i', '(3+6i)', '8'] -> (((3+6i) - 6i) * 8)
