[83] ['1', '2', '3', '52'] -> 52 - (2 * (1 + 3)) base 6
[84] ['1', '2', '4', '54'] -> 54 - (2 * (1 + 4)) base 6
[85] ['1', '2', '11', '11'] -> ((11 * 11) - 1) / 2 base 6
[86] ['1', '2', '13', '15'] -> (15 * (1 + 2)) - 13 base 6
[87] ['1', '2', '13', '31'] -> 31 + ((1 + 13) / 2) base 6
[88] ['1', '2', '13', '43'] -> 43 - (13 / (1 + 2)) base 6
[89] ['1', '2', '14', '43'] -> 14 + ((1 + 43) / 2) base 6
[90] ['1', '2', '15', '41'] -> 15 + ((1 + 41) / 2) base 6
[91] ['1', '2', '15', '50'] -> 50 - ((1 + 15) / 2) base 6
[92] ['1', '2', '21', '23'] -> (21 * (1 + 2)) - 23 base 6
[93] ['1', '2', '21', '25'] -> 25 + ((1 + 21) / 2) base 6
[94] ['1', '2', '21', '51'] -> 51 - ((1 + 21) / 2) base 6
[95] ['1', '2', '22', '44'] -> 44 * (1 - (2 / 22)) base 6
[96] ['1', '2', '23', '33'] -> (23 * (1 + 2)) - 33 base 6
[97] ['1', '2', '23', '35'] -> (1 + 2) * (35 - 23) base 6
[98] ['1', '2', '23', '45'] -> 45 - (23 / (1 + 2)) base 6
[99] ['1', '2', '24', '31'] -> (2 * (1 + 31)) - 24 base 6
[100] ['1', '2', '24', '50'] -> 1 + ((24 + 50) / 2) base 6
[101] ['1', '2', '24', '54'] -> ((24 + 54) / 2) - 1 base 6
[102] ['1', '2', '25', '41'] -> (1 + 2) * (41 - 25) base 6
[103] ['1', '2', '25', '43'] -> (25 * (1 + 2)) - 43 base 6
[104] ['1', '2', '30', '30'] -> 30 + (30 / (1 + 2)) base 6
[105] ['1', '2', '30', '32'] -> (2 * (1 + 32)) - 30 base 6
[106] ['1', '2', '30', '34'] -> (2 * (34 - 1)) - 30 base 6
[107] ['1', '2', '30', '42'] -> (1 + 2) * (42 - 30) base 6
[108] ['1', '2', '30', '43'] -> 43 * (1 - (2 / 30)) base 6
[109] ['1', '2', '30', '44'] -> 1 + ((30 + 44) / 2) base 6
[110] ['1', '2', '31', '54'] -> 54 - ((1 + 31) / 2) base 6
[111] ['1', '2', '32', '33'] -> (2 * (1 + 33)) - 32 base 6
[112] ['1', '2', '32', '35'] -> (2 * (35 - 1)) - 32 base 6
[113] ['1', '2', '32', '42'] -> 1 + ((32 + 42) / 2) base 6
[114] ['1', '2', '32', '50'] -> ((32 + 50) / 2) - 1 base 6
[115] ['1', '2', '33', '41'] -> 1 + ((33 + 41) / 2) base 6
[116] ['1', '2', '33', '51'] -> 51 - (33 / (1 + 2)) base 6
[117] ['1', '2', '34', '44'] -> ((34 + 44) / 2) - 1 base 6
[118] ['1', '2', '34', '50'] -> (1 + 2) * (50 - 34) base 6
[119] ['1', '2', '35', '43'] -> ((35 + 43) / 2) - 1 base 6
[120] ['1', '2', '35', '51'] -> (1 + 2) * (51 - 35) base 6
[121] ['1', '2', '41', '44'] -> (2 * (1 + 41)) - 44 base 6
[122] ['1', '2', '41', '53'] -> (1 + 2) * (53 - 41) base 6
[123] ['1', '2', '42', '50'] -> (2 * (1 + 42)) - 50 base 6
[124] ['1', '2', '42', '54'] -> (1 + 2) * (54 - 42) base 6
[125] ['1', '2', '43', '44'] -> (2 * (43 - 1)) - 44 base 6
[126] ['1', '2', '43', '52'] -> (2 * (1 + 43)) - 52 base 6
[127] ['1', '2', '43', '53'] -> 53 - (43 / (1 + 2)) base 6
[128] ['1', '2', '44', '50'] -> (2 * (44 - 1)) - 50 base 6
[129] ['1', '2', '44', '54'] -> (2 * (1 + 44)) - 54 base 6
[130] ['1', '2', '45', '52'] -> (2 * (45 - 1)) - 52 base 6
[131] ['1', '3', '3', '33'] -> 3 * (1 + (33 / 3)) base 6
[132] ['1', '3', '3', '43'] -> 3 * ((43 / 3) - 1) base 6
[133] ['1', '3', '4', '10'] -> 10 / (1 - (3 / 4)) base 6
[134] ['1', '3', '4', '22'] -> (22 * (3 - 1)) - 4 base 6
[135] ['1', '3', '4', '33'] -> 4 * ((33 / 3) - 1) base 6
[136] ['1', '3', '4', '44'] -> 3 * (1 + (44 / 4)) base 6
[137] ['1', '3', '11', '30'] -> 30 * ((11 / 3) - 1) base 6
[138] ['1', '3', '11', '52'] -> 52 / ((11 / 3) - 1) base 6
[139] ['1', '3', '12', '33'] -> 33 + ((1 + 12) / 3) base 6
[140] ['1', '3', '12', '34'] -> 34 + (12 / (1 + 3)) base 6
[141] ['1', '3', '12', '42'] -> 42 - (12 / (1 + 3)) base 6
[142] ['1', '3', '12', '43'] -> 43 - ((1 + 12) / 3) base 6
[143] ['1', '3', '12', '53'] -> 53 / (1 + (3 / 12)) base 6
[144] ['1', '3', '13', '14'] -> (3 * (1 + 14)) - 13 base 6
[145] ['1', '3', '13', '23'] -> (1 + 3) * (23 - 13) base 6
[146] ['1', '3', '13', '52'] -> 52 / (1 + (3 / 13)) base 6
[147] ['1', '3', '15', '44'] -> 44 - ((1 + 15) / 3) base 6
