[83] ['1', '1', '16', '28'] -> (1 + 1) * (28 - 16) base 11
[84] ['1', '1', '16', '32'] -> (16 + 32) / (1 + 1) base 11
[85] ['1', '1', '17', '20'] -> (20 * (1 + 1)) - 17 base 11
[86] ['1', '1', '17', '29'] -> (1 + 1) * (29 - 17) base 11
[87] ['1', '1', '17', '31'] -> (17 + 31) / (1 + 1) base 11
[88] ['1', '1', '17', '32'] -> 32 - (17 / (1 + 1)) base 11
[89] ['1', '1', '18', '2A'] -> (1 + 1) * (2A - 18) base 11
[90] ['1', '1', '18', '30'] -> (18 + 30) / (1 + 1) base 11
[91] ['1', '1', '19', '21'] -> (21 * (1 + 1)) - 19 base 11
[92] ['1', '1', '19', '2A'] -> (19 + 2A) / (1 + 1) base 11
[93] ['1', '1', '19', '30'] -> (1 + 1) * (30 - 19) base 11
[94] ['1', '1', '19', '33'] -> 33 - (19 / (1 + 1)) base 11
[95] ['1', '1', '1A', '29'] -> (1A + 29) / (1 + 1) base 11
[96] ['1', '1', '1A', '31'] -> (1 + 1) * (31 - 1A) base 11
[97] ['1', '1', '20', '22'] -> (22 * (1 + 1)) - 20 base 11
[98] ['1', '1', '20', '28'] -> (20 + 28) / (1 + 1) base 11
[99] ['1', '1', '20', '32'] -> (1 + 1) * (32 - 20) base 11
[100] ['1', '1', '20', '34'] -> 34 - (20 / (1 + 1)) base 11
[101] ['1', '1', '21', '27'] -> (21 + 27) / (1 + 1) base 11
[102] ['1', '1', '21', '33'] -> (1 + 1) * (33 - 21) base 11
[103] ['1', '1', '22', '23'] -> (23 * (1 + 1)) - 22 base 11
[104] ['1', '1', '22', '26'] -> (22 + 26) / (1 + 1) base 11
[105] ['1', '1', '22', '34'] -> (1 + 1) * (34 - 22) base 11
[106] ['1', '1', '22', '35'] -> 35 - (22 / (1 + 1)) base 11
[107] ['1', '1', '23', '23'] -> 23 * (1 + (1 / 23)) base 11
[108] ['1', '1', '23', '25'] -> (23 + 25) / (1 + 1) base 11
[109] ['1', '1', '23', '35'] -> (1 + 1) * (35 - 23) base 11
[110] ['1', '1', '25', '25'] -> 25 * (1 - (1 / 25)) base 11
[111] ['1', '1', '25', '26'] -> (25 * (1 + 1)) - 26 base 11
[112] ['1', '1', '25', '37'] -> (1 + 1) * (37 - 25) base 11
[113] ['1', '1', '26', '28'] -> (26 * (1 + 1)) - 28 base 11
[114] ['1', '1', '26', '37'] -> 37 - (26 / (1 + 1)) base 11
[115] ['1', '1', '26', '38'] -> (1 + 1) * (38 - 26) base 11
[116] ['1', '1', '27', '2A'] -> (27 * (1 + 1)) - 2A base 11
[117] ['1', '1', '27', '39'] -> (1 + 1) * (39 - 27) base 11
[118] ['1', '1', '28', '31'] -> (28 * (1 + 1)) - 31 base 11
[119] ['1', '1', '28', '38'] -> 38 - (28 / (1 + 1)) base 11
[120] ['1', '1', '28', '3A'] -> (1 + 1) * (3A - 28) base 11
[121] ['1', '1', '29', '33'] -> (29 * (1 + 1)) - 33 base 11
[122] ['1', '1', '29', '40'] -> (1 + 1) * (40 - 29) base 11
[123] ['1', '1', '2A', '35'] -> (2A * (1 + 1)) - 35 base 11
[124] ['1', '1', '2A', '39'] -> 39 - (2A / (1 + 1)) base 11
[125] ['1', '1', '2A', '41'] -> (1 + 1) * (41 - 2A) base 11
[126] ['1', '1', '30', '37'] -> (30 * (1 + 1)) - 37 base 11
[127] ['1', '1', '30', '42'] -> (1 + 1) * (42 - 30) base 11
[128] ['1', '1', '31', '39'] -> (31 * (1 + 1)) - 39 base 11
[129] ['1', '1', '31', '3A'] -> 3A - (31 / (1 + 1)) base 11
[130] ['1', '1', '31', '43'] -> (1 + 1) * (43 - 31) base 11
[131] ['1', '1', '32', '40'] -> (32 * (1 + 1)) - 40 base 11
[132] ['1', '1', '32', '44'] -> (1 + 1) * (44 - 32) base 11
[133] ['1', '1', '33', '40'] -> 40 - (33 / (1 + 1)) base 11
[134] ['1', '1', '33', '42'] -> (33 * (1 + 1)) - 42 base 11
[135] ['1', '1', '33', '45'] -> (1 + 1) * (45 - 33) base 11
[136] ['1', '1', '34', '44'] -> (34 * (1 + 1)) - 44 base 11
[137] ['1', '1', '35', '41'] -> 41 - (35 / (1 + 1)) base 11
[138] ['1', '1', '37', '42'] -> 42 - (37 / (1 + 1)) base 11
[139] ['1', '1', '39', '43'] -> 43 - (39 / (1 + 1)) base 11
[140] ['1', '1', '40', '44'] -> 44 - (40 / (1 + 1)) base 11
[141] ['1', '1', '42', '45'] -> 45 - (42 / (1 + 1)) base 11
[142] ['1', '2', '2', '6'] -> 2 * (1 + (2 * 6)) base 11
[143] ['1', '2', '2', '7'] -> 2 * ((2 * 7) - 1) base 11
[144] ['1', '2', '2', '8'] -> 2 + (8 * (1 + 2)) base 11
[145] ['1', '2', '2', '19'] -> 19 + (2 * (1 + 2)) base 11
[146] ['1', '2', '2', '2A'] -> 2A - (2 * (1 + 2)) base 11
[147] ['1', '2', '2', '43'] -> 2 + ((1 + 43) / 2) base 11
[148] ['1', '2', '3', '4'] -> 2 * (1 + (3 * 4)) base 11
[149] ['1', '2', '3', '5'] -> 1 + (5 * (2 + 3)) base 11
[150] ['1', '2', '3', '6'] -> 2 + (6 * (1 + 3)) base 11
[151] ['1', '2', '3', '31'] -> 31 - (2 * (1 + 3)) base 11
[152] ['1', '2', '3', '32'] -> 32 - (3 * (1 + 2)) base 11
[153] ['1', '2', '3', '33'] -> 2 * (1 + (33 / 3)) base 11
[154] ['1', '2', '3', '39'] -> 2 * ((39 / 3) - 1) base 11
[155] ['1', '2', '3', '41'] -> 3 + ((1 + 41) / 2) base 11
[156] ['1', '2', '4', '5'] -> 2 + (4 * (1 + 5)) base 11
[157] ['1', '2', '4', '33'] -> 33 - (2 * (1 + 4)) base 11
[158] ['1', '2', '4', '35'] -> 35 - (4 * (1 + 2)) base 11
[159] ['1', '2', '4', '3A'] -> 4 + ((1 + 3A) / 2) base 11
[160] ['1', '2', '5', '13'] -> 13 + (2 * (1 + 5)) base 11
[161] ['1', '2', '5', '35'] -> 35 - (2 * (1 + 5)) base 11
[162] ['1', '2', '5', '36'] -> 36 / ((5 / 2) - 1) base 11
[163] ['1', '2', '5', '41'] -> 1 + ((5 + 41) / 2) base 11
[164] ['1', '2', '5', '45'] -> ((5 + 45) / 2) - 1 base 11
[165] ['1', '2', '6', '44'] -> ((6 + 44) / 2) - 1 base 11
[166] ['1', '2', '7', '34'] -> 7 + ((1 + 34) / 2) base 11
[167] ['1', '2', '7', '39'] -> 39 - (2 * (1 + 7)) base 11
[168] ['1', '2', '7', '3A'] -> 1 + ((7 + 3A) / 2) base 11
[169] ['1', '2', '8', '8'] -> 8 + (2 * (1 + 8)) base 11
[170] ['1', '2', '8', '42'] -> ((8 + 42) / 2) - 1 base 11
[171] ['1', '2', '9', '27'] -> 27 - (9 / (1 + 2)) base 11
[172] ['1', '2', '9', '29'] -> 29 - ((1 + 9) / 2) base 11
[173] ['1', '2', '9', '38'] -> 1 + ((9 + 38) / 2) base 11
[174] ['1', '2', '9', '42'] -> 42 - (2 * (1 + 9)) base 11
[175] ['1', '2', 'A', '11'] -> (11 * (1 + 2)) - A base 11
[176] ['1', '2', 'A', '37'] -> 1 + ((A + 37) / 2) base 11
[177] ['1', '2', '10', '19'] -> 19 + ((1 + 10) / 2) base 11
[178] ['1', '2', '10', '20'] -> 20 * (1 + (2 / 10)) base 11
[179] ['1', '2', '10', '27'] -> 10 + ((1 + 27) / 2) base 11
[180] ['1', '2', '10', '3A'] -> ((10 + 3A) / 2) - 1 base 11
[181] ['1', '2', '10', '41'] -> 10 + (41 / (1 + 2)) base 11
[182] ['1', '2', '11', '17'] -> (2 * (1 + 17)) - 11 base 11
[183] ['1', '2', '11', '20'] -> 20 + (11 / (1 + 2)) base 11
[184] ['1', '2', '11', '25'] -> 11 + ((1 + 25) / 2) base 11
[185] ['1', '2', '12', '20'] -> 20 / (1 - (2 / 12)) base 11
[186] ['1', '2', '12', '28'] -> 28 / (1 + (2 / 12)) base 11
[187] ['1', '2', '12', '30'] -> 30 - ((1 + 12) / 2) base 11
[188] ['1', '2', '13', '15'] -> (13 * (1 + 2)) - 15 base 11
[189] ['1', '2', '13', '1A'] -> (2 * (1A - 1)) - 13 base 11
[190] ['1', '2', '13', '21'] -> 13 + ((1 + 21) / 2) base 11
[191] ['1', '2', '14', '17'] -> 17 + ((1 + 14) / 2) base 11
[192] ['1', '2', '14', '28'] -> 28 * (1 - (2 / 14)) base 11
[193] ['1', '2', '14', '29'] -> 29 - (14 / (1 + 2)) base 11
[194] ['1', '2', '14', '31'] -> 31 - ((1 + 14) / 2) base 11
[195] ['1', '2', '14', '32'] -> 1 + ((14 + 32) / 2) base 11
[196] ['1', '2', '15', '35'] -> ((15 + 35) / 2) - 1 base 11
[197] ['1', '2', '16', '16'] -> 16 + ((1 + 16) / 2) base 11
[198] ['1', '2', '16', '23'] -> (16 * (1 + 2)) - 23 base 11
[199] ['1', '2', '16', '25'] -> 16 + (25 / (1 + 2)) base 11
[200] ['1', '2', '16', '30'] -> 1 + ((16 + 30) / 2) base 11
[201] ['1', '2', '16', '34'] -> ((16 + 34) / 2) - 1 base 11
[202] ['1', '2', '17', '19'] -> 19 + (17 / (1 + 2)) base 11
