[1] ['1', '1', '1', '11'] -> (1 + 1) * (1 + 11) base 14
[2] ['1', '1', '3', '15'] -> (1 + 1) * (15 - 3) base 14
[3] ['1', '1', '1C', '33'] -> 33 - (1C / (1 + 1)) base 14
[4] ['1', '12', '1A', '28'] -> 12 / ((28 / 1A) - 1) base 14
[5] ['11', '1C', '23', '31'] -> ((23 - 1C) * 11) - 31 base 14
[6] ['11', '1C', '26', '28'] -> 28 - ((1C + 26) / 11) base 14
[7] ['11', '1C', '26', '29'] -> 26 - ((11 + 29) / 1C) base 14
[8] ['11', '1C', '29', '37'] -> 29 - ((1C + 37) / 11) base 14
[9] ['11', '1C', '2D', '37'] -> ((2D + 37) / 11) + 1C base 14
[10] ['11', '1C', '30', '36'] -> ((30 + 36) / 11) + 1C base 14
[11] ['11', '1C', '31', '35'] -> ((31 + 35) / 11) + 1C base 14
[12] ['11', '1C', '32', '34'] -> ((32 + 34) / 11) + 1C base 14
[13] ['11', '1C', '33', '33'] -> ((33 + 33) / 11) + 1C base 14
[14] ['11', '1D', '20', '25'] -> ((1D + 25) / 11) + 20 base 14
[15] ['1', '12', '1B', '1B'] -> ((1B / 1B) + 1) * 12 base 14
[16] ['11', '1D', '21', '34'] -> ((21 + 34) / 11) + 1D base 14
[17] ['11', '1D', '22', '27'] -> ((1D * 27) + 11) / 22 base 14
[18] ['11', '1D', '22', '2B'] -> ((11 + 2B) / 1D) + 22 base 14
[19] ['11', '1D', '22', '33'] -> ((22 + 33) / 11) + 1D base 14
[20] ['11', '1D', '23', '32'] -> ((23 + 32) / 11) + 1D base 14
[21] ['11', '1D', '26', '2B'] -> 26 - ((11 + 2B) / 1D) base 14
[22] ['11', '1D', '26', '2D'] -> ((26 + 2D) / 11) + 1D base 14
[23] ['11', '1D', '27', '2C'] -> ((27 + 2C) / 11) + 1D base 14
[24] ['11', '1D', '29', '2A'] -> ((29 + 2A) / 11) + 1D base 14
[25] ['11', '20', '21', '23'] -> ((21 + 23) / 11) + 20 base 14
[26] ['1', '12', '1C', '1C'] -> ((1C / 1C) + 1) * 12 base 14
[27] ['11', '20', '23', '27'] -> ((27 - 23) * 11) - 20 base 14
[28] ['11', '20', '25', '29'] -> ((29 - 25) * 11) - 20 base 14
[29] ['11', '20', '26', '2A'] -> ((2A - 26) * 11) - 20 base 14
[30] ['11', '20', '28', '2C'] -> ((2C - 28) * 11) - 20 base 14
[31] ['11', '20', '29', '2D'] -> ((2D - 29) * 11) - 20 base 14
[32] ['11', '20', '29', '35'] -> 29 - ((20 + 35) / 11) base 14
[33] ['11', '20', '2A', '30'] -> ((30 - 2A) * 11) - 20 base 14
[34] ['11', '20', '2B', '31'] -> ((31 - 2B) * 11) - 20 base 14
[35] ['11', '20', '2C', '32'] -> ((32 - 2C) * 11) - 20 base 14
[36] ['11', '20', '2D', '33'] -> ((33 - 2D) * 11) - 20 base 14
[37] ['1', '12', '1C', '2B'] -> 12 / ((2B / 1C) - 1) base 14
[38] ['11', '20', '30', '34'] -> ((34 - 30) * 11) - 20 base 14
[39] ['11', '20', '31', '35'] -> ((35 - 31) * 11) - 20 base 14
[40] ['11', '20', '32', '36'] -> ((36 - 32) * 11) - 20 base 14
[41] ['11', '20', '33', '37'] -> ((37 - 33) * 11) - 20 base 14
[42] ['11', '21', '22', '31'] -> ((11 + 31) / 21) + 22 base 14
[43] ['11', '21', '26', '29'] -> ((21 * 29) + 11) / 26 base 14
[44] ['11', '21', '29', '34'] -> 29 - ((21 + 34) / 11) base 14
[45] ['11', '22', '22', '28'] -> 28 - ((22 + 22) / 11) base 14
[46] ['11', '22', '22', '33'] -> ((11 + 33) / 22) + 22 base 14
[47] ['11', '22', '26', '33'] -> 26 - ((11 + 33) / 22) base 14
[48] ['1', '12', '1D', '1D'] -> ((1D / 1D) + 1) * 12 base 14
[49] ['11', '22', '27', '31'] -> ((27 - 22) * 11) - 31 base 14
[50] ['11', '22', '29', '33'] -> 29 - ((22 + 33) / 11) base 14
[51] ['11', '23', '26', '35'] -> 26 - ((11 + 35) / 23) base 14
[52] ['11', '23', '28', '31'] -> ((28 - 23) * 11) - 31 base 14
[53] ['11', '23', '29', '32'] -> 29 - ((23 + 32) / 11) base 14
[54] ['11', '23', '34', '35'] -> ((23 * 35) + 11) / 34 base 14
[55] ['11', '25', '29', '30'] -> 29 - ((25 + 30) / 11) base 14
[56] ['11', '25', '2A', '31'] -> ((2A - 25) * 11) - 31 base 14
[57] ['11', '25', '35', '36'] -> ((25 * 35) - 11) / 36 base 14
[58] ['11', '26', '29', '2D'] -> 29 - ((26 + 2D) / 11) base 14
[59] ['1', '12', '20', '20'] -> ((20 / 20) + 1) * 12 base 14
[60] ['11', '26', '2B', '31'] -> ((2B - 26) * 11) - 31 base 14
[61] ['11', '28', '2D', '31'] -> ((2D - 28) * 11) - 31 base 14
[62] ['11', '29', '29', '2A'] -> 29 - ((29 + 2A) / 11) base 14
[63] ['11', '29', '30', '31'] -> ((30 - 29) * 11) - 31 base 14
[64] ['11', '2A', '2D', '37'] -> 2A - ((2D + 37) / 11) base 14
[65] ['11', '2A', '31', '31'] -> ((31 - 2A) * 11) - 31 base 14
[66] ['11', '2A', '31', '35'] -> 2A - ((31 + 35) / 11) base 14
[67] ['11', '2A', '32', '34'] -> 2A - ((32 + 34) / 11) base 14
[68] ['11', '2A', '33', '33'] -> 2A - ((33 + 33) / 11) base 14
[69] ['11', '2B', '31', '32'] -> ((32 - 2B) * 11) - 31 base 14
[70] ['1', '12', '20', '30'] -> 12 / ((30 / 20) - 1) base 14
[71] ['11', '2C', '31', '33'] -> ((33 - 2C) * 11) - 31 base 14
[72] ['11', '2D', '31', '34'] -> ((34 - 2D) * 11) - 31 base 14
[73] ['11', '31', '32', '37'] -> ((37 - 32) * 11) - 31 base 14
[74] ['12', '12', '12', '14'] -> (12 * 14) - (12 * 12) base 14
[75] ['12', '12', '12', '15'] -> ((15 - 12) * 12) - 12 base 14
[76] ['12', '12', '12', '23'] -> ((12 * 23) + 12) / 12 base 14
[77] ['12', '12', '12', '25'] -> ((12 * 25) - 12) / 12 base 14
[78] ['12', '12', '13', '15'] -> (12 * 15) - (12 * 13) base 14
[79] ['12', '12', '13', '16'] -> ((16 - 13) * 12) - 12 base 14
[80] ['12', '12', '13', '25'] -> ((12 * 25) + 12) / 13 base 14
[81] ['1', '12', '21', '21'] -> ((21 / 21) + 1) * 12 base 14
[82] ['12', '12', '14', '17'] -> ((17 - 14) * 12) - 12 base 14
[83] ['12', '12', '14', '27'] -> ((12 * 27) + 12) / 14 base 14
[84] ['12', '12', '14', '29'] -> ((12 * 29) - 12) / 14 base 14
[85] ['12', '12', '14', '36'] -> (12 + 36) / (14 - 12) base 14
[86] ['12', '12', '15', '17'] -> (12 * 17) - (12 * 15) base 14
[87] ['12', '12', '15', '2B'] -> ((12 * 2B) - 12) / 15 base 14
[88] ['12', '12', '16', '18'] -> (12 * 18) - (12 * 16) base 14
[89] ['12', '12', '16', '19'] -> ((19 - 16) * 12) - 12 base 14
[90] ['12', '12', '16', '2B'] -> ((12 * 2B) + 12) / 16 base 14
[91] ['12', '12', '16', '2D'] -> ((12 * 2D) - 12) / 16 base 14
[92] ['1', '12', '21', '35'] -> ((1 + 35) / 12) + 21 base 14
[93] ['12', '12', '17', '19'] -> (12 * 19) - (12 * 17) base 14
[94] ['12', '12', '17', '1A'] -> ((1A - 17) * 12) - 12 base 14
[95] ['12', '12', '17', '2D'] -> ((12 * 2D) + 12) / 17 base 14
[96] ['12', '12', '17', '36'] -> ((17 - 12) * 12) - 36 base 14
[97] ['12', '12', '18', '1B'] -> ((1B - 18) * 12) - 12 base 14
[98] ['12', '12', '18', '31'] -> ((12 * 31) + 12) / 18 base 14
[99] ['12', '12', '18', '33'] -> ((12 * 33) - 12) / 18 base 14
[100] ['12', '12', '19', '1B'] -> (12 * 1B) - (12 * 19) base 14
[101] ['12', '12', '19', '1C'] -> ((1C - 19) * 12) - 12 base 14
[102] ['12', '12', '19', '33'] -> ((12 * 33) + 12) / 19 base 14
