[1] ['1', '1', '1', '11'] -> (1 + 1) * (1 + 11) base 9
[2] ['1', '1', '2', '52'] -> ((52 - 1) / 2) - 1 base 9
[3] ['1', '1', '23', '23'] -> ((1 / 23) + 1) * 23 base 9
[4] ['1', '26', '36', '44'] -> ((44 / 26) - 1) * 36 base 9
[5] ['15', '18', '20', '43'] -> ((18 + 43) / 15) + 20 base 9
[6] ['15', '18', '20', '51'] -> ((20 - 15) * 18) - 51 base 9
[7] ['15', '18', '20', '53'] -> (20 + 53) / (18 - 15) base 9
[8] ['15', '18', '21', '33'] -> (15 + 33) / (21 - 18) base 9
[9] ['15', '18', '21', '38'] -> ((18 - 15) * 21) - 38 base 9
[10] ['15', '18', '21', '41'] -> ((15 + 41) / 18) + 21 base 9
[11] ['15', '18', '21', '52'] -> (21 + 52) / (18 - 15) base 9
[12] ['15', '18', '22', '35'] -> ((18 * 22) - 35) / 15 base 9
[13] ['15', '18', '22', '42'] -> ((18 - 15) * 22) - 42 base 9
[14] ['15', '18', '22', '51'] -> (22 + 51) / (18 - 15) base 9
[15] ['1', '26', '36', '53'] -> 36 / ((26 / 53) + 1) base 9
[16] ['15', '18', '23', '31'] -> ((18 * 31) - 15) / 23 base 9
[17] ['15', '18', '23', '37'] -> ((23 - 18) * 15) - 37 base 9
[18] ['15', '18', '23', '45'] -> ((18 - 15) * 23) - 45 base 9
[19] ['15', '18', '23', '50'] -> (23 + 50) / (18 - 15) base 9
[20] ['15', '18', '25', '47'] -> (25 + 47) / (18 - 15) base 9
[21] ['15', '18', '26', '27'] -> ((15 * 27) + 26) / 18 base 9
[22] ['15', '18', '26', '42'] -> ((15 * 26) + 42) / 18 base 9
[23] ['15', '18', '26', '46'] -> (26 + 46) / (18 - 15) base 9
[24] ['15', '18', '26', '51'] -> ((26 + 51) / 15) + 18 base 9
[25] ['15', '18', '27', '27'] -> 27 - ((18 + 27) / 15) base 9
[26] ['1', '26', '37', '48'] -> 37 / ((26 / 48) + 1) base 9
[27] ['15', '18', '27', '41'] -> 27 - ((15 + 41) / 18) base 9
[28] ['15', '18', '27', '45'] -> (27 + 45) / (18 - 15) base 9
[29] ['15', '18', '27', '50'] -> ((27 + 50) / 15) + 18 base 9
[30] ['15', '18', '28', '33'] -> (18 * 28) - (15 * 33) base 9
[31] ['15', '18', '28', '43'] -> 28 - ((18 + 43) / 15) base 9
[32] ['15', '18', '28', '44'] -> (28 + 44) / (18 - 15) base 9
[33] ['15', '18', '28', '48'] -> ((28 + 48) / 15) + 18 base 9
[34] ['15', '18', '30', '43'] -> (30 + 43) / (18 - 15) base 9
[35] ['15', '18', '30', '47'] -> ((30 + 47) / 15) + 18 base 9
[36] ['15', '18', '31', '42'] -> (31 + 42) / (18 - 15) base 9
[37] ['1', '26', '38', '53'] -> ((38 / 26) - 1) * 53 base 9
[38] ['15', '18', '31', '46'] -> ((31 + 46) / 15) + 18 base 9
[39] ['15', '18', '32', '35'] -> ((15 * 32) - 35) / 18 base 9
[40] ['15', '18', '32', '41'] -> (32 + 41) / (18 - 15) base 9
[41] ['15', '18', '32', '45'] -> ((32 + 45) / 15) + 18 base 9
[42] ['15', '18', '33', '40'] -> (33 + 40) / (18 - 15) base 9
[43] ['15', '18', '33', '44'] -> ((33 + 44) / 15) + 18 base 9
