[1] ['1', '1', '1', '6'] -> (1 + 1 + 1) * 6 base 7
[761] ['22', '36', '40', '41'] -> ((36 + 41) / 40) + 22 base 7
[762] ['22', '36', '40', '53'] -> ((22 * 40) + 53) / 36 base 7
[763] ['22', '36', '41', '43'] -> ((36 + 43) / 41) + 22 base 7
[764] ['22', '36', '42', '42'] -> ((42 - 36) * 22) - 42 base 7
[765] ['22', '36', '42', '45'] -> ((36 + 45) / 42) + 22 base 7
[766] ['22', '36', '42', '53'] -> (22 + 53) / (42 - 36) base 7
[767] ['22', '36', '43', '50'] -> ((36 + 50) / 43) + 22 base 7
[768] ['22', '36', '43', '64'] -> ((43 - 36) * 22) - 64 base 7
[769] ['1', '40', '60', '63'] -> 63 / ((60 / 40) + 1) base 7
[770] ['22', '36', '44', '52'] -> ((36 + 52) / 44) + 22 base 7
[771] ['22', '36', '45', '54'] -> ((36 + 54) / 45) + 22 base 7
[772] ['22', '36', '45', '60'] -> ((22 * 45) - 60) / 36 base 7
[773] ['22', '36', '50', '61'] -> ((36 + 61) / 50) + 22 base 7
[774] ['22', '36', '52', '65'] -> ((36 + 65) / 52) + 22 base 7
[775] ['22', '40', '40', '40'] -> ((40 + 40) / 40) + 22 base 7
[776] ['22', '40', '41', '42'] -> ((40 + 42) / 41) + 22 base 7
[777] ['22', '40', '41', '55'] -> ((22 * 41) + 55) / 40 base 7
[778] ['22', '40', '41', '64'] -> ((40 * 41) + 22) / 64 base 7
[779] ['22', '40', '42', '43'] -> ((43 - 40) * 22) - 42 base 7
[780] ['1', '1', '40', '44'] -> 44 - (40 / (1 + 1)) base 7
[781] ['1', '40', '64', '64'] -> (1 - (40 / 64)) * 64 base 7
[782] ['22', '40', '43', '46'] -> ((40 + 46) / 43) + 22 base 7
[783] ['22', '40', '43', '53'] -> (22 + 53) / (43 - 40) base 7
[784] ['22', '40', '44', '51'] -> ((40 + 51) / 44) + 22 base 7
[785] ['22', '40', '45', '53'] -> ((40 + 53) / 45) + 22 base 7
[786] ['22', '40', '50', '60'] -> ((40 + 60) / 50) + 22 base 7
[787] ['22', '40', '51', '62'] -> ((40 + 62) / 51) + 22 base 7
[788] ['22', '40', '52', '64'] -> ((40 + 64) / 52) + 22 base 7
[789] ['22', '40', '53', '56'] -> ((22 * 56) + 40) / 53 base 7
[790] ['22', '40', '53', '66'] -> ((40 + 66) / 53) + 22 base 7
[791] ['22', '41', '41', '41'] -> ((41 + 41) / 41) + 22 base 7
[792] ['1', '41', '41', '51'] -> 51 / ((41 / 41) + 1) base 7
[793] ['22', '41', '42', '43'] -> ((41 + 43) / 42) + 22 base 7
[794] ['22', '41', '42', '44'] -> ((44 - 41) * 22) - 42 base 7
[795] ['22', '41', '42', '60'] -> ((22 * 42) + 60) / 41 base 7
[796] ['22', '41', '43', '45'] -> ((41 + 45) / 43) + 22 base 7
[797] ['22', '41', '44', '50'] -> ((41 + 50) / 44) + 22 base 7
[798] ['22', '41', '45', '52'] -> ((41 + 52) / 45) + 22 base 7
[799] ['22', '41', '45', '64'] -> ((45 - 41) * 22) - 64 base 7
[800] ['22', '41', '50', '53'] -> ((22 * 50) - 53) / 41 base 7
[801] ['22', '41', '50', '56'] -> ((41 + 56) / 50) + 22 base 7
[802] ['22', '41', '52', '63'] -> ((41 + 63) / 52) + 22 base 7
[803] ['1', '41', '41', '65'] -> ((65 / 41) - 1) * 41 base 7
[804] ['22', '41', '53', '65'] -> ((41 + 65) / 53) + 22 base 7
[805] ['22', '42', '42', '42'] -> ((42 + 42) / 42) + 22 base 7
[806] ['22', '42', '43', '44'] -> ((42 + 44) / 43) + 22 base 7
[807] ['22', '42', '43', '62'] -> ((22 * 43) + 62) / 42 base 7
[808] ['22', '42', '44', '46'] -> ((42 + 46) / 44) + 22 base 7
[809] ['22', '42', '44', '50'] -> ((50 - 44) * 22) - 42 base 7
[810] ['22', '42', '45', '53'] -> (22 + 53) / (45 - 42) base 7
[811] ['22', '42', '46', '52'] -> ((52 - 46) * 22) - 42 base 7
[812] ['22', '42', '46', '64'] -> ((46 - 42) * 22) - 64 base 7
[813] ['22', '42', '50', '53'] -> ((53 - 50) * 22) - 42 base 7
[814] ['1', '41', '43', '50'] -> (1 + 50) / (43 - 41) base 7
[815] ['22', '42', '50', '55'] -> ((42 + 55) / 50) + 22 base 7
[816] ['22', '42', '51', '51'] -> ((22 * 51) - 51) / 42 base 7
[817] ['22', '42', '51', '54'] -> ((54 - 51) * 22) - 42 base 7
[818] ['22', '42', '51', '60'] -> ((42 + 60) / 51) + 22 base 7
[819] ['22', '42', '52', '55'] -> ((55 - 52) * 22) - 42 base 7
[820] ['22', '42', '52', '62'] -> ((42 + 62) / 52) + 22 base 7
[821] ['22', '42', '53', '56'] -> ((56 - 53) * 22) - 42 base 7
[822] ['22', '42', '53', '64'] -> ((42 + 64) / 53) + 22 base 7
[823] ['22', '42', '54', '66'] -> ((42 + 66) / 54) + 22 base 7
[824] ['22', '42', '55', '61'] -> ((61 - 55) * 22) - 42 base 7
[825] ['1', '41', '43', '53'] -> (53 / (43 - 41)) - 1 base 7
[826] ['22', '42', '56', '62'] -> ((62 - 56) * 22) - 42 base 7
[827] ['22', '42', '56', '66'] -> ((22 * 66) - 42) / 56 base 7
[828] ['22', '42', '61', '64'] -> ((64 - 61) * 22) - 42 base 7
[829] ['22', '42', '62', '65'] -> ((65 - 62) * 22) - 42 base 7
[830] ['22', '43', '43', '43'] -> ((43 + 43) / 43) + 22 base 7
[831] ['22', '43', '44', '64'] -> ((22 * 44) + 64) / 43 base 7
[832] ['22', '43', '45', '50'] -> ((43 + 50) / 45) + 22 base 7
[833] ['22', '43', '46', '53'] -> (22 + 53) / (46 - 43) base 7
[834] ['22', '43', '50', '54'] -> ((43 + 54) / 50) + 22 base 7
[835] ['22', '43', '50', '64'] -> ((50 - 43) * 22) - 64 base 7
[836] ['1', '41', '65', '65'] -> (1 - (41 / 65)) * 65 base 7
[837] ['22', '43', '51', '56'] -> ((43 + 56) / 51) + 22 base 7
[838] ['22', '43', '52', '61'] -> ((43 + 61) / 52) + 22 base 7
[839] ['22', '43', '53', '63'] -> ((43 + 63) / 53) + 22 base 7
[840] ['22', '43', '54', '65'] -> ((43 + 65) / 54) + 22 base 7
[841] ['22', '44', '44', '44'] -> ((44 + 44) / 44) + 22 base 7
[842] ['22', '44', '44', '53'] -> ((22 * 53) - 44) / 44 base 7
[843] ['22', '44', '52', '60'] -> ((44 + 60) / 52) + 22 base 7
[844] ['22', '44', '53', '62'] -> ((44 + 62) / 53) + 22 base 7
[845] ['22', '44', '54', '64'] -> ((44 + 64) / 54) + 22 base 7
[846] ['22', '44', '55', '61'] -> ((22 * 61) + 44) / 55 base 7
[847] ['1', '42', '42', '51'] -> 51 / ((42 / 42) + 1) base 7
[848] ['22', '44', '55', '65'] -> ((22 * 65) - 44) / 55 base 7
[849] ['22', '44', '55', '66'] -> ((44 + 66) / 55) + 22 base 7
[850] ['22', '45', '50', '52'] -> ((45 + 52) / 50) + 22 base 7
[851] ['22', '45', '51', '53'] -> (22 + 53) / (51 - 45) base 7
[852] ['22', '45', '51', '54'] -> ((45 + 54) / 51) + 22 base 7
[853] ['22', '45', '52', '56'] -> ((45 + 56) / 52) + 22 base 7
[854] ['22', '45', '52', '64'] -> ((52 - 45) * 22) - 64 base 7
[855] ['22', '45', '53', '61'] -> ((45 + 61) / 53) + 22 base 7
[856] ['22', '45', '54', '63'] -> ((45 + 63) / 54) + 22 base 7
[857] ['22', '45', '55', '64'] -> ((22 * 55) - 64) / 45 base 7
[858] ['1', '42', '42', '63'] -> 42 / ((42 / 63) + 1) base 7
[859] ['22', '45', '55', '65'] -> ((45 + 65) / 55) + 22 base 7
[860] ['22', '46', '51', '53'] -> ((46 + 53) / 51) + 22 base 7
[861] ['22', '46', '52', '55'] -> ((46 + 55) / 52) + 22 base 7
[862] ['22', '46', '53', '60'] -> ((46 + 60) / 53) + 22 base 7
[863] ['22', '46', '53', '64'] -> ((53 - 46) * 22) - 64 base 7
[864] ['22', '46', '54', '62'] -> ((46 + 62) / 54) + 22 base 7
[865] ['22', '46', '54', '64'] -> ((22 * 64) - 46) / 54 base 7
[866] ['22', '46', '55', '64'] -> ((46 + 64) / 55) + 22 base 7
[867] ['22', '46', '56', '66'] -> ((46 + 66) / 56) + 22 base 7
[868] ['22', '50', '52', '54'] -> ((50 + 54) / 52) + 22 base 7
[869] ['1', '42', '42', '66'] -> ((66 / 42) - 1) * 42 base 7
[870] ['22', '50', '53', '56'] -> ((50 + 56) / 53) + 22 base 7
[871] ['22', '50', '54', '61'] -> ((50 + 61) / 54) + 22 base 7
[872] ['22', '50', '54', '64'] -> ((54 - 50) * 22) - 64 base 7
[873] ['22', '50', '55', '63'] -> ((50 + 63) / 55) + 22 base 7
[874] ['22', '50', '56', '65'] -> ((50 + 65) / 56) + 22 base 7
[875] ['22', '51', '51', '51'] -> ((51 + 51) / 51) + 22 base 7
[876] ['22', '51', '52', '53'] -> ((51 + 53) / 52) + 22 base 7
[877] ['22', '51', '53', '54'] -> (22 + 53) / (54 - 51) base 7
[878] ['22', '51', '54', '60'] -> ((51 + 60) / 54) + 22 base 7
[879] ['22', '51', '55', '61'] -> ((22 * 61) - 55) / 51 base 7
[880] ['1', '42', '44', '50'] -> (1 + 50) / (44 - 42) base 7
[881] ['22', '51', '55', '62'] -> ((51 + 62) / 55) + 22 base 7
[882] ['22', '51', '55', '64'] -> ((55 - 51) * 22) - 64 base 7
[883] ['22', '51', '56', '64'] -> ((51 + 64) / 56) + 22 base 7
[884] ['22', '51', '60', '63'] -> ((22 * 63) + 51) / 60 base 7
[885] ['22', '52', '52', '52'] -> ((52 + 52) / 52) + 22 base 7
[886] ['22', '52', '53', '54'] -> ((52 + 54) / 53) + 22 base 7
[887] ['22', '52', '53', '55'] -> (22 + 53) / (55 - 52) base 7
[888] ['22', '52', '53', '62'] -> ((22 * 62) - 53) / 52 base 7
[889] ['22', '52', '54', '56'] -> ((52 + 56) / 54) + 22 base 7
[890] ['22', '52', '56', '63'] -> ((52 + 63) / 56) + 22 base 7
[891] ['1', '1', '40', '52'] -> (1 + 1) * (52 - 40) base 7
[892] ['1', '42', '44', '53'] -> (53 / (44 - 42)) - 1 base 7
[893] ['22', '52', '56', '64'] -> ((56 - 52) * 22) - 64 base 7
[894] ['22', '52', '60', '65'] -> ((52 + 65) / 60) + 22 base 7
[895] ['22', '53', '53', '53'] -> ((53 + 53) / 53) + 22 base 7
[896] ['22', '53', '53', '56'] -> (22 + 53) / (56 - 53) base 7
[897] ['22', '53', '54', '55'] -> ((53 + 55) / 54) + 22 base 7
[898] ['22', '53', '54', '60'] -> (22 + 53) / (60 - 54) base 7
[899] ['22', '53', '55', '60'] -> ((53 + 60) / 55) + 22 base 7
[900] ['22', '53', '55', '61'] -> (22 + 53) / (61 - 55) base 7
[901] ['22', '53', '60', '63'] -> (22 + 53) / (63 - 60) base 7
[902] ['22', '53', '61', '66'] -> ((53 + 66) / 61) + 22 base 7
[903] ['1', '42', '44', '66'] -> 42 / ((44 / 66) + 1) base 7
[904] ['22', '53', '62', '65'] -> (22 + 53) / (65 - 62) base 7
[905] ['22', '53', '63', '66'] -> (22 + 53) / (66 - 63) base 7
[906] ['22', '54', '54', '54'] -> ((54 + 54) / 54) + 22 base 7
[907] ['22', '54', '55', '56'] -> ((54 + 56) / 55) + 22 base 7
[908] ['22', '54', '56', '61'] -> ((54 + 61) / 56) + 22 base 7
[909] ['22', '54', '60', '63'] -> ((54 + 63) / 60) + 22 base 7
[910] ['22', '54', '61', '64'] -> ((61 - 54) * 22) - 64 base 7
[911] ['22', '54', '61', '65'] -> ((54 + 65) / 61) + 22 base 7
[912] ['22', '55', '55', '55'] -> ((55 + 55) / 55) + 22 base 7
[913] ['22', '55', '56', '60'] -> ((55 + 60) / 56) + 22 base 7
[914] ['1', '42', '50', '54'] -> 54 / ((50 / 42) + 1) base 7
[915] ['22', '55', '60', '62'] -> ((55 + 62) / 60) + 22 base 7
[916] ['22', '55', '61', '64'] -> ((55 + 64) / 61) + 22 base 7
[917] ['22', '55', '62', '64'] -> ((62 - 55) * 22) - 64 base 7
[918] ['22', '55', '62', '65'] -> ((22 * 65) + 55) / 62 base 7
[919] ['22', '55', '62', '66'] -> ((55 + 66) / 62) + 22 base 7
[920] ['22', '55', '66', '66'] -> ((22 * 66) - 66) / 55 base 7
[921] ['22', '56', '56', '56'] -> ((56 + 56) / 56) + 22 base 7
[922] ['22', '56', '60', '61'] -> ((56 + 61) / 60) + 22 base 7
[923] ['22', '56', '61', '63'] -> ((56 + 63) / 61) + 22 base 7
[924] ['22', '56', '62', '65'] -> ((56 + 65) / 62) + 22 base 7
[925] ['1', '42', '51', '63'] -> ((63 / 42) - 1) * 51 base 7
[926] ['22', '56', '63', '64'] -> ((63 - 56) * 22) - 64 base 7
[927] ['22', '60', '60', '60'] -> ((60 + 60) / 60) + 22 base 7
[928] ['22', '60', '61', '62'] -> ((60 + 62) / 61) + 22 base 7
[929] ['22', '60', '62', '64'] -> ((60 + 64) / 62) + 22 base 7
[930] ['22', '60', '64', '64'] -> ((64 - 60) * 22) - 64 base 7
[931] ['22', '61', '61', '61'] -> ((61 + 61) / 61) + 22 base 7
[932] ['22', '61', '62', '63'] -> ((61 + 63) / 62) + 22 base 7
[933] ['22', '61', '63', '65'] -> ((61 + 65) / 63) + 22 base 7
[934] ['22', '61', '64', '65'] -> ((65 - 61) * 22) - 64 base 7
[935] ['22', '62', '62', '62'] -> ((62 + 62) / 62) + 22 base 7
[936] ['1', '42', '55', '60'] -> 60 / ((55 / 42) + 1) base 7
[937] ['22', '62', '63', '64'] -> ((62 + 64) / 63) + 22 base 7
[938] ['22', '63', '63', '63'] -> ((63 + 63) / 63) + 22 base 7
[939] ['22', '63', '64', '65'] -> ((63 + 65) / 64) + 22 base 7
[940] ['22', '64', '64', '64'] -> ((64 + 64) / 64) + 22 base 7
[941] ['22', '64', '65', '66'] -> ((64 + 66) / 65) + 22 base 7
[942] ['22', '65', '65', '65'] -> ((65 + 65) / 65) + 22 base 7
[943] ['22', '66', '66', '66'] -> ((66 + 66) / 66) + 22 base 7
[944] ['23', '23', '23', '23'] -> ((23 * 23) + 23) / 23 base 7
[945] ['23', '23', '23', '25'] -> ((23 * 25) - 23) / 23 base 7
[946] ['23', '23', '23', '26'] -> 26 - ((23 + 23) / 23) base 7
[947] ['1', '42', '60', '63'] -> ((60 / 42) - 1) * 63 base 7
[948] ['23', '23', '25', '25'] -> (23 + 25) / (25 - 23) base 7
[949] ['23', '23', '26', '45'] -> ((26 - 23) * 23) - 45 base 7
[950] ['23', '23', '26', '46'] -> ((23 * 26) - 46) / 23 base 7
[951] ['23', '23', '30', '46'] -> 30 - ((23 + 46) / 23) base 7
[952] ['23', '23', '46', '50'] -> ((23 * 50) + 23) / 46 base 7
[953] ['23', '25', '25', '25'] -> ((23 * 25) + 25) / 25 base 7
[954] ['23', '25', '25', '26'] -> ((25 - 23) * 25) - 26 base 7
[955] ['23', '25', '26', '30'] -> 26 - ((23 + 30) / 25) base 7
[956] ['23', '25', '30', '32'] -> (23 + 25) / (32 - 30) base 7
[957] ['23', '25', '30', '33'] -> ((25 - 23) * 30) - 33 base 7
[958] ['1', '42', '63', '63'] -> 63 / ((63 / 42) + 1) base 7
[959] ['23', '25', '30', '44'] -> 30 - ((25 + 44) / 23) base 7
[960] ['23', '25', '31', '33'] -> (23 + 25) / (33 - 31) base 7
[961] ['23', '25', '31', '35'] -> ((25 - 23) * 31) - 35 base 7
[962] ['23', '25', '31', '45'] -> ((31 - 25) * 23) - 45 base 7
[963] ['23', '25', '31', '52'] -> (23 + 52) / (31 - 25) base 7
[964] ['23', '25', '32', '34'] -> (23 + 25) / (34 - 32) base 7
[965] ['23', '25', '32', '40'] -> ((25 - 23) * 32) - 40 base 7
[966] ['23', '25', '33', '35'] -> (23 + 25) / (35 - 33) base 7
[967] ['23', '25', '34', '36'] -> (23 + 25) / (36 - 34) base 7
[968] ['23', '25', '34', '44'] -> ((25 - 23) * 34) - 44 base 7
[969] ['1', '42', '66', '66'] -> (1 - (42 / 66)) * 66 base 7
[970] ['23', '25', '35', '46'] -> ((25 - 23) * 35) - 46 base 7
[971] ['23', '25', '36', '41'] -> (23 + 25) / (41 - 36) base 7
[972] ['23', '25', '40', '42'] -> (23 + 25) / (42 - 40) base 7
[973] ['23', '25', '40', '53'] -> ((25 - 23) * 40) - 53 base 7
[974] ['23', '25', '41', '43'] -> (23 + 25) / (43 - 41) base 7
[975] ['23', '25', '41', '55'] -> ((25 - 23) * 41) - 55 base 7
[976] ['23', '25', '42', '44'] -> (23 + 25) / (44 - 42) base 7
[977] ['23', '25', '42', '60'] -> ((25 - 23) * 42) - 60 base 7
[978] ['23', '25', '43', '45'] -> (23 + 25) / (45 - 43) base 7
[979] ['23', '25', '43', '62'] -> ((25 - 23) * 43) - 62 base 7
[980] ['1', '43', '43', '51'] -> 51 / ((43 / 43) + 1) base 7
[981] ['23', '25', '44', '50'] -> ((23 * 50) - 25) / 44 base 7
[982] ['23', '25', '44', '64'] -> ((25 - 23) * 44) - 64 base 7
[983] ['23', '25', '45', '50'] -> (23 + 25) / (50 - 45) base 7
[984] ['23', '25', '45', '66'] -> ((25 - 23) * 45) - 66 base 7
[985] ['23', '25', '50', '51'] -> ((25 * 50) - 23) / 51 base 7
[986] ['23', '25', '50', '52'] -> (23 + 25) / (52 - 50) base 7
[987] ['23', '25', '51', '52'] -> ((23 * 52) + 25) / 51 base 7
[988] ['23', '25', '52', '54'] -> (23 + 25) / (54 - 52) base 7
[989] ['23', '25', '52', '55'] -> ((25 * 52) + 23) / 55 base 7
[990] ['23', '25', '54', '56'] -> (23 + 25) / (56 - 54) base 7
[991] ['1', '43', '45', '50'] -> (1 + 50) / (45 - 43) base 7
[992] ['23', '25', '55', '60'] -> (23 + 25) / (60 - 55) base 7
[993] ['23', '25', '56', '61'] -> (23 + 25) / (61 - 56) base 7
[994] ['23', '25', '60', '62'] -> (23 + 25) / (62 - 60) base 7
[995] ['23', '25', '61', '63'] -> (23 + 25) / (63 - 61) base 7
[996] ['23', '25', '61', '65'] -> (25 * 61) - (23 * 65) base 7
[997] ['23', '25', '62', '64'] -> (23 + 25) / (64 - 62) base 7
[998] ['23', '25', '63', '65'] -> (23 + 25) / (65 - 63) base 7
[999] ['23', '25', '64', '66'] -> (23 + 25) / (66 - 64) base 7
[1000] ['23', '26', '26', '26'] -> ((23 * 26) + 26) / 26 base 7
[1001] ['23', '26', '26', '32'] -> 26 - ((23 + 32) / 26) base 7
[1002] ['1', '1', '40', '53'] -> ((1 + 1) * 40) - 53 base 7
[1003] ['1', '43', '45', '53'] -> (53 / (45 - 43)) - 1 base 7
[1004] ['23', '26', '26', '60'] -> ((26 - 23) * 26) - 60 base 7
[1005] ['23', '26', '30', '43'] -> 30 - ((26 + 43) / 23) base 7
[1006] ['23', '26', '30', '45'] -> (30 + 45) / (26 - 23) base 7
[1007] ['23', '26', '30', '53'] -> ((23 * 26) + 53) / 30 base 7
[1008] ['23', '26', '30', '61'] -> 30 - ((23 + 61) / 26) base 7
[1009] ['23', '26', '30', '63'] -> ((26 - 23) * 30) - 63 base 7
[1010] ['23', '26', '31', '36'] -> 26 - ((23 + 36) / 31) base 7
[1011] ['23', '26', '31', '44'] -> (31 + 44) / (26 - 23) base 7
[1012] ['23', '26', '32', '35'] -> (26 * 32) - (23 * 35) base 7
[1013] ['23', '26', '32', '45'] -> ((32 - 26) * 23) - 45 base 7
[1014] ['1', '44', '44', '51'] -> 51 / ((44 / 44) + 1) base 7
[1015] ['23', '26', '32', '52'] -> (23 + 52) / (32 - 26) base 7
[1016] ['23', '26', '33', '66'] -> ((23 * 33) - 66) / 26 base 7
[1017] ['23', '26', '34', '41'] -> (34 + 41) / (26 - 23) base 7
[1018] ['23', '26', '34', '45'] -> 26 - ((23 + 45) / 34) base 7
[1019] ['23', '26', '35', '40'] -> (35 + 40) / (26 - 23) base 7
[1020] ['23', '26', '35', '50'] -> 26 - ((23 + 50) / 35) base 7
[1021] ['23', '26', '36', '52'] -> 26 - ((23 + 52) / 36) base 7
[1022] ['23', '26', '40', '54'] -> 26 - ((23 + 54) / 40) base 7
[1023] ['23', '26', '41', '56'] -> 26 - ((23 + 56) / 41) base 7
[1024] ['23', '26', '42', '61'] -> 26 - ((23 + 61) / 42) base 7
[1025] ['1', '44', '46', '50'] -> (1 + 50) / (46 - 44) base 7
[1026] ['23', '26', '43', '46'] -> ((23 * 46) - 26) / 43 base 7
[1027] ['23', '26', '43', '63'] -> 26 - ((23 + 63) / 43) base 7
[1028] ['23', '26', '52', '53'] -> ((23 * 53) + 26) / 52 base 7
[1029] ['23', '30', '30', '30'] -> ((23 * 30) + 30) / 30 base 7
[1030] ['23', '30', '30', '36'] -> (23 * 36) - (30 * 30) base 7
[1031] ['23', '30', '30', '42'] -> 30 - ((30 + 42) / 23) base 7
[1032] ['23', '30', '30', '64'] -> 30 - ((23 + 64) / 30) base 7
[1033] ['23', '30', '31', '41'] -> 30 - ((31 + 41) / 23) base 7
[1034] ['23', '30', '31', '54'] -> ((23 * 30) + 54) / 31 base 7
[1035] ['23', '30', '31', '65'] -> 31 - ((30 + 65) / 23) base 7
[1036] ['1', '44', '46', '53'] -> (53 / (46 - 44)) - 1 base 7
[1037] ['23', '30', '32', '40'] -> 30 - ((32 + 40) / 23) base 7
[1038] ['23', '30', '33', '36'] -> 30 - ((33 + 36) / 23) base 7
[1039] ['23', '30', '33', '42'] -> ((23 * 33) - 42) / 30 base 7
[1040] ['23', '30', '33', '45'] -> ((33 - 30) * 23) - 45 base 7
[1041] ['23', '30', '33', '52'] -> (23 + 52) / (33 - 30) base 7
[1042] ['23', '30', '33', '66'] -> (33 + 66) / (30 - 23) base 7
[1043] ['23', '30', '34', '35'] -> 30 - ((34 + 35) / 23) base 7
[1044] ['23', '30', '40', '62'] -> (40 + 62) / (30 - 23) base 7
[1045] ['23', '30', '42', '45'] -> ((23 * 45) - 30) / 42 base 7
[1046] ['23', '30', '42', '51'] -> (30 * 42) - (23 * 51) base 7
[1047] ['1', '44', '50', '63'] -> 44 / ((50 / 63) + 1) base 7
[1048] ['23', '30', '42', '60'] -> (42 + 60) / (30 - 23) base 7
[1049] ['23', '30', '43', '56'] -> (43 + 56) / (30 - 23) base 7
[1050] ['23', '30', '44', '55'] -> (44 + 55) / (30 - 23) base 7
[1051] ['23', '30', '45', '54'] -> (45 + 54) / (30 - 23) base 7
[1052] ['23', '30', '46', '53'] -> (46 + 53) / (30 - 23) base 7
[1053] ['23', '30', '50', '52'] -> (50 + 52) / (30 - 23) base 7
[1054] ['23', '30', '53', '54'] -> ((23 * 54) + 30) / 53 base 7
[1055] ['23', '30', '53', '66'] -> (23 * 66) - (30 * 53) base 7
[1056] ['23', '31', '31', '31'] -> ((23 * 31) + 31) / 31 base 7
[1057] ['23', '31', '31', '64'] -> 31 - ((31 + 64) / 23) base 7
[1058] ['1', '44', '51', '66'] -> ((66 / 44) - 1) * 51 base 7
[1059] ['23', '31', '32', '55'] -> ((23 * 31) + 55) / 32 base 7
[1060] ['23', '31', '33', '62'] -> 31 - ((33 + 62) / 23) base 7
[1061] ['23', '31', '34', '41'] -> ((23 * 34) - 41) / 31 base 7
[1062] ['23', '31', '34', '45'] -> ((34 - 31) * 23) - 45 base 7
[1063] ['23', '31', '34', '52'] -> (23 + 52) / (34 - 31) base 7
[1064] ['23', '31', '34', '61'] -> 31 - ((34 + 61) / 23) base 7
[1065] ['23', '31', '35', '60'] -> 31 - ((35 + 60) / 23) base 7
[1066] ['23', '31', '35', '64'] -> ((23 * 35) - 64) / 31 base 7
[1067] ['23', '31', '36', '56'] -> 31 - ((36 + 56) / 23) base 7
[1068] ['23', '31', '40', '55'] -> 31 - ((40 + 55) / 23) base 7
[1069] ['1', '44', '62', '66'] -> ((62 / 44) - 1) * 66 base 7
[1070] ['23', '31', '41', '44'] -> ((23 * 44) - 31) / 41 base 7
[1071] ['23', '31', '41', '54'] -> 31 - ((41 + 54) / 23) base 7
[1072] ['23', '31', '42', '53'] -> 31 - ((42 + 53) / 23) base 7
[1073] ['23', '31', '43', '52'] -> 31 - ((43 + 52) / 23) base 7
[1074] ['23', '31', '44', '51'] -> 31 - ((44 + 51) / 23) base 7
[1075] ['23', '31', '45', '50'] -> 31 - ((45 + 50) / 23) base 7
[1076] ['23', '31', '46', '46'] -> 31 - ((46 + 46) / 23) base 7
[1077] ['23', '31', '54', '55'] -> ((23 * 55) + 31) / 54 base 7
[1078] ['23', '31', '60', '66'] -> (60 + 66) / (31 - 23) base 7
[1079] ['23', '31', '61', '65'] -> (61 + 65) / (31 - 23) base 7
[1080] ['1', '44', '63', '66'] -> 63 / ((66 / 44) + 1) base 7
[1081] ['23', '31', '62', '64'] -> (62 + 64) / (31 - 23) base 7
[1082] ['23', '31', '63', '63'] -> (63 + 63) / (31 - 23) base 7
[1083] ['23', '32', '32', '32'] -> ((23 * 32) + 32) / 32 base 7
[1084] ['23', '32', '33', '56'] -> ((23 * 32) + 56) / 33 base 7
[1085] ['23', '32', '34', '43'] -> ((32 * 34) - 23) / 43 base 7
[1086] ['23', '32', '35', '40'] -> ((23 * 35) - 40) / 32 base 7
[1087] ['23', '32', '35', '45'] -> ((35 - 32) * 23) - 45 base 7
[1088] ['23', '32', '35', '52'] -> (23 + 52) / (35 - 32) base 7
[1089] ['23', '32', '36', '63'] -> ((23 * 36) - 63) / 32 base 7
[1090] ['23', '32', '41', '53'] -> ((32 * 41) + 23) / 53 base 7
[1091] ['1', '45', '45', '51'] -> 51 / ((45 / 45) + 1) base 7
[1092] ['23', '32', '52', '66'] -> 32 - ((52 + 66) / 23) base 7
[1093] ['23', '32', '53', '65'] -> 32 - ((53 + 65) / 23) base 7
[1094] ['23', '32', '54', '64'] -> 32 - ((54 + 64) / 23) base 7
[1095] ['23', '32', '55', '56'] -> ((23 * 56) + 32) / 55 base 7
[1096] ['23', '32', '55', '63'] -> 32 - ((55 + 63) / 23) base 7
[1097] ['23', '32', '60', '61'] -> 32 - ((60 + 61) / 23) base 7
[1098] ['23', '33', '33', '33'] -> ((23 * 33) + 33) / 33 base 7
[1099] ['23', '33', '34', '60'] -> ((23 * 33) + 60) / 34 base 7
[1100] ['23', '33', '36', '36'] -> ((23 * 36) - 36) / 33 base 7
[1101] ['23', '33', '36', '42'] -> ((23 * 42) - 33) / 36 base 7
[1102] ['1', '45', '50', '50'] -> (1 + 50) / (50 - 45) base 7
[1103] ['23', '33', '36', '52'] -> (23 + 52) / (36 - 33) base 7
[1104] ['23', '33', '40', '62'] -> ((23 * 40) - 62) / 33 base 7
[1105] ['23', '33', '41', '60'] -> (23 * 60) - (33 * 41) base 7
[1106] ['23', '33', '56', '60'] -> ((23 * 60) + 33) / 56 base 7
[1107] ['23', '33', '62', '66'] -> ((23 * 66) - 33) / 62 base 7
[1108] ['23', '34', '34', '34'] -> ((23 * 34) + 34) / 34 base 7
[1109] ['23', '34', '35', '40'] -> ((23 * 40) - 35) / 34 base 7
[1110] ['23', '34', '35', '41'] -> ((23 * 41) - 34) / 35 base 7
[1111] ['23', '34', '35', '61'] -> ((23 * 34) + 61) / 35 base 7
[1112] ['23', '34', '40', '45'] -> ((40 - 34) * 23) - 45 base 7
[1113] ['1', '1', '2', '45'] -> ((1 + 45) / 2) + 1 base 7
[1114] ['1', '1', '41', '53'] -> (1 + 1) * (53 - 41) base 7
[1115] ['1', '45', '50', '53'] -> (53 / (50 - 45)) - 1 base 7
[1116] ['23', '34', '40', '52'] -> (23 + 52) / (40 - 34) base 7
