[1] ['1', '1', '1', '11'] -> (1 + 1) * (1 + 11) base 12
[2] ['1', '1', '3', '1A'] -> ((1 + 1) * 3) + 1A base 12
[3] ['1', '1', '20', '28'] -> (20 + 28) / (1 + 1) base 12
[4] ['1', '17', '32', '36'] -> 36 / ((17 / 32) + 1) base 12
[5] ['13', '14', '15', '17'] -> ((17 - 14) * 13) - 15 base 12
[6] ['13', '14', '15', '1A'] -> ((15 - 13) * 1A) - 14 base 12
[7] ['13', '14', '15', '22'] -> ((13 + 15) / 14) + 22 base 12
[8] ['13', '14', '15', '27'] -> ((13 * 27) - 15) / 14 base 12
[9] ['13', '14', '15', '34'] -> (14 + 34) / (15 - 13) base 12
[10] ['13', '14', '16', '18'] -> ((16 - 13) * 14) - 18 base 12
[11] ['13', '14', '17', '30'] -> ((17 - 13) * 14) - 30 base 12
[12] ['13', '14', '18', '28'] -> ((18 - 14) * 13) - 28 base 12
[13] ['13', '14', '19', '3B'] -> ((19 - 14) * 13) - 3B base 12
[14] ['13', '14', '1B', '38'] -> ((13 * 38) - 14) / 1B base 12
[15] ['1', '17', '3B', '3B'] -> (1 - (17 / 3B)) * 3B base 12
[16] ['13', '14', '20', '30'] -> ((14 * 20) + 30) / 13 base 12
[17] ['13', '14', '20', '38'] -> ((14 + 38) / 13) + 20 base 12
[18] ['13', '14', '20', '41'] -> ((13 + 41) / 14) + 20 base 12
[19] ['13', '14', '21', '25'] -> ((14 + 25) / 13) + 21 base 12
[20] ['13', '14', '21', '29'] -> ((13 + 29) / 14) + 21 base 12
[21] ['13', '14', '23', '37'] -> ((13 * 23) + 37) / 14 base 12
[22] ['13', '14', '25', '38'] -> ((14 * 25) - 38) / 13 base 12
[23] ['13', '14', '27', '29'] -> 27 - ((13 + 29) / 14) base 12
[24] ['13', '14', '28', '28'] -> ((13 * 28) - 28) / 14 base 12
[25] ['13', '14', '28', '30'] -> (13 * 30) - (14 * 28) base 12
[26] ['1', '18', '18', '40'] -> ((40 / 18) - 1) * 18 base 12
[27] ['13', '14', '28', '38'] -> 28 - ((14 + 38) / 13) base 12
[28] ['13', '14', '28', '41'] -> 28 - ((13 + 41) / 14) base 12
[29] ['13', '14', '29', '3B'] -> ((13 * 29) - 3B) / 14 base 12
[30] ['13', '14', '37', '38'] -> (14 * 37) - (13 * 38) base 12
[31] ['13', '15', '15', '18'] -> ((18 - 15) * 13) - 15 base 12
[32] ['13', '15', '15', '33'] -> (15 + 33) / (15 - 13) base 12
[33] ['13', '15', '16', '19'] -> ((19 - 16) * 13) - 15 base 12
[34] ['13', '15', '16', '32'] -> (16 + 32) / (15 - 13) base 12
[35] ['13', '15', '17', '1A'] -> ((1A - 17) * 13) - 15 base 12
[36] ['13', '15', '17', '26'] -> 26 - ((13 + 17) / 15) base 12
[37] ['1', '18', '19', '2B'] -> 19 / ((2B / 18) - 1) base 12
[38] ['13', '15', '17', '31'] -> (17 + 31) / (15 - 13) base 12
[39] ['13', '15', '17', '34'] -> ((17 - 13) * 15) - 34 base 12
[40] ['13', '15', '18', '30'] -> (18 + 30) / (15 - 13) base 12
[41] ['13', '15', '19', '28'] -> ((19 - 15) * 13) - 28 base 12
[42] ['13', '15', '1A', '2A'] -> (1A + 2A) / (15 - 13) base 12
[43] ['13', '15', '1A', '3A'] -> ((15 * 1A) + 3A) / 13 base 12
[44] ['13', '15', '1A', '3B'] -> ((1A - 15) * 13) - 3B base 12
[45] ['13', '15', '1B', '22'] -> ((22 - 1B) * 13) - 15 base 12
[46] ['13', '15', '1B', '25'] -> ((15 * 1B) + 25) / 13 base 12
[47] ['13', '15', '1B', '29'] -> (1B + 29) / (15 - 13) base 12
[48] ['1', '18', '19', '30'] -> 18 / ((30 / 19) - 1) base 12
[49] ['13', '15', '20', '22'] -> ((15 - 13) * 22) - 20 base 12
[50] ['13', '15', '20', '23'] -> ((23 - 20) * 13) - 15 base 12
[51] ['13', '15', '20', '28'] -> (20 + 28) / (15 - 13) base 12
[52] ['13', '15', '20', '37'] -> ((15 + 37) / 13) + 20 base 12
[53] ['13', '15', '21', '27'] -> (21 + 27) / (15 - 13) base 12
[54] ['13', '15', '21', '30'] -> ((13 + 30) / 15) + 21 base 12
[55] ['13', '15', '22', '23'] -> ((15 - 13) * 23) - 22 base 12
[56] ['13', '15', '22', '25'] -> ((25 - 22) * 13) - 15 base 12
[57] ['13', '15', '23', '25'] -> (23 + 25) / (15 - 13) base 12
[58] ['13', '15', '23', '26'] -> ((26 - 23) * 13) - 15 base 12
[59] ['1', '18', '22', '33'] -> ((1 + 33) / 18) + 22 base 12
[60] ['13', '15', '23', '33'] -> ((15 * 23) - 33) / 13 base 12
[61] ['13', '15', '24', '3B'] -> ((15 * 3B) - 13) / 24 base 12
[62] ['13', '15', '25', '26'] -> ((15 - 13) * 25) - 26 base 12
[63] ['13', '15', '25', '35'] -> ((13 * 25) + 35) / 15 base 12
[64] ['13', '15', '26', '28'] -> ((15 - 13) * 26) - 28 base 12
[65] ['13', '15', '26', '29'] -> ((29 - 26) * 13) - 15 base 12
[66] ['13', '15', '27', '30'] -> 27 - ((13 + 30) / 15) base 12
[67] ['13', '15', '27', '31'] -> (13 * 31) - (15 * 27) base 12
[68] ['13', '15', '28', '2B'] -> ((2B - 28) * 13) - 15 base 12
[69] ['13', '15', '28', '37'] -> 28 - ((15 + 37) / 13) base 12
[70] ['1', '18', '22', '36'] -> (36 / (1 + 18)) + 22 base 12
[71] ['13', '15', '29', '30'] -> ((30 - 29) * 13) - 15 base 12
[72] ['13', '15', '29', '32'] -> ((15 - 13) * 29) - 32 base 12
[73] ['13', '15', '2A', '2A'] -> ((13 * 2A) - 2A) / 15 base 12
[74] ['13', '15', '2A', '31'] -> ((31 - 2A) * 13) - 15 base 12
[75] ['13', '15', '2A', '34'] -> ((15 - 13) * 2A) - 34 base 12
[76] ['13', '15', '2B', '32'] -> ((32 - 2B) * 13) - 15 base 12
[77] ['13', '15', '2B', '36'] -> ((15 - 13) * 2B) - 36 base 12
[78] ['13', '15', '30', '33'] -> ((33 - 30) * 13) - 15 base 12
[79] ['13', '15', '30', '38'] -> ((15 - 13) * 30) - 38 base 12
[80] ['13', '15', '31', '34'] -> ((34 - 31) * 13) - 15 base 12
[81] ['1', '18', '2A', '34'] -> ((2A / 18) - 1) * 34 base 12
[82] ['13', '15', '31', '3A'] -> ((15 - 13) * 31) - 3A base 12
[83] ['13', '15', '32', '35'] -> ((35 - 32) * 13) - 15 base 12
[84] ['13', '15', '32', '40'] -> ((15 - 13) * 32) - 40 base 12
[85] ['13', '15', '33', '36'] -> ((36 - 33) * 13) - 15 base 12
[86] ['13', '15', '34', '37'] -> ((37 - 34) * 13) - 15 base 12
[87] ['13', '15', '35', '38'] -> ((38 - 35) * 13) - 15 base 12
[88] ['13', '15', '37', '3A'] -> ((3A - 37) * 13) - 15 base 12
[89] ['13', '15', '38', '3B'] -> ((3B - 38) * 13) - 15 base 12
[90] ['13', '15', '3A', '41'] -> ((41 - 3A) * 13) - 15 base 12
[91] ['13', '16', '16', '22'] -> ((16 - 13) * 16) - 22 base 12
[92] ['1', '18', '2B', '30'] -> ((30 / 18) - 1) * 2B base 12
[93] ['13', '16', '17', '25'] -> ((16 - 13) * 17) - 25 base 12
[94] ['13', '16', '18', '28'] -> ((16 - 13) * 18) - 28 base 12
[95] ['13', '16', '19', '26'] -> 26 - ((13 + 19) / 16) base 12
[96] ['13', '16', '19', '36'] -> ((16 * 19) + 36) / 13 base 12
[97] ['13', '16', '1A', '20'] -> ((16 * 1A) + 20) / 13 base 12
[98] ['13', '16', '1A', '28'] -> ((1A - 16) * 13) - 28 base 12
[99] ['13', '16', '1A', '32'] -> ((16 - 13) * 1A) - 32 base 12
[100] ['13', '16', '1B', '35'] -> ((16 - 13) * 1B) - 35 base 12
[101] ['13', '16', '1B', '3B'] -> ((1B - 16) * 13) - 3B base 12
[102] ['13', '16', '20', '28'] -> ((13 * 28) + 20) / 16 base 12
[103] ['1', '18', '2B', '39'] -> 2B / ((39 / 18) - 1) base 12
[104] ['13', '16', '20', '36'] -> ((16 + 36) / 13) + 20 base 12
[105] ['13', '16', '20', '38'] -> ((16 - 13) * 20) - 38 base 12
[106] ['13', '16', '20', '3A'] -> ((13 * 3A) - 16) / 20 base 12
[107] ['13', '16', '21', '23'] -> ((16 + 23) / 13) + 21 base 12
[108] ['13', '16', '21', '33'] -> ((13 + 33) / 16) + 21 base 12
[109] ['13', '16', '21', '3B'] -> ((16 - 13) * 21) - 3B base 12
[110] ['13', '16', '23', '27'] -> 27 - ((16 + 23) / 13) base 12
[111] ['13', '16', '28', '36'] -> 28 - ((16 + 36) / 13) base 12
[112] ['13', '16', '2B', '41'] -> (2B + 41) / (16 - 13) base 12
[113] ['13', '16', '30', '30'] -> ((13 * 30) - 30) / 16 base 12
[114] ['1', '1', '20', '32'] -> (1 + 1) * (32 - 20) base 12
[115] ['1', '18', '34', '36'] -> 36 / ((18 / 34) + 1) base 12
[116] ['13', '16', '30', '40'] -> (30 + 40) / (16 - 13) base 12
