[1] ['1', '1', '1', '11'] -> (1 + 1) * (1 + 11) base 5
[2] ['1', '1', '10', '43'] -> (10 + 43) / (1 + 1) base 5
[3] ['1', '4', '20', '42'] -> ((20 - 1) * 4) - 42 base 5
[4] ['14', '33', '33', '33'] -> 33 - ((33 + 33) / 14) base 5
[5] ['14', '33', '34', '40'] -> (14 + 34) / (40 - 33) base 5
[6] ['14', '33', '42', '42'] -> ((42 - 33) * 14) - 42 base 5
[7] ['14', '34', '34', '41'] -> (14 + 34) / (41 - 34) base 5
[8] ['14', '34', '41', '43'] -> (14 + 34) / (43 - 41) base 5
[9] ['14', '34', '41', '44'] -> 34 - ((41 + 44) / 14) base 5
[10] ['14', '34', '42', '44'] -> (14 + 34) / (44 - 42) base 5
[11] ['14', '40', '42', '44'] -> ((44 - 40) * 14) - 42 base 5
[12] ['20', '20', '20', '22'] -> ((20 + 20) / 20) + 22 base 5
[13] ['20', '20', '20', '23'] -> ((20 * 23) + 20) / 20 base 5
[14] ['1', '4', '21', '21'] -> ((1 + 21) / 4) + 21 base 5
[15] ['20', '20', '20', '30'] -> ((20 * 30) - 20) / 20 base 5
[16] ['20', '20', '21', '40'] -> ((20 + 40) / 20) + 21 base 5
[17] ['20', '20', '22', '22'] -> ((22 - 20) * 22) - 20 base 5
[18] ['20', '20', '23', '31'] -> ((23 - 20) * 20) - 31 base 5
[19] ['20', '20', '30', '42'] -> ((20 * 42) - 20) / 30 base 5
[20] ['20', '20', '31', '40'] -> ((20 * 31) - 40) / 20 base 5
[21] ['20', '20', '33', '42'] -> ((33 + 42) / 20) + 20 base 5
[22] ['20', '20', '34', '41'] -> ((34 + 41) / 20) + 20 base 5
[23] ['20', '20', '40', '40'] -> ((40 + 40) / 20) + 20 base 5
[24] ['20', '21', '22', '23'] -> ((23 - 21) * 22) - 20 base 5
[25] ['1', '4', '21', '30'] -> (30 / (1 + 4)) + 21 base 5
[26] ['20', '21', '22', '32'] -> (21 + 32) / (22 - 20) base 5
[27] ['20', '21', '23', '33'] -> (20 + 33) / (23 - 21) base 5
[28] ['20', '21', '23', '44'] -> ((20 * 23) + 44) / 21 base 5
[29] ['20', '21', '31', '32'] -> ((20 * 32) - 31) / 21 base 5
[30] ['20', '21', '32', '34'] -> 32 - ((21 + 34) / 20) base 5
[31] ['20', '21', '32', '43'] -> 32 - ((20 + 43) / 21) base 5
[32] ['20', '21', '40', '44'] -> ((40 + 44) / 21) + 20 base 5
[33] ['20', '21', '41', '43'] -> ((41 + 43) / 21) + 20 base 5
[34] ['20', '22', '22', '33'] -> ((20 * 33) - 22) / 22 base 5
[35] ['20', '22', '30', '32'] -> ((32 - 30) * 22) - 20 base 5
[36] ['1', '4', '21', '32'] -> 32 - ((1 + 21) / 4) base 5
[37] ['20', '22', '32', '33'] -> 32 - ((22 + 33) / 20) base 5
[38] ['20', '22', '33', '40'] -> ((40 - 33) * 22) - 20 base 5
[39] ['20', '22', '33', '42'] -> ((22 - 20) * 33) - 42 base 5
[40] ['20', '22', '34', '41'] -> ((41 - 34) * 22) - 20 base 5
[41] ['20', '22', '34', '43'] -> ((22 * 43) - 20) / 34 base 5
[42] ['20', '22', '40', '42'] -> ((42 - 40) * 22) - 20 base 5
[43] ['20', '22', '41', '43'] -> ((43 - 41) * 22) - 20 base 5
[44] ['20', '22', '44', '44'] -> ((44 + 44) / 22) + 20 base 5
[45] ['20', '23', '31', '42'] -> ((20 * 31) + 42) / 23 base 5
[46] ['20', '23', '32', '32'] -> 32 - ((23 + 32) / 20) base 5
[47] ['1', '4', '21', '34'] -> ((4 - 1) * 21) - 34 base 5
[48] ['20', '23', '33', '42'] -> (23 * 33) - (20 * 42) base 5
[49] ['20', '23', '33', '44'] -> (33 + 44) / (23 - 20) base 5
[50] ['20', '23', '34', '43'] -> (34 + 43) / (23 - 20) base 5
[51] ['20', '23', '40', '42'] -> (40 + 42) / (23 - 20) base 5
[52] ['20', '23', '43', '44'] -> ((23 * 44) + 20) / 43 base 5
[53] ['20', '24', '42', '44'] -> ((20 * 42) - 44) / 24 base 5
[54] ['20', '30', '31', '33'] -> ((33 - 30) * 20) - 31 base 5
[55] ['20', '30', '32', '33'] -> (20 + 33) / (32 - 30) base 5
[56] ['20', '30', '40', '43'] -> ((20 * 43) - 40) / 30 base 5
[57] ['20', '31', '31', '42'] -> 31 - ((20 + 42) / 31) base 5
[58] ['1', '4', '22', '44'] -> ((4 / 44) + 1) * 22 base 5
[59] ['20', '31', '32', '40'] -> ((40 - 32) * 20) - 31 base 5
[60] ['20', '31', '33', '33'] -> (20 + 33) / (33 - 31) base 5
[61] ['20', '31', '33', '41'] -> ((41 - 33) * 20) - 31 base 5
[62] ['20', '31', '34', '42'] -> ((42 - 34) * 20) - 31 base 5
[63] ['20', '31', '41', '44'] -> ((44 - 41) * 20) - 31 base 5
[64] ['20', '32', '33', '34'] -> (20 + 33) / (34 - 32) base 5
[65] ['20', '32', '33', '42'] -> ((20 * 42) + 33) / 32 base 5
[66] ['20', '33', '33', '40'] -> (20 + 33) / (40 - 33) base 5
[67] ['20', '33', '33', '42'] -> 33 - ((33 + 42) / 20) base 5
[68] ['20', '33', '40', '40'] -> 33 - ((40 + 40) / 20) base 5
[69] ['1', '4', '30', '32'] -> 32 - (30 / (1 + 4)) base 5
[70] ['20', '33', '41', '43'] -> (20 + 33) / (43 - 41) base 5
[71] ['20', '33', '42', '43'] -> ((20 * 43) + 42) / 33 base 5
[72] ['20', '33', '42', '44'] -> (20 + 33) / (44 - 42) base 5
