[1] ['1', '1', '1', '11'] -> (1 + 1) * (1 + 11) base 8
[2] ['1', '1', '2', '53'] -> ((53 - 1) / 2) - 1 base 8
[3] ['1', '1', '32', '40'] -> ((1 + 1) * 32) - 40 base 8
[4] ['1', '23', '35', '46'] -> ((35 / 23) - 1) * 46 base 8
[5] ['16', '36', '54', '56'] -> ((16 * 56) - 54) / 36 base 8
[6] ['16', '37', '40', '52'] -> ((16 * 52) + 40) / 37 base 8
[7] ['16', '37', '42', '56'] -> (16 + 56) / (42 - 37) base 8
[8] ['16', '37', '43', '44'] -> ((43 - 37) * 16) - 44 base 8
[9] ['16', '37', '46', '57'] -> ((16 * 57) - 46) / 37 base 8
[10] ['16', '37', '51', '56'] -> ((16 * 51) + 56) / 37 base 8
[11] ['16', '40', '40', '60'] -> ((16 * 60) - 40) / 40 base 8
[12] ['16', '40', '43', '56'] -> (16 + 56) / (43 - 40) base 8
[13] ['16', '40', '44', '44'] -> ((44 - 40) * 16) - 44 base 8
[14] ['16', '40', '46', '53'] -> ((16 * 53) + 46) / 40 base 8
[15] ['1', '23', '36', '46'] -> 36 / ((23 / 46) + 1) base 8
[16] ['16', '40', '56', '61'] -> ((16 * 61) - 56) / 40 base 8
[17] ['16', '41', '44', '56'] -> (16 + 56) / (44 - 41) base 8
[18] ['16', '42', '44', '46'] -> ((46 - 42) * 16) - 44 base 8
[19] ['16', '42', '44', '56'] -> ((16 * 56) + 44) / 42 base 8
[20] ['16', '42', '45', '56'] -> (16 + 56) / (45 - 42) base 8
[21] ['16', '43', '44', '47'] -> ((47 - 43) * 16) - 44 base 8
[22] ['16', '43', '52', '57'] -> ((16 * 57) + 52) / 43 base 8
[23] ['16', '44', '44', '50'] -> ((50 - 44) * 16) - 44 base 8
[24] ['16', '44', '45', '51'] -> ((51 - 45) * 16) - 44 base 8
[25] ['16', '44', '46', '52'] -> ((52 - 46) * 16) - 44 base 8
[26] ['1', '25', '25', '50'] -> 50 / ((25 / 25) + 1) base 8
[27] ['16', '44', '47', '53'] -> ((53 - 47) * 16) - 44 base 8
[28] ['16', '44', '47', '56'] -> (16 + 56) / (47 - 44) base 8
[29] ['16', '44', '51', '55'] -> ((55 - 51) * 16) - 44 base 8
[30] ['16', '44', '52', '56'] -> ((56 - 52) * 16) - 44 base 8
[31] ['16', '44', '53', '57'] -> ((57 - 53) * 16) - 44 base 8
[32] ['16', '44', '55', '61'] -> ((61 - 55) * 16) - 44 base 8
[33] ['16', '44', '60', '60'] -> ((16 * 60) + 60) / 44 base 8
[34] ['16', '46', '51', '56'] -> (16 + 56) / (51 - 46) base 8
[35] ['16', '50', '53', '56'] -> (16 + 56) / (53 - 50) base 8
[36] ['16', '51', '54', '56'] -> (16 + 56) / (54 - 51) base 8
[37] ['1', '25', '25', '51'] -> ((51 / 25) - 1) * 25 base 8
[38] ['16', '52', '55', '56'] -> (16 + 56) / (55 - 52) base 8
[39] ['16', '53', '56', '56'] -> (16 + 56) / (56 - 53) base 8
[40] ['16', '54', '56', '57'] -> (16 + 56) / (57 - 54) base 8
[41] ['16', '55', '56', '60'] -> (16 + 56) / (60 - 55) base 8
[42] ['16', '56', '56', '61'] -> (16 + 56) / (61 - 56) base 8
[43] ['17', '17', '17', '23'] -> ((17 * 23) + 17) / 17 base 8
[44] ['17', '17', '17', '25'] -> ((17 * 25) - 17) / 17 base 8
[45] ['17', '17', '17', '26'] -> 26 - ((17 + 17) / 17) base 8
[46] ['17', '17', '20', '55'] -> ((17 + 55) / 17) + 20 base 8
[47] ['17', '17', '21', '36'] -> ((17 + 36) / 17) + 21 base 8
[48] ['1', '25', '26', '51'] -> 26 - ((1 + 51) / 25) base 8
[49] ['17', '17', '21', '55'] -> ((17 * 21) + 55) / 17 base 8
[50] ['17', '17', '22', '27'] -> ((17 * 27) + 17) / 22 base 8
[51] ['17', '17', '22', '36'] -> ((17 * 22) + 36) / 17 base 8
[52] ['17', '17', '26', '36'] -> ((17 * 26) - 36) / 17 base 8
[53] ['17', '17', '27', '36'] -> 27 - ((17 + 36) / 17) base 8
[54] ['17', '17', '27', '55'] -> ((17 * 27) - 55) / 17 base 8
[55] ['17', '17', '30', '37'] -> ((17 * 37) + 17) / 30 base 8
[56] ['17', '17', '32', '61'] -> ((32 + 61) / 17) + 17 base 8
[57] ['17', '17', '33', '43'] -> ((17 * 43) + 17) / 33 base 8
[58] ['17', '17', '35', '56'] -> ((35 + 56) / 17) + 17 base 8
[59] ['1', '25', '27', '47'] -> (1 + 47) / (27 - 25) base 8
[60] ['17', '17', '36', '47'] -> ((17 * 47) + 17) / 36 base 8
[61] ['17', '17', '36', '51'] -> ((17 * 51) - 17) / 36 base 8
[62] ['17', '17', '37', '54'] -> ((37 + 54) / 17) + 17 base 8
[63] ['17', '17', '40', '53'] -> ((40 + 53) / 17) + 17 base 8
[64] ['17', '17', '41', '52'] -> ((41 + 52) / 17) + 17 base 8
[65] ['17', '17', '41', '55'] -> ((17 * 55) - 17) / 41 base 8
[66] ['17', '17', '42', '51'] -> ((42 + 51) / 17) + 17 base 8
[67] ['17', '17', '43', '50'] -> ((43 + 50) / 17) + 17 base 8
[68] ['17', '17', '44', '57'] -> ((17 * 57) + 17) / 44 base 8
[69] ['17', '17', '44', '61'] -> ((17 * 61) - 17) / 44 base 8
