[1] ['1', '1', '1', 'A'] -> (1 + 1 + 1) * A base 13
[2566] ['26', '35', '37', '39'] -> 26 - ((35 + 39) / 37) base 13
[2567] ['26', '36', '36', '36'] -> 26 - ((36 + 36) / 36) base 13
[2568] ['26', '36', '38', '3A'] -> 26 - ((36 + 3A) / 38) base 13
[2569] ['26', '37', '37', '37'] -> 26 - ((37 + 37) / 37) base 13
[2570] ['2', '2', '30', '35'] -> ((30 - 2) * 2) - 35 base 13
[2571] ['26', '38', '38', '38'] -> 26 - ((38 + 38) / 38) base 13
[2572] ['26', '38', '39', '3A'] -> 26 - ((38 + 3A) / 39) base 13
[2573] ['26', '39', '39', '39'] -> 26 - ((39 + 39) / 39) base 13
[2574] ['26', '3A', '3A', '3A'] -> 26 - ((3A + 3A) / 3A) base 13
[2575] ['27', '27', '29', '2A'] -> ((29 - 27) * 27) - 2A base 13
[2576] ['27', '27', '29', '30'] -> ((27 * 27) - 30) / 29 base 13
[2577] ['27', '27', '30', '35'] -> ((27 * 30) + 27) / 35 base 13
[2578] ['27', '27', '32', '35'] -> ((27 * 32) - 27) / 35 base 13
[2579] ['27', '28', '29', '2C'] -> ((29 - 27) * 28) - 2C base 13
[2580] ['27', '28', '2A', '2A'] -> ((2A - 28) * 27) - 2A base 13
[2581] ['2', '2', '30', '39'] -> (30 - (39 / 2)) * 2 base 13
[2582] ['27', '28', '2A', '2C'] -> (27 * 2C) - (28 * 2A) base 13
[2583] ['27', '28', '30', '39'] -> ((27 * 28) + 39) / 30 base 13
[2584] ['27', '29', '2A', '2B'] -> ((2B - 29) * 27) - 2A base 13
[2585] ['27', '29', '2A', '33'] -> ((29 - 27) * 2A) - 33 base 13
[2586] ['27', '29', '2B', '35'] -> ((29 - 27) * 2B) - 35 base 13
[2587] ['27', '29', '2B', '36'] -> ((27 * 29) - 36) / 2B base 13
[2588] ['27', '29', '2C', '37'] -> ((29 - 27) * 2C) - 37 base 13
[2589] ['27', '29', '31', '36'] -> ((27 * 29) + 36) / 31 base 13
[2590] ['27', '2A', '2A', '2C'] -> ((2C - 2A) * 27) - 2A base 13
[2591] ['27', '2A', '2C', '31'] -> ((31 - 2C) * 27) - 2A base 13
[2592] ['2', '2', '31', '37'] -> ((31 - 2) * 2) - 37 base 13
[2593] ['27', '2A', '2C', '34'] -> ((27 * 2C) + 2A) / 34 base 13
[2594] ['27', '2A', '32', '33'] -> ((27 * 2A) + 33) / 32 base 13
[2595] ['27', '2A', '32', '34'] -> ((34 - 32) * 27) - 2A base 13
[2596] ['27', '2A', '32', '3A'] -> (32 + 3A) / (2A - 27) base 13
[2597] ['27', '2A', '33', '36'] -> ((27 * 33) - 2A) / 36 base 13
[2598] ['27', '2A', '33', '39'] -> (33 + 39) / (2A - 27) base 13
[2599] ['27', '2A', '34', '36'] -> ((36 - 34) * 27) - 2A base 13
[2600] ['27', '2A', '34', '37'] -> (2A * 34) - (27 * 37) base 13
[2601] ['27', '2A', '34', '38'] -> (34 + 38) / (2A - 27) base 13
[2602] ['27', '2A', '36', '38'] -> ((38 - 36) * 27) - 2A base 13
[2603] ['2', '2', '32', '39'] -> ((32 - 2) * 2) - 39 base 13
[2604] ['27', '2A', '38', '3A'] -> ((3A - 38) * 27) - 2A base 13
[2605] ['27', '2B', '30', '38'] -> ((2B * 30) - 27) / 38 base 13
[2606] ['27', '2C', '30', '35'] -> (2C * 30) - (27 * 35) base 13
[2607] ['27', '30', '30', '38'] -> (27 * 38) - (30 * 30) base 13
[2608] ['27', '30', '34', '37'] -> ((27 * 34) - 30) / 37 base 13
[2609] ['27', '33', '35', '38'] -> ((27 * 35) - 33) / 38 base 13
[2610] ['27', '36', '36', '39'] -> ((27 * 36) - 36) / 39 base 13
[2611] ['27', '37', '39', '3A'] -> ((27 * 37) - 39) / 3A base 13
[2612] ['28', '28', '2A', '2C'] -> ((2A - 28) * 28) - 2C base 13
[2613] ['28', '28', '2B', '37'] -> ((28 * 28) - 37) / 2B base 13
[2614] ['2', '3', '3', '3'] -> (2 + 3) * (3 + 3) base 13
[2615] ['28', '29', '2A', '31'] -> ((2A - 28) * 29) - 31 base 13
[2616] ['28', '29', '2B', '2C'] -> ((2B - 29) * 28) - 2C base 13
[2617] ['28', '29', '2C', '31'] -> (28 * 31) - (29 * 2C) base 13
[2618] ['28', '29', '31', '32'] -> ((28 * 29) + 31) / 32 base 13
[2619] ['28', '2A', '2A', '30'] -> (28 * 30) - (2A * 2A) base 13
[2620] ['28', '2A', '2B', '35'] -> ((2A - 28) * 2B) - 35 base 13
[2621] ['28', '2A', '2C', '2C'] -> ((2C - 2A) * 28) - 2C base 13
[2622] ['28', '2A', '2C', '37'] -> ((2A - 28) * 2C) - 37 base 13
[2623] ['28', '2A', '30', '34'] -> ((28 * 30) - 2A) / 34 base 13
[2624] ['28', '2B', '2C', '30'] -> ((30 - 2B) * 28) - 2C base 13
[2625] ['2', '3', '3', '10'] -> ((10 - 2) * 3) - 3 base 13
[2626] ['28', '2B', '33', '39'] -> (33 + 39) / (2B - 28) base 13
[2627] ['28', '2B', '34', '38'] -> (34 + 38) / (2B - 28) base 13
[2628] ['28', '2B', '35', '37'] -> (35 + 37) / (2B - 28) base 13
[2629] ['28', '2B', '35', '38'] -> (2B * 35) - (28 * 38) base 13
[2630] ['28', '2C', '2C', '31'] -> ((31 - 2C) * 28) - 2C base 13
[2631] ['28', '2C', '2C', '38'] -> ((2C * 2C) - 28) / 38 base 13
[2632] ['28', '2C', '30', '32'] -> ((32 - 30) * 28) - 2C base 13
[2633] ['28', '2C', '31', '33'] -> ((33 - 31) * 28) - 2C base 13
[2634] ['28', '2C', '32', '34'] -> ((34 - 32) * 28) - 2C base 13
[2635] ['28', '2C', '33', '35'] -> ((35 - 33) * 28) - 2C base 13
[2636] ['2', '3', '3', '17'] -> (3 - (3 / 2)) * 17 base 13
[2637] ['28', '2C', '34', '36'] -> ((36 - 34) * 28) - 2C base 13
[2638] ['28', '2C', '35', '37'] -> ((37 - 35) * 28) - 2C base 13
[2639] ['28', '2C', '36', '38'] -> ((38 - 36) * 28) - 2C base 13
[2640] ['28', '2C', '37', '39'] -> ((39 - 37) * 28) - 2C base 13
[2641] ['28', '2C', '38', '3A'] -> ((3A - 38) * 28) - 2C base 13
[2642] ['28', '30', '31', '36'] -> (30 * 31) - (28 * 36) base 13
[2643] ['28', '31', '31', '35'] -> ((28 * 31) - 31) / 35 base 13
[2644] ['28', '32', '35', '36'] -> ((28 * 32) - 35) / 36 base 13
[2645] ['28', '32', '37', '39'] -> ((28 * 32) + 37) / 39 base 13
[2646] ['28', '33', '33', '3A'] -> ((28 * 33) + 33) / 3A base 13
[2647] ['2', '3', '4', '7'] -> ((2 * 7) - 4) * 3 base 13
[2648] ['28', '33', '37', '39'] -> ((28 * 33) - 39) / 37 base 13
[2649] ['29', '29', '2B', '33'] -> ((29 * 2B) - 29) / 33 base 13
[2650] ['29', '29', '32', '3A'] -> ((29 * 32) + 29) / 3A base 13
[2651] ['29', '29', '34', '3A'] -> ((29 * 34) - 29) / 3A base 13
[2652] ['29', '2A', '2B', '33'] -> ((2B - 29) * 2A) - 33 base 13
[2653] ['29', '2A', '2C', '31'] -> ((2C - 2A) * 29) - 31 base 13
[2654] ['29', '2B', '2B', '35'] -> ((2B - 29) * 2B) - 35 base 13
[2655] ['29', '2B', '2C', '37'] -> ((2B - 29) * 2C) - 37 base 13
[2656] ['29', '2B', '30', '31'] -> ((30 - 2B) * 29) - 31 base 13
[2657] ['29', '2B', '30', '39'] -> ((2B - 29) * 30) - 39 base 13
[2658] ['2', '3', '4', 'B'] -> ((B - 3) * 4) - 2 base 13
[2659] ['29', '2C', '31', '34'] -> ((29 * 2C) - 31) / 34 base 13
[2660] ['29', '2C', '32', '3A'] -> (32 + 3A) / (2C - 29) base 13
[2661] ['29', '2C', '33', '39'] -> (33 + 39) / (2C - 29) base 13
[2662] ['29', '2C', '34', '38'] -> (34 + 38) / (2C - 29) base 13
[2663] ['29', '2C', '35', '37'] -> (35 + 37) / (2C - 29) base 13
[2664] ['29', '2C', '36', '39'] -> (2C * 36) - (29 * 39) base 13
[2665] ['29', '30', '31', '32'] -> ((32 - 30) * 29) - 31 base 13
[2666] ['29', '30', '35', '36'] -> ((29 * 30) - 36) / 35 base 13
[2667] ['29', '30', '36', '38'] -> ((29 * 30) + 36) / 38 base 13
[2668] ['29', '31', '31', '33'] -> ((33 - 31) * 29) - 31 base 13
[2669] ['1', '1', '29', '31'] -> ((1 + 1) * 29) - 31 base 13
[2670] ['2', '3', '4', '1A'] -> ((1A * 4) - 2) / 3 base 13
[2671] ['29', '31', '32', '34'] -> ((34 - 32) * 29) - 31 base 13
[2672] ['29', '31', '32', '37'] -> (31 * 32) - (29 * 37) base 13
[2673] ['29', '31', '33', '35'] -> ((35 - 33) * 29) - 31 base 13
[2674] ['29', '31', '35', '37'] -> ((37 - 35) * 29) - 31 base 13
[2675] ['29', '31', '36', '38'] -> ((38 - 36) * 29) - 31 base 13
[2676] ['29', '31', '37', '39'] -> ((39 - 37) * 29) - 31 base 13
[2677] ['29', '31', '38', '3A'] -> ((3A - 38) * 29) - 31 base 13
[2678] ['2A', '2A', '2C', '33'] -> ((2C - 2A) * 2A) - 33 base 13
[2679] ['2A', '2A', '30', '39'] -> ((2A * 30) + 2A) / 39 base 13
[2680] ['2A', '2A', '32', '39'] -> ((2A * 32) - 2A) / 39 base 13
[2681] ['2', '3', '4', '34'] -> ((2 * 34) + 4) / 3 base 13
[2682] ['2A', '2B', '2C', '35'] -> ((2C - 2A) * 2B) - 35 base 13
[2683] ['2A', '2B', '30', '33'] -> ((30 - 2B) * 2A) - 33 base 13
[2684] ['2A', '2B', '33', '34'] -> ((2A * 2B) - 33) / 34 base 13
[2685] ['2A', '2B', '37', '39'] -> ((2A * 2B) + 39) / 37 base 13
[2686] ['2A', '2C', '2C', '37'] -> ((2C - 2A) * 2C) - 37 base 13
[2687] ['2A', '2C', '31', '33'] -> ((31 - 2C) * 2A) - 33 base 13
[2688] ['2A', '2C', '33', '38'] -> ((2A * 2C) + 33) / 38 base 13
[2689] ['2A', '2C', '35', '39'] -> ((2A * 2C) - 39) / 35 base 13
[2690] ['2A', '30', '32', '33'] -> ((32 - 30) * 2A) - 33 base 13
[2691] ['2A', '30', '32', '3A'] -> (32 + 3A) / (30 - 2A) base 13
[2692] ['2', '3', '4', '38'] -> ((2 * 38) - 4) / 3 base 13
[2693] ['2A', '30', '33', '39'] -> (33 + 39) / (30 - 2A) base 13
[2694] ['2A', '30', '35', '37'] -> (35 + 37) / (30 - 2A) base 13
[2695] ['2A', '30', '37', '3A'] -> (30 * 37) - (2A * 3A) base 13
[2696] ['2A', '31', '33', '33'] -> ((33 - 31) * 2A) - 33 base 13
[2697] ['2A', '32', '33', '34'] -> ((34 - 32) * 2A) - 33 base 13
[2698] ['2A', '32', '33', '38'] -> (32 * 33) - (2A * 38) base 13
[2699] ['2A', '33', '33', '35'] -> ((35 - 33) * 2A) - 33 base 13
[2700] ['2A', '33', '34', '36'] -> ((36 - 34) * 2A) - 33 base 13
[2701] ['2A', '33', '35', '37'] -> ((37 - 35) * 2A) - 33 base 13
[2702] ['2A', '33', '36', '38'] -> ((38 - 36) * 2A) - 33 base 13
[2703] ['2', '3', '5', '15'] -> ((15 / 2) - 3) * 5 base 13
[2704] ['2A', '33', '37', '39'] -> ((39 - 37) * 2A) - 33 base 13
[2705] ['2A', '33', '38', '3A'] -> ((3A - 38) * 2A) - 33 base 13
[2706] ['2B', '2B', '30', '35'] -> ((30 - 2B) * 2B) - 35 base 13
[2707] ['2B', '2B', '32', '38'] -> ((2B * 2B) + 32) / 38 base 13
[2708] ['2B', '2C', '30', '37'] -> ((30 - 2B) * 2C) - 37 base 13
[2709] ['2B', '2C', '31', '35'] -> ((31 - 2C) * 2B) - 35 base 13
[2710] ['2B', '2C', '35', '37'] -> (2B * 37) - (2C * 35) base 13
[2711] ['2B', '30', '30', '39'] -> ((30 - 2B) * 30) - 39 base 13
[2712] ['2B', '30', '32', '35'] -> ((32 - 30) * 2B) - 35 base 13
[2713] ['2B', '31', '31', '39'] -> ((2B * 31) - 31) / 39 base 13
[2714] ['2', '3', '5', '33'] -> 33 / (2 - (3 / 5)) base 13
[2715] ['2B', '31', '32', '3A'] -> (32 + 3A) / (31 - 2B) base 13
[2716] ['2B', '31', '33', '39'] -> (33 + 39) / (31 - 2B) base 13
[2717] ['2B', '31', '35', '37'] -> (35 + 37) / (31 - 2B) base 13
[2718] ['2B', '32', '34', '35'] -> ((34 - 32) * 2B) - 35 base 13
[2719] ['2B', '32', '38', '3A'] -> ((2B * 32) - 38) / 3A base 13
[2720] ['2B', '33', '34', '39'] -> (33 * 34) - (2B * 39) base 13
[2721] ['2B', '33', '35', '35'] -> ((35 - 33) * 2B) - 35 base 13
[2722] ['2B', '34', '35', '36'] -> ((36 - 34) * 2B) - 35 base 13
[2723] ['2B', '35', '35', '37'] -> ((37 - 35) * 2B) - 35 base 13
[2724] ['2B', '35', '36', '38'] -> ((38 - 36) * 2B) - 35 base 13
[2725] ['2', '3', '5', '36'] -> ((3 * 5) + 36) / 2 base 13
[2726] ['2B', '35', '37', '39'] -> ((39 - 37) * 2B) - 35 base 13
[2727] ['2B', '35', '38', '3A'] -> ((3A - 38) * 2B) - 35 base 13
[2728] ['2C', '2C', '31', '37'] -> ((31 - 2C) * 2C) - 37 base 13
[2729] ['2C', '30', '31', '39'] -> ((31 - 2C) * 30) - 39 base 13
[2730] ['2C', '30', '32', '37'] -> ((32 - 30) * 2C) - 37 base 13
[2731] ['2C', '30', '37', '39'] -> (2C * 39) - (30 * 37) base 13
[2732] ['2C', '31', '33', '36'] -> (2C * 36) - (31 * 33) base 13
[2733] ['2C', '31', '33', '37'] -> ((33 - 31) * 2C) - 37 base 13
[2734] ['2C', '32', '32', '3A'] -> (32 + 3A) / (32 - 2C) base 13
[2735] ['2C', '32', '33', '39'] -> (33 + 39) / (32 - 2C) base 13
[2736] ['2', '3', '5', '37'] -> 37 - ((3 + 5) * 2) base 13
[2737] ['2C', '32', '34', '37'] -> ((34 - 32) * 2C) - 37 base 13
[2738] ['2C', '33', '35', '37'] -> ((35 - 33) * 2C) - 37 base 13
[2739] ['2C', '34', '35', '3A'] -> (34 * 35) - (2C * 3A) base 13
[2740] ['2C', '34', '36', '37'] -> ((36 - 34) * 2C) - 37 base 13
[2741] ['2C', '35', '37', '37'] -> ((37 - 35) * 2C) - 37 base 13
[2742] ['2C', '36', '37', '38'] -> ((38 - 36) * 2C) - 37 base 13
[2743] ['2C', '37', '37', '39'] -> ((39 - 37) * 2C) - 37 base 13
[2744] ['2C', '37', '38', '3A'] -> ((3A - 38) * 2C) - 37 base 13
[2745] ['30', '30', '32', '39'] -> ((32 - 30) * 30) - 39 base 13
[2746] ['30', '31', '33', '39'] -> ((33 - 31) * 30) - 39 base 13
[2747] ['2', '3', '5', '3A'] -> ((3A + 5) / 2) + 3 base 13
[2748] ['30', '32', '33', '3A'] -> (32 + 3A) / (33 - 30) base 13
[2749] ['30', '32', '34', '39'] -> ((34 - 32) * 30) - 39 base 13
[2750] ['30', '33', '33', '37'] -> (30 * 37) - (33 * 33) base 13
[2751] ['30', '33', '33', '39'] -> (33 + 39) / (33 - 30) base 13
[2752] ['30', '33', '34', '38'] -> (34 + 38) / (33 - 30) base 13
[2753] ['30', '33', '35', '37'] -> (35 + 37) / (33 - 30) base 13
[2754] ['30', '35', '37', '39'] -> ((37 - 35) * 30) - 39 base 13
[2755] ['30', '36', '38', '39'] -> ((38 - 36) * 30) - 39 base 13
[2756] ['30', '37', '39', '39'] -> ((39 - 37) * 30) - 39 base 13
[2757] ['30', '38', '39', '3A'] -> ((3A - 38) * 30) - 39 base 13
[2758] ['2', '3', '6', '21'] -> ((21 / 3) + 6) * 2 base 13
[2759] ['31', '32', '34', '3A'] -> (32 + 3A) / (34 - 31) base 13
[2760] ['31', '33', '34', '39'] -> (33 + 39) / (34 - 31) base 13
[2761] ['31', '34', '34', '38'] -> (34 + 38) / (34 - 31) base 13
[2762] ['31', '34', '35', '37'] -> (35 + 37) / (34 - 31) base 13
[2763] ['32', '32', '35', '3A'] -> (32 + 3A) / (35 - 32) base 13
[2764] ['32', '33', '35', '39'] -> (33 + 39) / (35 - 32) base 13
[2765] ['32', '33', '36', '3A'] -> (32 + 3A) / (36 - 33) base 13
[2766] ['32', '35', '35', '37'] -> (35 + 37) / (35 - 32) base 13
[2767] ['32', '36', '39', '3A'] -> (32 + 3A) / (39 - 36) base 13
[2768] ['32', '37', '3A', '3A'] -> (32 + 3A) / (3A - 37) base 13
[2769] ['2', '3', '6', '26'] -> ((26 / 2) - 6) * 3 base 13
[2770] ['33', '33', '36', '39'] -> (33 + 39) / (36 - 33) base 13
[2771] ['33', '34', '36', '38'] -> (34 + 38) / (36 - 33) base 13
[2772] ['33', '34', '37', '39'] -> (33 + 39) / (37 - 34) base 13
[2773] ['33', '35', '36', '37'] -> (35 + 37) / (36 - 33) base 13
[2774] ['33', '35', '38', '39'] -> (33 + 39) / (38 - 35) base 13
[2775] ['33', '36', '39', '39'] -> (33 + 39) / (39 - 36) base 13
[2776] ['33', '37', '39', '3A'] -> (33 + 39) / (3A - 37) base 13
[2777] ['34', '34', '37', '38'] -> (34 + 38) / (37 - 34) base 13
[2778] ['34', '35', '37', '37'] -> (35 + 37) / (37 - 34) base 13
[2779] ['34', '35', '38', '38'] -> (34 + 38) / (38 - 35) base 13
[2780] ['1', '1', '2A', '33'] -> ((1 + 1) * 2A) - 33 base 13
[2781] ['2', '3', '6', '27'] -> (27 - (3 * 6)) * 2 base 13
[2782] ['34', '36', '38', '39'] -> (34 + 38) / (39 - 36) base 13
[2783] ['34', '37', '38', '3A'] -> (34 + 38) / (3A - 37) base 13
[2784] ['35', '35', '37', '38'] -> (35 + 37) / (38 - 35) base 13
[2785] ['35', '36', '37', '39'] -> (35 + 37) / (39 - 36) base 13
[2786] ['35', '37', '37', '3A'] -> (35 + 37) / (3A - 37) base 13
[2787] ['2', '3', '7', '8'] -> ((7 - 3) * 8) - 2 base 13
[2788] ['2', '3', '7', '27'] -> 27 - ((2 + 7) / 3) base 13
[2789] ['2', '3', '7', '28'] -> ((28 / 2) - 7) * 3 base 13
[2790] ['2', '3', '7', '30'] -> ((3 * 7) + 30) / 2 base 13
[2791] ['2', '3', '7', '39'] -> (2 * 7) + (39 / 3) base 13
[2792] ['2', '3', '8', '36'] -> ((8 / 3) - 2) * 36 base 13
[2793] ['2', '3', '8', '37'] -> ((37 + 8) / 2) + 3 base 13
[2794] ['2', '3', '9', '1A'] -> ((1A * 3) - 9) / 2 base 13
[2795] ['2', '3', '9', '22'] -> (22 - (2 * 9)) * 3 base 13
[2796] ['1', '1', '2A', '39'] -> 39 - (2A / (1 + 1)) base 13
[2797] ['2', '3', 'A', 'C'] -> ((C / 2) - 3) * A base 13
[2798] ['2', '3', 'A', '14'] -> ((14 + 3) * 2) - A base 13
[2799] ['2', '3', 'A', '1A'] -> ((1A - 3) * 2) - A base 13
[2800] ['2', '3', 'A', '2B'] -> ((2B + 3) / 2) + A base 13
[2801] ['2', '3', 'B', '14'] -> (14 - B) * (2 + 3) base 13
[2802] ['2', '3', 'B', '2B'] -> 2B - ((3 + B) / 2) base 13
[2803] ['2', '3', 'B', '34'] -> ((34 + B) / 2) + 3 base 13
[2804] ['2', '3', 'B', '39'] -> (39 - (3 * B)) * 2 base 13
[2805] ['2', '3', 'C', '11'] -> ((2 * C) - 11) * 3 base 13
[2806] ['2', '3', 'C', '28'] -> (28 - (2 * C)) * 3 base 13
[2807] ['1', '1', '2B', '35'] -> ((1 + 1) * 2B) - 35 base 13
[2808] ['2', '3', 'C', '35'] -> ((35 / 2) - C) * 3 base 13
[2809] ['2', '3', '10', '16'] -> (16 - 10) * (2 + 3) base 13
[2810] ['2', '3', '10', '1B'] -> ((10 * 3) - 1B) * 2 base 13
[2811] ['2', '3', '10', '2A'] -> (2A - (10 * 2)) * 3 base 13
[2812] ['2', '3', '10', '32'] -> ((10 + 32) / 2) + 3 base 13
[2813] ['2', '3', '10', '37'] -> ((37 / 2) - 10) * 3 base 13
[2814] ['2', '3', '11', '1C'] -> ((1C - 3) * 2) - 11 base 13
[2815] ['2', '3', '11', '21'] -> ((11 * 3) - 21) * 2 base 13
[2816] ['2', '3', '11', '23'] -> ((23 + 3) / 2) + 11 base 13
[2817] ['2', '3', '11', '2A'] -> (2 * 2A) - (11 * 3) base 13
[2818] ['1', '1', '2C', '37'] -> ((1 + 1) * 2C) - 37 base 13
[2819] ['2', '3', '11', '37'] -> ((2 + 37) / 3) + 11 base 13
[2820] ['2', '3', '11', '39'] -> ((39 / 2) - 11) * 3 base 13
[2821] ['2', '3', '12', '1C'] -> ((1C * 3) - 12) / 2 base 13
[2822] ['2', '3', '12', '34'] -> ((2 + 34) / 3) + 12 base 13
[2823] ['2', '3', '13', '15'] -> (15 - (13 / 2)) * 3 base 13
[2824] ['2', '3', '13', '20'] -> ((20 - 3) * 2) - 13 base 13
[2825] ['2', '3', '13', '27'] -> ((13 * 3) - 27) * 2 base 13
[2826] ['2', '3', '13', '2B'] -> ((2 * 2B) + 13) / 3 base 13
[2827] ['2', '3', '13', '2C'] -> ((13 + 2C) / 2) + 3 base 13
[2828] ['2', '3', '13', '30'] -> (2 * 30) - (13 * 3) base 13
[2829] ['1', '1', '2C', '3A'] -> 3A - (2C / (1 + 1)) base 13
[2830] ['2', '3', '13', '33'] -> (33 - (13 * 2)) * 3 base 13
[2831] ['2', '3', '14', '1B'] -> ((14 * 2) - 1B) * 3 base 13
[2832] ['2', '3', '14', '21'] -> ((14 + 2) * 3) - 21 base 13
[2833] ['2', '3', '14', '2A'] -> ((14 * 3) - 2A) * 2 base 13
[2834] ['2', '3', '14', '35'] -> (35 - (14 * 2)) * 3 base 13
[2835] ['2', '3', '14', '3A'] -> ((14 + 3A) / 2) - 3 base 13
[2836] ['2', '3', '15', '16'] -> (16 - (15 / 2)) * 3 base 13
[2837] ['2', '3', '15', '37'] -> (37 - (15 * 2)) * 3 base 13
[2838] ['2', '3', '16', '16'] -> ((16 + 3) / 2) + 16 base 13
[2839] ['2', '3', '16', '18'] -> ((16 - 2) * 3) - 18 base 13
[2840] ['1', '1', '4', '9'] -> (1 + 9) * (4 - 1) base 13
[2841] ['1', '1', '30', '39'] -> ((1 + 1) * 30) - 39 base 13
[2842] ['2', '3', '16', '27'] -> ((16 + 2) * 3) - 27 base 13
[2843] ['2', '3', '16', '32'] -> 32 - ((16 + 3) / 2) base 13
[2844] ['2', '3', '16', '33'] -> ((16 * 3) - 33) * 2 base 13
[2845] ['2', '3', '16', '38'] -> ((16 + 38) / 2) - 3 base 13
[2846] ['2', '3', '17', '17'] -> (17 - (17 / 2)) * 3 base 13
[2847] ['2', '3', '17', '19'] -> ((19 + 3) * 2) - 17 base 13
[2848] ['2', '3', '17', '29'] -> ((2 * 29) + 17) / 3 base 13
[2849] ['2', '3', '17', '33'] -> 3 / ((33 / 17) - 2) base 13
[2850] ['2', '3', '17', '37'] -> ((17 + 37) / 2) - 3 base 13
[2851] ['2', '3', '18', '26'] -> ((18 * 2) - 26) * 3 base 13
[2852] ['1', '2', '2', '7'] -> ((2 * 7) + 1) * 2 base 13
[2853] ['2', '3', '19', '1B'] -> (19 - (1B / 2)) * 3 base 13
[2854] ['2', '3', '19', '22'] -> (2 + 3) * (22 - 19) base 13
[2855] ['2', '3', '19', '23'] -> ((23 - 3) * 2) - 19 base 13
[2856] ['2', '3', '19', '26'] -> ((19 + 26) / 2) + 3 base 13
[2857] ['2', '3', '1A', '1B'] -> (1A - (1B / 3)) * 2 base 13
[2858] ['2', '3', '1A', '20'] -> (1A - (20 / 2)) * 3 base 13
[2859] ['2', '3', '1A', '23'] -> (2 + 3) * (23 - 1A) base 13
[2860] ['2', '3', '1A', '27'] -> ((1A - 2) * 3) - 27 base 13
[2861] ['2', '3', '1A', '2A'] -> ((1A * 2) - 2A) * 3 base 13
[2862] ['2', '3', '1A', '35'] -> ((1A * 2) + 35) / 3 base 13
[2863] ['1', '2', '2', '1B'] -> ((1 + 2) * 2) + 1B base 13
[2864] ['2', '3', '1A', '36'] -> ((1A + 2) * 3) - 36 base 13
[2865] ['2', '3', '1B', '21'] -> (1B - (21 / 3)) * 2 base 13
[2866] ['2', '3', '1B', '2C'] -> ((1B * 2) - 2C) * 3 base 13
[2867] ['2', '3', '1C', '1C'] -> (1C / (2 + 3)) + 1C base 13
[2868] ['2', '3', '1C', '25'] -> (2 + 3) * (25 - 1C) base 13
[2869] ['2', '3', '1C', '29'] -> 29 - (1C / (2 + 3)) base 13
[2870] ['2', '3', '1C', '35'] -> 35 - ((1C + 3) / 2) base 13
[2871] ['2', '3', '20', '27'] -> (20 - (27 / 3)) * 2 base 13
[2872] ['2', '3', '21', '22'] -> (22 * 3) - (2 * 21) base 13
[2873] ['2', '3', '21', '23'] -> ((23 * 3) - 21) / 2 base 13
[2874] ['1', '2', '2', '2A'] -> 2A - ((1 + 2) * 2) base 13
[2875] ['2', '3', '21', '27'] -> (2 + 3) * (27 - 21) base 13
[2876] ['2', '3', '21', '28'] -> (21 - (28 / 2)) * 3 base 13
[2877] ['2', '3', '21', '35'] -> ((2 * 21) - 35) * 3 base 13
[2878] ['2', '3', '22', '25'] -> ((2 * 25) + 22) / 3 base 13
[2879] ['2', '3', '22', '2C'] -> ((22 + 2C) / 2) - 3 base 13
[2880] ['2', '3', '22', '30'] -> (22 - (30 / 3)) * 2 base 13
[2881] ['2', '3', '23', '26'] -> ((2 * 23) + 26) / 3 base 13
[2882] ['2', '3', '23', '29'] -> (2 + 3) * (29 - 23) base 13
[2883] ['2', '3', '23', '2C'] -> (23 - (2C / 2)) * 3 base 13
[2884] ['2', '3', '23', '33'] -> (23 - (33 / 3)) * 2 base 13
[2885] ['1', '2', '3', '2C'] -> 2C - ((1 + 3) * 2) base 13
[2886] ['2', '3', '23', '37'] -> 37 - ((23 + 3) / 2) base 13
[2887] ['2', '3', '23', '39'] -> ((2 * 23) - 39) * 3 base 13
[2888] ['2', '3', '25', '27'] -> ((25 * 3) - 27) / 2 base 13
[2889] ['2', '3', '25', '2B'] -> (2 + 3) * (2B - 25) base 13
[2890] ['2', '3', '25', '2C'] -> ((25 + 3) * 2) - 2C base 13
[2891] ['2', '3', '25', '32'] -> 32 - ((2 + 25) / 3) base 13
[2892] ['2', '3', '25', '33'] -> (25 - (33 / 2)) * 3 base 13
[2893] ['2', '3', '25', '38'] -> 38 - ((25 + 3) / 2) base 13
[2894] ['2', '3', '25', '39'] -> (25 - (39 / 3)) * 2 base 13
[2895] ['2', '3', '26', '27'] -> (26 * 3) - (2 * 27) base 13
[2896] ['1', '2', '3', '30'] -> 30 - ((1 + 2) * 3) base 13
[2897] ['2', '3', '26', '2A'] -> ((26 * 3) - 2A) / 2 base 13
[2898] ['2', '3', '26', '2C'] -> (2 + 3) * (2C - 26) base 13
[2899] ['2', '3', '26', '33'] -> (26 / 2) + (33 / 3) base 13
[2900] ['2', '3', '27', '37'] -> (27 - (37 / 2)) * 3 base 13
[2901] ['2', '3', '27', '39'] -> 39 - ((27 + 3) / 2) base 13
[2902] ['2', '3', '27', '3A'] -> ((27 / 3) + 3A) / 2 base 13
[2903] ['2', '3', '28', '2A'] -> (28 * 3) - (2 * 2A) base 13
[2904] ['2', '3', '28', '31'] -> (2 + 3) * (31 - 28) base 13
[2905] ['2', '3', '28', '39'] -> (28 - (39 / 2)) * 3 base 13
[2906] ['2', '3', '29', '36'] -> ((29 * 3) - 36) / 2 base 13
