[1] ['1', '1', '1', 'A'] -> (1 + 1 + 1) * A base 13
[81] ['1', '17', '29', '31'] -> ((29 / 17) - 1) * 31 base 13
[82] ['13', '19', '21', '30'] -> (13 * 30) - (19 * 21) base 13
[83] ['13', '19', '22', '22'] -> ((13 + 22) / 19) + 22 base 13
[84] ['13', '19', '22', '26'] -> 26 - ((13 + 22) / 19) base 13
[85] ['13', '19', '22', '34'] -> ((13 * 34) - 22) / 19 base 13
[86] ['13', '19', '25', '34'] -> ((19 * 34) - 13) / 25 base 13
[87] ['13', '19', '29', '38'] -> ((19 * 38) + 13) / 29 base 13
[88] ['13', '19', '2A', '30'] -> ((13 * 30) + 2A) / 19 base 13
[89] ['13', '19', '2B', '3A'] -> (19 * 2B) - (13 * 3A) base 13
[90] ['13', '1A', '1A', '1C'] -> ((1C - 1A) * 1A) - 13 base 13
[91] ['13', '1A', '1B', '20'] -> ((20 - 1B) * 1A) - 13 base 13
[92] ['1', '17', '2A', '35'] -> 2A / ((35 / 17) - 1) base 13
[93] ['13', '1A', '1B', '26'] -> ((1A * 26) - 13) / 1B base 13
[94] ['13', '1A', '1C', '27'] -> 27 - ((1A + 1C) / 13) base 13
[95] ['13', '1A', '20', '32'] -> ((1A + 32) / 13) + 20 base 13
[96] ['13', '1A', '21', '23'] -> ((23 - 21) * 1A) - 13 base 13
[97] ['13', '1A', '23', '25'] -> ((25 - 23) * 1A) - 13 base 13
[98] ['13', '1A', '25', '27'] -> ((27 - 25) * 1A) - 13 base 13
[99] ['13', '1A', '26', '28'] -> ((28 - 26) * 1A) - 13 base 13
[100] ['13', '1A', '27', '29'] -> ((29 - 27) * 1A) - 13 base 13
[101] ['13', '1A', '28', '2A'] -> ((2A - 28) * 1A) - 13 base 13
[102] ['13', '1A', '28', '38'] -> (1A * 28) - (13 * 38) base 13
[103] ['1', '17', '30', '37'] -> 30 / ((37 / 17) - 1) base 13
[104] ['13', '1A', '29', '2B'] -> ((2B - 29) * 1A) - 13 base 13
[105] ['13', '1A', '2A', '2C'] -> ((2C - 2A) * 1A) - 13 base 13
[106] ['13', '1A', '2B', '30'] -> ((30 - 2B) * 1A) - 13 base 13
[107] ['13', '1A', '2C', '31'] -> ((31 - 2C) * 1A) - 13 base 13
[108] ['13', '1A', '30', '32'] -> ((32 - 30) * 1A) - 13 base 13
[109] ['13', '1A', '31', '33'] -> ((33 - 31) * 1A) - 13 base 13
[110] ['13', '1A', '32', '34'] -> ((34 - 32) * 1A) - 13 base 13
[111] ['13', '1A', '33', '35'] -> ((35 - 33) * 1A) - 13 base 13
[112] ['13', '1A', '34', '36'] -> ((36 - 34) * 1A) - 13 base 13
[113] ['13', '1A', '37', '37'] -> ((13 * 37) - 37) / 1A base 13
[114] ['1', '1', '20', '28'] -> (20 + 28) / (1 + 1) base 13
[115] ['1', '17', '31', '36'] -> 36 / ((17 / 31) + 1) base 13
[116] ['13', '1A', '38', '3A'] -> ((3A - 38) * 1A) - 13 base 13
[117] ['13', '1B', '20', '31'] -> ((1B + 31) / 13) + 20 base 13
[118] ['13', '1B', '26', '34'] -> ((13 * 34) + 26) / 1B base 13
[119] ['13', '1B', '26', '38'] -> ((13 * 38) - 26) / 1B base 13
[120] ['13', '1B', '38', '3A'] -> ((38 + 3A) / 13) + 1B base 13
[121] ['13', '1C', '20', '30'] -> ((1C + 30) / 13) + 20 base 13
[122] ['13', '1C', '22', '28'] -> ((13 + 28) / 1C) + 22 base 13
[123] ['13', '1C', '25', '3A'] -> ((25 + 3A) / 13) + 1C base 13
[124] ['13', '1C', '26', '28'] -> 26 - ((13 + 28) / 1C) base 13
[125] ['13', '1C', '26', '39'] -> ((26 + 39) / 13) + 1C base 13
[126] ['1', '17', '33', '39'] -> 33 / ((39 / 17) - 1) base 13
[127] ['13', '1C', '27', '38'] -> ((27 + 38) / 13) + 1C base 13
[128] ['13', '1C', '28', '30'] -> 28 - ((1C + 30) / 13) base 13
[129] ['13', '1C', '28', '37'] -> ((28 + 37) / 13) + 1C base 13
[130] ['13', '1C', '28', '3A'] -> ((13 * 3A) - 28) / 1C base 13
[131] ['13', '1C', '2A', '35'] -> ((2A + 35) / 13) + 1C base 13
[132] ['13', '1C', '2B', '34'] -> ((2B + 34) / 13) + 1C base 13
[133] ['13', '1C', '2C', '33'] -> ((2C + 33) / 13) + 1C base 13
[134] ['13', '1C', '30', '32'] -> ((30 + 32) / 13) + 1C base 13
[135] ['13', '1C', '35', '37'] -> ((13 * 35) + 37) / 1C base 13
[136] ['13', '20', '21', '2B'] -> ((21 + 2B) / 13) + 20 base 13
[137] ['1', '18', '18', '3A'] -> ((18 / 3A) + 1) * 18 base 13
[138] ['13', '20', '21', '33'] -> (20 * 21) - (13 * 33) base 13
[139] ['13', '20', '21', '3A'] -> ((13 * 3A) + 20) / 21 base 13
[140] ['13', '20', '22', '38'] -> ((13 * 38) + 22) / 20 base 13
[141] ['13', '20', '23', '29'] -> ((23 + 29) / 13) + 20 base 13
[142] ['13', '20', '25', '27'] -> ((25 + 27) / 13) + 20 base 13
[143] ['13', '20', '26', '26'] -> ((26 + 26) / 13) + 20 base 13
[144] ['13', '20', '29', '32'] -> ((20 * 32) - 13) / 29 base 13
[145] ['13', '20', '34', '3A'] -> ((20 * 3A) + 13) / 34 base 13
[146] ['13', '20', '35', '37'] -> ((13 * 37) + 35) / 20 base 13
[147] ['13', '21', '22', '2C'] -> ((13 + 2C) / 21) + 22 base 13
[148] ['1', '18', '22', '35'] -> (35 / (1 + 18)) + 22 base 13
[149] ['13', '21', '26', '2C'] -> 26 - ((13 + 2C) / 21) base 13
[150] ['13', '21', '28', '2B'] -> 28 - ((21 + 2B) / 13) base 13
[151] ['13', '21', '33', '39'] -> ((13 * 39) + 33) / 21 base 13
[152] ['13', '22', '22', '31'] -> ((13 + 31) / 22) + 22 base 13
[153] ['13', '22', '25', '37'] -> ((13 + 37) / 25) + 22 base 13
[154] ['13', '22', '26', '39'] -> ((13 + 39) / 26) + 22 base 13
[155] ['13', '22', '28', '2B'] -> ((22 * 2B) - 13) / 28 base 13
[156] ['13', '23', '28', '29'] -> 28 - ((23 + 29) / 13) base 13
[157] ['13', '23', '33', '35'] -> ((23 * 35) - 13) / 33 base 13
[158] ['13', '23', '36', '37'] -> ((23 * 37) + 13) / 36 base 13
[159] ['1', '18', '26', '35'] -> 26 - (35 / (1 + 18)) base 13
[160] ['13', '25', '27', '28'] -> 28 - ((25 + 27) / 13) base 13
[161] ['13', '25', '29', '3A'] -> 29 - ((25 + 3A) / 13) base 13
[162] ['13', '25', '37', '38'] -> ((25 * 37) - 13) / 38 base 13
[163] ['13', '26', '26', '39'] -> 26 - ((13 + 39) / 26) base 13
[164] ['13', '26', '29', '39'] -> 29 - ((26 + 39) / 13) base 13
[165] ['13', '26', '2B', '31'] -> ((26 * 2B) + 13) / 31 base 13
[166] ['13', '27', '29', '38'] -> 29 - ((27 + 38) / 13) base 13
[167] ['13', '28', '32', '38'] -> ((28 * 32) + 13) / 38 base 13
[168] ['13', '29', '2A', '35'] -> 29 - ((2A + 35) / 13) base 13
[169] ['13', '29', '2B', '34'] -> 29 - ((2B + 34) / 13) base 13
[170] ['1', '18', '29', '30'] -> ((30 / 18) - 1) * 29 base 13
[171] ['13', '29', '30', '32'] -> 29 - ((30 + 32) / 13) base 13
[172] ['13', '2A', '38', '3A'] -> 2A - ((38 + 3A) / 13) base 13
[173] ['13', '2A', '39', '39'] -> 2A - ((39 + 39) / 13) base 13
[174] ['14', '14', '14', '22'] -> ((14 + 14) / 14) + 22 base 13
[175] ['14', '14', '14', '23'] -> ((14 * 23) + 14) / 14 base 13
[176] ['14', '14', '14', '25'] -> ((14 * 25) - 14) / 14 base 13
[177] ['14', '14', '14', '26'] -> 26 - ((14 + 14) / 14) base 13
[178] ['14', '14', '16', '34'] -> (14 + 34) / (16 - 14) base 13
[179] ['14', '14', '17', '18'] -> ((17 - 14) * 14) - 18 base 13
[180] ['14', '14', '18', '2C'] -> ((18 - 14) * 14) - 2C base 13
[181] ['1', '18', '29', '39'] -> 39 / ((18 / 29) + 1) base 13
[182] ['14', '14', '21', '28'] -> ((14 + 28) / 14) + 21 base 13
[183] ['14', '14', '22', '28'] -> ((14 * 22) + 28) / 14 base 13
[184] ['14', '14', '27', '28'] -> 27 - ((14 + 28) / 14) base 13
[185] ['14', '15', '16', '22'] -> ((14 + 16) / 15) + 22 base 13
[186] ['14', '15', '16', '26'] -> 26 - ((14 + 16) / 15) base 13
[187] ['14', '15', '16', '33'] -> (15 + 33) / (16 - 14) base 13
[188] ['14', '15', '17', '34'] -> (14 + 34) / (17 - 15) base 13
[189] ['14', '15', '18', '18'] -> ((18 - 15) * 14) - 18 base 13
[190] ['14', '15', '18', '1B'] -> (14 * 1B) - (15 * 18) base 13
[191] ['14', '15', '18', '27'] -> ((14 * 27) - 18) / 15 base 13
[192] ['1', '18', '2A', '33'] -> ((2A / 18) - 1) * 33 base 13
[193] ['14', '15', '18', '2A'] -> ((14 * 2A) + 15) / 18 base 13
[194] ['14', '15', '18', '33'] -> ((18 - 14) * 15) - 33 base 13
[195] ['14', '15', '19', '2C'] -> ((19 - 15) * 14) - 2C base 13
[196] ['14', '15', '1B', '21'] -> ((15 * 21) + 1B) / 14 base 13
[197] ['14', '15', '20', '33'] -> ((15 * 20) + 33) / 14 base 13
[198] ['14', '15', '21', '27'] -> ((15 + 27) / 14) + 21 base 13
[199] ['14', '15', '23', '38'] -> ((14 * 23) + 38) / 15 base 13
[200] ['14', '15', '25', '39'] -> ((15 * 25) - 39) / 14 base 13
[201] ['14', '15', '27', '27'] -> 27 - ((15 + 27) / 14) base 13
[202] ['14', '15', '27', '2B'] -> 27 - ((14 + 2B) / 15) base 13
[203] ['1', '18', '33', '36'] -> 36 / ((18 / 33) + 1) base 13
[204] ['14', '15', '28', '2C'] -> ((14 * 28) - 2C) / 15 base 13
[205] ['14', '15', '2C', '33'] -> (14 * 33) - (15 * 2C) base 13
[206] ['14', '15', '38', '39'] -> (15 * 38) - (14 * 39) base 13
[207] ['14', '16', '16', '1A'] -> (14 * 1A) - (16 * 16) base 13
[208] ['14', '16', '16', '32'] -> (16 + 32) / (16 - 14) base 13
[209] ['14', '16', '17', '1C'] -> ((16 - 14) * 1C) - 17 base 13
[210] ['14', '16', '17', '21'] -> ((17 - 14) * 16) - 21 base 13
[211] ['14', '16', '18', '19'] -> ((19 - 16) * 14) - 18 base 13
[212] ['14', '16', '18', '22'] -> ((14 + 18) / 16) + 22 base 13
[213] ['14', '16', '18', '30'] -> (18 + 30) / (16 - 14) base 13
[214] ['1', '18', '35', '36'] -> 35 / ((18 / 36) + 1) base 13
[215] ['14', '16', '18', '34'] -> (14 + 34) / (18 - 16) base 13
[216] ['14', '16', '18', '37'] -> ((18 - 14) * 16) - 37 base 13
[217] ['14', '16', '19', '20'] -> ((16 - 14) * 20) - 19 base 13
[218] ['14', '16', '19', '2C'] -> (19 + 2C) / (16 - 14) base 13
[219] ['14', '16', '1A', '1A'] -> ((1A * 1A) - 16) / 14 base 13
[220] ['14', '16', '1A', '2B'] -> (1A + 2B) / (16 - 14) base 13
[221] ['14', '16', '1B', '21'] -> ((16 - 14) * 21) - 1B base 13
[222] ['14', '16', '1B', '2A'] -> (1B + 2A) / (16 - 14) base 13
[223] ['14', '16', '1B', '2B'] -> ((16 * 2B) + 14) / 1B base 13
[224] ['14', '16', '1C', '34'] -> ((14 * 34) + 16) / 1C base 13
[225] ['1', '1', '20', '32'] -> (1 + 1) * (32 - 20) base 13
[226] ['1', '19', '22', '34'] -> ((1 + 34) / 19) + 22 base 13
[227] ['14', '16', '20', '22'] -> ((16 - 14) * 22) - 20 base 13
[228] ['14', '16', '20', '28'] -> (20 + 28) / (16 - 14) base 13
[229] ['14', '16', '20', '38'] -> ((14 * 38) - 16) / 20 base 13
[230] ['14', '16', '20', '3A'] -> ((16 + 3A) / 14) + 20 base 13
[231] ['14', '16', '21', '26'] -> ((16 + 26) / 14) + 21 base 13
[232] ['14', '16', '22', '23'] -> ((16 - 14) * 23) - 22 base 13
[233] ['14', '16', '22', '26'] -> (22 + 26) / (16 - 14) base 13
[234] ['14', '16', '23', '25'] -> (23 + 25) / (16 - 14) base 13
[235] ['14', '16', '23', '32'] -> ((16 * 23) - 32) / 14 base 13
[236] ['14', '16', '25', '26'] -> ((16 - 14) * 25) - 26 base 13
[237] ['1', '19', '22', '37'] -> (37 / (1 + 19)) + 22 base 13
[238] ['14', '16', '25', '34'] -> ((14 * 25) + 34) / 16 base 13
[239] ['14', '16', '26', '27'] -> 27 - ((16 + 26) / 14) base 13
[240] ['14', '16', '27', '2A'] -> ((16 - 14) * 27) - 2A base 13
[241] ['14', '16', '27', '31'] -> 27 - ((14 + 31) / 16) base 13
[242] ['14', '16', '28', '2C'] -> ((16 - 14) * 28) - 2C base 13
[243] ['14', '16', '29', '31'] -> ((16 - 14) * 29) - 31 base 13
[244] ['14', '16', '2B', '35'] -> ((16 - 14) * 2B) - 35 base 13
[245] ['14', '16', '2C', '37'] -> ((16 - 14) * 2C) - 37 base 13
[246] ['14', '16', '30', '39'] -> ((16 - 14) * 30) - 39 base 13
[247] ['14', '17', '18', '27'] -> ((17 - 14) * 18) - 27 base 13
[248] ['1', '19', '26', '34'] -> 26 - ((1 + 34) / 19) base 13
[249] ['14', '17', '19', '2A'] -> ((17 - 14) * 19) - 2A base 13
[250] ['14', '17', '19', '31'] -> ((14 * 31) - 17) / 19 base 13
[251] ['14', '17', '19', '34'] -> (14 + 34) / (19 - 17) base 13
[252] ['14', '17', '1A', '22'] -> ((14 + 1A) / 17) + 22 base 13
[253] ['14', '17', '1A', '26'] -> 26 - ((14 + 1A) / 17) base 13
